"","GSM3356820","GSM3356821","GSM3356822","GSM3356823","GSM3356824","GSM3356825","GSM3356826","GSM3356827"
"hsa-miR-4454",17.6976056255631,17.7670787691708,17.6910005558322,17.5876896301815,17.6047993326022,17.6781049254037,17.5164541242579,17.5388860985195
"hsa-miR-21-5p",15.0193127256514,15.0967357407435,15.1827473794014,14.7980717845743,14.9996257172053,14.9330266854502,14.4457326512605,14.7221190989666
"hsa-miR-720_v18.0",14.6422773785039,14.7492252233045,14.760480864357,14.8017033074544,14.7809805463982,15.2057779794704,14.6116991733937,14.6172780474799
"hsa-let-7a-5p",12.9256230497029,13.7109463063603,13.3232377604007,12.9061916209015,13.0568679860845,13.3686974258974,11.8639965075748,12.7658351384288
"hsa-miR-5100",12.9084113861959,13.0801263204535,13.112994909129,13.170180143042,13.0778638416998,13.5466654042237,12.7154386825301,12.7701414717152
"hsa-let-7f-5p",12.6888534918572,13.4393504249686,13.1209765347309,12.6823538286496,12.8088556068262,12.8888783050078,11.7029604969295,12.5172067855508
"hsa-miR-29a-3p",12.8013284396144,12.7990447960808,12.8467753585918,12.7998745266739,12.7170487484702,12.9784316159735,12.0872871346936,12.5760614910998
"hsa-miR-20a-5p",12.6745520141273,12.586670932107,12.6833104677192,12.662307879222,12.535389601659,12.8855533930409,12.216964064472,12.5431671874336
"hsa-miR-19b-3p",12.7288601119428,12.5496932334101,12.599599077673,12.6915734211556,12.5475645402476,12.8374840506717,12.2937906158651,12.5314107040383
"hsa-miR-16-5p",12.0165750145625,12.6959068424715,12.6166200578593,12.1040614101229,12.1094585084691,12.6141599878863,12.2686589550277,12.2367108477679
"hsa-miR-4284",12.0863319776327,12.4315002159411,12.3910475285667,12.3751969459262,12.4930798672563,12.0033492481778,12.702486562955,12.0315978294376
"hsa-miR-141-3p",12.3204254445307,12.7080578761088,12.4862517934995,12.2528428020844,12.3708263303431,12.3065715566912,11.5304648630941,11.8991567445409
"hsa-miR-200b-3p",12.0887451824373,12.4493988765684,12.1206558483717,12.2116966928952,12.1851820689105,12.4238276252356,12.1699218705903,11.6030792039252
"hsa-miR-15b-5p",11.8814696184201,11.9545307674416,12.056221102172,11.9083213099433,12.0052350531639,12.2952437529378,11.4967639181511,11.972990552407
"hsa-let-7b-5p",11.6774994332851,12.4893663128583,12.1395673396223,11.6888403818705,11.7895988500523,12.4133000065223,10.8987525261648,11.6073626815445
"hsa-miR-29b-3p",11.9161369799508,12.0590266813726,12.0657493365342,11.8505853603176,11.8267272242274,11.9409081733273,11.1015555347908,11.7181132776261
"hsa-miR-17-5p",11.9550977131284,11.5621851732819,11.8378171266725,11.8890704052968,11.7596052741042,12.0868361671058,11.0533829025857,11.7527402300661
"hsa-let-7i-5p",11.264495380787,12.7139449248864,12.7286560754838,11.3591455661195,10.9701058906122,11.2925402064016,9.68457857222422,11.2969563448952
"hsa-miR-103a-3p",11.65814898842,12.0884039987912,11.7790750044417,11.7685813421736,11.9555518358011,11.4854217954405,10.7088166220614,11.3737569487226
"hsa-miR-24-3p",11.2958205812899,11.7903159115157,12.1542200259699,11.2255569197245,11.647013137016,11.8337044639947,11.4986846880419,11.3923496254337
"hsa-miR-192-5p",10.1596821598162,12.8238568133988,12.2838031551996,11.2933279469564,11.5184859625114,11.9073038084441,6.34860423645188,10.9351134712288
"hsa-miR-4286",11.2732186389134,12.05304343694,11.7258263471482,11.2216898220301,11.2166913014689,11.5140975968198,10.6901638892741,10.8005521232148
"hsa-let-7d-5p",11.5026925986565,11.5496547329237,11.5563623527902,11.4400957172933,11.4000148407354,11.465892861798,9.98858528506748,11.2303987782132
"hsa-miR-106b-5p",11.3424858552866,11.7342100090357,11.541449983942,11.1363759777442,11.2079721371873,11.0249457130698,10.7484444605033,10.9455682012796
"hsa-miR-10a-5p",11.3580742272736,11.8095310089259,11.1181559396084,11.1894292458098,11.3373319959649,11.2794829032754,10.8714971605422,10.6501991008125
"hsa-miR-1260b",11.0826613466839,11.3129680173427,11.3549105115868,11.5258241933826,11.3181925436447,11.6591931811875,8.61989715368617,11.2321750604384
"hsa-miR-1260a",11.0494946374496,11.2094533656289,11.0698659339796,11.2537293233066,11.306357947089,11.6955197595413,10.6351376611321,10.9332996876809
"hsa-miR-4516",9.30438326710722,13.0446434272148,12.2244087317972,9.09476916878931,8.10660481397897,9.14111853645042,10.175986097867,9.70533517884903
"hsa-miR-3960",8.96961963626979,12.9992266688424,11.772858884451,8.74655126978161,7.67244655791904,7.87250867222813,11.3708889777571,10.4279727497423
"hsa-miR-200c-3p",10.950016334652,11.632668100736,11.3574805278645,10.7756678886526,11.0570440508548,11.2177578144279,9.83489289364527,10.7030730063285
"hsa-let-7g-5p",10.743100890485,11.4071084003208,11.2444054621592,10.8168476644341,10.750313394137,11.2951260631077,11.016564568615,10.5748394740514
"hsa-miR-19a-3p",11.3979526645033,10.625672318677,11.0479350295663,11.1131430888686,11.0002394900399,11.2112921169376,10.4816581818802,10.9743572250452
"hsa-miR-25-3p",11.2029747384227,11.4153720699268,11.1851479914638,10.968580401684,10.9989006533872,10.4606401890856,10.253079261014,10.6300577597668
"hsa-miR-27a-3p",10.3143906455084,11.2192471887683,11.2646009361153,10.3959410744384,11.0078752494111,11.3656608274394,11.103340269096,10.3109535355187
"hsa-let-7e-5p",11.064062341953,11.6668187144725,11.2680916360599,10.8058728223699,10.8325261307132,11.0052385626066,4.53987222578218,10.3670761532548
"hsa-miR-1273g-3p",9.80467797970149,11.4488596646386,11.3695210111883,10.6829331537529,10.8869539893199,11.0514808653413,10.8544944181549,9.77162646950401
"hsa-miR-107",10.7321334994552,11.3417745384306,11.1286581431613,10.7422167906958,10.7930505089459,10.6334493747135,9.98091071341536,10.5859108360951
"hsa-miR-7-5p",10.0678779918545,11.4570011725192,11.4693467365978,10.5026130466767,10.6103235730632,10.6230858684591,8.11256982565079,10.3654257161126
"hsa-miR-23a-3p",9.86699295275171,11.5765646517514,11.1843360906424,9.99995773292457,10.4090832698325,10.6798495228845,9.97946806824691,10.0357338670526
"hsa-miR-194-5p",8.91794784904214,12.0181653978964,11.0686573766872,10.0295909202734,10.5039350289348,10.8336254113453,4.84580615470323,9.80576643927185
