"","GSM3349289","GSM3349290","GSM3349291"
"hsa-miR-7-5p",38.67575455,37.32894135,22.23476982
"hsa-miR-217",36.17396927,33.39680481,36.01812744
"hsa-miR-337-5p",39.44608688,36.41959,33.52478027
"hsa-miR-328-3p",35.63096619,38.33303452,34.93437958
"hsa-miR-374b-3p",38.37212753,32.45601273,38.96455002
"hsa-miR-143-3p",36.09020615,37.30818939,31.22688675
"hsa-miR-623",34.71370316,35.10861969,22.2984848
"hsa-miR-520c-3p",20.86371803,31.69488907,36.45783997
"hsa-miR-557",32.48019028,36.94833755,34.34182358
"hsa-miR-218-5p",34.23766708,26.57032585,34.54658127
"hsa-miR-136-5p",36.9893074,34.41493607,31.73245811
"hsa-miR-127-5p",36.18892288,39.13021088,34.45233917
"hsa-miR-140-5p",32.78725815,31.69488907,21.79573441
"hsa-miR-31-3p",35.37078094,39.58640671,35.22480392
"hsa-miR-20b-3p",39.78475571,37.81212616,34.54658127
"hsa-miR-325",30.43191338,37.59886551,34.79443359
"hsa-miR-509-3-5p",34.80509186,34.41493607,30.14268494
"hsa-miR-210-3p",36.09020615,39.42315674,35.23608398
"hsa-miR-199b-5p",34.60848236,29.08740807,35.23608398
"hsa-miR-194-5p",37.00315475,35.18647003,34.01999664
"hsa-let-7g-5p",34.34115982,35.46075058,33.69303513
"hsa-miR-203a",38.5007782,32.17427826,38.31555939
"hsa-miR-181a-3p",35.75789642,38.816082,35.57874298
"hsa-miR-137",34.1701088,31.70363617,31.85938835
"hsa-miR-551b-3p",35.05672073,38.33303452,34.38926315
"hsa-miR-524-3p",34.62651062,38.25507355,38.96455002
"hsa-miR-486-5p",35.49551392,36.95923615,33.78822327
"hsa-miR-329-3p",36.9893074,37.81212616,36.00419998
"hsa-miR-487b-3p",39.42956924,38.28470612,35.83158493
"hsa-miR-138-5p",37.2550087,34.96420288,34.20581818
"hsa-miR-191-5p",26.62611961,38.67418671,33.52805328
"hsa-miR-103a-3p",37.00315475,33.25795364,33.33247757
"hsa-miR-890",21.79608345,37.59886551,22.2984848
"hsa-miR-423-5p",34.62662888,34.39233398,33.29306412
"hsa-miR-221-3p",34.03262329,33.41876602,30.06963348
"hsa-miR-301b",32.51000214,39.2674408,34.99961853
"hsa-miR-550a-5p",20.86371803,31.30967331,31.46094894
"hsa-miR-532-5p",36.87559509,38.28470612,34.77707672
"hsa-miR-99a-5p",37.53379059,36.95923615,36.01812744
"hsa-miR-16-5p",34.62662888,39.47766876,30.4228096
"hsa-miR-98-5p",35.75789642,34.44670105,39.38645554
"hsa-miR-185-5p",34.24314117,33.51914978,33.78822327
"hsa-miR-25-3p",36.20862961,37.32894135,34.99961853
"hsa-miR-765",35.36950302,38.83972931,30.39145279
"hsa-miR-24-3p",35.23942566,32.02326965,31.05679131
"hsa-miR-369-5p",34.90888596,33.9747467,12.46967983
"hsa-miR-425-5p",38.4427681,38.45671844,39.38645554
"hsa-miR-590-5p",34.1701088,33.25795364,39.88978958
"hsa-miR-760",38.67575455,34.78221893,34.21900558
"hsa-miR-574-3p",39.22309875,31.9336586,33.28828049
"hsa-miR-130b-3p",34.03262329,38.76819992,33.79374695
"hsa-miR-30c-5p",34.03262329,31.9336586,35.66785812
"hsa-miR-133b",29.53593826,37.79187393,34.54658127
"hsa-miR-524-5p",32.94691086,35.46075058,38.52351379
"hsa-miR-23a-3p",34.90888596,31.70381355,30.73957634
"hsa-miR-193b-3p",32.51000214,37.70495224,32.91127777
"hsa-miR-501-5p",33.92990494,37.79187393,33.79374695
"hsa-miR-518c-5p",37.2550087,37.59886551,22.23476982
"hsa-miR-130a-3p",36.65390015,36.74318314,34.5511322
"hsa-miR-933",38.66380692,26.57032585,33.68764496
"hsa-miR-379-5p",38.90476227,38.48420715,39.45009995
"hsa-miR-452-5p",38.2161293,23.80893135,36.72639465
"hsa-miR-589-5p",18.18150902,36.51320267,24.86505318
"hsa-miR-141-3p",34.00963974,35.18647003,37.01808548
"hsa-miR-342-3p",38.53785706,32.17427826,35.23608398
"hsa-miR-668-3p",32.78725815,36.97234726,32.52803802
"hsa-miR-934",36.18892288,34.44670105,33.09653473
"hsa-miR-101-3p",39.78475571,33.25795364,33.79374695
"hsa-miR-539-5p",35.75789642,34.41493607,36.39489365
"hsa-miR-331-3p",35.05672073,36.27482986,38.89429474
"hsa-miR-499a-5p",39.44608688,31.69488907,36.45783997
"hsa-miR-196a-5p",38.5007782,34.96420288,35.57874298
"hsa-miR-888-5p",38.4427681,22.16910172,36.40190887
"hsa-miR-330-3p",38.7938385,39.47766876,33.62799454
"hsa-miR-570-3p",38.8289032,34.16558456,35.59767914
"hsa-miR-518c-3p",36.09020615,34.39084625,36.61587143
"hsa-miR-200a-3p",35.02782822,37.79187393,37.01808548
"hsa-miR-188-5p",36.18892288,31.70381355,34.20581818
"hsa-miR-26a-5p",20.86371803,31.9336586,38.01054764
"hsa-miR-99b-5p",35.05672073,35.27607346,33.36701584
"hsa-miR-431-5p",36.65390015,29.08740807,37.34218597
"hsa-miR-23b-3p",38.05966949,34.39084625,31.79847527
"hsa-miR-367-3p",34.62662888,34.11730576,37.53998566
"hsa-miR-505-3p",37.53379059,31.70381355,34.28894424
"hsa-miR-18a-5p",34.71370316,34.45408249,34.75394821
"hsa-miR-92a-3p",35.63096619,34.11730576,33.3083992
"hsa-miR-500a-5p",33.60572433,34.0472374,34.99961853
"hsa-miR-887-3p",38.90476227,39.42315674,36.72860718
"hsa-miR-491-3p",34.34115982,31.70363617,36.39489365
"hsa-miR-423-3p",36.20298004,37.32894135,32.52803802
"hsa-miR-126-3p",35.36950302,37.30818939,33.89469528
"hsa-miR-421",31.87079239,35.27607346,35.49429703
"hsa-miR-376b-3p",34.60848236,35.77630615,35.50471115
"hsa-miR-302c-3p",20.86371803,22.16910172,38.01054764
"hsa-miR-625-3p",35.63096619,34.0472374,38.08838272
"hsa-miR-339-5p",37.07806015,35.94549942,37.34218597
"hsa-miR-873-5p",37.00315475,22.16910172,28.18516922
"hsa-miR-323a-3p",16.30462646,34.78221893,34.98150253
