"","GSM1671252","GSM1671253","GSM1671254","GSM1671255"
"hsa-let-7a-3p",3.033694,5.105019,4.0840008,6.5944099
"hsa-let-7a-5p",2.3745,9.643776,9.8698131,8.142465
"hsa-let-7b-3p",9.844176,5.066232,5.6697459,3.9155398
"hsa-let-7b-5p",5.08613,5.548677,2.9096751,4.1887167
"hsa-let-7c",4.78033,4.363043,3.9259921,10.453005
"hsa-let-7d-3p",2.048918,2.048918,1.9456126,2.4759242
"hsa-let-7d-5p",8.925209,6.502109,5.5563355,6.4425367
"hsa-let-7e-3p",6.644551,6.032906,11.3345857,9.2839866
"hsa-let-7e-5p",4.146827,4.804177,1.9456126,3.4375683
"hsa-let-7f-1-3p",8.748873,7.891446,6.7825947,3.3149846
"hsa-let-7f-2-3p",4.406801,4.921506,7.0501151,4.3351229
"hsa-let-7f-5p",4.363043,8.687962,4.7626109,4.4324254
"hsa-let-7g-3p",9.643776,12.234329,3.6477752,8.7816715
"hsa-let-7g-5p",6.193359,10.311523,3.7770442,3.0692909
"hsa-let-7i-3p",4.499506,7.211497,3.879062,8.937735
"hsa-let-7i-5p",2.048918,10.488807,7.9175705,4.1648299
"hsa-miR-1",5.460929,8.748873,4.5127259,4.2684754
"hsa-miR-100-3p",4.728278,2.76161,7.1758773,4.4884173
"hsa-miR-100-5p",8.073279,5.308664,6.519144,4.5195339
"hsa-miR-101-3p",4.609139,4.915847,3.7845955,3.879062
"hsa-miR-101-5p",7.914173,6.221106,4.4101974,4.0581045
"hsa-miR-103a-2-5p",4.804177,12.026809,7.762487,2.7927166
"hsa-miR-103a-3p",4.804177,4.601155,8.0620273,3.7845955
"hsa-miR-103b",7.280189,4.960786,3.2685721,3.8131835
"hsa-miR-105-3p",4.246638,3.345629,3.879062,5.0705455
"hsa-miR-105-5p",5.87792,4.975811,8.4750744,6.9258646
"hsa-miR-106a-3p",8.925209,5.731669,3.4059216,8.2520451
"hsa-miR-106b-3p",4.915847,7.370779,5.2491272,4.0497093
"hsa-miR-106b-5p",6.985776,7.586191,3.1920757,2.7459883
"hsa-miR-107",3.636231,5.400639,0.600961,12.5700491
"hsa-miR-10a-3p",5.858381,4.705433,3.7845955,4.6057203
"hsa-miR-10a-5p",5.426343,3.782005,4.5110843,3.3149846
"hsa-miR-10b-3p",7.891446,6.518286,5.6697459,3.1920757
"hsa-miR-10b-5p",5.497906,12.877927,9.164039,10.1545088
"hsa-miR-1178-3p",4.609139,7.517553,6.8596798,3.2685721
"hsa-miR-1178-5p",4.143293,5.400639,6.7059965,8.2808952
"hsa-miR-1179",10.899716,8.732554,4.3826827,4.019516
"hsa-miR-1180",4.878047,11.437018,9.164039,6.519144
"hsa-miR-1181",3.938692,6.809451,3.5061418,8.3521567
"hsa-miR-1182",4.423836,7.294795,0.4755185,4.7995255
"hsa-miR-1183",4.728278,5.287363,2.6174542,4.4504651
"hsa-miR-1184",10.899716,7.294795,4.3351229,5.1367274
"hsa-miR-1185-1-3p",7.840436,7.357817,4.5127259,2.2220126
"hsa-miR-1185-2-3p",6.226002,3.263731,2.6589219,7.6957268
"hsa-miR-1185-5p",4.975811,4.804177,1.7218042,2.146192
"hsa-miR-1193",7.120057,12.234329,2.888858,3.1896693
"hsa-miR-1197",6.032906,9.887268,4.7157176,3.4563225
"hsa-miR-1200",6.518286,8.85882,2.4994631,10.6310564
"hsa-miR-1202",10.311523,9.887268,10.453005,11.2240525
"hsa-miR-1203",5.858381,9.635854,3.3658349,5.6697459
"hsa-miR-1204",3.219202,6.081046,0.600961,4.0840008
"hsa-miR-1205",4.705433,4.998247,6.7631327,6.7931
"hsa-miR-1206",6.032906,7.491131,3.8600034,3.9455167
"hsa-miR-1207-3p",6.193359,7.06382,4.9456237,4.352761
"hsa-miR-1207-5p",8.687962,8.967819,8.5389168,7.6957268
"hsa-miR-1208",6.234118,5.774733,3.5061418,4.5195339
"hsa-miR-122-3p",7.891446,6.931812,8.7816715,4.3826827
"hsa-miR-122-5p",9.887268,3.033694,2.9096751,6.7059965
"hsa-miR-1224-3p",4.62126,7.734203,7.0769381,4.4884173
"hsa-miR-1224-5p",8.090491,9.335213,3.4059216,3.5061418
"hsa-miR-1225-3p",3.673533,5.669133,4.0673308,10.4599431
"hsa-miR-1225-5p",8.445861,8.732554,7.9175705,7.3215365
"hsa-miR-1226-3p",10.311523,3.95929,5.2815583,8.4256965
"hsa-miR-1226-5p",6.234118,6.221106,2.4759242,7.6511975
"hsa-miR-1227-3p",3.54819,5.248801,2.0547889,3.6477752
"hsa-miR-1227-5p",7.357817,7.120057,7.5363057,7.0501151
"hsa-miR-1228-3p",7.517553,10.293482,5.6616263,5.4537666
"hsa-miR-1228-5p",3.148912,7.280189,6.5665365,4.102722
"hsa-miR-1229-3p",6.423416,10.876507,4.0840008,4.4884173
"hsa-miR-1229-5p",8.073279,7.06382,6.7741299,6.2761028
"hsa-miR-1231",8.925209,12.234329,8.2520451,4.291233
"hsa-miR-1233-1-5p",3.938692,10.774743,3.3149846,8.142465
"hsa-miR-1234-3p",6.423416,5.95142,6.1189279,0.600961
"hsa-miR-1234-5p",9.824573,9.480814,9.164039,8.9016744
"hsa-miR-1236-3p",9.844176,5.355583,3.4375683,7.7215171
"hsa-miR-1236-5p",5.409539,9.098282,2.7437435,3.4375683
"hsa-miR-1237-3p",4.975811,5.258112,5.0389015,4.9175984
"hsa-miR-1237-5p",5.774733,10.488807,6.7059965,8.142465
"hsa-miR-1238-3p",3.636231,4.742488,8.937735,8.7564442
"hsa-miR-1238-5p",8.445861,12.026809,4.1887167,1.9733608
"hsa-miR-124-3p",7.077265,2.76161,3.9766199,5.4537666
"hsa-miR-124-5p",5.409539,4.742488,4.3826827,9.6260878
"hsa-miR-1243",4.705433,4.62126,4.019516,2.8680434
"hsa-miR-1244",6.226002,4.432272,6.3718038,4.4058906
"hsa-miR-1245a",3.744581,6.141677,7.5192161,3.3026506
"hsa-miR-1245b-3p",6.644551,3.345629,4.7995255,6.7224509
"hsa-miR-1245b-5p",7.280189,4.975811,6.5665365,1.9733608
"hsa-miR-1246",8.925209,10.774743,4.6057203,8.6866347
"hsa-miR-1247-3p",4.915847,4.406801,3.0308293,3.2337074
"hsa-miR-1247-5p",12.13316,4.499506,6.4261177,6.7741299
"hsa-miR-1248",12.234329,7.06382,8.0620273,3.1920757
"hsa-miR-1249",3.263731,6.985776,7.6957268,4.1887167
"hsa-miR-1250",6.809451,2.3745,4.0497093,4.291233
"hsa-miR-1251",7.06382,8.64591,2.7927166,7.9668913
"hsa-miR-1252",11.124761,3.345629,9.8698131,5.8207304
"hsa-miR-1253",9.032193,3.033694,4.5911369,4.4324254
"hsa-miR-1254",3.148912,6.809451,6.6785875,5.6108297
"hsa-miR-1255a",4.499506,9.335213,1.9993561,3.5061418
"hsa-miR-1255b-2-3p",10.603462,8.85882,6.5665365,3.0934581
"hsa-miR-1255b-5p",4.960786,8.64591,3.1920757,3.9259921
"hsa-miR-1256",10.507479,5.669133,2.4862264,3.9766199
"hsa-miR-1257",7.280189,5.308664,4.4324254,4.4504651
"hsa-miR-1258",7.491131,4.935603,7.0769381,8.2520451
"hsa-miR-125a-3p",2.048918,10.876507,2.7927166,6.0628553
