"","GSM2837750","GSM2837751","GSM2837752","GSM2837753"
"hsa-let-7a-3p",-3.1167667,-2.4914463,-2.9641812,-3.2474415
"hsa-let-7a-5p",8.063443,8.787782,6.116508,5.358282
"hsa-let-7b-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7b-5p",8.787782,8.568438,5.869229,5.218571
"hsa-let-7c-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7c-5p",7.238598,6.710891,4.39098,4.332351
"hsa-let-7d-3p",-0.07098464,-1.3608468,-2.9641812,-3.2474415
"hsa-let-7d-5p",5.3392572,5.772903,3.833352,3.5007102
"hsa-let-7e-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7e-5p",4.9475183,4.244552,2.3382502,1.7193127
"hsa-let-7f-1-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7f-2-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7f-5p",7.2884245,8.153043,6.3720727,5.5071135
"hsa-let-7g-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-let-7g-5p",6.2954254,5.19746,5.2110424,4.9929056
"hsa-let-7i-3p",-3.1167667,0.11494619,1.3176572,2.2420301
"hsa-let-7i-5p",9.685221,5.614842,6.575087,6.0763593
"hsa-miR-1-3p",-3.1167667,-2.3550825,-2.9641812,-3.2474415
"hsa-miR-1-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-100-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-100-5p",6.504272,4.480521,4.2354746,3.3967097
"hsa-miR-101-3p",4.199535,1.5073985,1.7131889,-1.3100126
"hsa-miR-101-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-103a-2-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-103a-3p",5.435774,3.8420618,4.1330667,3.848547
"hsa-miR-103b",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-105-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-105-5p",-0.07098464,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-106a-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-106b-3p",0.008173671,-2.4914463,-2.9641812,-1.0294735
"hsa-miR-106b-5p",6.585365,4.3960466,6.171819,5.667346
"hsa-miR-107",6.116508,3.8587294,4.842286,4.363937
"hsa-miR-10a-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-10a-5p",3.6772237,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-10b-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-10b-5p",3.6948166,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1178-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1178-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1179",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1180-3p",-0.025492057,1.6797006,-2.9641812,-3.2474415
"hsa-miR-1180-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1181",2.1412752,1.9948903,3.7828336,3.235352
"hsa-miR-1182",1.9511997,3.2987826,-2.9641812,1.69209
"hsa-miR-1183",1.4600987,2.9885025,3.2756329,3.789778
"hsa-miR-1184",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1185-1-3p",3.076691,3.833352,4.073221,5.0504117
"hsa-miR-1185-2-3p",0.21980849,2.0460098,2.2210805,3.0255275
"hsa-miR-1185-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1193",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1197",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1199-3p",-3.1167667,-2.477765,-2.9641812,-3.2474415
"hsa-miR-1199-5p",-3.1167667,-2.4194036,-2.9641812,-0.08899391
"hsa-miR-1200",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1202",7.6116986,9.136696,7.350189,7.46088
"hsa-miR-1203",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1204",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1205",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1206",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1207-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1207-5p",6.615081,8.11007,7.763286,8.153043
"hsa-miR-1208",-3.1167667,-1.3393397,-2.9641812,0.23285078
"hsa-miR-122-3p",-3.1167667,-3.3219173,1.7193127,-3.2474415
"hsa-miR-122-5p",3.0531497,0.23285078,5.3392572,-0.09681973
"hsa-miR-1224-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1224-5p",4.7832184,5.441414,4.754064,5.435774
"hsa-miR-1225-5p",7.1122327,8.8464155,7.075832,7.7211576
"hsa-miR-1226-3p",-3.1167667,-2.2549992,-2.9641812,-3.2474415
"hsa-miR-1226-5p",5.315501,2.7469633,1.8622062,2.250184
"hsa-miR-1227-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1227-5p",5.398892,4.20847,7.5820713,6.615081
"hsa-miR-1228-3p",2.8741195,2.3175383,3.3368948,2.8825352
"hsa-miR-1228-5p",-3.1167667,-3.3219173,-2.9641812,-1.3281231
"hsa-miR-1229-3p",-3.1167667,-3.3219173,-2.9641812,-0.003464132
"hsa-miR-1229-5p",5.375947,7.350189,7.1122327,7.025739
"hsa-miR-1231",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1233-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1233-5p",3.6162052,4.41656,3.7002158,4.877197
"hsa-miR-1234-3p",2.6246011,2.2069435,3.1018963,2.3553078
"hsa-miR-1236-3p",-3.1167667,1.908217,-2.9641812,-3.2474415
"hsa-miR-1236-5p",3.8654811,4.082546,4.5793953,5.3526115
"hsa-miR-1237-3p",1.488319,-1.2635695,-2.9641812,0.1157693
"hsa-miR-1237-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1238-3p",1.9119543,0.111334294,2.6246011,1.6872964
"hsa-miR-1238-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-124-3p",-3.1167667,-2.4914463,-2.9641812,-1.1558555
"hsa-miR-124-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1243",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1244",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1245a",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1245b-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1245b-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1246",13.811065,12.290339,13.215338,11.836611
"hsa-miR-1247-3p",-3.1167667,1.3364443,-2.9641812,2.3664339
"hsa-miR-1247-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1248",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1249-3p",1.6183966,1.3447328,-2.9641812,1.6990372
"hsa-miR-1249-5p",5.516876,6.4858146,4.931848,4.61797
"hsa-miR-1250-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1250-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1251-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1251-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1252-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1252-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1253",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1254",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1255a",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1255b-2-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1255b-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1256",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1257",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1258",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-125a-3p",7.422049,8.367334,5.1171026,7.9650784
"hsa-miR-125a-5p",3.4283655,2.6880813,1.5831097,-1.2745489
"hsa-miR-125b-1-3p",4.099058,5.0649147,-2.9641812,4.7054315
"hsa-miR-125b-2-3p",3.314204,3.3624,4.0460424,3.5661368
"hsa-miR-125b-5p",7.350189,3.9689982,3.789778,3.6527164
"hsa-miR-126-3p",3.8288155,2.2707837,2.8561954,-1.0005417
"hsa-miR-126-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1260a",6.50176,8.063443,6.161746,6.4659433
"hsa-miR-1260b",5.5071135,7.2884245,5.0504117,5.441414
"hsa-miR-1261",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1262",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1263",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1264",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1265",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1266-3p",-3.1167667,-1.1492635,-2.9641812,1.4964366
"hsa-miR-1266-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1267",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1268a",13.215338,9.751659,8.525497,8.675081
"hsa-miR-1268b",5.0649147,6.0763593,5.8497176,5.8079424
"hsa-miR-1269a",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1269b",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-127-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-127-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1270",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1271-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1271-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1272",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1273a",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1273c",-0.07098464,-1.1148579,-2.9641812,-1.3604528
"hsa-miR-1273d",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1273e",-3.1167667,0.34977227,-2.9641812,-3.2474415
"hsa-miR-1273f",-0.07098464,1.3954428,-2.9641812,1.4600987
"hsa-miR-1273g-3p",5.745151,10.836838,8.063443,9.324778
"hsa-miR-1273g-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1273h-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1273h-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1275",5.705221,7.5820713,7.1612062,7.3788233
"hsa-miR-1276",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1277-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1278",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1279",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-128-1-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-128-2-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-128-3p",3.1018963,1.8190438,2.1748455,2.0373394
"hsa-miR-1281",0.32649496,-2.382411,2.4880857,0.18807954
"hsa-miR-1282",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1283",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1284",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1285-3p",-3.1167667,-2.2365668,-2.9641812,-1.3064135
"hsa-miR-1285-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1286",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1287-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1287-5p",4.332351,5.022154,5.772903,2.6377687
"hsa-miR-1288-3p",2.8956745,2.6027036,2.510876,1.538227
"hsa-miR-1288-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1289",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-129-1-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-129-2-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-129-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1290",13.663303,11.836611,11.079532,10.450233
"hsa-miR-1291",-3.1167667,-3.3219173,-2.9641812,-1.0693574
"hsa-miR-1292-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1292-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1293",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1294",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1295a",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1295b-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1295b-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1296-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1296-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1297",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1298-3p",-3.1167667,-1.253243,-2.9641812,-3.2474415
"hsa-miR-1298-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1299",2.9976857,2.803069,3.2110074,3.833352
"hsa-miR-1301-3p",-3.1167667,-1.1996706,-2.9641812,-3.2474415
"hsa-miR-1301-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1302",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1303",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1304-3p",2.0922377,0.01481765,2.466662,1.5073985
"hsa-miR-1304-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1305",4.308751,4.1123247,4.099058,3.520316
"hsa-miR-1306-3p",-3.1167667,-2.4902973,-2.9641812,-3.2474415
"hsa-miR-1306-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1307-3p",0.26318717,1.4927392,-2.9641812,-1.118604
"hsa-miR-1307-5p",2.9067667,1.8749897,2.563877,1.4181812
"hsa-miR-130a-3p",7.150516,4.842286,-2.9641812,-3.2474415
"hsa-miR-130a-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-130b-3p",5.0851936,2.5504892,2.9359143,2.8561954
"hsa-miR-130b-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-132-3p",2.4821184,-1.3555303,-2.9641812,-3.2474415
"hsa-miR-132-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1321",-3.1167667,-2.412175,-2.9641812,-3.2474415
"hsa-miR-1322",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-1323",-3.1167667,-0.10664335,-2.9641812,-3.2474415
"hsa-miR-1324",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-133a-3p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-133a-5p",-3.1167667,-3.3219173,-2.9641812,-3.2474415
"hsa-miR-133b",-3.1167667,-3.3219173,-2.9641812,-3.2474415
