"","GSM4209596","GSM4209597"
"hsa-miR-149-3p",7.87448,7.47972
"hsa-miR-30b-5p",2.18794,2.5051
"hsa-miR-122-5p",2.34415,2.30951
"hsa-miR-222-3p",2.08932,2.41734
"hsa-miR-211-5p",2.21171,2.26486
"hsa-miR-210-5p",2.13529,1.98921
"hsa-miR-149-5p",2.10657,1.96989
"hsa-miR-28-5p",1.89375,1.99301
"hsa-miR-141-3p",1.86111,2.02383
"hsa-let-7d-3p",2.11918,1.75777
"hsa-miR-128-1-5p",1.87911,1.98879
"hsa-miR-122-3p",1.91078,1.9445
"hsa-miR-103a-2-5p",2.01236,1.83256
"hsa-miR-199a-5p",1.89588,1.94904
"hsa-miR-33a-3p",1.82564,2.01414
"hsa-miR-204-3p",1.88477,1.94195
"hsa-miR-129-1-3p",1.86232,1.96439
"hsa-miR-26b-5p",1.8792,1.9348
"hsa-miR-205-3p",1.93319,1.87911
"hsa-miR-183-3p",1.95002,1.83243
"hsa-miR-126-5p",1.82522,1.9433
"hsa-miR-142-5p",1.81781,1.9507
"hsa-miR-181c-5p",1.76925,1.99044
"hsa-miR-212-3p",1.86164,1.89804
"hsa-miR-208a-5p",1.87197,1.87197
"hsa-miR-186-3p",1.85282,1.89112
"hsa-miR-199b-3p",1.85238,1.8861
"hsa-miR-223-5p",1.86211,1.87637
"hsa-miR-7-1-3p",1.768,1.9565
"hsa-miR-154-5p",1.92266,1.78927
"hsa-miR-197-5p",1.7746,1.93732
"hsa-miR-196a-3p",1.89575,1.78906
"hsa-miR-216a-3p",1.79367,1.87911
"hsa-let-7c-3p",1.81246,1.85944
"hsa-miR-125b-1-3p",1.8168,1.85509
"hsa-miR-214-3p",1.7382,1.93282
"hsa-miR-98-3p",1.76501,1.906
"hsa-miR-218-1-3p",1.77373,1.87147
"hsa-miR-191-3p",1.86898,1.77621
"hsa-miR-185-3p",1.88426,1.75762
"hsa-let-7a-2-3p",1.87911,1.76152
"hsa-miR-211-3p",1.85744,1.78319
"hsa-miR-16-2-3p",1.91446,1.7246
"hsa-miR-133a-5p",1.93086,1.7082
"hsa-miR-132-5p",1.96193,1.67045
"hsa-miR-126-3p",1.93319,1.6943
"hsa-miR-224-3p",1.74775,1.87103
"hsa-miR-214-5p",1.73844,1.87133
"hsa-miR-215-3p",1.98419,1.62272
"hsa-miR-96-3p",1.79367,1.79367
"hsa-miR-23b-5p",1.79502,1.77732
"hsa-miR-221-5p",1.78491,1.78491
"hsa-miR-144-5p",1.70165,1.86817
"hsa-miR-9-3p",1.93579,1.6194
"hsa-miR-95-5p",1.75155,1.78696
"hsa-miR-32-3p",1.712,1.8265
"hsa-miR-25-5p",1.76775,1.76775
"hsa-miR-124-5p",1.64057,1.87276
"hsa-miR-183-5p",1.74963,1.74963
"hsa-miR-9-5p",1.71614,1.76312
"hsa-miR-7-2-3p",1.75496,1.71856
"hsa-miR-222-5p",1.80035,1.66639
"hsa-miR-181b-3p",1.55406,1.87191
"hsa-miR-100-3p",1.64602,1.77891
"hsa-miR-19a-5p",1.67381,1.73666
"hsa-miR-92a-1-5p",1.74332,1.66378
"hsa-miR-134-3p",1.65922,1.7191
"hsa-miR-143-5p",1.65172,1.71297
"hsa-miR-101-3p",1.70583,1.65885
"hsa-miR-212-5p",1.65958,1.67664
"hsa-miR-152-5p",1.72973,1.58301
"hsa-miR-18a-3p",1.63356,1.66408
"hsa-miR-153-5p",1.61913,1.67473
"hsa-miR-129-2-3p",1.64029,1.64029
