"","GSM2983085","GSM2983086","GSM2983087","GSM2983088","GSM2983089","GSM2983090","GSM2983091","GSM2983092","GSM2983093","GSM2983094","GSM2983095"
"hsa-miR-155",0.00298404,0.00086663,0.00136734,0.00092904,0.00701313,0.00084312,0.00076668,0.00357524,0.00167181,0.00169531,0.00171763
"hsa-let-7a",0.01195099,0.02781868,0.04303537,0.01458415,0.11226485,0.00334629,0.024436,0.02826515,0.02677713,0.0268018,0.02780313
"hsa-let-7b",0.0474469,0.10915762,0.08599054,0.05771422,0.43484835,0.01313121,0.09547741,0.05456774,0.10471944,0.1047583,0.10942378
"hsa-let-7c",0.00075221,0.0017246,0.00066702,0.00091719,0.00689995,0.00042124,0.00151805,0.00088673,0.00167671,0.001675,0.0034498
"hsa-let-7d",0.00148812,0.00703058,0.00544608,0.00184288,0.00684966,0.00084234,0.00305912,0.00352446,0.00331409,0.00668838,0.00340669
"hsa-let-7e",0.04770935,0.10988899,0.08515008,0.05929658,0.21718573,0.02718182,0.09662881,0.11359845,0.1082477,0.10774117,0.10832974
"hsa-let-7f",0.00148771,0.00336362,0.00530056,0.00362591,0.01395453,0.00082572,0.00300062,0.00173111,0.00336889,0.01382716,0.00343394
"hsa-let-7g",0.00598352,0.01383006,0.01064467,0.00736604,0.0276053,0.00166813,0.00606883,0.00670205,0.01347227,0.01304906,0.01367739
"hsa-miR-1",2.85e-06,6.65e-06,8.466e-05,2.943e-05,2.626e-05,1.61e-06,9.013e-05,5.622e-05,5.441e-05,0.00010347,0.00010701
"hsa-miR-100",0.09455927,0.22254866,0.17294099,0.23220948,0.21914646,0.05360577,0.09727914,0.22172587,0.20912729,0.21423016,0.22068175
"hsa-miR-101",4.636e-05,0.00010923,8.514e-05,5.789e-05,0.00019214,5.201e-05,0.00019347,0.00010967,0.00011104,0.00041633,0.00010724
"hsa-miR-103",0.000733,0.00345234,0.00546226,0.00364525,0.00348247,0.00083022,0.00150893,0.00346537,0.00329778,0.00663619,0.00343494
"hsa-miR-105",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-106a",0.02438098,0.01375005,0.02173777,0.01486096,0.02779246,0.01351484,0.024685,0.01410893,0.01320157,0.02661605,0.01350658
"hsa-miR-106b",0.00150243,0.00347511,0.00272908,0.00182581,0.000862,0.0008422,0.0007527,0.00177576,0.00165552,0.00338114,0.00170327
"hsa-miR-107",2.85e-06,0.00010795,8.15e-05,3.52e-06,0.00041947,2.586e-05,1.159e-05,5.43e-05,0.00010165,6.4e-06,0.00010466
