"","GSM1328038","GSM1328039","GSM1328040","GSM1328041","GSM1328042","GSM1328043","GSM1328044","GSM1328045","GSM1328046","GSM1328047","GSM1328048","GSM1328049"
"hsa-miR-3960",11.0879,13.1666,13.0976,13.4521,12.1903,13.4787,12.4636,12.9137,12.5256,13.0506,13.2264,12.6682
"hsa-miR-3665",10.7294,12.8254,13.0046,13.0291,11.8677,12.8451,12.2891,12.4977,12.5316,12.9205,13.1327,12.5104
"hsa-miR-4787",9.9806,12.6819,12.6512,12.7283,10.8371,12.6513,11.746,12.1233,11.621,12.5221,12.3506,12.3027
"hsa-miR-16-1",11.1278,10.3581,11.8298,11.2948,12.4974,11.4344,12.7119,11.3676,12.8387,11.3445,12.4768,11.4825
"hsa-miR-17",12.8838,11.7482,12.5101,11.1942,11.9447,10.5689,11.7441,10.9778,11.8468,10.8659,11.4539,10.8826
"hsa-miR-1915",8.99332,12.4432,11.1363,12.1861,10.0911,12.0188,10.6302,11.8115,10.7972,12.2093,11.8876,11.8865
"hsa-miR-106a",12.5726,11.5807,11.736,11.022,11.7593,10.4273,11.4309,10.9356,11.6335,10.7225,11.3509,10.7112
"hsa-miR-4466",9.22982,12.1701,11.0488,12.2012,9.99263,12.074,10.5586,11.8185,10.6842,11.9136,11.7788,11.7863
"hsa-miR-638",9.31679,12.234,11.0314,12.1688,9.77436,11.8796,10.4634,11.7638,10.5784,11.8699,11.5833,11.6618
"hsa-miR-20a",12.1138,11.3794,11.175,10.8151,11.318,10.3495,11.1947,10.7333,11.2296,10.6262,10.9594,10.6556
"hsa-miR-191",11.4591,10.6587,12.0458,10.7097,11.5174,10.2464,11.5544,10.6159,11.8013,10.2362,11.2781,10.1112
"hsa-miR-4497",8.30318,13.1577,9.93654,12.2001,9.534,12.4882,10.3364,12.1528,9.61154,12.1337,10.3594,11.8727
"hsa-miR-1469",8.30921,13.6954,10.1132,12.6314,8.9183,12.27,9.55806,12.4008,9.34373,12.1079,9.79106,11.6624
"hsa-miR-2861",8.61997,11.3172,10.7453,11.7536,9.28183,11.5259,10.0594,11.3625,10.5292,11.6336,11.5627,11.3776
"hsa-miR-23a",10.7388,10.2412,10.6285,10.2641,11.0259,10.9365,10.7991,10.9275,10.9712,10.8659,10.9829,10.9006
"hsa-miR-4488",8.66838,10.9175,10.2769,11.8315,9.60548,11.8298,10.1613,11.5908,9.81884,11.6411,11.2185,11.6979
"hsa-let-7b",10.0654,9.69928,12.0903,10.6852,11.5611,10.4129,11.4708,10.3155,11.7156,9.9719,11.2816,9.91029
"hsa-miR-663",7.4176,13.3971,9.63521,12.5317,8.52624,12.3214,9.18648,12.4985,8.54702,11.8567,9.06286,11.5142
"hsa-miR-4508",8.58771,10.9358,10.2427,11.6657,9.12553,11.6469,9.78483,11.4053,9.46164,11.4515,10.321,11.3715
"hsa-miR-4530",8.13098,12.6038,9.82233,11.7583,8.57935,11.5936,9.12766,11.5279,9.53786,11.7323,10.2971,11.2878
"hsa-miR-92a-1",11.6024,11.341,10.8237,10.4496,10.3162,10.0574,10.4049,10.1013,10.1281,10.1792,10.086,10.2127
"hsa-miR-4516",8.29514,10.7295,10.4437,11.4717,9.01934,11.123,9.74175,10.9815,10.0411,11.1622,11.6676,11.0116
"hsa-miR-3196",8.41856,10.9701,10.1647,11.5653,9.13549,11.6121,9.69998,11.2384,9.50717,11.2614,10.8224,11.2646
"hsa-miR-3656",8.44327,10.5748,9.81634,11.5027,8.87928,11.3069,9.31059,11.1651,9.39763,11.1187,10.4286,11.1587
"hsa-miR-1908",7.60991,11.4171,9.41014,11.553,8.55294,11.6451,9.04828,11.4574,8.76392,11.2271,9.6878,11.1834
"hsa-miR-24-1",10.0535,10.0455,10.4515,9.98402,10.1666,9.9907,10.1249,9.87874,10.4636,9.94886,10.1289,9.82467
"hsa-miR-4687",8.45671,10.0617,9.72461,11.0909,8.60927,11.0279,9.21483,10.5776,9.57046,11.1881,10.2936,10.9585
"hsa-miR-762",7.88534,10.9596,9.62684,11.3218,8.55473,11.1755,8.75867,11.1048,8.71736,10.9639,9.64361,11.05
"hsa-miR-149",7.45023,10.9204,9.29692,11.5233,8.28885,11.2605,8.76451,11.1819,8.88566,11.3026,9.5603,11.046
"hsa-miR-3940",7.98833,10.2834,9.66532,11.2736,8.28916,11.1417,8.77131,10.6557,9.22003,10.9636,10.1721,10.8515
"hsa-let-7a-1",9.17454,7.79103,10.0509,9.00935,10.9349,9.69158,10.9305,9.24803,10.8829,9.11792,10.7575,8.58036
"hsa-miR-19b-1",10.3946,9.46803,9.21516,9.15759,10.2002,9.25609,9.83546,9.62221,9.69069,9.59319,9.75236,9.5514
"hsa-miR-155",6.10923,4.06954,11.4754,10.3752,10.7598,9.63521,11.7449,10.01,10.943,9.51546,11.3083,9.73314
"hsa-miR-103a-1",10.9041,9.72944,10.517,9.20003,9.88412,8.93515,9.98437,8.8716,10.2201,8.87969,9.80695,8.72781
"hsa-miR-4763",7.6005,10.4853,9.36904,10.696,7.92164,10.7293,8.37702,10.4981,8.74784,10.9419,9.40168,10.2766
