"","GSM1275918","GSM1275919","GSM1275920"
"hsa-let-7a-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7a-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7b-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7b-5p",-3.3219073,-0.19429748,-3.0937302
"hsa-let-7c",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7d-3p",-1.8982446,-3.3187973,-3.0937302
"hsa-let-7d-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7e-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7e-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7f-1-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7f-2-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7f-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7g-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7g-5p",-3.3219073,-0.74571157,-3.0937302
"hsa-let-7i-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-let-7i-5p",-3.3219073,-0.100462355,-3.0937302
"hsa-miR-1",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-100-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-100-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-101-3p",-3.3219073,0.42158923,-3.0937302
"hsa-miR-101-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-103a-2-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-103a-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-103b",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-105-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-105-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-106a-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-106b-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-106b-5p",-0.25447276,2.7476027,2.1720765
"hsa-miR-107",-3.3219073,0.243281,-3.0937302
"hsa-miR-10a-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-10a-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-10b-3p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-10b-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1178",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1179",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1180",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1181",0.5731525,0.40183434,-3.0937302
"hsa-miR-1182",-0.06802074,-3.3187973,-3.0937302
"hsa-miR-1183",0.8197283,0.16472523,-3.0937302
"hsa-miR-1184",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1185-1-3p",2.8886755,0.79412156,-3.0937302
"hsa-miR-1185-2-3p",0.3973526,-0.38273478,-3.0937302
"hsa-miR-1185-5p",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1193",-3.3219073,-3.3187973,-3.0937302
"hsa-miR-1197",-3.3219073,-3.3187973,-3.0937302
