"","GSM2094904","GSM2094905","GSM2094906","GSM2094907","GSM2094908","GSM2094909","GSM2094910","GSM2094911"
"hsa-miR-7975",17.3073247187056,17.3554564838229,17.437394047169,14.107922499347,17.030319768143,17.3311832188357,17.0414712121985,17.4514786336955
"hsa-miR-7977",17.4379141689421,17.4131380623365,17.2381355235332,13.3986335192636,15.6620262105206,17.180526823378,15.7375553196281,17.352987588931
"hsa-miR-5100",16.7365853762256,16.7976548480548,16.3412596371046,14.5561491698302,14.6268355364606,12.964217576182,14.6673387747113,11.6071861669796
"hsa-miR-4284",10.6753551942463,10.6249207620507,12.3466291959502,11.929473875697,13.3373434804181,17.4407073929539,14.0489045633085,17.0072539802071
"hsa-miR-1246",15.9546439878988,16.4296764748996,16.7083381291338,15.7325569651363,10.2856494626579,9.08181390030619,10.05191299192,9.37715609875578
"hsa-miR-6089",13.5007296742913,13.2564487276151,15.7132964129611,14.2141590849546,12.5534866784305,16.3897922683473,12.2495994126842,15.5211794109837
"hsa-miR-4443",16.3831243479733,16.1727428925936,15.5779222482668,10.9592194866199,9.45983982062729,8.33264721745507,9.10315604210602,7.76215793164543
"hsa-miR-4459",11.9976883823103,12.1099085550966,13.6710898819698,13.0807288900582,12.3879432069745,13.8488587223895,10.9433876668125,17.1390692294103
"hsa-miR-8069",13.4113172902875,13.1524257636246,15.7970785995782,15.6724629992351,13.1615731970022,13.0222142242439,13.8844896352446,11.328671326756
"hsa-miR-3960",13.1293062779608,12.6829931409859,13.8603457977252,13.97895407116,12.3154786519823,16.0199930322021,11.8156870324056,13.8850488510557
"hsa-miR-6749-5p",12.1351435868169,12.2630515485957,12.0900572844977,11.7784808177487,12.0253541316327,14.9698056708401,11.4191563633468,16.1401587945172
"hsa-miR-6090",12.616869593201,12.2485611907649,13.1082637588786,13.4930491318613,11.4285369872836,15.8369673893086,11.2761467581482,14.509597012721
"hsa-miR-642a-3p",11.9287472814887,11.5215054994148,12.0505991357258,12.5288306931709,11.2704896940477,12.7623813977201,9.53263871216897,16.3391182288019
"hsa-miR-1260a",14.5183831235608,15.1934201367936,13.8252784282777,9.90059222204532,13.0761032738929,11.0928602668093,13.188771016023,9.03396018895508
"hsa-miR-4516",13.3108595991351,12.6156672295342,13.3469012198164,14.2128016443121,11.762109009626,14.3131827575876,11.3572222467901,13.6868372615344
"hsa-miR-4281",12.8599937419743,13.0491115872744,12.9667249470981,13.1862265305597,10.1731587896648,13.9345498324529,10.1481056868863,14.9430179037781
"hsa-miR-5787",12.3242002141767,12.3358903343996,12.6659098965648,13.3283334584427,11.7444336972891,13.8459372670691,9.43941519851269,14.3915596270829
"hsa-miR-6087",12.2359654758956,11.8890190329576,12.9148268437264,13.0637036512057,11.3299493185585,14.2615673443407,11.0091996898533,13.9505715386128
"hsa-miR-7641",13.0285717632876,11.9235914369483,12.5207268850101,13.4183698518664,14.0073615086052,11.4743286990648,12.3073406580964,11.5186502928994
"hsa-miR-1202",11.1904762887106,10.9098438805815,10.9091842847216,11.1474047389981,11.2188464385488,14.5364625801382,10.3560388711256,14.1455950794209
"hsa-miR-1273g-3p",13.6246595857813,13.5942785869582,12.7445097773495,12.5342597495572,12.5613654077409,11.0386285984925,12.6173995431556,10.47132072404
"hsa-miR-4286",13.6791190781837,13.7698817208049,12.2712495568598,9.95753808626017,12.244660771679,11.165851619007,12.2646124757764,11.3898302980833
"hsa-miR-1290",13.9700195456789,11.7582386103331,13.3016148952073,13.6226733603288,7.18592258242223,6.98127622827797,7.76296264772942,7.16124359390718
