"","GSM2551959","GSM2551960","GSM2551961","GSM2551962","GSM2551963","GSM2551964","GSM2551965","GSM2551966","GSM2551967","GSM2551968","GSM2551969","GSM2551970","GSM2551971","GSM2551972","GSM2551973","GSM2551974","GSM2551975","GSM2551976","GSM2551977","GSM2551978","GSM2551979","GSM2551980","GSM2551981","GSM2551982"
"hsa-let-7a-5p",6.17492568250068,5.7076352195453,6.16349873228288,6.19455988602261,6.28466218548316,5.97108365753601,6.45368218587218,6.36071542539293,5.92908083524258,7.03331286794139,6.16872225436066,5.99706654539873,5.64414469993285,6.22187708107703,6.00270252037982,5.81378119121704,5.83491342970104,5.48896481700485,5.95419631038687,5.52794609890826,5.64932804098478,5.64616265715789,7.50945832868699,6.41040894985104
"hsa-let-7b-5p",5.41481206056585,5.13668357769724,4.78188423454149,5.21412480535285,5.14241343787374,3.71808758396052,5.48381577726426,5.22342254993494,7.38982490443897,6.11353381959191,5.55336050333533,5.08236196955747,4.87381319835909,5.09971599916091,6.7440265095317,4.89190518821193,4.29939120612683,4.41616416473313,4.69209237542757,5.10433665981474,4.40599235967584,5.35720008486005,7.98567119375906,5.78450398292957
"hsa-let-7c",6.21819994369474,5.86715516310751,5.49761236561836,5.44095219802964,5.9136075118231,5.46008724011683,5.80503443985454,5.19021976366016,6.09929520433777,5.01836711554312,5.52230689287139,5.65334669272218,5.61235249875266,5.6562103201826,5.42894634476948,5.84071499114108,5.34269695998193,5.26603689399532,5.78711898281334,5.58345891013077,5.13955135239879,5.15137177625395,5.80658184262093,5.24222139509837
"hsa-let-7d-5p",5.08278773170927,4.97773784924282,4.3533232911629,4.71589337054761,4.69821847822441,4.07895134139482,4.78659636189081,4.76606505147495,4.51032901949057,5.06608919045777,4.52230689287139,4.47767732756531,4.64154602908752,4.81966818349646,4.70321146739115,4.83895176695194,2.70043971814109,4.09254574154357,4.33628338786443,4.38266725274504,3.99367436175058,4.51159454153741,5.27314285930808,4.44161626940656
"hsa-let-7e-5p",5.03518399661834,5.08576455377831,4.47248777146274,4.31903981556254,4.30158764660319,3.99638874644762,4.59454854955035,4.52293456094346,3.92314918047231,4.81147103052984,4.69932952567316,4.1243281350022,4.64154602908752,4.40394936423287,3.90977310414164,4.25247621413522,3.71149490665009,3.79181407116183,4.07210580048042,4.10852445677817,4.07124781946144,3.95791459863299,4.11186596386756,3.35191096110308
"hsa-let-7f-5p",5.29902480738432,4.92076967302065,4.78188423454149,4.25247621413522,3.95977015521147,3.37155886261196,4.99503219247754,4.09339115325301,4.57773093149008,4.91886323727459,4.90592847817314,4.65420637794429,4.57712666130705,4.59693514238723,3.8094144442359,4.16992500144231,3.93451650158608,3.54966917072649,2.95977015521147,3.94953493301701,3.00539998774259,3.95791459863299,4.48413813120167,3.99729240763651
"hsa-let-7g-5p",5.77373265060786,5.63865311646611,5.43995551747816,6.15845821621677,5.26453643099903,4.81352468929781,6.74658149978581,5.8703647195834,6.07617425672425,6.43579525437006,5.69932952567316,5.53791724903408,5.67525138605026,5.91934008244201,5.83541884047548,5.64010029789039,5.13298804262744,4.90255600534463,5.87307493222397,4.94438996227009,5.27686882997646,5.35720008486005,7.21538738818826,6.00741978357191
"hsa-let-7i-5p",4.51853513898218,4.17712050284652,4.41413553298445,4.38266725274504,4.05311133645956,3.71808758396052,4.03913839390696,3.86096279785812,4.64212391615349,4.43162295971329,4.64270157183323,4.81147103052984,4.28688114778816,4.09929520433777,4.46205231879643,4.7279204545632,3.44625622988956,2.89336221076387,4.25323293853803,3.56437816856506,3.82476785314329,3.95791459863299,5.38266725274504,4.27947129564447
"hsa-miR-1",5.41481206056585,5.08576455377831,5.07424852334703,5.10475598696226,5.41278152533848,5.15421053058834,5.0703893278914,5.0866139474095,4.57773093149008,5.11186596386756,5.24678809384436,4.76075320806299,4.81915722367497,4.59693514238723,4.75755668893945,4.89190518821193,4.65477921695952,4.55397480823747,5.17072627613155,5.02680005934372,4.62702310555406,4.45285896471381,5.06953032516231,4.78031009904338
"hsa-miR-100-5p",4.93545974780529,5.18586654531133,3.83289001416474,4.44426950241348,4.8094144442359,4.43162295971329,4.87332106291482,3.94204525991605,5.12018602753186,4.75488750216347,4.52230689287139,4.70873904135958,4.50969584193339,4.26002565596146,4.17232749165762,4.78450398292957,2.92599941855622,4.18030701996943,4.75381844317354,4.44360665147561,3.82476785314329,4.11769504266975,4.34624777408278,4.44161626940656
