"","GSM3678191","GSM3678192","GSM3678193","GSM3678194","GSM3678195","GSM3678196","GSM3678197","GSM3678198","GSM3678199","GSM3678200","GSM3678201","GSM3678202","GSM3678203","GSM3678204","GSM3678205","GSM3678206","GSM3678207","GSM3678208","GSM3678209","GSM3678210","GSM3678211","GSM3678212","GSM3678213","GSM3678214","GSM3678215","GSM3678216","GSM3678217","GSM3678218","GSM3678219","GSM3678220"
"hsa-let-7a-5p",4.90689059560852,2.8073549220576,3.4594316186373,1.58496250072116,3.8073549220576,3.32192809488736,3.8073549220576,2.32192809488736,3.4594316186373,2.32192809488736,6.68650052718322,6.97727992349992,3.70043971814109,3.32192809488736,3.8073549220576,4,2.32192809488736,3.8073549220576,2.32192809488736,3.32192809488736,2,2.32192809488736,1.58496250072116,2,1.58496250072116,1,2,2,1.58496250072116,2.32192809488736
"hsa-let-7b-5p",3.4594316186373,3.4594316186373,1.58496250072116,2.32192809488736,3.58496250072116,3,3.8073549220576,2.8073549220576,3.58496250072116,2.32192809488736,3,8.37503943134693,4,3.58496250072116,3.8073549220576,4.16992500144231,2.32192809488736,4.16992500144231,3,3.58496250072116,2,2.32192809488736,2,2,1.58496250072116,1.58496250072116,2.32192809488736,2.32192809488736,1.58496250072116,2.32192809488736
"hsa-let-7c-5p",2.8073549220576,3.4594316186373,3.32192809488736,2,2.58496250072116,4.75488750216347,3.32192809488736,2.58496250072116,3.32192809488736,3.4594316186373,3.58496250072116,4.70043971814109,3.58496250072116,3,3.4594316186373,3.90689059560852,2,3.8073549220576,2.8073549220576,3,1.58496250072116,2.32192809488736,1.58496250072116,2,1,1,2,2,1.58496250072116,2.32192809488736
"hsa-let-7d-5p",2.32192809488736,4.32192809488736,1.58496250072116,2,3.8073549220576,3.8073549220576,3.16992500144231,2.58496250072116,3.16992500144231,3.4594316186373,1.58496250072116,6.16992500144231,3.32192809488736,2.32192809488736,3.70043971814109,3.70043971814109,4.24792751344359,3.8073549220576,2.32192809488736,3.32192809488736,2,2,1.58496250072116,1.58496250072116,1,1,1.58496250072116,1.58496250072116,1,2
"hsa-let-7e-5p",3.4594316186373,2.8073549220576,3.8073549220576,3.16992500144231,5.35755200461808,5.58496250072116,4.58496250072116,3.16992500144231,2.8073549220576,2.8073549220576,2,3.90689059560852,3.8073549220576,6.59991284218713,7.97154355395077,1,3.16992500144231,1,6.10852445677817,3.32192809488736,1,1,1,1,1,1,1,1,2,1
"hsa-let-7f-5p",6.62935662007961,6.97727992349992,8.39660478118186,8.71080643369935,6.90689059560852,2.58496250072116,3,3.4594316186373,1,2.32192809488736,4.4594316186373,1.58496250072116,2.32192809488736,4.24792751344359,1,2,2.32192809488736,1.58496250072116,4.16992500144231,1.58496250072116,1,1,2,1,7.13955135239879,1.58496250072116,1,4.24792751344359,1,1
"hsa-miR-15a-5p",6.24792751344359,4.70043971814109,1.58496250072116,2,2.32192809488736,3.8073549220576,3.8073549220576,3,4,3.4594316186373,4.70043971814109,7.90086680798075,4,3.16992500144231,3.8073549220576,4.24792751344359,2,4.08746284125034,2.32192809488736,3.8073549220576,2.58496250072116,3,2,2.58496250072116,1.58496250072116,2,2.32192809488736,2.32192809488736,1.58496250072116,2.58496250072116
"hsa-miR-16-5p",4.58496250072116,2.8073549220576,4.16992500144231,4.4594316186373,4.64385618977472,4.85798099512757,7.11894107272351,5.24792751344359,7.11894107272351,5.08746284125034,3.8073549220576,4.32192809488736,7.05528243550119,6.24792751344359,6.70043971814109,6.82017896241519,4.75488750216347,6.93073733756289,5.28540221886225,6.85798099512757,4.95419631038687,5.32192809488736,4.4594316186373,4.58496250072116,3.70043971814109,4.32192809488736,4.95419631038687,4.75488750216347,4.16992500144231,5.12928301694497
"hsa-miR-17-5p",2.32192809488736,2.8073549220576,1.58496250072116,1.58496250072116,3.32192809488736,2.58496250072116,4.4594316186373,1,4.24792751344359,2.58496250072116,3.58496250072116,1.58496250072116,4,3.32192809488736,3.70043971814109,3.90689059560852,2.32192809488736,3.70043971814109,2.32192809488736,4.39231742277876,3,3.16992500144231,2.32192809488736,2.8073549220576,2.58496250072116,2,2.8073549220576,2.8073549220576,2,3
"hsa-miR-17-3p",5.24792751344359,4.24792751344359,6.93073733756289,1,5.08746284125034,2.58496250072116,6.90689059560852,2,1,2,6.2667865406949,2,4.24792751344359,3.4594316186373,1.58496250072116,4.39231742277876,3.32192809488736,1,5.04439411935845,2,1,1,1.58496250072116,1,1,1,0,1,1,1
