"","GSM2940329","GSM2940330","GSM2940331","GSM2940332","GSM2940333","GSM2940334","GSM2940335","GSM2940336","GSM2940337","GSM2940338","GSM2940339","GSM2940340"
"hsa-miR-125b-2-5p",10.0430706595175,10.6949946986924,10.7208443638667,9.34093223796996,11.4746432758424,11.7735532757897,6.94069899266486,7.99454097898428,8.61784205563425,9.40525308043169,9.09852305752174,9.17737861744464
"hsa-miR-424-5p",6.97078810016522,6.69983785838792,5.62966218462758,6.99252810506381,6.43285891605924,5.09546865971101,5.06574820902811,4.66099836783625,5.11915031143535,4.50464576708886,3.49639344857494,3.4952663396534
"hsa-miR-31-3p",4.73437506746453,3.95428312636994,4.16512161267781,5.74526855387502,3.4630107824785,4.11298910147597,0,1.95295937908953,1.97644461979664,2.41686131544574,2.95587393095144,2.97289451426893
"hsa-miR-26b-5p",8.36800399530198,8.84988862411332,9.83701941215633,8.96892889641911,9.87056322338438,9.38052762926444,6.62170391385754,8.01809010185157,8.09015441656744,8.47932171278196,8.82608495436005,8.9104919868188
"hsa-miR-197-3p",5.89620687713801,5.95195880795203,5.2317152469516,4.46312963976213,6.10021172901248,5.81545578062773,4.10819336000242,3.56364885618124,3.29361513300218,5.47251371796976,4.77864638262841,4.91995379574374
"hsa-miR-148a-3p",14.2186439632534,13.5099667460898,14.4193291352312,14.7845288441639,13.1757031526806,12.6024727679433,14.1009163970092,14.0312228081762,14.8689499320839,9.88742993259124,12.8363796017768,12.2450714557092
"hsa-miR-93-3p",9.45126877932254,7.48088248458985,7.62462706789856,9.21879355886965,7.07242556708716,7.75003106721017,0,0.527867836301555,0,2.41686131544574,2.35450418157733,1.52028715967937
"hsa-miR-576-3p",3.0565253898794,4.08330069589458,3.18349935780228,4.77191622859445,3.95937998047049,3.36684897253077,4.10819336000242,3.85547169872583,4.3276109029051,2.41686131544574,3.60491011609941,3.53456730766527
"hsa-miR-149-5p",5.70701817563925,4.36290881787255,4.76448745186036,6.22299047202407,5.85622185812634,5.34319923793505,0,2.43775182921022,2.78040287101157,3.80943909538221,4.0509479905937,4.79605605149983
"hsa-miR-320d-1-3p",5.23259643302815,5.00795816202033,4.74390580424636,3.52709939060763,4.97294225449107,4.96707011025453,3.18951160651937,4.7465875107787,4.69762803005668,6.13834917161189,5.27110442067583,5.45861403568269
"hsa-miR-339-5p",5.48922141272176,6.99047972491855,5.90461870927874,6.1175601805307,6.29107730766701,6.01049033343998,3.18951160651937,3.74096100412702,3.29361513300218,5.60706034560088,4.5075665355687,5.10103025595183
