"","GSM5392914","GSM5392915","GSM5392916","GSM5392917","GSM5392918","GSM5392919","GSM5392920","GSM5392921","GSM5392922","GSM5392923","GSM5392924","GSM5392925","GSM5392926","GSM5392927","GSM5392928","GSM5392929","GSM5392930","GSM5392931","GSM5392932","GSM5392933","GSM5392934"
"hsa-miR-584-5p",11.7135288647087,10.0505119576754,12.9752727816156,10.3357168581444,10.9956159291539,10.5239155837183,10.709853739917,11.286795070044,11.9333196144518,11.3744747094205,10.9892753026215,12.0291893084852,11.694106662714,11.5960636532154,11.8796190860494,10.6365492341333,11.5749648354042,12.3114405593594,11.1732732850556,10.9462423935803,10.3230716401127
"hsa-mir-584",11.7135288647087,10.0505119576754,12.9752727816156,10.3357168581444,10.9956159291539,10.5239155837183,10.709853739917,11.286795070044,11.9333196144518,11.3744747094205,10.9892753026215,12.0291893084852,11.694106662714,11.5960636532154,11.8796190860494,10.6365492341333,11.5749648354042,12.3114405593594,11.1732732850556,10.9462423935803,10.3230716401127
"hsa-let-7d-3p",10.0450100555271,9.87012108777894,10.186908733944,11.0739043581541,11.379637858793,11.7552563937805,10.8890317042814,11.0005452659619,11.63420113808,11.2613084568624,10.9016198144445,10.9502832070183,10.9945972748528,10.6741427459497,10.5624245195818,10.430281126311,10.7661242496025,10.6637849186065,10.5448775256602,11.0639690174903,10.3958120475876
"hsa-miR-484",10.6124486690727,11.5943473882482,10.766183046021,10.909835475297,11.8368142571099,11.4611308961066,10.6924050184917,11.0340764384405,11.1265310996475,11.7873043138356,11.8094245567968,11.7505278531694,11.7809928752012,11.5478390011137,11.8737556625508,11.5989744678539,11.8730560253428,11.5306145710515,11.5490522556256,10.9611631079197,10.44529605085
"hsa-mir-484",10.6124486690727,11.595857180335,10.766183046021,10.909835475297,11.8368142571099,11.4611308961066,10.6924050184917,11.0340764384405,11.1265310996475,11.7873043138356,11.8094245567968,11.7505278531694,11.7809928752012,11.5478390011137,11.8737556625508,11.5989744678539,11.8730560253428,11.5306145710515,11.5490522556256,10.9611631079197,10.44529605085
"hsa-miR-130a-3p",10.4230337593025,9.86762342309688,11.1327852322534,10.4748249086573,10.5322455719452,9.98372657833058,10.0717459543145,9.93368535163682,10.88416463229,10.5601162292992,10.9216273161295,10.8505199968627,11.1672927068264,10.6182245547759,11.2055305609235,10.2199341632099,9.76879166186853,10.6943237479687,10.9828091509837,10.1997340052371,10.6510191440423
"hsa-mir-130a",10.4230337593025,9.86762342309688,11.1327852322534,10.4748249086573,10.5322455719452,9.98372657833058,10.0717459543145,9.93368535163682,10.88416463229,10.5601162292992,10.9216273161295,10.8505199968627,11.1672927068264,10.6182245547759,11.2055305609235,10.2199341632099,9.76879166186853,10.6943237479687,10.9828091509837,10.1997340052371,10.6510191440423
"hsa-miR-16-2-3p",11.5346843032656,12.0610148357194,10.911717983609,12.431749842292,12.7123535317258,12.7195333275085,11.9169725975658,11.9688640491787,12.2402556506702,12.6915730584765,12.8422882209323,12.7662484616348,12.9365962888628,12.2629848396374,12.6835127057699,12.2602142537975,12.9205906878722,12.3968157382348,12.4064737060011,12.6506205229199,10.692594546288
"hsa-miR-144-3p",11.9461982680878,13.7657130790672,11.119428704261,12.4194987681068,12.6817162932276,12.1562924093013,11.7887414368302,12.0563193185025,11.7741254083441,12.5785255924202,12.9329466131368,12.8573893432072,12.835146409344,11.8261561849575,12.4093883673957,12.4479213794427,12.958553705018,12.6475952619287,12.2419798792046,12.5579643129599,10.7018787127969
"hsa-miR-222-3p",10.7183056983577,10.5989606876903,12.4320817218561,10.2782597836262,10.418263728768,10.1760616270891,11.0113469088741,10.7763844644584,10.7510493583378,10.9029218254705,10.7778832506654,10.7812441875531,10.3557640082345,10.9696296169208,10.6217218348019,10.3846999353856,10.5392593105143,10.8708519545592,11.2529205457808,10.4945631716637,10.8019734922021
"hsa-mir-222",10.7183056983577,10.5989606876903,12.4320817218561,10.2782597836262,10.418263728768,10.1760616270891,11.0113469088741,10.7763844644584,10.7510493583378,10.9029218254705,10.7778832506654,10.7812441875531,10.3557640082345,10.9696296169208,10.6217218348019,10.3846999353856,10.5392593105143,10.8708519545592,11.2529205457808,10.4945631716637,10.8174316768248
"hsa-mir-144",12.0190581508565,13.8332721719412,11.2489628254732,12.5411885917304,12.7370061694641,12.2395039422144,11.9008571244614,12.125977415906,11.8399255940751,12.652103507865,12.9946914675549,12.9124241269605,12.8818891430186,11.9048424165003,12.4771658810933,12.4936015691037,12.9799483891306,12.6575931755363,12.3500181319524,12.6133247269702,10.8561994622342
