"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-let-7a-5p",8.4201,8.2915,9.6684,-3.3219,6.9337,10.1246,10.1327,8.3266,7.5362,7.3787,8.4826,7.371,9.5066,6.629,8.011,4.4645,4.9995,5.461,4.068,3.7238,9.1267,3.8338,10.23,8.0802,7.8866,7.9248,8.6284,7.6216,9.2247,8.1515,6.5953,8.0267
"hsa-let-7b-3p",0.8921,2.6109,-3.3219,3.4204,2.8195,-3.3219,2.4348,1.7447,-3.3219,1.8462,0.6295,-3.3219,-3.3219,-3.3219,0.6219,-3.3219,-3.3219,2.2926,-3.3219,1.5367,0.6117,-3.3219,0.2809,0.697,0.4078,2.4954,1.3691,0.4696,-3.3219,2.0887,2.549,-3.3219
"hsa-let-7b-5p",8.4386,8.2354,9.9634,3.1311,5.0707,9.8703,9.9278,5.0455,7.6784,6.8196,8.0925,5.9063,6.5748,4.367,6.5774,5.3443,7.2252,7.3988,6.1786,3.2085,7.0922,6.71,10.0132,4.2649,7.4777,7.4495,7.8158,5.7624,6.5808,6.2311,6.0112,6.0965
"hsa-let-7c",7.2205,6.9233,8.7967,-3.3219,4.2245,8.5747,8.5411,4.3956,5.8419,5.0035,6.8083,3.6554,5.05,4.2324,7.203,4.3401,5.2615,5.4085,4.0806,-3.3219,6.0665,4.5145,8.2837,3.5809,6.1273,5.9267,6.6264,4.2335,5.2359,5.8847,5.3861,6.4336
"hsa-let-7d-3p",-3.3219,2.0914,-3.3219,-3.3219,-3.3219,-3.3219,1.8126,0.6274,-3.3219,-3.3219,-3.3219,-3.3219,3.1064,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-let-7d-5p",5.4516,5.4087,7.3038,-3.3219,3.9382,7.312,7.3932,6.8491,5.1386,5.8291,6.5597,5.6984,7.7495,2.5437,6.4111,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,5.8471,-3.3219,7.1526,6.7488,5.6788,6.1818,6.5398,5.8498,7.3338,4.7148,4.6028,4.613
"hsa-let-7e-5p",5.5585,4.968,6.6893,-3.3219,1.8153,6.8801,6.6675,8.5743,4.6818,4.0963,5.1939,5.4086,8.6062,3.9335,5.3245,-3.3219,1.6939,1.8975,-3.3219,4.1572,4.2936,-3.3219,7.3966,8.04,4.919,4.306,5.4473,5.4661,8.3287,5.4732,4.293,5.7754
"hsa-let-7f-1-3p",-3.3219,-3.3219,0.7593,3.3764,3.05,-3.3219,2.3047,2.3149,-3.3219,1.7053,-3.3219,-3.3219,-3.3219,0.4361,-3.3219,-3.3219,-3.3219,1.9226,1.7704,1.4454,1.61,-3.3219,1.4579,1.6035,1.695,2.4535,2.0559,-3.3219,-3.3219,2.5509,2.4677,2.0265
"hsa-let-7f-5p",7.7576,7.7539,9.3077,-3.3219,6.3119,9.7075,9.6922,8.4176,7.0051,7.1098,8.2464,7.5006,9.476,5.5317,7.8162,2.6886,4.0214,4.3938,2.8017,2.2935,8.2256,2.4396,9.5618,8.2845,7.7033,7.907,8.5733,8.0247,9.2645,7.1868,6.3072,7.1909
"hsa-let-7g-5p",5.1985,5.8411,8.3319,-3.3219,4.6224,6.9249,7.1678,6.212,6.1348,5.3054,6.9471,6.8713,6.7141,3.2257,6.829,1.7734,-3.3219,-3.3219,-3.3219,-3.3219,6.1215,-3.3219,6.9342,6.022,6.7063,5.8511,6.5035,7.0358,6.6118,4.6643,4.6895,5.197
"hsa-let-7i-3p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.5917,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.443,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-let-7i-5p",6.1585,7.4836,8.838,-3.3219,6.1097,7.7923,9.2025,7.3439,6.6606,6.0321,8.1207,7.4811,7.283,3.1356,6.7662,3.1209,3.9532,5.3495,3.4388,-3.3219,7.749,2.1396,9.1774,7.0531,7.3696,6.4139,7.8359,7.3078,7.1724,4.1087,4.9938,4.0353
"hsa-miR-100-3p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.0536,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-100-5p",7.2257,7.8908,7.0975,-3.3219,7.2267,5.5381,8.0413,2.4634,-3.3219,-3.3219,5.9238,-3.3219,9.1597,4.4454,5.4374,-3.3219,4.9169,5.8846,3.0931,2.8463,8.9955,-3.3219,6.8996,-3.3219,-3.3219,-3.3219,5.4381,-3.3219,7.8678,5.5112,2.4052,3.5055
"hsa-miR-101-3p",-3.3219,-3.3219,3.8932,-3.3219,-3.3219,3.4569,4.041,3.3933,-3.3219,-3.3219,-3.3219,2.1804,2.2728,-3.3219,4.4626,-3.3219,-3.3219,-3.3219,-3.3219,1.4587,2.9512,-3.3219,1.806,-3.3219,-3.3219,-3.3219,1.6363,3.7022,3.4246,3.5515,3.6626,2.8884
"hsa-miR-103a-3p",5.4161,5.1347,7.0572,3.9035,4.7118,7.0672,8.543,8.6592,6.2654,5.9907,5.8137,6.5584,7.6739,6.1656,7.7558,3.1608,3.1936,3.7129,1.9044,7.1401,7.1169,-3.3219,8.5472,8.0704,7.0279,6.3039,6.303,7.2082,7.6541,7.8715,6.4421,7.2511
"hsa-miR-106b-3p",-3.3219,-3.3219,1.7786,-3.3219,-3.3219,-3.3219,-3.3219,2.2549,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.5525,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-106b-5p",4.309,4.7042,8.0292,3.5501,4.1632,7.0641,6.4604,8.5162,5.6092,5.9607,6.5735,5.3858,7.3179,5.9352,7.6241,1.7217,3.5743,3.8658,3.4933,6.5782,5.8148,3.6068,5.3932,7.307,6.2099,6.3143,6.5277,5.1814,6.5757,7.0543,6.1094,6.1688
"hsa-miR-107",5.0125,5.1272,7.0064,3.5082,4.5013,6.8021,7.8881,7.8972,5.7316,5.5034,6.1807,5.9678,6.9901,5.5483,7.1518,2.4104,-3.3219,1.9513,-3.3219,6.2314,6.2653,-3.3219,7.436,6.9748,6.312,5.6874,6.1334,6.2054,6.8037,6.8611,5.4651,6.4005
"hsa-miR-10a-3p",-3.3219,-3.3219,0.6,2.5723,-3.3219,-3.3219,2.1333,-3.3219,-3.3219,-3.3219,-3.3219,1.8584,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.7952,-3.3219,-3.3219,-3.3219,-3.3219,3.0458,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-10a-5p",5.4096,4.3079,8.1236,1.8927,2.612,2.7332,8.8378,6.2461,1.9693,5.0488,5.5888,9.1354,3.0368,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.7842,3.9283,5.0235,-3.3219,7.6207,4.865,-3.3219,4.9474,4.8703,8.1966,2.1032,1.8317,-3.3219,2.8471
"hsa-miR-10b-3p",-3.3219,-3.3219,-3.3219,7.0639,4.606,-3.3219,-3.3219,-3.3219,-3.3219,2.7831,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-10b-5p",5.5025,5.0765,7.1169,-3.3219,-3.3219,4.5305,7.6862,6.3357,4.301,2.1348,4.0442,7.1128,4.7471,5.1715,3.5367,-3.3219,-3.3219,-3.3219,-3.3219,3.1681,3.762,-3.3219,6.3612,4.3982,3.1603,2.1784,3.4588,6.2864,3.4725,6.1716,-3.3219,-3.3219
"hsa-miR-1180",3.1507,4.9782,3.1944,4.0276,-3.3219,5.0006,-3.3219,3.3177,4.797,3.8557,3.1045,3.1721,-3.3219,-3.3219,4.4962,4.4099,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.8729,-3.3219
"hsa-miR-1181",4.2377,5.6248,8.1263,9.3663,8.7095,-3.3219,3.9844,4.1724,7.5156,8.1193,5.0633,1.7377,-3.3219,-3.3219,1.853,3.2758,5.6974,6.385,6.9271,-3.3219,-3.3219,6.5254,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.6391,-3.3219
"hsa-miR-1182",-3.3219,-3.3219,3.5123,4.5483,3.6351,2.5184,2.2086,2.0071,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.7442,3.5134,-3.3219,-3.3219,3.3497,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1183",3.0894,4.4391,4.1211,6.2972,-3.3219,-3.3219,2.6504,3.1894,2.1656,4.5767,-3.3219,3.2177,4.9448,3.3097,5.2664,4.6296,-3.3219,3.1253,3.6275,-3.3219,-3.3219,3.4037,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1185-1-3p",5.3153,5.9464,5.2676,8.0954,6.701,4.8335,5.1889,5.7301,3.9694,4.9609,4.4193,1.636,2.4047,3.0852,4.0031,3.1176,3.0962,3.5512,4.154,-3.3219,-3.3219,4.0739,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1185-2-3p",2.8173,3.3895,3.7504,7.0556,5.3815,2.9248,3.6369,3.9957,-3.3219,3.3203,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.1021,-3.3219,-3.3219,2.97,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1202",8.4255,8.6705,9.1598,12.787,10.9374,8.025,8.6917,9.6304,9.2244,9.9733,8.4146,7.5885,7.6871,7.1123,8.178,8.0153,8.5318,9.8239,10.3816,6.1321,5.8109,9.1596,6.0861,6.2804,5.5816,6.2469,6.0536,6.3834,6.3844,5.8771,6.7312,5.3667
"hsa-miR-1207-5p",7.7848,8.5223,9.2899,13.6126,11.9655,8.1181,8.1496,9.4003,8.5644,9.967,8.7523,5.8443,6.7925,6.0061,7.6843,8.3077,6.2149,7.8224,8.2297,3.8257,4.0435,7.3392,3.1619,3.7524,3.2136,3.9479,3.5034,3.8339,3.6552,3.529,4.7311,3.226
"hsa-miR-1208",-3.3219,-3.3219,-3.3219,4.9546,3.0841,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-122-5p",-3.3219,3.7853,-3.3219,-3.3219,-3.3219,4.0809,-3.3219,6.8993,3.8087,-3.3219,-3.3219,1.4039,-3.3219,-3.3219,3.25,3.3506,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,5.8849,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1224-5p",5.914,7.0493,6.4578,10.3116,7.2638,3.8535,4.6463,5.9105,6.1493,7.4832,4.9404,3.4015,4.0714,4.0598,4.6222,4.7662,4.1259,4.5955,5.4731,-3.3219,-3.3219,5.3698,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.8965,-3.3219
"hsa-miR-1225-3p",3.3993,3.608,3.8054,6.1685,4.2594,2.0953,3.491,3.2158,3.7601,4.6978,3.212,2.6432,-3.3219,2.4593,2.8759,2.3477,1.6674,3.1591,3.2276,1.5807,1.5417,2.9662,-3.3219,-3.3219,1.5392,2.5784,1.4809,-3.3219,-3.3219,-3.3219,2.4282,-3.3219
"hsa-miR-1225-5p",7.5205,8.5894,9.4695,13.1037,11.3316,8.1355,8.4865,9.4409,9.4665,10.9954,8.3879,6.2461,6.444,6.128,7.7707,8.1222,8.1512,9.0207,9.47,5.0072,5.0556,8.7029,4.1816,4.8785,4.5803,4.9508,4.8426,4.7937,4.824,4.815,6.1711,4.3135
"hsa-miR-1226-5p",-3.3219,2.267,3.8273,7.5926,4.4546,-3.3219,-3.3219,1.8373,3.4452,4.3379,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.5904,-3.3219,-3.3219,3.485,-3.3219,-3.3219,2.5211,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1227-5p",7.1527,9.6579,10.2532,12.8858,10.7812,5.5623,4.8964,6.8931,9.0786,11.8128,7.8698,4.1888,4.5299,3.8765,5.4536,7.7143,4.8202,6.2973,6.6375,-3.3219,-3.3219,5.5619,-3.3219,-3.3219,-3.3219,2.3548,-3.3219,-3.3219,1.8743,-3.3219,3.2541,-3.3219
"hsa-miR-1228-3p",4.349,4.5801,5.0757,7.7847,5.8472,4.1046,4.6342,4.8456,5.1036,5.8661,4.3294,3.8217,4.0063,3.4336,4.2001,4.4037,4.3024,5.0407,5.5686,3.5518,3.6533,4.9961,3.4396,3.4499,3.5428,3.5975,3.4998,3.5549,3.2086,3.6037,3.742,3.3709
"hsa-miR-1228-5p",3.2265,5.0014,1.1904,2.5657,-3.3219,4.9175,-3.3219,2.3644,4.8602,-3.3219,3.0634,2.9834,-3.3219,-3.3219,4.0188,4.3982,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1229-3p",-3.3219,1.8179,2.4219,6.4054,3.1093,-3.3219,-3.3219,-3.3219,-3.3219,3.411,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.4397,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1229-5p",7.6527,8.6002,9.067,11.3812,9.5753,8.5841,9.3069,9.3738,8.4844,9.7314,8.2095,5.9625,6.4419,5.003,7.924,7.0908,5.4816,6.8391,7.2073,2.6943,2.7719,6.4652,-3.3219,1.4331,-3.3219,2.4638,1.4817,2.8949,1.6856,-3.3219,4.1237,-3.3219
"hsa-miR-1233-1-5p",5.1231,5.1519,5.3779,7.762,4.2577,5.0144,4.9611,5.2856,4.5973,5.636,4.0391,4.2346,3.7166,2.9127,4.3468,3.8546,3.2147,3.7459,4.0994,1.9984,-3.3219,4.1189,3.1181,3.1903,-3.3219,3.0643,3.1408,2.7956,-3.3219,-3.3219,2.7314,1.4271
"hsa-miR-1234-3p",3.9728,4.0646,4.4448,7.0104,5.8494,3.6304,3.8631,3.9279,4.5875,4.9686,3.9481,3.0688,3.2481,3.0151,3.6571,4.0356,3.7953,4.4102,4.8363,3.2047,3.2243,4.3722,2.9269,3.1066,3.2881,3.2712,3.1589,3.2462,2.0644,3.3057,3.4248,3.0207
"hsa-miR-1234-5p",9.8462,10.6922,11.3817,13.9053,11.7845,10.0161,10.5421,10.9423,11.3644,12.3239,10.0433,8.3669,8.1871,7.8139,9.724,10.2872,7.9874,9.0687,9.6911,5.0561,5.6035,8.845,4.4384,5.317,4.6456,5.1834,4.8848,4.9283,4.8727,4.8555,6.1405,4.4168
"hsa-miR-1236-3p",-3.3219,-3.3219,-3.3219,1.8688,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1236-5p",4.8815,5.7521,6.4935,6.1634,5.5895,3.7857,4.3857,3.7909,6.2382,5.7668,4.6896,2.4855,-3.3219,4.671,2.87,5.507,3.3682,3.8868,4.8396,-3.3219,-3.3219,4.4321,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1237-3p",-3.3219,2.1725,2.9548,5.2433,3.5437,-3.3219,3.1727,2.7845,1.9802,3.5404,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.8239,2.8738,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1237-5p",-3.3219,-3.3219,-3.3219,4.5262,2.8368,-3.3219,-3.3219,-3.3219,2.1569,3.8135,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1238-3p",3.1493,3.3536,3.3572,5.2551,3.9359,2.1277,3.2717,3.2364,3.4385,3.8208,3.0325,2.6938,2.0675,2.5047,2.9808,2.9608,2.9751,3.3612,3.603,2.8703,2.8699,3.2116,2.7703,2.7529,2.9936,3.0592,2.755,2.8947,1.5773,2.9448,3.0281,2.826
"hsa-miR-1238-5p",4.088,5.5181,3.8191,4.1971,-3.3219,5.6551,1.9302,3.8906,5.4623,3.1136,3.929,4.1358,-3.3219,-3.3219,4.8048,5.13,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1243",-3.3219,-3.3219,-3.3219,3.5146,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1246",9.8446,10.6893,12.4886,14.0131,10.1761,8.5473,9.6572,9.6072,9.4839,10.5429,11.0019,10.4356,9.5548,10.1597,10.5557,10.214,6.5738,6.1782,6.8625,5.4971,5.3659,6.4548,3.6265,7.1481,4.0468,4.7107,4.6119,5.4258,4.2638,4.7902,5.4558,4.7716
"hsa-miR-1247-3p",-3.3219,-3.3219,1.6895,5.1063,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.2422,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.9669,1.719,4.016,-3.3219,-3.3219,4.189,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1249",4.7773,5.1799,5.8978,8.8325,6.7005,4.5711,5.4393,5.6741,5.8267,6.7644,4.755,4.2059,4.6924,4.0564,4.7521,5.0883,4.9964,5.8005,6.5243,2.9932,3.0191,5.8481,2.9022,3.1118,2.885,3.0932,3.1184,2.8796,2.9605,2.9869,3.6432,2.6082
"hsa-miR-1250",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.7062,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1254",-3.3219,3.0401,4.2118,6.3577,4.2062,-3.3219,-3.3219,3.0371,3.8007,4.4347,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-125a-3p",5.701,5.9724,6.7075,8.896,6.3416,3.8129,5.1396,5.4438,5.8042,6.5329,4.7896,4.7662,4.2158,3.915,5.2119,6.1778,4.6091,4.8185,5.5161,2.069,-3.3219,5.146,1.7888,2.3046,-3.3219,-3.3219,-3.3219,-3.3219,2.993,-3.3219,2.3858,-3.3219
"hsa-miR-125a-5p",5.6738,5.3394,6.37,2.8761,-3.3219,6.7309,7.0039,8.0804,3.7338,3.8529,3.2745,5.0162,8.1004,3.47,5.3024,2.0201,3.094,3.3781,-3.3219,5.626,3.9459,-3.3219,6.7032,6.9436,3.9798,3.6398,4.5301,4.5633,7.317,4.8258,3.8238,5.4051
"hsa-miR-125b-2-3p",-3.3219,-3.3219,3.0522,3.6109,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.9341,-3.3219,-3.3219,-3.3219,-3.3219,3.2685,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-125b-5p",8.7012,9.2275,8.623,3.7079,6.8411,5.3151,7.8364,4.0972,1.9492,-3.3219,7.2572,-3.3219,8.4257,5.4472,7.4577,3.4913,6.1316,6.9321,2.9011,5.5824,8.7677,-3.3219,6.987,2.0589,1.9549,-3.3219,7.1231,-3.3219,7.7245,6.7805,5.0303,6.2587
"hsa-miR-126-3p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.3117,4.1789,7.6814,-3.3219,1.7597,2.439,-3.3219,3.8088,2.3835,4.1658,-3.3219,-3.3219,-3.3219,-3.3219,2.1153,-3.3219,-3.3219,1.8253,6.8699,-3.3219,-3.3219,1.7477,-3.3219,2.2648,1.5773,1.4099,1.5821
"hsa-miR-126-5p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,4.0666,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.8847,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1260a",13.5364,11.6437,6.1866,3.5529,6.6978,13.1301,13.1322,13.1081,9.1812,7.9893,8.2664,12.0758,12.9711,11.2486,12.0974,6.0195,8.4321,8.4771,7.5949,9.5985,9.5478,8.3247,10.4001,10.3871,9.9941,9.9748,10.178,9.5838,9.4691,9.4444,9.2956,8.9667
"hsa-miR-1260b",12.0779,11.0629,6.6301,5.3247,7.3321,12.0931,11.9943,12.1584,9.4858,9.3417,7.9113,10.9031,11.4754,9.7998,11.6661,5.4921,8.8169,9.0949,8.3759,9.8532,9.6274,9.4666,10.6281,10.8796,10.4446,10.7047,9.7563,10.1613,9.592,9.5481,10.4786,8.7962
"hsa-miR-1261",-3.3219,-3.3219,-3.3219,4.3217,2.9741,2.1083,-3.3219,-3.3219,2.3337,-3.3219,1.7907,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1267",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.3652,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1268a",7.7535,9.0541,11.4291,13.0359,8.1882,5.9205,7.6752,6.8471,8.0485,8.6916,8.7594,8.2752,6.9992,8.8794,6.9605,9.6618,5.3325,6.0461,6.8308,4.3515,4.4599,6.5008,3.3557,4.0951,3.5668,4.0397,4.1437,3.769,3.713,3.7668,4.8181,3.6851
"hsa-miR-1268b",7.3426,8.4569,8.2201,11.3147,9.0271,6.4458,5.7628,7.9883,9.1112,9.8383,7.7711,5.1377,5.5721,5.4977,6.1175,7.0502,5.6648,6.335,7.3428,4.2393,4.0954,6.7292,3.0913,4.04,3.1904,4.06,4.3126,3.7922,3.4858,3.8432,5.1907,3.091
"hsa-miR-127-3p",3.441,4.4019,-3.3219,-3.3219,-3.3219,4.4613,-3.3219,-3.3219,-3.3219,-3.3219,1.8068,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.2415,3.941,-3.3219,-3.3219,-3.3219,2.1334,-3.3219,-3.3219,-3.3219,-3.3219,1.3815,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1273c",-3.3219,3.6124,4.2031,5.3954,4.5864,-3.3219,-3.3219,-3.3219,3.8736,5.5594,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,4.4778,4.6273,5.5218,-3.3219,-3.3219,5.2349,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1273d",-3.3219,-3.3219,-3.3219,2.5536,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1273e",-3.3219,-3.3219,4.2696,5.6884,3.8915,-3.3219,2.6384,1.1889,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.2446,-3.3219,-3.3219,1.9864,2.8436,3.2481,-3.3219,-3.3219,3.3136,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-1273f",-3.3219,1.8671,4.7149,6.6289,3.8149,-3.3219,-3.3219,1.3227,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.9631,-3.3219,3.4698,1.6771,2.8142,3.8099,-3.3219,-3.3219,3.642,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.7971,-3.3219
