"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-miR-28-3p",-3.3219,-3.3219,1.4148,-3.3219,-3.3219,-3.3219,-3.3219,0.6961,-3.3219,-3.3219,-3.3219,-3.3219,0.9861,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-28-5p",-3.3219,-3.3219,4.6943,-3.3219,-3.3219,-3.3219,2.3898,1.8294,-3.3219,-3.3219,-3.3219,-3.3219,2.6351,-3.3219,1.8814,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.8423,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.1003,-3.3219,-3.3219,-3.3219
"hsa-miR-2861",9.8767,11.7678,12.3209,14.3637,12.91,8.7263,7.8234,9.8607,11.7212,13.9328,10.5574,7.6428,7.9837,7.22,8.8723,10.4372,6.8871,8.1572,8.8911,4.6379,4.5031,7.7801,3.5692,4.0343,4.257,4.8654,4.3525,4.9062,4.8467,4.5273,5.3663,4.2757
"hsa-miR-296-5p",2.6972,3.6762,4.3407,7.1062,4.9766,2.3112,3.728,3.8018,4.2226,4.9809,2.862,2.1005,2.8431,2.0116,2.7321,3.3988,3.345,4.0629,4.6799,-3.3219,1.6527,4.0618,-3.3219,-3.3219,1.5774,-3.3219,1.6376,1.4675,1.8159,1.6433,1.7634,-3.3219
"hsa-miR-297",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.2576,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.4429,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-298",-3.3219,0.865,4.1057,6.2214,4.8541,-3.3219,-3.3219,-3.3219,3.8993,4.1363,2.8749,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-299-5p",-3.3219,2.1964,-3.3219,-3.3219,-3.3219,3.451,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-29a-3p",6.5928,7.7171,9.1005,4.5995,8.2016,8.4434,7.355,8.3537,6.4025,7.2835,8.295,7.0258,5.8758,5.7481,5.1158,4.1653,6.6079,7.5949,4.8574,7.0767,9.9271,5.1925,6.6201,7.6565,6.6643,7.9105,8.2469,8.017,6.5925,7.3246,3.7091,7.3587
"hsa-miR-29b-1-5p",1.7908,3.0372,-3.3219,-3.3219,-3.3219,3.7944,-3.3219,2.0977,-3.3219,-3.3219,-3.3219,0.7268,-3.3219,-3.3219,-3.3219,0.6406,-3.3219,-3.3219,-3.3219,-3.3219,3.2711,-3.3219,-3.3219,0.2254,-3.3219,2.2805,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.4888
"hsa-miR-29b-3p",4.3463,5.5239,7.243,3.8247,7.7811,7.7188,6.5987,7.8688,4.8233,6.2995,6.7113,5.6379,5.5052,4.9189,3.2711,-3.3219,4.3371,5.2247,2.7777,6.0912,9.7707,2.987,5.8676,7.4298,6.3886,7.6786,7.7293,7.6788,6.5155,6.7754,2.603,6.6695
