"","GSM1824825","GSM1824826","GSM1824827","GSM1824828","GSM1824829","GSM1824830"
"hsa-let-7a",11.8,6.88,12,7.03,11.49,6.77
"hsa-let-7a*",5.47,5.09,5.59,5.46,5.7,5.44
"hsa-let-7a-2*",5.55,5.41,5.95,5.38,5.54,5.19
"hsa-let-7b",10.63,7.08,10.67,7.01,10.54,6.76
"hsa-let-7b*",5.58,4.86,5.74,5.29,5.99,5.14
"hsa-let-7c",8.04,5.23,7.9,5.49,8.19,5.17
"hsa-let-7c*",4.79,4.81,4.78,5.1,5.1,5.02
"hsa-let-7d",9.72,6.19,9.79,6.48,9.62,6.04
"hsa-let-7d*",5.99,6.9,6.21,5.39,5.74,4.97
"hsa-let-7e",7.15,6.04,7.59,6.35,7.05,6.13
"hsa-let-7e*",4.87,5.01,4.81,5.37,5.29,5.26
"hsa-let-7f",9.84,5.26,10.22,5.91,9.98,5.88
"hsa-let-7f-1*",5.92,5.07,6.1,4.78,6.04,4.48
"hsa-let-7f-2*",5.2,4.93,5.37,5.23,5.48,5.12
"hsa-let-7g",12.7,8.77,12.61,8.88,12.11,7.39
"hsa-let-7g*",5.24,4.61,5.23,4.68,5.14,4.69
"hsa-let-7i",11.19,7.4,10.94,7.45,10.59,6.47
"hsa-let-7i*",6.58,4.75,6.38,4.97,5.95,4.59
"hsa-miR-1",4.96,4.97,4.88,5.56,5.39,5.4
"hsa-miR-100",4.61,4.59,4.38,4.85,4.75,4.53
"hsa-miR-100*",4.22,4.43,4.4,4.76,4.77,4.47
"hsa-miR-101",12.18,6.96,12.24,7.29,10.94,6.24
"hsa-miR-101*",6.06,4.93,6.24,5.17,5.74,5.17
"hsa-miR-103",9.03,5.48,9.41,5.42,8.5,5.26
"hsa-miR-103-2*",5.76,4.99,5.88,5.1,5.76,4.97
"hsa-miR-103-as",4.76,4.75,4.66,5.1,5,4.92
"hsa-miR-105",4.97,4.96,4.75,5.36,5.3,5.27
"hsa-miR-105*",4.92,4.9,4.73,5.26,5.13,5.03
"hsa-miR-106a",9.83,5.91,9.98,6.1,9.12,5.65
"hsa-miR-106a*",4.9,4.96,4.7,5.29,5.24,5.14
"hsa-miR-106b",10.35,6.46,10.28,6.69,10.15,6.47
"hsa-miR-106b*",6.57,4.49,6.37,4.88,6.54,4.98
"hsa-miR-107",8.3,5.37,8.35,5.36,7.88,5.21
"hsa-miR-10a",5.16,5.07,4.91,5.55,5.53,5.48
"hsa-miR-10a*",5.1,5.33,5.2,5.73,5.4,5.61
"hsa-miR-10b",5.01,5.12,4.74,5.38,5.34,5.54
"hsa-miR-10b*",4.62,4.77,4.54,5.09,5.02,5
"hsa-miR-1178",4.96,5.05,4.81,5.49,5.33,5.35
"hsa-miR-1179",4.89,4.98,4.76,5.18,5.17,5.04
"hsa-miR-1180",5.04,5.03,4.84,5.45,5.39,5.33
"hsa-miR-1181",5.01,5.1,4.96,5.64,5.65,5.5
"hsa-miR-1182",5.12,5.15,4.99,5.48,5.53,5.4
"hsa-miR-1183",4.94,4.94,5.06,5.35,5.41,5.18
"hsa-miR-1184",5.29,5.54,5.7,5.4,5.46,5.25
"hsa-miR-1185",4.96,5.08,4.67,5.37,5.22,5.21
"hsa-miR-1197",4.84,4.86,4.71,5.35,5.27,5.15
"hsa-miR-1200",4.93,4.83,4.97,5.11,5.24,4.88
"hsa-miR-1201",9.25,5.65,9.67,5.31,9.16,4.83
"hsa-miR-1202",5.07,5.22,5.05,5.44,5.3,5.41
"hsa-miR-1203",4.9,4.96,4.82,5.32,5.2,5.21
"hsa-miR-1204",5.21,5.16,5.08,5.61,5.62,5.45
"hsa-miR-1205",4.22,4.15,4.06,4.41,4.52,4.46
