"","GSM3318616","GSM3318617","GSM3318618","GSM3318619","GSM3318620","GSM3318621","GSM3318622","GSM3318623","GSM3318624","GSM3318625","GSM3318626","GSM3318627","GSM3318628","GSM3318629","GSM3318630","GSM3318631"
"hsa-miR-663b",36.01283264,36.1860733,37.70575333,35.83896255,35.42999649,34.72561264,36.36299515,35.97932053,36.9082489,39.60463715,35.57486725,36.19117355,35.90447617,35.28951263,33.96254349,36.53596878
"hsa-miR-26b-5p",35.00168991,38.13679886,32.70584106,34.50479507,35.24725723,34.0030098,37.67388535,33.44869995,39.51940918,35.42684937,35.95231628,34.68993759,37.7373848,35.80212402,36.83647919,37.70084763
"hsa-miR-548c-5p",36.56705475,36.48744202,34.98271942,36.26338577,35.96373749,36.28680038,34.92697525,34.36587906,36.0775795,35.17804337,34.94804382,36.66366959,35.59981918,34.38722229,35.23238754,36.49845886
"hsa-miR-1972",34.18156052,34.75415421,35.01543045,36.96210098,36.56829834,33.82265472,39.11326599,34.88659286,33.88347626,32.41569519,34.54912567,35.32661057,37.35865784,34.80444336,35.70076752,35.78697205
"hsa-miR-598-3p",37.83678818,34.29683304,31.80768967,32.20067215,32.90209579,33.64850616,33.00457764,31.57473946,39.23706436,33.87535858,34.17766571,34.41778183,34.74586105,36.42079163,35.52472305,33.61894989
"hsa-miR-10a-5p",38.4973793,37.6999321,31.6274395,30.64447975,32.50077438,33.19248581,34.42396927,29.66409683,35.40386581,33.46062469,34.87019348,34.95098877,36.45556641,37.2916069,31.26431847,31.77925682
"hsa-miR-26a-5p",37.27476501,32.94981766,32.28646851,31.8529129,34.26885223,33.94258881,34.5117836,32.31762695,32.64319992,33.09851456,34.2292366,34.31089783,34.4207077,35.29808426,33.34014511,33.93057251
"hsa-let-7e-5p",34.17990112,38.5357399,31.53170586,30.66095161,34.62070465,31.50614929,31.99762726,30.92082787,32.22637177,33.44297409,34.42264938,34.51143646,35.09362793,34.01507187,31.35053444,32.9666481
"hsa-miR-34a-3p",34.51882935,33.17913437,32.70941162,31.93955994,32.94953156,34.42107773,32.9947052,30.7422905,33.6437645,33.85368729,33.65787506,34.14711761,33.47981262,33.95672226,32.56145477,31.71664047
"hsa-miR-204-5p",34.35770798,38.23764801,32.23279572,30.77763748,31.6681118,31.96364403,33.74993134,28.5356884,32.14987564,34.20029449,34.55327225,33.97543716,38.09667206,33.98786926,30.86634636,29.69548607
"hsa-miR-320d",33.44151306,35.64782715,31.38654518,30.58862495,34.25378799,32.48577118,33.25323105,30.88323784,34.6023407,31.44647026,33.16025162,32.92462158,37.05087662,33.24628067,31.50387001,32.09395218
"hsa-let-7f-5p",36.23791885,34.52875519,31.5477829,31.69102669,34.51602173,32.06016541,33.0411911,31.34488869,33.1635704,32.51396179,32.48464584,32.974617,32.80744171,33.57843399,31.7165947,32.84495163
"hsa-let-7c-5p",36.65740204,34.02053452,30.47831726,30.54412651,32.35258102,31.01818085,32.00837708,30.22521782,33.72300339,32.04172134,35.56199646,34.27802658,35.08990097,34.62771606,32.48740005,31.8667984
"hsa-miR-150-5p",35.24343109,34.3642807,31.41926384,29.04662323,34.82598114,31.23035812,33.60434723,31.68199921,33.95885468,33.28226852,32.47996521,34.19054794,34.88870239,31.24474525,31.75897789,32.30384445
"hsa-miR-320c",34.24341965,36.06529999,30.8606987,30.69262886,32.02278519,32.83315277,33.09997177,30.60538483,34.22408676,31.49585724,32.68642426,33.06076431,36.13820648,32.97512817,32.05916595,31.43272591
"hsa-miR-106a-5p",33.87026978,33.61769867,28.67172241,29.84335709,35.25305176,30.1732502,32.28922653,30.71466827,36.71232605,34.19438171,33.66280746,32.69225693,32.9132576,32.87712097,32.61919403,31.44579697
"hsa-miR-99b-5p",34.44031906,34.56394958,30.82353592,29.88175583,32.54442215,30.998209,32.54447174,29.45062828,32.78913879,32.28091049,33.96270752,38.796875,32.83515549,32.14670944,30.7956295,31.28438377
"hsa-miR-30b-5p",35.49765015,34.16819763,30.12638664,30.34850693,32.76724625,31.74055099,32.66834641,29.34745407,31.82967758,33.27531433,32.06313705,32.43654633,33.53889084,35.69267273,31.3628521,32.88212967
"hsa-miR-221-3p",38.58111191,37.03321838,31.07051849,29.41625214,30.66617966,30.10596848,31.78567123,28.72299957,33.65152359,34.15685654,34.60876465,34.17997742,33.23244858,32.14712906,30.23560524,29.94908905
"hsa-miR-27a-3p",34.27522278,36.0904541,28.91028786,30.40092278,31.4093895,30.55168343,31.61907387,28.87070084,35.16723251,31.33510399,33.12279892,35.41357803,32.81555939,33.87817001,30.3692131,30.5349369
"hsa-miR-1260a",34.18530273,33.8580246,31.11338043,32.1184082,33.51270676,30.31250954,31.8225975,29.58453178,30.2684288,32.16031647,31.18840599,31.95617294,31.06239319,32.84015274,33.15753937,33.35258102
"hsa-miR-424-5p",35.26187134,35.43300629,28.68329239,30.23285103,31.29984665,30.3584404,31.90709686,29.27942848,34.83133316,31.81663895,33.12438202,33.13856506,32.73033905,33.28807449,30.73828888,30.12043953
"hsa-miR-199a-3p",35.2256546,33.48384476,30.14965057,29.7714653,31.79844856,29.84475517,32.10261536,28.58625031,36.92221832,32.63950729,32.43864441,34.16139984,32.68045807,31.72171402,29.08267212,31.06544876
"hsa-miR-342-3p",33.42973709,33.53827286,29.48715782,29.61256218,33.10912323,30.29393768,31.99917221,29.93520737,33.01105881,30.4112587,32.52074814,34.88118362,32.89480972,33.48950195,31.13592529,31.24762535
