"","GSM2212218","GSM2212219","GSM2212220","GSM2212221","GSM2212222","GSM2212223"
"hsa-miR-21",17.5625594876888,13.2180470782902,18.5781112090445,13.3953956710613,6.20788139512954,7.05088549077574
"hsa-miR-100",14.2876205173462,13.3535484741197,11.3728857880968,7.45026956568191,16.8062290327815,14.9614110263609
"hsa-miR-99a",14.0062388891019,13.0760437361128,11.9088938750908,7.78199004009747,16.4596502157146,14.6201097361826
"hsa-miR-92a-1",13.4306331307609,15.6043751397619,10.8210779608358,9.94426370628711,13.298506156889,12.5978015057039
"hsa-miR-7-1",10.6850996548327,5.898334280453,14.0961977699149,6.71879308225208,11.1092752723495,10.3319333477654
"hsa-miR-320a",10.7340630514653,13.1813852314387,9.46838828911952,8.73227400644151,10.3541117297073,10.970256824865
"hsa-miR-1246",6.22663811222142,10.2726997604034,6.38609260966139,13.3953956710613,7.99066116493859,11.0914550807617
"hsa-miR-378",12.0873937019477,10.1289868154177,11.3085349525712,6.81104618728698,10.9843586433963,12.0785867644047
"hsa-miR-29a",11.0113284173713,8.49942167237857,9.12834292628915,4.84908512966199,11.6295024018749,12.7487768092022
"hsa-miR-25",10.5603273768021,11.6777680829689,11.2877028854307,7.39171955944608,11.2365821914881,10.1020615763523
"hsa-miR-29c",10.746048586336,8.1784898647636,8.89783597713526,4.84908512966199,11.3607583908158,12.4883142943504
"hsa-miR-423",11.6821683550833,10.7441984990068,10.5713218038989,6.76565689290818,11.2242325321679,10.4242934661253
"hsa-miR-320b-1",9.84376481104407,12.586305009942,8.89783597713526,8.24584424855357,9.3292396689092,10.0821015873523
"hsa-miR-99b",8.17003275872251,7.31189303582511,12.1978812123226,8.90966775680088,10.7420874755802,9.0128886940691
"hsa-miR-125a",10.7122349240039,11.3638719248575,10.799834237076,7.16577507734776,10.0140553722297,8.50551907590014
"hsa-miR-181a-1",10.2427044205315,9.45168773457119,10.5396340145625,6.85505091781658,10.2768572222258,11.3905347270871
"hsa-miR-16-1",8.96911680642019,8.32774594552994,9.52126377552799,5.53014301878672,9.12216598621427,11.731244921272
"hsa-miR-92b",9.30997823118616,11.9102792004673,7.90085734894083,6.6202354145956,8.40295235400849,7.65555829240985
"hsa-let-7d",9.81218998320159,6.94018532447449,9.99308615032685,6.51444785579763,9.82922811981456,10.7939111865614
"hsa-miR-17",11.6223049288989,9.2947415396798,9.46838828911952,2.99194045600599,4.2297740922151,5.10593540371694
"hsa-miR-128-1",9.73731351109449,8.26565975410239,10.6386778112222,5.99092986253993,8.39896226398353,6.70805444015138
"hsa-miR-378c",9.3915961697978,7.39157249929179,9.42741976723908,3.8982921444352,8.59307015701096,9.80780454936849
"hsa-miR-378i",9.53112264900609,7.73487876461028,9.04953658600173,2.16276335007564,8.63438434494958,9.79734927178445
"hsa-miR-185",8.46508820377682,5.66171728244147,10.4229020906806,2.99194045600599,7.5827991663518,6.39327941392107
"hsa-miR-30b",7.87053343721837,5.21293335164841,7.68610194513235,5.29480018326613,7.903221416145,9.90352387591797
"hsa-miR-532",8.78619956292478,8.06155486298304,8.6825950317105,5.63482646787181,8.51041685092703,6.44777720640839
"hsa-miR-28",5.85389445044298,4.55801336420474,7.56541001850843,4.20073840673964,9.62746148526436,8.90665159037298
"hsa-miR-186",8.2663840850668,6.77172809859521,8.18926601909753,3.8982921444352,7.40322994996143,8.52677137128643
"hsa-miR-335",7.92215477388507,5.78487131039327,7.61490484502998,2.16276335007564,8.6512554161975,7.0970826246948
"hsa-miR-193b",6.97772726135159,9.00918478825994,7.86038782691388,5.16096716694781,4.43075454094546,6.35576919273423
"hsa-miR-106b",7.64332085781915,3.32514733694405,8.78344354156999,2.99194045600599,6.78632346547402,7.70859697855677
"hsa-miR-19b-1",8.29277110839259,3.86131116714299,6.82512605163879,2.16276335007564,7.23436990355989,8.37097862746696
"hsa-miR-15b",7.55886923368287,6.00352072300706,7.0214332876955,0.430576459212383,7.00159442374612,8.36154696926449
"hsa-miR-19a",8.00428645511304,3.32514733694405,6.73845820500249,0.430576459212383,7.13231747970753,8.26872995595669
"hsa-miR-96",7.1318370044752,4.81080388673408,8.9275215957999,0.430576459212383,5.0349809314705,5.86216463400863
"hsa-miR-378d-1",7.53696063412111,4.55801336420474,7.37744212401326,0.430576459212383,6.42748294849148,7.49230072720944
"hsa-miR-361",6.69076204111761,7.85218615550542,7.34847283657427,2.99194045600599,6.39579835901603,5.3543830779815
"hsa-miR-197",6.22663811222142,7.18348651445939,7.0214332876955,4.84908512966199,6.15207833704608,7.0970826246948
"hsa-miR-16-2",7.55886923368287,5.02583445823168,7.37744212401326,2.16276335007564,7.06340291226987,5.06002541440552
"hsa-miR-345",6.17082498241414,5.02583445823168,8.54891944213306,3.8982921444352,3.90909757659679,4.96357552522615
"hsa-miR-210",5.44714794347887,3.32514733694405,5.83779379414865,0.430576459212383,6.96966795829539,7.89010795277246
"hsa-miR-3615",6.05227100436539,7.35226417325832,6.3279174549674,5.01343764891654,6.13298713811616,4.7488687582585
"hsa-miR-374a",6.43051803598902,2.46235862986943,7.77587512636953,2.99194045600599,4.36682226185675,5.72178790775273
"hsa-miR-454",5.62382449786237,0.537163845052366,7.54001092846073,0.430576459212383,5.33142931123178,6.51737930838246
"hsa-miR-660",6.22663811222142,5.02583445823168,6.13783567424193,3.8982921444352,5.42857430384752,6.03823829357501
"hsa-let-7f-2",7.39802564532389,3.86131116714299,6.06847038422036,0.430576459212383,3.23477383113684,4.49652594385516
"hsa-miR-130b",6.5665001920889,4.25131606622201,5.22345622272387,0.430576459212383,6.79849103474716,3.90904792686251
"hsa-miR-671",5.13346349037551,2.46235862986943,6.20401827583604,0.430576459212383,5.22726767161711,6.06172511923082
"hsa-miR-15a",5.24577564839701,3.32514733694405,5.66058089810124,0.430576459212383,4.36682226185675,6.17374474527954
"hsa-miR-331",5.92309544692729,4.55801336420474,5.34576558937339,0.430576459212383,4.55070012594751,5.3543830779815
"hsa-miR-32",5.70466032969051,2.46235862986943,6.20401827583604,0.430576459212383,3.90909757659679,5.15042937323358
