"","GSM1563104","GSM1563105","GSM1563106"
"hsa-let-7a-5p",6.60436789989375,4.20945336562895,3.70043971814109
"hsa-let-7b-5p",3.67807190511264,8.34207466799914,4.0703893278914
"hsa-let-7c-5p",10.233380006514,2.29278174922785,2.60880924267552
"hsa-let-7d-5p",7.49984588708321,4.43962313755712,11.8627535742827
"hsa-let-7e-5p",2.63226821549951,11.2734459538498,3.30742852519225
"hsa-let-7f-5p",10.5692860110185,9.01094763626531,7.72246602447109
"hsa-miR-15a-5p",7.65535182861255,1.92599941855622,2.32192809488736
"hsa-miR-16-5p",5.96116025813664,4.43962313755712,4.84799690655495
"hsa-miR-17-5p",5.90689059560852,5,6.27239650903748
"hsa-miR-17-3p",3.93545974780529,2.53605290024021,4.73876783680019
"hsa-miR-18a-5p",5.82273014794452,7.16591193893569,6.27052894238072
"hsa-miR-19a-3p",10.7257070788377,2.32192809488736,3.58496250072116
"hsa-miR-19b-3p",4.77610398807316,6.84172158112846,3
"hsa-miR-20a-5p",5.56071495447448,6.88874324889826,10.303095761993
"hsa-miR-21-5p",4.10433665981474,9.80396963687297,2.16992500144231
"hsa-miR-22-3p",7.05636676102453,7.93487029119203,3.57288966842058
"hsa-miR-23a-3p",2.16992500144231,8.06447332875342,4.05311133645956
"hsa-miR-24-1-5p",5.76818432477693,7.18289089274548,6.10013667128545
"hsa-miR-24-3p",7.82781902461732,7.46025109894385,7.82527683005487
"hsa-miR-25-3p",7.40258575823259,3.58496250072116,14.6057862202032
"hsa-miR-26a-5p",3.49825086752783,7.88996019965864,2.35049724708413
"hsa-miR-26b-5p",10.9044840979014,2.58496250072116,7.64889680647525
"hsa-miR-27a-3p",8.48381577726426,9.17816685478444,5.89965902637744
"hsa-miR-28-5p",3.57288966842058,4.54225804976692,5.62643913669732
"hsa-miR-29a-3p",4.98185265328974,7.68580001974489,4.33628338786443
"hsa-miR-30a-5p",3.99095486039699,7.87282875953489,3.82781902461732
"hsa-miR-30a-3p",10.0063260785249,3.05311133645956,2.63226821549951
"hsa-miR-31-5p",2.92599941855622,2.88752527074159,2.16992500144231
"hsa-miR-32-5p",2.4594316186373,5.22110372536788,6.876516946565
"hsa-miR-33a-5p",10.8556471660273,9.33203654836165,2.63226821549951
"hsa-miR-92a-3p",4.5298209465287,2.13750352374994,2.60880924267552
"hsa-miR-93-5p",2.10433665981474,5.08746284125034,9.43712784427281
"hsa-miR-95-3p",2.70043971814109,3.0703893278914,3.40599235967584
"hsa-miR-96-5p",9.8999610665839,9.99943633715208,4.22496636500027
"hsa-miR-98-5p",5.94016675048282,6.24792751344359,7.08001802908917
"hsa-miR-99a-5p",3.68929916053589,2.32192809488736,6.36632221424582
"hsa-miR-100-5p",7.46188866443282,2.26303440583379,5.70873904135958
"hsa-miR-101-3p",4.93545974780529,4,4.09592441999854
"hsa-miR-29b-3p",6.94953493301701,5.27798474729977,2.65535182861255
"hsa-miR-103a-3p",3.33628338786443,5.08746284125034,2.13750352374994
"hsa-miR-105-5p",7.48864353985378,7.13442632022093,4.76553474636298
"hsa-miR-106a-5p",8.72212443691394,3.64385618977472,3.54843662469604
"hsa-miR-107",4.77610398807316,4.39231742277876,11.1972166931101
"hsa-miR-192-5p",6.38370429247405,7.97326686099329,3.85798099512757
"hsa-miR-196a-5p",2.20163386116965,8.5702352149746,4.97727992349992
"hsa-miR-197-3p",2.32192809488736,2,3.59693514238723
"hsa-miR-198",3.73335434061383,3.03562390973072,3.93545974780529
"hsa-miR-199a-5p",5.06177619758669,5.10433665981474,3
"hsa-miR-199a-3p, hsa-miR-199b-3p",9.90373124340389,3.6667565918848,6.79441586635011
"hsa-miR-208a-3p",4.40599235967584,4.54843662469604,2.56071495447448
"hsa-miR-129-5p",3.97269265400426,5.35755200461808,2.96347412397489
"hsa-miR-148a-3p",3.58496250072116,11.5682411648425,8.89330153086056
"hsa-miR-30c-5p",3.81762325751143,2.48542682717024,4.63807383718072
"hsa-miR-30d-5p",4.33628338786443,3.05311133645956,2.35049724708413
"hsa-miR-139-5p",3.56071495447448,9.31786479839195,14.6057862202032
"hsa-miR-147a",3.92599941855622,8.76752238622854,10.7378388365954
"hsa-miR-7-5p",2.72246602447109,4.85798099512757,3.08746284125034
"hsa-miR-10a-5p",5.38887833881199,4.77082904603249,2.96347412397489
"hsa-miR-10b-5p",3.01792190799726,2.10433665981474,6.01346225980656
"hsa-miR-34a-5p",4.05311133645956,4.45285896471381,2.82781902461732
"hsa-miR-181a-5p",7.55458885167764,9.93678514527186,10.7294508048002
"hsa-miR-181b-5p",2.16992500144231,4.14567745519564,7.09592441999854
"hsa-miR-181c-5p",2.13750352374994,9.33270793364061,10.6441266697382
"hsa-miR-182-5p",9.11530380615212,4.39231742277876,3.90689059560852
"hsa-miR-182-3p",3.51096191927738,4.4594316186373,9.93649071771147
"hsa-miR-183-5p",2.94485844580754,2.96347412397489,8.27006167272776
"hsa-miR-187-3p",4.34340782229781,4.12101540096137,3.72246602447109
"hsa-miR-199b-5p",3.05311133645956,8.30469355747101,6.88264304936184
"hsa-miR-203a",5.3819754785573,2.32192809488736,6.51727569320958
"hsa-miR-204-5p",2.37851162325373,9.36916109134917,10.7378388365954
"hsa-miR-205-5p",5.63807383718072,10.7112367677938,9.03754695396218
"hsa-miR-210-3p",3.72246602447109,2.0703893278914,4.26303440583379
"hsa-miR-211-5p",3.57288966842058,5.20163386116965,6.876516946565
"hsa-miR-212-3p",4.12101540096137,10.7795552166779,2.84799690655495
"hsa-miR-181a-3p",4.21723071622067,7.0389189892923,7.25644459647344
"hsa-miR-214-3p",5.41953889151378,3.20163386116965,2.86789646399265
"hsa-miR-215-5p",4.34340782229781,2.20163386116965,5.8073549220576
"hsa-miR-216a-5p",7.48864353985378,5.54843662469604,3.40599235967584
"hsa-miR-217",2.53605290024021,3.76553474636298,2.13750352374994
"hsa-miR-218-5p",8.22448410023199,2.78659636189081,5.08321336824898
"hsa-miR-219a-5p",7.39746072605472,10.212009933182,3.57288966842058
"hsa-miR-221-3p",3.24792751344359,4.24031432933371,3.77610398807316
"hsa-miR-222-3p",2.37851162325373,7.00786824333334,3.71149490665009
"hsa-miR-223-3p",11.4350451312781,2.58496250072116,5.89965902637744
"hsa-miR-224-5p",3.85798099512757,3.57288966842058,2.37851162325373
"hsa-miR-200b-3p",3,4,7.456149034648
"hsa-let-7g-5p",3.81762325751143,2.32192809488736,5.00898878322726
"hsa-let-7i-5p",5.77610398807316,2.60880924267552,2.0703893278914
"hsa-miR-1",10.8843231771733,3.21723071622067,5.65248649491816
"hsa-miR-15b-5p",3,10.7238315664953,6.877744249949
"hsa-miR-23b-3p",5.18586654531133,7.46025109894385,2.82781902461732
"hsa-miR-27b-3p",9.90628934740607,4.25550073314839,4.22496636500027
"hsa-miR-30b-5p",4.28540221886225,9.80396963687297,5.04875931191986
"hsa-miR-122-5p",6.94953493301701,2.26303440583379,3.30742852519225
"hsa-miR-124-3p",4.68929916053589,2.94485844580754,7.4594316186373
"hsa-miR-125b-5p",6.21334728173344,3.51096191927738,9.10983065427879
"hsa-miR-128-3p",3.41953889151378,5.76022094646651,2.20163386116965
"hsa-miR-130a-3p",11.1606908170849,2.92599941855622,3.8073549220576
