"","GSM3575541","GSM3575542","GSM3575543","GSM3575544","GSM3575545","GSM3575546","GSM3575547","GSM3575548","GSM3575549","GSM3575550","GSM3575551"
"hsa-miR-129-2-3p",7.17136,6.96254,6.65118,6.80744,6.44821,7.0971,7.30133,7.27672,6.61209,5.98833,5.30579
"hsa-miR-129-1-3p",6.15955,6.54778,5.67366,6.86558,5.22176,6.88101,7.00727,7.21487,5.64428,4.12725,2.39677
"hsa-miR-133a-5p",5.93796,6.37266,5.62311,5.72931,5.60437,6.31565,6.78471,6.90636,2.55276,3.58015,2.6244
"hsa-miR-196a-3p",4.59788,5.46536,5.19459,1.47116,5.24324,5.56414,6.16691,6.65249,4.72696,4.52758,3.47558
"hsa-miR-149-3p",1.5012,3.85099,5.2569,1.63187,4.51006,4.27871,1.9523,1.11533,6.99298,7.26508,7.08887
"hsa-miR-7-1-3p",3.79327,4.97313,4.4511,1.82698,5.78745,5.28456,5.48606,5.93946,2.55096,2.58589,2.21341
"hsa-miR-7-2-3p",3.58526,4.94649,4.98247,1.29585,6.00588,4.98777,5.78132,5.85428,3.14649,1.2037,1.88627
"hsa-miR-96-3p",1.28402,3.13891,0.95541,1.4811,1.05512,3.90021,1.26353,1.97517,6.13744,8.1361,7.50309
"hsa-miR-222-5p",0.971034,1.72815,1.14874,1.19428,1.35227,2.6409,1.35562,2.1138,6.88797,7.96503,7.38048
"hsa-miR-32-3p",2.02631,5.07049,6.44313,1.28188,5.04577,5.2595,2.21413,1.5251,1.61813,1.11891,2.27173
"hsa-miR-197-5p",1.4259,1.90668,3.24155,1.49211,2.21457,2.8332,1.5527,1.34485,5.25186,5.77759,5.68824
"hsa-miR-122-3p",1.90295,4.81721,3.96282,1.20128,3.76189,4.44957,2.85883,3.08302,1.39577,1.62599,1.36806
"hsa-miR-154-5p",1.47298,4.56943,4.59089,1.27547,5.21981,4.81386,1.92021,1.41296,1.00741,1.23896,1.29116
"hsa-miR-191-3p",1.2461,1.28459,1.23105,1.68142,1.46778,1.29555,1.25434,1.25113,4.18788,4.9172,4.69249
"hsa-miR-98-3p",2.01462,2.47747,3.50326,1.45123,2.54367,3.22006,2.38129,0.947768,2.22023,1.77653,1.67326
"hsa-miR-30b-5p",1.41876,3.56827,3.87224,1.1678,3.73372,3.42776,1.34831,1.41257,1.30446,1.33955,1.11235
"hsa-miR-210-5p",1.91274,2.30799,2.83902,1.71641,1.56657,1.8457,1.40553,1.59773,1.8336,1.0983,1.17488
"hsa-miR-9-3p",1.31847,2.38353,1.37624,0.919477,2.17665,2.05144,2.32085,2.35046,1.25348,1.16321,1.30018
"hsa-miR-142-5p",1.79804,2.26061,1.56544,1.14304,1.77888,1.94435,1.51327,2.37513,1.33025,1.30031,1.35125
"hsa-miR-134-3p",1.24251,2.04643,2.88235,1.43312,1.1974,2.39512,1.2289,1.28856,1.38483,1.15386,1.06022
"hsa-miR-16-2-3p",1.43952,1.46943,1.68898,1.4639,2.22324,1.82811,1.78012,1.53388,1.17634,1.12308,1.23379
"hsa-miR-181b-3p",2.057,2.12098,1.17495,1.45171,1.45333,1.66357,1.20735,1.37368,1.43424,1.46007,1.20735
"hsa-miR-101-3p",1.77035,1.15569,0.987454,1.89605,1.23423,1.78365,1.85219,1.36864,1.85668,1.36224,1.24179
"hsa-miR-126-3p",0.878239,0.836141,1.1857,0.96496,1.11442,0.915244,1.37892,1.23764,2.45946,3.37231,2.10356
"hsa-miR-149-5p",1.17623,1.18888,1.27544,1.19418,1.5434,1.28485,1.77114,1.21568,1.68006,1.69039,2.3036
