"","GSM1308959","GSM1308960","GSM1308961","GSM1308962","GSM1308963","GSM1308964","GSM1308965","GSM1308966","GSM1308967","GSM1308968","GSM1308969","GSM1308970","GSM1308971","GSM1308972","GSM1308973","GSM1308974"
"hsa-let-7a-5p",-0.807,-3.322,-3.322,-3.014,2.157,2.189,-3.311,-3.255,-3.224,2.806,-3.165,0.55,1.965,-3.132,0.529,0.281
"hsa-let-7a-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-let-7b-5p",2.69,-3.322,0.914,-3.014,4.389,4.251,3.665,0.05,-3.224,6.379,3.535,5.141,4.626,4.307,5.757,5.216
"hsa-let-7b-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-let-7c-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-2.34,-3.255,-3.224,2.386,-3.165,0.914,0.05,-3.132,2.044,0.5
"hsa-let-7d-5p",-1.153,-3.322,-3.322,-3.014,-3.124,-3.135,-2.388,-3.255,-3.224,2.024,-3.165,0.112,0.333,-3.132,0.55,0.473
"hsa-let-7d-3p",1.539,2.511,0.333,-3.014,2.132,-3.135,-0.262,-0.779,0.112,0.89,0.89,0.303,0.43,-3.132,0.914,0.832
"hsa-let-7e-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-let-7e-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-let-7f-5p",-3.267,-3.322,-3.322,-3.014,1.965,-3.135,-3.311,-3.255,-3.224,2.189,-3.165,-3.236,0.969,-3.132,-0.234,-3.244
"hsa-let-7f-1-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-let-7f-2-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-15a-5p",6.176,-0.807,0.969,-3.014,2.601,3.761,4.532,2.601,0.571,6.477,5.484,5.687,5.866,6.063,6.063,6.063
"hsa-miR-15a-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-16-5p",9.614,0.473,4.389,-3.014,6.581,6.176,7.281,4.763,2.806,10.848,9.25,9.25,9.614,9.25,10.29,9.614
"hsa-miR-16-1-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-17-5p",4.974,-1.76,-3.322,-3.014,2.456,-3.135,3.486,-1.094,-3.224,5.077,3.686,4.211,3.627,3.113,5.141,4.882
"hsa-miR-17-3p",-0.53,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-18a-5p",0.05,-3.322,-3.322,-3.014,-3.124,-3.135,-2.424,-3.255,-3.224,-1.756,-3.165,-3.236,-3.232,-3.132,-1.16,-0.559
"hsa-miR-18a-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-19a-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-19a-3p",5.927,2.651,0.281,-3.014,2.071,-3.135,3.814,0.148,-3.224,5.549,4.307,4.882,5.817,4.706,5.866,5.866
"hsa-miR-19b-1-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-19b-3p",8.157,4.921,3.58,-3.014,3.866,2.358,6.379,3.814,1.99,8.551,6.264,6.779,7.043,6.671,8.365,8.365
"hsa-miR-19b-2-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-20a-5p",6.581,-1.078,-2.772,-3.014,4.084,2.456,4.495,0.193,0.805,6.895,4.626,5.817,6.176,5.866,6.779,6.477
"hsa-miR-20a-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-21-5p",6.477,5.484,6.671,3.721,6.895,6.379,5.927,6.063,4.346,7.17,7.043,7.043,6.671,6.264,7.281,7.281
"hsa-miR-21-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-22-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-22-3p",7.651,7.043,6.581,4.032,5.817,4.211,6.895,4.532,3.486,7.651,7.538,7.651,7.538,6.581,7.825,7.716
"hsa-miR-23a-5p",-3.267,-3.322,-2.361,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-23a-3p",3.627,3.265,3.721,-3.014,4.826,3.305,3.224,3.665,0.281,4.974,5.303,4.532,5.303,3.196,4.763,4.763
"hsa-miR-24-1-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-24-3p",3.422,4.826,3.159,-3.014,4.211,-3.135,3.196,1.99,-3.224,4.532,5.817,4.706,4.532,3.665,4.307,4.921
"hsa-miR-24-2-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-25-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-25-3p",7.388,2.28,3.665,-3.014,3.761,2.557,5.077,2.222,0.55,6.176,5.757,5.866,5.022,5.549,6.176,5.927
"hsa-miR-26a-5p",0.148,-2.34,-3.322,-3.014,-3.124,-3.135,-2.276,-3.255,-3.224,2.651,2.806,1.99,0.5,-3.132,2.557,2.69
"hsa-miR-26a-1-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-26b-5p",0.18,-3.322,-3.322,-3.014,-3.124,-3.135,0.333,-3.255,-3.224,4.032,-3.165,2.651,3.224,-3.132,3.58,3.38
"hsa-miR-26b-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-27a-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-27a-3p",2.725,3.627,0.062,-3.014,3.665,-3.135,2.189,2.157,-3.224,4.389,5.141,4.826,4.706,2.806,4.346,4.826
"hsa-miR-28-5p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
"hsa-miR-28-3p",-3.267,-3.322,-3.322,-3.014,-3.124,-3.135,-3.311,-3.255,-3.224,-3.279,-3.165,-3.236,-3.232,-3.132,-3.269,-3.244
