"","GSM3746429","GSM3746430","GSM3746431","GSM3746432","GSM3746433","GSM3746434","GSM3746435","GSM3746436","GSM3746437","GSM3746438","GSM3746439","GSM3746440","GSM3746441","GSM3746442","GSM3746443","GSM3746444","GSM3746445","GSM3746446","GSM3746447","GSM3746448","GSM3746449","GSM3746450","GSM3746451","GSM3746452","GSM3746453","GSM3746454","GSM3746455","GSM3746456","GSM3746457","GSM3746458","GSM3746459","GSM3746460","GSM3746461","GSM3746462","GSM3746463","GSM3746464","GSM3746465","GSM3746466","GSM3746467","GSM3746468","GSM3746469","GSM3746470","GSM3746471","GSM3746472","GSM3746473","GSM3746474","GSM3746475","GSM3746476"
"hsa-let-7a-3p",5.17031428405757,0,3.34077627495587,3.129216253023,4.14870979739581,0,0,0,4.02833371625596,0,0,4.74755839442434,0,0,0,3.94646100790486,4.86897711323877,0,0,4.66626995401465,0,3.80868053378409,0,0,4.71046512668265,5.1853494750968,4.25702642359979,0,0,3.90434018077876,0,0,0,0,0,0,0,0,0,0,0,5.81386320523513,4.82390986677904,0,0,4.51906263993097,0,4.12299853896139
"hsa-let-7a-5p",14.1836868321296,14.5521420515024,15.0758277258677,12.6907410924549,12.6388633228866,14.392070214272,13.8585946404342,13.8150792991289,14.8144277925158,13.531025044316,14.8398591424147,14.4276030670679,13.9962126452843,15.2454111207702,14.9477938708507,15.1801062694884,14.6067025987824,14.7511940931978,14.1647066467446,14.4955857291237,14.5296419677548,14.8176111633984,14.7246852792382,15.329506504315,14.6870703910688,13.7617984861933,14.950237194253,15.10190145253,15.0844665055788,13.7762685460778,15.0951156792824,13.9271831716006,14.2497977225412,14.1321490540779,14.8005344984745,15.1583077610724,13.8205633125166,13.8857105331347,14.3824496312442,14.3273645573669,13.7566919187584,14.2392717694473,13.7665089246019,13.5687952747516,13.3169055448821,13.9203869130587,13.5570561606521,11.9494846883774
"hsa-let-7b-3p",0,5.50603203149944,5.22981903864788,4.99992697680194,0,0,5.17947864399935,4.91947682906948,0,4.12802811343307,4.00829767875091,4.74755839442434,6.35328886238667,5.71187705315369,0,5.87451331618034,6.42064477989935,3.58968623382762,4.51326617722312,5.63757742578441,5.8483455498717,4.75626218723672,4.49543328204855,0,3.76454283897114,4.22446312260413,6.51729218879126,6.13667026605675,5.50731816141439,5.83020524200062,3.65282606994981,6.67635387823274,0,4.30461136133736,3.9090522558968,0,0,3.74588661961843,4.5483084702539,4.9803460853623,4.51504467813304,0,5.39179267958224,6.92063850446784,6.46589936786163,6.06145535046584,3.61998111595075,1.90200503599011
"hsa-let-7b-5p",15.0161856531101,15.0390761183843,15.2866150679808,14.2522574306157,14.3058524824169,14.915690052901,14.3302379490125,14.632607314227,15.6590750820189,14.4672931082878,14.9533321894735,14.9419872642128,15.1364741045649,15.5842274645035,15.4166568550972,15.8462086706445,15.7394936030744,15.3233773031213,15.2949758975495,15.3548514060349,15.1183204675383,15.3840177532542,14.8833296154397,15.5821123949676,15.0228309676493,15.1888952640251,15.5567681895838,15.5931313131597,15.3840478638675,14.6232615062364,15.9237700945711,15.1208310254168,15.0090513914756,15.1795591760125,14.7776689328123,15.1984926576142,14.9708133257986,15.0259566539945,15.0537665620055,15.1243863290495,14.7185365920752,14.8392442167391,14.5493674459412,14.8824257805176,14.5878158075056,14.8673455697789,14.2542221481721,15.3732918007279
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66626995401465,0,0,0,5.65534588953069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00497532583576
"hsa-let-7c-5p",12.3873405740092,12.5402626020251,12.743731760385,11.1593230019634,10.8601821193558,12.1854462996029,12.2583442688766,11.9212198704009,12.3124166864347,11.2628188877734,12.6094575962039,12.1443578065157,12.1938231198189,13.118876452034,13.1240037362748,13.7400804107368,12.491418119942,12.8024078923819,12.6777050005956,12.7170414009309,12.3071854261983,12.6504588903897,12.8522711231886,13.1850087132468,12.3515247765065,11.9909902972598,12.7227729855019,12.5085835139889,13.0827428602941,12.0857248716212,12.6602365627923,12.0410328696562,11.9708929344306,11.753673404091,13.1249819299004,12.7466444307312,11.5270388222097,11.7586705300343,11.7000457577705,12.0479868229931,11.8259628595463,11.7426034456853,11.9170833076105,11.8920538576632,11.0648688882927,12.024929290731,11.5259872971822,13.2612732426341
"hsa-let-7d-3p",10.416141878642,9.76099709568296,10.0251275387648,9.95557460459394,10.0436373918004,10.06961591089,9.92195636933885,9.00309676657377,9.38220067959956,9.90255224235873,8.96302768797924,10.0864729267265,9.79658889313703,10.4664657662711,10.080087650853,9.78208755972602,10.0868559281689,10.1523527869143,10.4720499887915,10.7989372298216,10.2166153412835,10.2422176843931,9.60179416219648,10.0871915618418,10.0985411287147,10.4680927387924,9.64076771298004,10.147038759069,10.4188150317308,10.5335162977144,10.7040992651068,10.8645866938882,10.9790257755735,10.4974784482869,9.16973006206121,9.93149364517266,9.73469506618188,10.6573941572518,10.3811928633492,10.7802145673517,10.8606929935278,10.18154630776,10.2650779390428,10.6238407362529,10.6598308153984,10.8648921973155,10.2536617018999,10.6273548635827
"hsa-let-7d-5p",9.08653589184889,9.33414911307826,9.3223905713222,7.4219898268644,7.97761554325429,9.4762920296031,8.46512499809552,8.73237636306031,9.22490883972603,8.21784199557311,9.27562138321906,9.39541155516967,8.07784913834611,9.85556910650762,8.85947120593644,8.49756406742767,9.14322403290147,9.19496814942629,9.03637881965736,8.69924058097674,8.95527737948642,8.87486860166668,10.0752053751536,9.71561280697498,9.53886502457125,8.60827892540002,9.31108375365107,9.57733980640002,9.54327031824403,8.85214153117212,9.57959006671884,8.51412726382852,7.90461695721237,8.93308786061837,9.85562299441731,9.72689920124324,8.5304568340961,8.22392870415472,8.94764942149351,8.69228332290674,8.77574947778452,9.18278806523082,8.90434903717223,7.24018294389181,7.77800151969057,8.54605518596256,8.02669678726875,7.46097706237836
"hsa-let-7e-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89889673406543,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90434018077876,0,0,0,0,0,0,0,3.74588661961843,0,0,0,0,0,0,0,0,0,5.96785461815375
"hsa-let-7e-5p",9.26131928453138,10.1476289352438,9.66835982330077,8.93435281585439,8.15751426127153,10.1569997786977,10.6945683475946,9.39670318068606,9.53894712467749,9.50448239220189,9.96158150911302,8.94368839136293,9.96147275455094,10.7510126063882,10.4775259657207,10.9272673443298,10.1775405017504,10.1240888449651,10.4720499887915,10.1014695464343,10.347754439539,10.0430853293384,10.7162712605752,11.2269479480874,10.3136267072053,10.0772191869235,9.9623343158757,10.7798043333781,9.78066813650979,9.9146421482119,9.90984913666428,9.0434272881636,10.1128808098556,9.27641604391632,10.114753357098,10.4285623329817,8.91656162367686,9.19119179811667,9.24256411302044,10.0645348138423,10.179690876254,10.2154647488818,9.63185253777163,8.81876970855068,8.91191531549236,9.77829939292084,9.20048597907805,9.771829232417
