"","GSM4083583","GSM4083584","GSM4083585","GSM4083586","GSM4083587","GSM4083588","GSM4083589","GSM4083590","GSM4083591","GSM4083592"
"hsa-let-7a-3p",1.986254968,1.69516346,1.791634272,1.704350826,1.816493577,1.99612717,2.265596402,1.791730514,2.137908674,1.797699372
"hsa-let-7a-5p",9.681646128,8.18167813,8.805853907,4.890022104,7.551382497,4.036489699,4.835495306,7.762896219,3.221774675,8.234527917
"hsa-let-7b-3p",2.210442278,1.884478759,2.039057525,2.060555954,1.988931493,2.256280183,1.95353046,2.0413136,1.979451413,2.11694836
"hsa-let-7b-5p",11.07716436,11.64595136,11.89959757,8.904663745,10.53010966,10.5878722,9.421573243,9.544050086,2.91484113,10.61185722
"hsa-let-7c-3p",1.754223691,1.783514136,1.765891476,1.796802993,1.842713969,1.783334253,1.728463077,1.65648484,1.826986787,1.766773849
"hsa-let-7c-5p",9.399543141,10.0017553,10.47782717,5.049236642,8.991543394,6.785474185,6.598678115,8.668949773,1.896432683,8.366855966
"hsa-let-7d-3p",4.560814636,2.352877714,3.546576435,2.883417153,4.91239582,2.492331621,2.954398968,5.644252274,2.309708715,7.190316193
"hsa-let-7d-5p",7.566526672,3.394075504,3.533630158,1.873494688,2.752292837,1.813651635,1.85250884,3.938879498,2.143477413,3.818583015
"hsa-let-7e-3p",1.724785015,1.835273949,1.71147283,1.712998222,1.652606561,1.758678094,1.905407322,1.689398343,1.669786316,1.61895655
"hsa-let-7e-5p",7.841216047,2.054605802,2.089061672,2.428586619,2.110180716,1.655777623,1.904595643,3.463296543,2.590288279,3.607118157
"hsa-let-7f-1-3p",1.916177477,2.116854319,1.871923895,2.089141413,1.84802246,3.193436273,1.960406687,2.106876937,2.412139062,1.895089634
"hsa-let-7f-2-3p",1.715444477,2.55191715,1.864639092,1.822095809,1.818917574,2.277559254,1.969174366,1.695576158,2.37812167,1.904745264
"hsa-let-7f-5p",8.740896687,4.546239892,4.918230112,2.123268062,4.011729157,2.286476757,3.925320572,5.972885406,2.084265968,5.693750984
"hsa-let-7g-3p",1.667147732,1.738196278,1.702275079,1.856811067,1.72091895,1.750142064,1.762156942,1.60694491,1.874028381,1.724057411
"hsa-let-7g-5p",7.100122749,2.550472993,4.352949724,2.0761138,3.595057477,2.009648017,2.317733601,6.911701467,3.203136007,5.022398318
"hsa-let-7i-3p",1.771438276,1.814807613,1.71133781,1.745224179,1.662387685,1.950636261,1.871587805,1.658738632,2.20914212,1.74386169
"hsa-let-7i-5p",7.807906514,3.776115203,7.284730734,3.637894388,7.039266814,3.956497248,6.296977801,8.003495961,3.266495691,8.777155881
"hsa-miR-1-3p",1.75372443,1.685684863,2.07595064,2.303398072,2.174181216,1.721923727,1.834610909,3.328759724,2.202471088,2.031157499
"hsa-miR-1-5p",2.142432082,1.958759063,1.82109045,1.758308789,1.730118552,2.093146284,1.849455562,1.756354132,2.098125945,1.764915596
"hsa-miR-100-3p",1.951114054,1.806765883,1.731713683,1.887088152,1.7906892,1.743239898,1.875536308,1.788438469,1.867521264,1.708589925
"hsa-miR-100-5p",7.839602653,1.733709121,1.914614029,1.865450175,4.247163554,3.853540307,3.095895991,5.183378245,2.491122342,5.501736981
"hsa-miR-101-3p",2.020894096,1.706236964,1.891839624,1.73394235,1.810261899,2.028138053,1.785764298,3.428532381,2.031770053,3.992370718
"hsa-miR-101-5p",1.733009155,1.902624783,1.736717406,1.839410056,1.779693635,1.929522668,2.023839179,1.628306151,1.879502088,1.825739133
"hsa-miR-103a-2-5p",1.644786525,1.878844748,1.781749274,1.854657282,1.74778232,1.861731649,1.766268699,1.622474935,1.839348071,1.709792406
"hsa-miR-103a-3p",7.73213307,2.432052701,2.277148677,1.940071262,2.111139864,1.736573948,1.766565352,4.039742808,1.90923501,3.825760991
"hsa-miR-103b",1.74763843,1.740456808,1.833194154,1.730524689,1.715090796,1.778191864,1.71553212,1.707608628,1.879736761,1.680650638
"hsa-miR-105-3p",1.693683609,1.803679559,1.748952444,1.775958899,1.822227916,1.601440821,1.820550799,1.730766342,2.724663162,2.022340489
"hsa-miR-105-5p",1.708776643,1.671278872,1.805157438,1.826777262,1.725425961,1.741997398,1.734319934,1.667277088,1.751864787,1.895676132
"hsa-miR-106a-3p",1.68141024,1.604501767,1.707748758,1.662935341,1.664868543,2.172067449,1.788374663,1.69414113,1.713900771,1.65910557
"hsa-miR-106b-3p",1.715265504,1.721520828,1.674420078,1.650604347,1.755653664,1.843486528,1.726368007,1.657294235,1.660622596,1.803626983
