"","GSM1224991","GSM1224992","GSM1224993","GSM1224994","GSM1224995"
"hsa-miR-3960",17.7073995778836,17.6599122975112,6,11.5891829670394,15.8442097282107
"hsa-miR-4800-3p",17.4632609322121,17.2251509393209,5.52356195605701,11.6031626795344,16.0286936757507
"hsa-miR-4708-3p",17.2683501009104,17.3261310015193,5.4594316186373,11.7444134105577,15.8352895432451
"hsa-miR-4787-5p",17.2189793964053,17.1415084700424,5.7279204545632,11.2825093062408,15.1273285808761
"hsa-miR-4467",16.8438351973906,17.111308903898,5.95419631038687,11.0230612497353,14.4258439946699
"hsa-miR-451a",16.807644217007,15.7707929204039,6.20945336562895,13.3582391004261,16.0844405267386
"hsa-miR-1246",12.0416591516372,14.7931968590609,6.55458885167764,15.7628232100174,16.4037239055515
"hsa-miR-371b-5p",16.1770885709526,16.4474545742086,5.83289001416474,9.82654848729091,13.0072130247042
"hsa-miR-4454",14.9754449743088,14.9469062744564,5.61470984411521,11.5844927969759,15.7826686112541
"hsa-miR-4750-5p",15.3583764803282,15.0195907283579,5.83289001416474,9.09539702279256,12.6109648375079
"hsa-miR-1275",15.5537492735448,14.4207497582968,6.12928301694497,9.74146698640115,13.1707481797368
"hsa-let-7g-5p",10.4978518369511,9.53138146051631,5.85798099512757,6.53138146051631,16.0286936757507
"hsa-miR-3940-5p",14.6222806552156,14.8152832163823,6.4093909361377,10.1045987535644,13.3095715640246
"hsa-miR-4285",14.8667959585115,14.6825557410803,7.4178525148859,8.53915881110803,12.2318511720055
"hsa-miR-1908",14.7158011576758,14.669438738175,5.90689059560852,8.57364718749332,12.3811535656469
"hsa-miR-4644",9.66711154207503,11.1910592145317,6.02236781302845,11.344850683943,15.5081708090607
"hsa-miR-144-3p",13.8991680761343,13.9608164771396,6.3037807481771,9.89178370321831,13.3832655320039
"hsa-miR-4711-5p",5.24792751344359,5.39231742277876,15.3521469053743,3.41278152533848,5.94368695159709
"hsa-miR-5100",12.9309220971253,14.0856384292753,6.4093909361377,10.0647427647503,13.3117752730593
"hsa-miR-4791",6.37503943134692,6.49185309632967,15.0591754379151,4.39917109381982,5.88288755322496
"hsa-miR-4725-3p",14.2160637507849,13.4941055480611,5.88264304936184,7.64385618977472,11.2791462440543
"hsa-miR-4443",13.5128638913907,13.4091257104653,6,9.67419226814568,13.0375040568258
"hsa-miR-4516",12.0927571409199,13.6252522217469,5.75488750216347,10.410451351504,13.4909636612073
"hsa-miR-16-5p",14.0273876940528,12.1636496760158,5.90689059560852,9.23122118071119,12.8698714061777
"hsa-miR-3944-5p",5.39231742277876,5.55458885167764,14.7999392660634,3.78659636189081,4.93310047493137
"hsa-miR-3976",10.1661630826461,10.8955752823807,6.58496250072116,11.0973737689902,14.4419935644074
"hsa-miR-4707-5p",13.8089641749193,13.1014833115653,5.7279204545632,7.44294349584873,10.2016461122644
"hsa-miR-1469",13.5867225290484,13.2856911913301,6.58496250072116,7.02236781302845,9.98535811198485
"hsa-miR-3977",5.24792751344359,5.4594316186373,14.4495355824948,3.78659636189081,5.75488750216347
"hsa-miR-4739",13.0237543532994,12.9016211583461,5.4594316186373,8.8073549220576,12.4586424289731
"hsa-miR-4726-5p",13.2348174311173,12.8663130157022,6.56985560833095,8.39660478118186,12.0387132671576
"hsa-miR-4306",10.0808175276083,10.8265484872909,6,10.6715410667119,14.000892602703
"hsa-miR-4484",13.127833153011,12.76673593953,6.06608919045777,7.96000193206808,11.4169611011647
"hsa-miR-1251",6.12928301694497,6.44294349584873,14.1355489777492,4.79181407116183,4.98367769469807
"hsa-miR-4531",12.2562086885274,12.2348174311173,5.95419631038687,9.13699111208023,12.5483475131758
"hsa-miR-4532",11.642051692928,12.9347965921784,5.4594316186373,8.54689445988764,12.1935161203241
"hsa-miR-1260b",11.9628960053373,12.7496599616918,6.32192809488736,8.48381577726426,12.2001813693479
"hsa-miR-638",12.9856640790187,12.7064960180612,6.28540221886225,6.85798099512757,9.82231588715928
"hsa-miR-3158-5p",12.652844973002,12.624338545313,5.6724253419715,7.74819284958946,11.1055680866408
"hsa-miR-374b-3p",6.32192809488736,6.22881869049588,13.6038581218428,6.33985000288462,10.0142855446636
