"","GSM1223777","GSM1223779","GSM1223781","GSM1223783","GSM1223785","GSM1223787","GSM1223789","GSM1223791","GSM1223793","GSM1223795","GSM1223797","GSM1223799"
"hsa-miR-574",12.8589,12.7507,12.7402,12.514,12.6204,12.1898,11.7814,12.7473,12.9906,12.867,12.5385,12.6157
"hsa-miR-1234",12.6723,13.5802,12.9948,12.0406,12.2628,10.5054,8.42547,13.5012,13.6319,11.6023,11.7897,11.4403
"hsa-miR-466",12.2462,12.0748,12.0689,11.6564,11.7475,12.0312,11.9321,12.0624,12.0237,12.2052,12.1196,11.9926
"hsa-miR-4701",11.8996,12.8093,11.7609,10.366,11.9075,10.4508,8.59191,12.2451,12.0396,10.4688,11.4184,10.09
"hsa-miR-3613",10.5732,10.974,11.094,11.3108,11.2106,11.3592,11.2024,10.7508,10.7955,10.8116,11.136,11.264
"hsa-miR-3145",11.0009,10.6456,10.6852,10.6643,10.6089,11.2964,10.8899,10.1801,10.618,10.663,11.3528,10.7812
"hsa-miR-4423",10.5993,10.4784,10.4624,10.8834,10.3896,10.8078,11.0003,10.4287,10.8187,10.8301,11.1375,10.8157
"hsa-miR-4668",9.47081,9.9784,10.805,11.0895,10.7514,10.6766,11.0632,10.3142,10.4054,10.4842,10.2329,10.3745
"hsa-miR-138-1",10.6822,10.6483,10.5391,9.17022,9.88947,10.1354,9.07944,10.3021,10.2704,9.7343,10.443,9.31665
"hsa-miR-3910-1",10.0305,9.80482,10.0121,10.0313,9.58421,9.77474,10.0188,9.71548,10.0148,10.013,9.66077,9.67219
"hsa-miR-4445",9.74216,9.71887,9.90585,10.1375,9.66499,9.62051,9.86124,9.61862,9.92885,10.0178,9.56666,9.69455
"hsa-miR-3591",10.1182,10.6871,10.4184,9.0192,9.57518,10.174,9.03999,10.2914,9.62227,8.6514,10.1773,9.2554
"hsa-miR-3133",9.70168,9.57265,9.60087,9.55873,9.41158,9.9592,9.41291,9.39488,9.56388,9.60208,9.78703,9.49454
"hsa-miR-4801",9.56349,9.52496,9.77347,9.49131,9.45307,9.40954,9.35405,9.31626,9.40245,9.48829,9.38937,9.69279
"hsa-miR-34c",9.84748,9.74341,9.31421,8.27169,9.97291,9.6166,8.48457,8.98213,9.386,8.69412,10.1481,9.05073
"hsa-miR-548aa-1",9.33941,9.21246,8.94837,8.93713,9.66113,9.50962,9.24401,8.73629,9.11171,8.79187,9.59613,9.60999
