"","GSM3139433","GSM3139434","GSM3139435","GSM3139436","GSM3139437","GSM3139438","GSM3139439","GSM3139440","GSM3139441"
"hsa-let-7a-5p",11.55,10.98,9.81,8.47,7.76,3.11,11.43,5.91,1
"hsa-let-7b-5p",10.35,10.57,9.71,7.39,7.32,2.69,10.58,5.69,1
"hsa-let-7c-5p",10.83,10.62,6.02,7.6,7.17,2.7,10.9,5.49,1
"hsa-let-7d-5p",11.1,10.57,6.42,8.01,7.49,3.51,11.07,5.7,1
"hsa-let-7e-5p",10.31,8.87,5.35,7.08,5.83,2.95,10.48,4.77,1
"hsa-let-7f-5p",11.56,9.92,6.06,8.45,6.62,3.09,11.29,4.96,1
"hsa-miR-15a-5p",8.9,8.17,2.4,5.73,4.4,1,7.9,1,1
"hsa-miR-16-5p",11.43,11.87,5.79,8.43,7.21,3.82,10.34,4.28,1
"hsa-miR-17-5p",11.87,12.13,6.54,8.63,7.56,3.65,10.49,4.61,1
"hsa-miR-17-3p",7.28,3.39,2.61,4.78,2.79,2.62,6.38,1,2.95
"hsa-miR-18a-5p",9.29,8.72,3.13,5.71,4.58,1,7.4,1,2.49
"hsa-miR-19a-3p",10.11,8.46,1,6.3,3.67,1,7.73,1,1
"hsa-miR-19b-3p",11.32,10.55,4.94,7.68,5.39,2.59,9.59,3.94,1
"hsa-miR-20a-5p",11.77,11.75,6.36,8.59,7.31,2.63,10.44,4.42,1
"hsa-miR-21-5p",15.14,14.36,9.17,12.41,10.48,6.28,14.75,8.28,4.39
"hsa-miR-22-3p",8.2,10.09,4.38,5.3,5.91,2.79,9.52,6.88,4.02
"hsa-miR-23a-3p",11.49,12.62,7.51,8.88,8.68,4.95,12.75,8.21,3.18
"hsa-miR-24-1-5p",3.13,1,9.6,1,2.61,1,2.78,1,1
"hsa-miR-24-3p",10.71,12,9.96,8.14,7.92,7.01,11.78,6.94,3.65
"hsa-miR-25-3p",9.18,10.48,4.53,6.52,6.07,1,8.07,3.21,1
"hsa-miR-26a-5p",10.5,9.49,5.17,7.51,6.35,2.22,10.54,4.87,2.12
"hsa-miR-26b-5p",9.61,7.99,4.35,5.6,4.26,1,8.36,1,1
"hsa-miR-27a-3p",11.3,11.71,5.56,8.29,6.97,2.4,12.55,6.85,1
"hsa-miR-28-5p",8.75,8.35,4.53,6.09,4.87,2.81,8.11,1,1
"hsa-miR-29a-3p",11.96,11.98,5.85,8.81,7.29,3.51,11.62,5.23,1
"hsa-miR-30a-5p",8.5,10,3.89,4.97,4.68,1,8.33,1,1
"hsa-miR-30a-3p",4.45,4.74,1,1,2.64,1,5.76,1,1
"hsa-miR-31-5p",12.33,11.82,6.68,9.64,8.07,4.57,11.69,6.31,1
"hsa-miR-32-5p",6.82,1,1,3.73,1,1,4.27,1,1
"hsa-miR-33a-5p",7.43,1,1,3.92,1,1,6.32,1,1
"hsa-miR-92a-3p",8.58,10.38,5.89,5.85,6.57,2.87,8.88,5.54,1
"hsa-miR-93-5p",10.67,11.38,6.09,7.66,6.91,2.82,9.62,3.88,1
"hsa-miR-95-3p",4.91,1,1,3.45,3.04,1,2.58,1,1
"hsa-miR-96-5p",9.36,7.69,3.61,5.91,4.44,1,6.63,1,2.8
"hsa-miR-98-5p",8.35,6.05,0,4.54,3.5,1,7.54,1,1
"hsa-miR-99a-5p",10.57,10.65,6.32,7.47,6.64,3.01,9.54,3.74,1
"hsa-miR-100-5p",11.27,11.23,6.81,8.01,7.19,3.9,10.14,4.01,1
"hsa-miR-101-3p",7.2,1,3.17,3.1,1,1,4.32,1,1
"hsa-miR-29b-3p",12.82,10.53,6.06,9.04,6.53,3.28,11.78,5.13,1
"hsa-miR-103a-3p",10.78,10.1,5.18,7.78,6.47,2.35,10.31,4.83,1
"hsa-miR-105-5p",1,3.77,1,1,1,1,1,1,1
