"","GSM1315087","GSM1315088","GSM1315089","GSM1315090","GSM1315091","GSM1315092","GSM1315093","GSM1315094","GSM1315095","GSM1315096","GSM1315097","GSM1315098","GSM1315099","GSM1315100","GSM1315101","GSM1315102"
"hsa-miR-125b",5.32e-05,0.01909237,0.310951181,1.32e-06,1.54e-06,8.79e-06,0.001087402,2.34e-05,0.022730433,0.002211007,0.01161429,0.001213808,0.007405259,0.001873972,0.023055807,0.013552467
"hsa-miR-126",0.000691043,0.003467499,0.001076487,0.000200953,8.92e-05,0.000534689,0.00025651,0.001053133,0.002486784,0.000264785,0.010292268,0.001576122,0.001113982,0.004024795,0.004949704,0.002077954
"hsa-miR-127",0.008260301,0.000257306,5.46e-05,4.86e-06,1.45e-06,7.37e-06,0.000273048,2.35e-05,0.000262626,0.006202103,0.010292268,0.003634477,0.001589764,0.513367546,0.018529336,0.000765493
"hsa-miR-128",1.8e-05,0.000131911,0.001703928,1.29e-05,2.44e-05,3e-05,4.64e-05,2.01e-05,0.000262626,0.007653356,0.000300823,0.055394529,0.005018472,0.003754184,0.010747024,0.013552467
"hsa-miR-129",0.001062165,1.74e-06,4.91e-05,0.102216854,1.87e-06,3.05e-06,6.69e-06,3.36e-05,5.09e-05,0.000112938,0.000300823,0.0008749,0.005018472,0.004955471,0.00394325,0.003489447
"hsa-miR-130a",0.008260301,1.34e-05,1.01e-05,3.15e-06,8e-06,6.1e-06,2.09e-06,6.72e-06,5.09e-05,0.005938496,0.00019635,0.000645505,0.060572678,0.000590505,0.000476552,0.007528438
"hsa-miR-130b",2.07e-05,0.000166194,0.014740885,2.57e-05,0.000765581,4.6e-05,3.97e-05,8e-05,0.00823699,0.005938496,0.245634447,0.001374905,0.006720187,0.003754184,0.000355604,0.004576497
"hsa-miR-132",0.000932047,0.000428966,0.001375707,9.64e-06,0.000281839,0.000424538,0.00065332,0.002546944,0.005567271,0.00082394,3.33323908,0.007686808,0.006720187,0.001873972,0.001113827,0.004301302
"hsa-miR-133a",1.41e-06,0.018598976,4.38e-05,2.77e-05,1.87e-06,0.448727601,0.000487987,0.006916092,0.001136541,0.000950661,0.002247115,0.266179118,0.00164316,0.000896063,0.001760339,0.029275737
"hsa-miR-133b",0.008224439,1.68e-06,0.001259795,4.52e-06,4.44e-06,0.014847013,1.000918842,3.36e-05,0.002486784,0.063492513,0.245634447,0.000186861,0.00164316,0.009248884,0.000457514,0.000324073
