"","GSM2588966","GSM2588967","GSM2588968","GSM2588969","GSM2588970","GSM2588971","GSM2588972","GSM2588973","GSM2588974","GSM2588975","GSM2588976","GSM2588977","GSM2588978","GSM2588979","GSM2588980","GSM2588981","GSM2588982","GSM2588983","GSM2588984","GSM2588985","GSM2588986","GSM2588987","GSM2588988","GSM2588989","GSM2588990","GSM2588991","GSM2588992","GSM2588993","GSM2588994","GSM2588995","GSM2588996","GSM2588997","GSM2588998","GSM2588999","GSM2589000","GSM2589001","GSM2589002","GSM2589003","GSM2589004","GSM2589005","GSM2589006","GSM2589007","GSM2589008","GSM2589009","GSM2589010","GSM2589011","GSM2589012","GSM2589013"
"hsa-miR-19a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-3p",0.947,0,0,2.573,1.539,0,3.377,1.934,0,0,0,0,0,3.65,0,0,1.606,0,2.799,0,3.892,3.222,2.432,0,0,2.609,0,2.521,3.449,0,0,3.89,3.346,3.034,0,2.981,0,3.652,2.423,2.368,3.393,0,3.246,0,3.277,4.318,4.026,0
"hsa-miR-19b-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-19b-3p",3.565,0,0.672,0,1.742,0,4.359,1.031,0,0,0,0,0,0,0,4.099,4.369,2.675,2.423,0,0,2.787,0,1.739,0,0,3.913,1.81,2.016,2.961,0,4.548,9.003,0,4.631,0,0,2.857,1.159,0,3.972,0,3.699,0,4.254,4.164,0.97,2.591
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",2.508,0,0,0,4.673,0.496,7.094,0,0,1.334,4.275,1.055,1.775,1.506,0,5.368,5.524,5.001,4.738,0,0,2.242,0,3.666,0,2.146,4.972,3.771,4.182,2.677,0,6.846,10.008,0,5.556,2.564,0,4.682,3.581,0,5.002,0,5.185,5.1,5.387,5.404,4.661,5.192
"hsa-miR-20a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-3p",0,1.354,0,0,0,0.731,0,0,0,0,0,0,0,0,0,0,0,1.869,0,0,0,0,0,0,4.95,0,0,0,0,2.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-22-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-22-3p",3.119,0,0,0,1.943,2.864,4.671,0,0,0,0,0,0,0,0,5.433,5.212,2.983,2.395,0,2.502,0,0,2.533,0,2.29,3.166,0.755,3.969,3.77,0,5.055,9.485,0,5.2,0,0,0.972,2.023,0,4.342,0,3.904,0,5.432,3.225,2.337,3.834
"hsa-miR-23a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-23a-3p",6.041,2.216,5.048,0,5.397,4.452,6.055,3.074,1.399,5.359,4.982,2.505,3.307,3.236,0,6.429,6.201,5.058,6.102,3.705,3.737,3.149,2.546,5.591,0,4.181,4.816,4.458,4.542,4.821,0,6.869,9.317,0,5.447,3.732,0,4.967,4.965,3.306,6.204,3.069,6.897,6.322,5.304,6.585,5.544,5.476
