"","GSM2461411","GSM2461412","GSM2461413","GSM2461414","GSM2461415","GSM2461416"
"hsa-let-7a-5p",3.53605290024021,6.88996019965864,4.26303440583379,6.53138146051631,4.6724253419715,5.80219321694183
"hsa-let-7b-5p",3.48542682717024,7.04984854945056,5.04001567884788,6.48058827023386,3.86789646399265,5.40599235967584
"hsa-let-7c-5p",4.17791779219584,6.6667565918848,4.40599235967584,6.29278174922785,4.17791779219584,5.77346892790519
"hsa-let-7d-5p",4.20945336562895,7.00898878322726,4.41953889151378,6.44956137461324,6.01569380710515,5.6724253419715
"hsa-let-7e-5p",4.51727569320958,3.95419631038688,4.33628338786443,3.64385618977472,4.52356195605701,7.51491126486135
"hsa-let-7f-5p",4.03562390973072,3.92599941855622,3.73335434061383,5.53294028837287,3.56071495447448,4.24792751344359
"hsa-miR-15a-5p",4.93545974780529,9.48522554429013,5.93545974780529,9.15000109275433,3.64385618977472,6.96000193206808
"hsa-miR-16-5p",4.94016675048282,10.432646288438,7.36894291440495,11.5925971886573,6.10223819393074,9.24388801221353
"hsa-miR-17-5p",3.37851162325373,6.20554891117303,4.73876783680019,8.09381367340273,3.53605290024021,6.08321336824898
"hsa-miR-17-3p",5.35755200461808,4.98641093525204,6.09592441999854,4.16992500144231,4.41278152533848,6.60733031374961
"hsa-miR-18a-5p",5.0746766862945,4.33628338786443,7.81634370528486,4.82781902461732,4.90207357931074,7.01680828768655
"hsa-miR-19a-3p",3.33628338786443,6.08108392868763,4.04439411935845,6.51412226017071,6.52356195605701,3.6667565918848
"hsa-miR-19b-3p",3.58496250072116,8.41066334107765,6.24222139509837,8.64024493622235,4.06177619758669,6.13545278418517
"hsa-miR-20a-5p",3.33628338786443,5.8801957289431,4.04439411935845,8.02403150151675,3.4594316186373,5.87528859822269
"hsa-miR-21-5p",6.5909612413426,7.81378119121704,5.19377174339668,7.30924896081662,4.01792190799726,6.59245703726808
"hsa-miR-22-3p",5.72246602447109,8.80864246791806,6.22110372536788,8.18586654531133,4.37155886261196,6.57440430902258
"hsa-miR-23a-3p",6.92837032301897,7.69488019279919,6.78920757534734,8.25219234012239,5.09169983413681,7.36369674483899
"hsa-miR-24-1-5p",3.96347412397489,3.92599941855622,4.84297883178833,3.8073549220576,3.65535182861255,9.31446995399647
"hsa-miR-24-3p",5.47897180503294,8.00674683244059,4.32912359629157,7.27705487614873,4.24792751344359,6.54225804976692
"hsa-miR-25-3p",8.55074678538324,7.32012359804061,5.03562390973072,6.35931031689044,3.82781902461732,4.4262647547021
"hsa-miR-26a-5p",4.14567745519564,4.71149490665009,4.22496636500027,6.58796498888268,3.70043971814109,5.36106648879432
"hsa-miR-26b-5p",12.0558585849079,4.35049724708413,4.95884267524324,5.43629511983936,3.63226821549951,4.06177619758669
"hsa-miR-27a-3p",4.4262647547021,5.14159627838382,4.04439411935845,6.25361115194717,3.8073549220576,5.4093909361377
"hsa-miR-28-5p",3.33628338786443,3.94485844580754,4.21723071622067,3.15380533607904,7.23266075679027,6.41447383643093
"hsa-miR-29a-3p",3.75488750216347,5.96347412397489,4.70043971814109,6.0746766862945,3.6667565918848,4.43962313755712
"hsa-miR-30a-5p",4.08746284125034,5.80219321694183,3.60880924267552,5.74685018309805,4.03562390973072,4.71149490665009
"hsa-miR-30a-3p",3.79701297783614,4.97727992349992,4.33628338786443,3.49825086752783,6.04220656012069,8.11009175192513
"hsa-miR-31-5p",5.75488750216347,3.73335434061383,5.84297883178833,4,4.17791779219584,5.6724253419715
"hsa-miR-32-5p",4.79181407116183,3.877744249949,3.63226821549951,3.27798474729977,5.63807383718072,3.0703893278914
"hsa-miR-33a-5p",4.02680005934372,5.06608919045777,7.90448409790142,3.29278174922785,7.05419729438881,4.43962313755712
"hsa-miR-92a-3p",4.23266075679027,9.51234542034734,5.98413359454098,8.09328550387792,3.8073549220576,6.08958289312471
"hsa-miR-93-5p",3.68929916053589,5.42290574261218,6.00674683244058,6.85299758761332,3.60880924267552,4.33628338786443
"hsa-miR-95-3p",3.48542682717024,3.64385618977472,7.87159726561385,6.89965902637744,5.18982455888002,3.05311133645956
"hsa-miR-96-5p",7.33449676839042,3.76553474636298,4.51096191927738,4.63226821549951,5.31831684133498,4.74953426766926
"hsa-miR-98-5p",5.12101540096137,4.14567745519564,3.51096191927738,3.65535182861255,3.8972404255748,5.88508622529017
"hsa-miR-99a-5p",4.00898878322726,6.25927248703759,4.19377174339668,5.76818432477693,3.60880924267552,4.85299758761332
"hsa-miR-100-5p",3.57288966842058,6.41447383643093,4.71699089440494,4.93545974780529,3.90689059560852,3.85798099512757
"hsa-miR-101-3p",3.92599941855622,5.69488019279919,3.97269265400426,5.94016675048282,4.20945336562895,3.0703893278914
"hsa-miR-29b-3p",3.78659636189081,4.29278174922785,11.0290110866591,4.99095486039699,3.93545974780529,3.21723071622067
"hsa-miR-103a-3p",3.92599941855622,8.76851518019424,4.88264304936184,8.13699111208023,4.10433665981474,6.08108392868763
"hsa-miR-105-5p",5.81249822533356,4.30012372456901,6.9518675043269,5.71424551766612,5.38887833881199,2.94485844580754
"hsa-miR-106a-5p",11.2994942390094,6.35402893805439,4.48542682717024,8.16540952031982,3.83794324189103,6.08746284125034
"hsa-miR-107",3.82781902461732,8.64925617751731,5,7.99604972751976,5.21723071622067,5.71699089440494
"hsa-miR-192-5p",3.40599235967584,3.75488750216347,5.76553474636298,4.61470984411521,5.97498811199193,3
