"","GSM3039940","GSM3039941","GSM3039942","GSM3039943","GSM3039944","GSM3039945","GSM3039946","GSM3039947","GSM3039948","GSM3039949"
"hsa-let-7a-3p",5.87426056496343,5.9485597513567,6.05487050505331,5.75923666108293,6.62379824063356,6.3674518520372,6.87792203888971,6.53723928781551,6.36748210608079,6.42308142207315
"hsa-let-7a-5p",14.7363807505645,14.5109202386352,14.7312528013161,14.63308648469,14.6092635834564,14.5545027484399,15.0888160072656,14.803473274549,15.0362951154211,15.1335634916268
"hsa-let-7b-3p",2.91687149768813,2.70564099736737,1.97525809281677,3.45523764081041,1.83549127640026,3.28080446159291,3.19384668732889,4.02792581696312,4.46266630557083,1.5942123891967
"hsa-let-7b-5p",12.1642996492198,12.0594924717823,11.8021856681431,12.4833105107919,12.0740287645296,12.223341680564,12.5114120028884,13.3114782370223,13.5343127067075,12.68870488755
"hsa-let-7c-3p",0,0,0,0,0.715658213611535,0,0.702178463394378,0,0,0
"hsa-let-7c-5p",9.63501152240049,10.3197034478605,10.0249387077025,10.1848026832876,10.415470979859,10.4304574097761,10.5544183455523,10.7210579696031,10.5749019652688,10.5751315087513
"hsa-let-7d-3p",9.0185152991101,8.67466035539464,8.63824386926725,8.45072633968393,8.89363422955136,8.67731665525918,8.56865396190467,9.18073316926514,8.98101951547834,8.77869258536859
"hsa-let-7d-5p",12.4015158714635,12.2164192744852,12.4014629937627,12.0064978268622,12.2793888044856,12.5031567325427,12.9849455221057,12.4453728092313,12.6138938296024,12.5952864278508
"hsa-let-7e-3p",2.64192822836879,0,0.723822734171863,0,1.19185608233661,0.8826602356209,0.702178463394378,0,2.17256121908651,1.5942123891967
"hsa-let-7e-5p",9.41450540434183,8.07972823420671,8.75271632572827,9.28924809997022,9.78381754294151,9.08625666074787,9.55357302483283,7.66261521714447,8.52203246592464,8.81148323276001
"hsa-let-7f-1-3p",3.81804611084407,3.59059637414832,2.90987367404631,2.11192926116196,3.12214052294201,3.19479030848779,2.98122358293604,2.60981200918664,4.62530290756053,3.71323152442263
"hsa-let-7f-2-3p",2.64192822836879,2.10905488932194,2.47530976004199,0,2.45828384636676,2.30381069777699,2.42994195234772,1.82868059877507,2.64670309687757,0
"hsa-let-7f-5p",15.6454106618062,15.1816631527302,16.0751546327942,15.3220379137542,15.5670473514556,15.1694622672612,15.5600004051887,14.8971910150522,14.9393073735555,15.7514430857315
"hsa-let-7g-3p",0,0,0.723822734171863,0,0.715658213611535,1.0874827238272,0,1.82868059877507,0.908472904179639,0
"hsa-let-7g-5p",15.3176500647522,14.7285467112219,15.6860197735264,14.0247597396024,14.9021292978638,14.7455986382939,14.6695120143486,13.7819901462039,14.0055111000297,14.3050946600141
"hsa-let-7i-3p",2.30195046716531,2.43796838066215,3.19288927878658,0,2.89187077828576,3.43882594494682,3.75906982466266,3.48651909277856,3.00296540658323,2.33302086586153
"hsa-let-7i-5p",16.2609347683377,16.6987004662278,15.9788858278505,16.8213592272408,16.3693939136736,16.3228442826288,16.4158804266275,16.5805675337361,16.2537701946805,16.7746374723373
"hsa-miR-100-5p",5.66663465514535,7.17602737293317,6.82932396599804,7.80490674756437,7.05156374641605,7.97014329663496,8.09659627520851,8.55520930962579,7.38923070244789,9.95781860579691
"hsa-miR-101-3p",10.6076926649123,11.3147659825688,12.2763037952852,11.7439994730468,11.7273683062537,11.8351380568977,11.6874547499704,11.7162600458201,10.7766288580143,10.9570930820209
"hsa-miR-101-5p",0,0,0,0,0,0.357560248083621,0.702178463394378,1.82868059877507,0,0
"hsa-miR-103a-2-5p",2.91687149768813,1.07361137761562,1.71388641437608,0,1.19185608233661,0.643869709956802,1.52650902797407,0,0,0
"hsa-miR-103a-3p",12.623271043511,11.8846541111033,13.3449877556468,11.6336724625098,12.1493872904945,11.8805059354939,11.7357280057553,11.1788674750583,11.4663368706108,11.665348622884
"hsa-miR-103b",12.6057864053622,11.8740783774517,13.3332865121682,11.6108638046823,12.1319460195265,11.8672076736438,11.7197263293152,11.156459753856,11.4487902185856,11.6436602819311
"hsa-miR-106a-3p",1.2081509716591,1.68229937187028,0.723822734171863,2.11192926116196,0.715658213611535,1.56988051358826,0.702178463394378,2.60981200918664,0.908472904179639,2.33302086586153
"hsa-miR-106a-5p",4.69476061014841,3.83353209227627,3.96900574351533,4.38792342701257,4.24659843062276,4.8360865961125,5.38378641663165,4.86162429660908,4.34307139349598,4.65715731668492
"hsa-miR-106b-3p",9.46352921998272,10.0138671137274,9.54375865622409,9.86318442760514,9.64605721978748,10.016062277207,9.6479160242334,9.51354308457573,10.1978347297294,9.47121395596499
"hsa-miR-106b-5p",6.7953866917469,5.81339037490964,7.1700827805713,5.66790190850828,6.62379824063356,7.13446360904181,6.93817015401881,5.89962944115946,5.27476393774708,5.05782897714643
"hsa-miR-107",8.82366211524708,7.76500607747405,8.07207260610444,7.20161763663976,7.68109691458775,8.93446551954364,8.37246344626429,7.8175376927984,8.92745175674177,7.56067342214035
"hsa-miR-10a-3p",3.34665815521423,3.12645536918813,4.02781588379726,3.45523764081041,3.12214052294201,2.66536755276687,3.2894560355841,3.48651909277856,1.46158888214229,2.33302086586153
"hsa-miR-10a-5p",10.1709932496415,9.7855290368594,10.2368485783603,10.8853992718626,10.5010746723261,9.45914888500478,9.64113534117811,11.1499930989928,9.6037617318543,10.3003994111175
"hsa-miR-10b-3p",1.2081509716591,1.68229937187028,0,0,2.45828384636676,1.42628833633279,0,0,0.908472904179639,3.1822450539082
"hsa-miR-10b-5p",7.90385308913399,8.1710305162241,6.97092848070416,10.6521116027428,9.40221987119323,7.44038745871756,7.60533527097832,10.5742302526186,8.09679371137667,9.77704918990217
"hsa-miR-1179",1.2081509716591,0,0,0,0,0.643869709956802,0,0,0.908472904179639,0
"hsa-miR-1180-3p",3.52146622350642,5.22708427719319,2.09009528943051,5.46581012695699,3.91925526607194,5.75158091770247,5.38378641663165,6.17910053975945,6.11708182950982,5.43979679301678
"hsa-miR-1183",0,0,0,0,0,0,0,1.82868059877507,0,0
"hsa-miR-1185-1-3p",5.28547570528656,4.59685173849151,5.27761430452483,2.93458807824271,5.0492654669889,4.15990679153179,4.11277940874853,4.58310300105554,1.86043555922927,4.65715731668492
"hsa-miR-1185-2-3p",2.64192822836879,1.07361137761562,2.38821448495451,0,2.45828384636676,0.8826602356209,1.8105823539062,2.60981200918664,1.46158888214229,1.5942123891967
"hsa-miR-1185-5p",0,0,0,0,0,0,0,0,1.46158888214229,0
"hsa-miR-1193",0,0,0,0,0,0.357560248083621,0,0,0.908472904179639,0
"hsa-miR-1197",0,0,2.38821448495451,0,1.19185608233661,0.357560248083621,1.8105823539062,0,0.908472904179639,0
"hsa-miR-122-3p",0,0,0.406837252782322,2.11192926116196,1.19185608233661,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0.643869709956802,1.172435849589,0,1.46158888214229,0
"hsa-miR-122-5p",6.08387455535631,8.79076589610121,7.71973016156688,11.1862414418662,8.27273009322997,7.70242653509933,8.23211728551006,10.7123062718485,9.39032372886512,13.7732197810486
"hsa-miR-1226-3p",0,0,0.723822734171863,0,0.715658213611535,0,0,0,0.908472904179639,0
"hsa-miR-1227-3p",0,0,0.723822734171863,0,0,0,0,0,0,0
"hsa-miR-1228-5p",0,0,0,0,0,0.357560248083621,0,0,0,1.5942123891967
"hsa-miR-1229-3p",0,0,0.983552631145608,0,1.19185608233661,0.643869709956802,0,1.82868059877507,0,1.5942123891967
"hsa-miR-1234-3p",0,0,0,0,0,1.0874827238272,0.702178463394378,0,0,0
"hsa-miR-1238-3p",0,0,0,0,0,0,0.702178463394378,1.82868059877507,0,0
"hsa-miR-1244",0,0,0,0,0,0,0,0,0.908472904179639,0
"hsa-miR-1246",2.91687149768813,1.07361137761562,0.723822734171863,0,1.83549127640026,2.84552238160379,3.19384668732889,3.782471830331,3.00296540658323,4.40551346605008
"hsa-miR-1248",0,0,0,0,1.19185608233661,0,0,0,2.64670309687757,0
"hsa-miR-1250-5p",4.2739474871023,4.305957382772,4.36082578506025,3.45523764081041,3.49514723735291,3.23843831554994,3.46353800728794,3.48651909277856,2.83580344859101,3.1822450539082
"hsa-miR-1254",2.64192822836879,1.68229937187028,2.47530976004199,2.93458807824271,3.12214052294201,2.21919801047406,2.25149425518546,3.782471830331,2.64670309687757,2.33302086586153
"hsa-miR-1255a",4.06393085277045,2.43796838066215,7.47489410164743,5.46581012695699,4.03681760833559,0.8826602356209,1.8105823539062,5.38660166292945,3.63247163279351,5.56814818231252
"hsa-miR-1255b-2-3p",0,0,0,0,0,0,0,0,1.46158888214229,0
"hsa-miR-1255b-5p",2.64192822836879,3.45183851666792,2.19646167769274,4.38792342701257,2.27899391788204,3.64749298509915,3.61885807436045,4.86162429660908,5.54247456192181,4.53681511095116
"hsa-miR-1256",0,0,1.20358004631087,0,1.83549127640026,0.8826602356209,0,0,0,1.5942123891967
"hsa-miR-1258",0,0,0.406837252782322,0,0,0.643869709956802,0.702178463394378,0,0,0
"hsa-miR-125a-3p",2.30195046716531,3.29830086572887,1.71388641437608,2.93458807824271,2.76130456661895,2.66536755276687,1.172435849589,0,3.15275424885908,1.5942123891967
"hsa-miR-125a-5p",9.60376561025788,7.65069166729099,8.29045018145018,9.62292568001177,9.8252605625906,8.35676449872469,9.12668919464762,9.11585047150207,8.07349688965792,8.64681315824001
"hsa-miR-125b-1-3p",0,1.07361137761562,0.723822734171863,2.11192926116196,0,1.26680848867854,1.52650902797407,0,0,0
"hsa-miR-125b-2-3p",0,1.07361137761562,0.983552631145608,3.45523764081041,1.54927333750006,0.357560248083621,1.172435849589,1.82868059877507,1.46158888214229,1.5942123891967
"hsa-miR-125b-5p",5.46739817539872,5.89600174645909,5.53240707882174,6.21138552275585,6.17567997844343,5.29465734767087,5.60433624921939,7.00681452533468,4.98627508796814,6.80814434713328
"hsa-miR-1260b",3.52146622350642,2.93133732056711,3.08624918901486,0,2.61773535719489,2.30381069777699,1.52650902797407,0,2.42902346996175,0
"hsa-miR-1262",0,0,0,0,0,0,0.702178463394378,0,0,0
"hsa-miR-126-3p",16.3323935580917,16.7183145114493,16.3459501979677,16.9004869800226,16.8580330450866,16.357969650146,15.7352484564596,15.9733130168623,16.0698456245241,16.1450060997274
"hsa-miR-126-5p",10.4969291450032,9.06520747370518,10.0815557294846,8.21295534284817,9.61212522597063,9.52781992714592,9.3510231921152,9.2728938211239,8.72704147737247,8.80498445557909
"hsa-miR-1266-3p",0,0,0,0,0,0.357560248083621,0,0,0,0
"hsa-miR-1268a",0,2.70564099736737,1.71388641437608,0,1.19185608233661,0.8826602356209,0.702178463394378,0,1.46158888214229,0
"hsa-miR-1270",1.2081509716591,1.07361137761562,0.983552631145608,2.11192926116196,0,1.0874827238272,0.702178463394378,0,0,0
"hsa-miR-1271-5p",4.17275737953129,3.9412038698999,4.47089164700748,2.93458807824271,4.09219114847587,4.20460666286607,3.94673757211836,4.42068217735242,3.99186000907749,3.47203045304131
"hsa-miR-1273c",1.85631911266013,1.07361137761562,0.983552631145608,0,0,0.643869709956802,1.8105823539062,0,1.86043555922927,2.81923677954592
"hsa-miR-1273d",0,0,0,0,0,0,0,1.82868059877507,0.908472904179639,0
"hsa-miR-1273f",0,1.07361137761562,0,0,0.715658213611535,0,0,0,0,0
"hsa-miR-1273g-3p",0,1.68229937187028,0.406837252782322,0,0,0,0.702178463394378,0,1.46158888214229,0
"hsa-miR-1273h-3p",6.29120545254023,7.27195453246776,6.66304665413827,7.06509388288334,6.7236113155295,6.82658571215601,6.61733880987691,7.19447004965471,6.51312640076958,7.23292867894138
"hsa-miR-1273h-5p",3.94622055359343,5.22708427719319,4.44954001068355,4.78562991399955,4.77249400980743,4.94548017334074,4.63369079944932,4.23762832534981,5.20786789545559,4.87135821181586
"hsa-miR-127-3p",7.24505381354289,8.57370466127416,7.82296671078101,6.39347182563818,8.16709496752537,7.13734867983473,7.06517853885265,7.71612595137756,6.92073261804909,7.65040802810792
"hsa-miR-127-5p",3.14771046385182,3.45183851666792,3.66992737481089,2.11192926116196,3.12214052294201,2.7279523415821,2.42994195234772,3.11376084142291,1.86043555922927,2.33302086586153
"hsa-miR-1276",0,0,0.406837252782322,0,1.54927333750006,0,0,0,0,0
"hsa-miR-1277-3p",3.94622055359343,2.43796838066215,4.99768706038094,0,3.41054252114937,3.800934761222,4.39661906250778,3.782471830331,0.908472904179639,3.47203045304131
"hsa-miR-1277-5p",5.5095075205742,4.13507753617188,6.72655788814855,3.83701059630427,5.76302058699249,5.51475078849298,5.87480402077818,5.7706846208024,3.28844358138412,5.05782897714643
"hsa-miR-1278",3.34665815521423,3.71717170268138,4.08432228677637,3.45523764081041,4.09219114847587,4.04169442676962,4.05952755827721,4.23762832534981,3.63247163279351,3.1822450539082
"hsa-miR-128-1-5p",1.85631911266013,1.07361137761562,0.983552631145608,0,1.54927333750006,1.42628833633279,0.702178463394378,0,0.908472904179639,0
"hsa-miR-128-3p",11.6054112185395,12.306009979679,11.8705551585578,12.672151821464,12.7034581048015,11.8293514917994,11.8501522176293,12.7383091275592,11.3929514005295,12.747925155757
"hsa-miR-1284",1.85631911266013,1.68229937187028,0.983552631145608,2.11192926116196,0.715658213611535,1.26680848867854,1.52650902797407,0,2.42902346996175,1.5942123891967
"hsa-miR-1285-3p",2.91687149768813,3.71717170268138,3.81055084127509,2.93458807824271,3.49514723735291,4.74822900803961,4.73905663165801,3.782471830331,3.82332786673707,4.10050433669373
"hsa-miR-1285-5p",0,0,0.723822734171863,0,1.19185608233661,1.26680848867854,1.172435849589,1.82868059877507,0.908472904179639,0
"hsa-miR-1287-3p",0,0,0.723822734171863,0,0.715658213611535,0.8826602356209,0.702178463394378,0,0,0
"hsa-miR-1287-5p",4.96067418023647,5.13936937226159,3.90769600628463,4.38792342701257,5.28139059725701,5.54113336444892,5.52798030951098,5.70161596966099,4.40410775009684,5.2989013661125
"hsa-miR-1288-3p",1.2081509716591,2.10905488932194,0.983552631145608,0,1.54927333750006,1.56988051358826,0.702178463394378,0,0.908472904179639,2.33302086586153
"hsa-miR-1289",1.2081509716591,1.07361137761562,0,0,0,0.8826602356209,0.702178463394378,0,1.46158888214229,0
"hsa-miR-1291",1.85631911266013,2.43796838066215,0.723822734171863,2.11192926116196,0,1.26680848867854,1.52650902797407,0,1.46158888214229,2.81923677954592
