"","GSM1824819","GSM1824820","GSM1824821","GSM1824822","GSM1824823","GSM1824824"
"hsa-let-7a",9.18,6.48,12.74,7.36,12.08,7.38
"hsa-let-7a*",5.07,4.86,6.39,4.62,6.32,5.01
"hsa-let-7a-2*",6.28,5.73,6.77,5.55,5.51,5.68
"hsa-let-7b",8.2,6.15,10.49,6.42,10.14,6.5
"hsa-let-7b*",5.62,5.44,6.28,5.56,6.2,5.76
"hsa-let-7c",8.61,7.12,11.13,8.26,10.64,7.13
"hsa-let-7c*",4.41,5.38,5.34,4.41,4.44,4.32
"hsa-let-7d",8.33,6.1,10.96,6.46,10.53,6.57
"hsa-let-7d*",5.77,5.7,6.42,5.9,6.15,5.9
"hsa-let-7e",8.53,8.08,9.91,7.47,9.02,7.6
"hsa-let-7e*",5.25,5.41,5.56,5.5,5.59,5.64
"hsa-let-7f",10.88,8.35,14.16,9.05,13.7,9.12
"hsa-let-7f-1*",5.09,5.15,5.83,5.16,5.8,5.15
"hsa-let-7f-2*",4.89,4.88,5.94,5.1,6.08,5.35
"hsa-let-7g",10.72,8.45,13.3,8.35,13.4,9.13
"hsa-let-7g*",4.36,4.02,4.79,4.22,5.08,4.47
"hsa-let-7i",9.15,7.29,11.78,7.15,11.11,7.17
"hsa-let-7i*",4.56,7.91,4.87,4.33,4.58,4.33
"hsa-miR-1",5.21,5.39,5.47,5.43,5.46,5.45
"hsa-miR-100",7.12,4.37,4.45,4.45,4.54,4.49
"hsa-miR-100*",4.05,4.19,4.23,4.18,4.17,4.21
"hsa-miR-101",10.07,6.88,12.88,6.75,12.91,7.29
"hsa-miR-101*",5.23,4.88,7.04,5.11,6.74,5
"hsa-miR-103",6.83,5.5,9.96,6.29,9.44,5.99
"hsa-miR-103-2*",5.11,5.05,6.26,4.79,5.99,5.25
"hsa-miR-105*",4.47,4.71,5.13,4.88,4.96,5.03
"hsa-miR-106a",7.73,5.85,10.73,5.87,10.39,6.05
"hsa-miR-106a*",4.24,4.44,4.54,4.48,4.6,4.52
"hsa-miR-106b",8.36,6.29,11.26,6.48,10.78,7.01
"hsa-miR-106b*",5.31,5.05,6.33,5.21,5.95,5.29
"hsa-miR-107",6.65,5.55,8.94,6.18,8.47,5.99
"hsa-miR-10a",4.87,4.71,5.36,4.77,5.08,4.77
"hsa-miR-10a*",5.04,7.37,5.9,5.56,5.09,5.94
"hsa-miR-10b",5.02,5.21,5.4,5.33,5.39,5.49
"hsa-miR-10b*",4.72,4.79,4.87,4.99,5.02,5.05
"hsa-miR-1178",5.24,5.53,5.54,5.61,5.65,5.61
"hsa-miR-1179",4.91,5.13,5.32,5.21,5.19,5.21
"hsa-miR-1180",4.6,4.96,5.14,5.01,5.13,5.07
"hsa-miR-1181",4.96,5.1,5.27,5.13,5.14,5.11
"hsa-miR-1182",4.9,4.97,5.13,4.96,5.15,5
"hsa-miR-1183",5.06,4.9,5.56,4.82,5.08,5.16
"hsa-miR-1184",6.5,5.65,7.16,5.78,6.11,5.66
"hsa-miR-1185",5.03,5.11,5.26,5.26,5.31,5.26
"hsa-miR-1197",4.93,4.79,5.19,4.91,5.07,5
"hsa-miR-1200",5.14,5.12,5.43,5.18,5.27,5.2
"hsa-miR-1201",8.03,5.11,10.2,4.93,9.2,5.25
"hsa-miR-1202",4.93,5.18,5.37,5.43,5.45,5.33
"hsa-miR-1203",4.65,4.97,5.15,4.97,5.1,5.04
"hsa-miR-1204",5.46,5.33,5.83,5.27,5.43,5.39
"hsa-miR-1205",5.32,5.59,5.63,5.68,5.74,5.71
"hsa-miR-1206",4.84,4.77,5.17,4.89,5.07,5.05
"hsa-miR-1207-3p",5.76,6.03,6.54,6.24,6.04,6.38
"hsa-miR-1207-5p",4.48,4.59,4.84,4.73,4.81,4.87
"hsa-miR-1208",4.99,5.17,5.22,5.2,5.17,5.18
"hsa-miR-122",5.01,5.02,5.11,4.98,5.26,5.04
"hsa-miR-122*",4.58,4.47,4.94,4.66,4.64,4.54
"hsa-miR-1224-3p",5.82,6.01,6,6,5.95,6.03
"hsa-miR-1224-5p",4.86,4.96,5.15,5.02,5.1,5.12
"hsa-miR-1225-3p",5.06,5.1,5.38,5.42,5.4,5.61
"hsa-miR-1225-5p",4.9,5.17,5.27,5.25,5.26,5.25
"hsa-miR-1226",5.47,5.37,6.06,5.65,5.67,5.76
"hsa-miR-1226*",4.6,4.89,4.69,4.97,5.06,4.93
"hsa-miR-1227",5.72,5.69,6,5.9,5.92,5.88
"hsa-miR-1228",5.27,5.35,5.55,5.49,5.52,5.62
"hsa-miR-1228*",5.08,5.17,5.38,5.13,5.12,5.33
"hsa-miR-1229",5.39,5.55,5.61,5.63,5.63,5.73
"hsa-miR-1231",5.1,5.31,5.29,5.35,5.2,5.47
"hsa-miR-1233",5.05,5.07,5.43,5.36,5.46,5.55
"hsa-miR-1234",5.15,5.31,5.6,5.34,5.43,5.39
"hsa-miR-1236",6.33,6.57,7.14,8.65,6.44,6.6
"hsa-miR-1237",5.95,6.16,6.28,6.23,6.27,6.25
"hsa-miR-1238",5.4,5.51,5.71,5.7,5.75,5.75
"hsa-miR-124",10.51,5.22,5.67,5.01,5.01,4.97
"hsa-miR-124*",5.25,7.45,5.76,7.7,5.21,7.4
"hsa-miR-1243",5.6,4.9,5.79,4.99,5.83,4.96
"hsa-miR-1244",5.5,5.49,5.83,5.54,5.63,5.48
"hsa-miR-1245",4.8,4.84,4.65,4.94,4.81,4.99
"hsa-miR-1246",11.27,14.46,13.19,14.47,10.25,14.07
"hsa-miR-1247",5.42,5.57,5.74,5.77,5.84,5.81
"hsa-miR-1248",6.56,5.61,7.96,6.08,7.24,5.54
