"","GSM1086789","GSM1086790","GSM1086791","GSM1086792","GSM1086793","GSM1086794","GSM1086795","GSM1086796","GSM1086797","GSM1086798","GSM1086799","GSM1086800","GSM1086801","GSM1086802","GSM1086803","GSM1086804","GSM1086805","GSM1086806","GSM1086807","GSM1086808"
"hsa-miR-602",7.990671284,7.55688919,7.465566405,7.823685681,7.529820947,7.798633802,7.30241045,7.317864798,7.729110867,6.858602712,7.155830172,7.141085319,7.818262608,7.501439145,7.809607374,7.211401637,8.452858965,7.927037169,7.66088727,8.162517213
"hsa-miR-550a",7.307428525,7.181897643,7.458201525,8.078417702,7.59058705,7.833364507,7.494655613,7.061236166,7.514911265,7.408966552,7.093285504,7.054197294,7.831782257,7.404290064,7.588901986,7.0725346,8.168421411,9.507398241,7.390598906,7.921840937
"hsa-miR-1323",7.725195817,7.703730578,8.394248311,8.530211233,7.81602364,8.498250868,7.423746229,7.490048599,7.346513733,6.471675214,7.054197294,6.793765857,7.497851837,7.271929844,6.696967526,7.0725346,8.299894853,7.422485316,8.175300036,7.853309555
"hsa-miR-503",8.838337281,8.453064814,7.452447178,7.55190048,6.85237345,6.735386783,8.653024179,8.546315723,7.440869168,8.284939742,8.762382039,8.542838417,6.919459269,6.905387005,6.355791547,7.369815424,6.930145948,7.175424799,7.462297766,6.290940402
"hsa-miR-362-3p",7.076815597,7.639159795,7.060155495,10.47667027,7.057450272,7.527867927,7.959712205,7.410239331,7.534497434,8.048486874,8.207624468,8.63780222,7.025693274,7.558420713,7.956521363,7.332036548,6.532161085,6.926295995,7.182642644,6.254556252
"hsa-miR-17*",7.270996061,7.464137286,7.223036338,6.559185866,7.035073997,7.67047922,7.758889433,7.429615964,7.352264173,7.801708359,7.995201831,8.450695772,7.381110294,9.615077832,7.007868243,7.522973781,7.65731845,7.306973057,7.201143732,6.94016675
"hsa-miR-532-3p",7.691743519,7.776926458,6.960581211,7.30103885,6.970393538,7.557655155,8.18611424,7.70286529,7.73809226,7.731658449,7.941634545,8.353367404,6.832890014,7.354028938,7.899054756,7.522973781,7.04220656,7.200653436,7.428778891,7.415319248
"hsa-miR-636",7.603255425,7.244125943,7.751209288,7.660709039,7.988968654,8.517669388,7.725536678,7.866197085,7.028734893,6.519636253,6.800252806,6.589463893,7.669239411,7.01346226,7.529820947,7.306517445,8.14172399,6.770829046,8.541290253,8.147968054
"hsa-miR-760",7.603255425,7.430034319,7.507596454,7.686150316,7.726218159,7.741129869,6.992371907,7.258330473,7.971543554,7.29553937,7.060155495,7.003939486,7.91318862,7.226412193,7.634448062,7.010108453,8.019312726,7.935017678,7.54341855,7.772644484
"hsa-miR-203",7.168421411,7.337398903,7.547087321,7.071462363,6.921840937,7.270996061,7.344295908,6.615445725,7.346513733,7.65803292,7.476138625,8.045486656,7.743824607,7.988542682,8.444807845,7.805582668,6.699745948,9.912440295,6.752882366,7.143383214
"hsa-miR-125b-2*",7.45532722,7.464137286,7.447909749,7.244125943,7.691220077,7.824004051,7.765534746,7.021257621,7.227375274,7.069852511,6.95070169,7.320574934,7.177419538,7.124121312,8.006466343,7.49645436,8.692005169,7.317186468,7.923030298,8.019868678
"hsa-miR-500a*",7.425006041,7.523953939,7.25313837,7.391028727,7.102763097,7.224725253,7.566815154,7.378078056,7.408117408,7.618018358,7.805421446,7.751711415,7.669239411,7.384999545,7.816183681,7.285864547,8.186980835,7.132885254,7.639159795,7.562242424
