"","GSM4319703","GSM4319704"
"hsa-let-7a-2-3p",5.07197522,5.54896719
"hsa-let-7a-3p",7.92085279,8.47921602
"hsa-let-7a-5p",14.58514323,14.23217634
"hsa-let-7b-3p",6.02027579,6.37156162
"hsa-let-7b-5p",13.15064826,12.5538794
"hsa-let-7c-3p",1.35727101,2.52918899
"hsa-let-7c-5p",10.96989437,10.02964515
"hsa-let-7d-3p",7.80858538,7.67239339
"hsa-let-7d-5p",8.74413961,8.74413961
"hsa-let-7e-3p",4.56142096,5.4858408
"hsa-let-7e-5p",9.72504295,9.55047203
"hsa-let-7f-1-3p",4.41678602,5.4858408
"hsa-let-7f-2-3p",4.32779342,4.08124784
"hsa-let-7f-5p",13.26307323,12.84155903
"hsa-let-7g-3p",2.68071322,4.30614605
"hsa-let-7g-5p",11.28135129,11.01368882
"hsa-let-7i-3p",5.8961393,6.55801743
"hsa-let-7i-5p",14.93606303,14.85936394
"hsa-miR-100-3p",5.84677833,6.22631841
"hsa-miR-100-5p",14.85936394,15.91580269
"hsa-miR-101-3p",10.11092444,9.32456163
"hsa-miR-101-5p",2.0688364,1.68161933
"hsa-miR-103a-2-5p",3.84541439,2.0688364
"hsa-miR-103a-3p",12.38228772,11.89714849
"hsa-miR-106b-3p",8.45218775,8.45218775
"hsa-miR-106b-5p",7.51244449,7.31427296
"hsa-miR-107",9.68298994,9.08857187
"hsa-miR-10a-3p",4.71684943,4.56142096
"hsa-miR-10a-5p",14.0701587,13.52998083
"hsa-miR-10b-5p",6.72958513,5.72994355
"hsa-miR-1180-3p",6.34912331,5.93467963
"hsa-miR-1180-5p",1.68161933,1.1897418
"hsa-miR-1185-1-3p",6.55556927,6.55801743
"hsa-miR-1185-2-3p",5.35034226,5.4858408
"hsa-miR-1185-5p",5.36669086,5.76277169
"hsa-miR-1197",4.71684943,4.25882196
"hsa-miR-122-5p",1.35727101,0.71528503
"hsa-miR-1224-5p",1.1897418,2.35972932
"hsa-miR-1228-5p",2.94285122,1.68161933
"hsa-miR-1229-3p",0.71528503,1.1897418
"hsa-miR-1245a",1.68161933,2.52918899
"hsa-miR-1246",10.39309836,6.65630163
"hsa-miR-1248",2.94285122,2.0688364
"hsa-miR-1249-3p",2.81775433,1.1897418
"hsa-miR-1254",2.81775433,2.94285122
"hsa-miR-1255a",2.81775433,3.26366845
"hsa-miR-1255b-5p",1.1897418,1.83091875
"hsa-miR-125a-3p",5.45551511,5.57295543
"hsa-miR-125a-5p",11.89714849,11.48888801
"hsa-miR-125b-1-3p",11.36717978,11.98633004
"hsa-miR-125b-2-3p",7.58111658,7.11179212
"hsa-miR-125b-5p",13.19962475,13.76719931
"hsa-miR-126-3p",7.11179212,7.32004244
"hsa-miR-126-5p",10.85487417,10.76757535
"hsa-miR-1260a",6.3802287,7.58111658
"hsa-miR-1260b",6.56046558,7.94015374
"hsa-miR-1262",4.08124784,3.77987824
"hsa-miR-1268a",5.29783874,5.69473372
"hsa-miR-1268b",4.37297904,4.65481093
"hsa-miR-1269a",2.0688364,2.0688364
"hsa-miR-127-3p",14.39972322,14.93606303
"hsa-miR-127-5p",6.34912331,6.54576052
"hsa-miR-1270",3.31226639,1.68161933
"hsa-miR-1271-3p",1.1897418,2.68071322
"hsa-miR-1271-5p",4.82490216,6.12546926
"hsa-miR-1273a",1.68161933,1.68161933
"hsa-miR-1273d",2.35972932,4.25882196
"hsa-miR-1273e",1.68161933,2.68071322
"hsa-miR-1273f",3.11409628,2.0688364
"hsa-miR-1273g-3p",4.56142096,4.37297904
"hsa-miR-1276",1.68161933,2.52918899
"hsa-miR-1277-5p",2.16746538,2.35972932
"hsa-miR-1278",1.68161933,1.1897418
"hsa-miR-128-1-5p",3.93658135,3.33436645
"hsa-miR-128-3p",10.22168129,9.22667845
"hsa-miR-1285-3p",7.84948308,7.30540351
"hsa-miR-1285-5p",4.65481093,4.30614605
"hsa-miR-1287-5p",4.20988717,5.21410636
"hsa-miR-129-5p",2.52918899,3.11409628
"hsa-miR-1290",2.52918899,0.71528503
"hsa-miR-1291",3.52584266,4.50058489
"hsa-miR-1292-5p",0.71528503,1.68161933
"hsa-miR-1293",2.0688364,2.81775433
"hsa-miR-1294",2.0688364,1.1897418
"hsa-miR-1296-5p",6.29213174,6.72958513
"hsa-miR-1299",1.35727101,1.68161933
"hsa-miR-1301-3p",4.8885278,5.88425976
"hsa-miR-1303",2.16746538,3.11409628
"hsa-miR-1304-3p",6.86521563,6.41107599
"hsa-miR-1304-5p",0.71528503,1.1897418
"hsa-miR-1306-3p",1.68161933,2.81775433
"hsa-miR-1306-5p",1.68161933,0.71528503
"hsa-miR-1307-3p",7.43592271,7.74754512
"hsa-miR-1307-5p",9.53554569,9.53554569
"hsa-miR-130a-3p",10.90784263,11.11118813
"hsa-miR-130b-3p",9.95145328,10.01926244
"hsa-miR-130b-5p",6.02027579,6.04486182
"hsa-miR-132-3p",8.43475959,8.53841924
"hsa-miR-132-5p",3.65824003,4.20988717
"hsa-miR-133a-3p",4.65481093,4.8885278
"hsa-miR-134-3p",2.35972932,2.94285122
"hsa-miR-134-5p",9.02351956,8.77195416
"hsa-miR-1343-3p",1.68161933,1.1897418
"hsa-miR-135b-5p",1.35727101,0.71528503
"hsa-miR-136-3p",9.37475248,9.23868363
"hsa-miR-136-5p",6.18338227,5.66689648
"hsa-miR-137",4.8885278,5.10789856
"hsa-miR-138-1-3p",4.57976512,4.76051175
"hsa-miR-138-5p",10.43509418,11.52766889
"hsa-miR-139-5p",4.56142096,3.99556166
"hsa-miR-140-3p",10.02964515,10.08101306
"hsa-miR-140-5p",5.42266858,5.10789856
"hsa-miR-141-3p",1.68161933,2.35972932
"hsa-miR-142-5p",3.60360284,2.68071322
"hsa-miR-143-3p",15.5699566,14.79604351
"hsa-miR-143-5p",4.30614605,4.72613398
"hsa-miR-145-3p",5.99523802,6.15735152
"hsa-miR-145-5p",8.79754086,8.42139584
"hsa-miR-1468-5p",4.15922775,3.52584266
"hsa-miR-146a-3p",2.35972932,2.0688364
"hsa-miR-146a-5p",11.11118813,10.43509418
"hsa-miR-146b-3p",3.44364345,3.711212
"hsa-miR-146b-5p",9.08857187,8.51490544
"hsa-miR-147b",0.71528503,2.35972932
"hsa-miR-148a-3p",11.19595776,10.87403543
"hsa-miR-148a-5p",4.9687248,4.15922775
"hsa-miR-148b-3p",9.5170097,10.11092444
"hsa-miR-148b-5p",7.09127712,6.93099226
"hsa-miR-149-5p",10.08101306,10.32671539
"hsa-miR-151a-3p",13.52998083,13.13052107
"hsa-miR-151a-5p",11.93750052,12.28768137
"hsa-miR-151b",12.08510681,12.38228772
"hsa-miR-152-3p",8.72248244,9.18039081
"hsa-miR-152-5p",5.84677833,5.57295543
"hsa-miR-153-3p",3.11409628,2.35972932
"hsa-miR-154-5p",6.30383054,5.71244687
"hsa-miR-155-5p",10.79997919,10.96989437
"hsa-miR-15a-3p",0.71528503,0.71528503
"hsa-miR-15a-5p",8.2898157,8.64036532
"hsa-miR-15b-3p",4.71684943,4.76051175
"hsa-miR-15b-5p",8.71465346,9.47789188
"hsa-miR-16-1-3p",1.1897418,1.83091875
"hsa-miR-16-2-3p",6.50824825,6.45332065
"hsa-miR-16-5p",14.19975681,14.39972322
"hsa-miR-17-3p",4.76051175,5.4858408
"hsa-miR-17-5p",7.32276632,7.28504685
"hsa-miR-181a-2-3p",6.86521563,6.71022661
"hsa-miR-181a-3p",8.31430742,8.09406066
"hsa-miR-181a-5p",17.3204769,16.66339032
"hsa-miR-181b-3p",2.81775433,2.94285122
"hsa-miR-181b-5p",14.23217634,14.0701587
"hsa-miR-181c-3p",5.63841427,5.46030341
"hsa-miR-181c-5p",8.26266868,7.92085279
"hsa-miR-181d-5p",7.31579576,6.82585581
"hsa-miR-182-5p",8.51490544,7.09127712
"hsa-miR-183-5p",4.82490216,4.8885278
"hsa-miR-185-3p",4.30614605,4.65481093
"hsa-miR-185-5p",4.62756612,4.20988717
"hsa-miR-186-3p",1.1897418,1.68161933
"hsa-miR-186-5p",12.45801285,12.12581938
"hsa-miR-187-3p",1.35727101,1.1897418
"hsa-miR-188-3p",2.68071322,2.52918899
"hsa-miR-188-5p",5.40097575,6.8853031
"hsa-miR-18a-3p",5.19184411,5.61973056
"hsa-miR-18a-5p",5.40097575,5.91152076
"hsa-miR-1908-3p",2.0688364,3.11409628
"hsa-miR-1908-5p",3.81448389,3.00376685
"hsa-miR-1909-3p",0.71528503,1.1897418
"hsa-miR-1909-5p",1.1897418,0.71528503
"hsa-miR-190a-5p",1.35727101,2.94285122
"hsa-miR-190b",1.35727101,1.83091875
"hsa-miR-191-3p",2.81775433,2.81775433
"hsa-miR-191-5p",14.79604351,14.58514323
"hsa-miR-1910-3p",0.71528503,1.68161933
"hsa-miR-1910-5p",5.65678566,5.64254456
"hsa-miR-1914-3p",0.71528503,0.71528503
"hsa-miR-1914-5p",0.71528503,0.71528503
"hsa-miR-192-5p",10.17104222,9.31079657
"hsa-miR-193a-3p",8.99988311,10.17104222
"hsa-miR-193a-5p",5.4858408,4.50058489
"hsa-miR-193b-3p",9.31079657,9.91827499
"hsa-miR-193b-5p",2.0688364,3.81448389
"hsa-miR-194-5p",5.99523802,5.29783874
"hsa-miR-195-3p",3.31226639,1.1897418
"hsa-miR-195-5p",6.04486182,6.27464923
"hsa-miR-197-3p",9.14302607,8.99988311
"hsa-miR-197-5p",2.16746538,2.0688364
"hsa-miR-1972",2.52918899,3.711212
"hsa-miR-1973",4.08124784,4.30614605
"hsa-miR-199a-3p",14.48440122,14.52002644
"hsa-miR-199a-5p",10.63064436,11.19595776
"hsa-miR-199b-3p",14.48440122,14.52002644
"hsa-miR-199b-5p",8.67875558,9.14302607
"hsa-miR-19a-3p",5.65678566,5.27940793
"hsa-miR-19a-5p",2.35972932,2.35972932
"hsa-miR-19b-1-5p",2.16746538,1.1897418
"hsa-miR-19b-3p",8.12730328,7.45572506
"hsa-miR-203a-3p",0.71528503,0.71528503
"hsa-miR-204-5p",7.0578957,6.25645382
"hsa-miR-20a-5p",6.70379828,6.38889577
"hsa-miR-21-3p",13.13052107,13.07213644
"hsa-miR-21-5p",15.91580269,15.5699566
"hsa-miR-210-3p",8.64036532,8.72248244
"hsa-miR-210-5p",3.35646652,2.52918899
"hsa-miR-2110",3.11409628,2.35972932
"hsa-miR-2114-5p",1.68161933,1.1897418
"hsa-miR-2116-3p",0.71528503,1.68161933
"hsa-miR-2116-5p",1.35727101,1.1897418
"hsa-miR-212-3p",5.8961393,5.81292405
"hsa-miR-212-5p",2.94285122,3.60360284
"hsa-miR-214-3p",9.18039081,9.88905976
"hsa-miR-214-5p",5.69473372,6.76727585
"hsa-miR-215-5p",5.29783874,4.56142096
"hsa-miR-218-1-3p",2.52918899,1.68161933
"hsa-miR-218-5p",9.74563451,9.80192507
"hsa-miR-219a-1-3p",1.68161933,0.71528503
"hsa-miR-22-3p",16.66339032,17.3204769
"hsa-miR-22-5p",7.49336494,7.84547723
"hsa-miR-221-3p",13.42069091,13.19962475
"hsa-miR-221-5p",7.24767788,8.31430742
"hsa-miR-222-3p",12.84155903,13.11075873
"hsa-miR-222-5p",7.28504685,8.22796273
"hsa-miR-224-3p",3.11409628,2.68071322
"hsa-miR-224-5p",7.90136488,8.67875558
