"","GSM2983836","GSM2983837","GSM2983838","GSM2983839","GSM2983840","GSM2983841","GSM2983842","GSM2983843","GSM2983844","GSM2983845","GSM2983846"
"hsa-miR-155",0.592317010415793,1.00310583541332,0.000351354443145421,0.000342988825261417,0.0109255471739288,0.0875873353688791,0.0108670708374396,0.0457613071187097,0.000695975736994652,0.0226013526910713,0.00275791592587112
"hsa-let-7a",1.01504564305005,0.577916531813462,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-let-7b",1.58640286068992,1.00081222503147,0.0456589254858379,0.0807593646449195,0.169826689646607,1.00253522645558,0.189162598157955,0.327534775299939,0.174600635547204,0.171500512808992,0.586341144813675
"hsa-let-7c",0.0027870168149058,0.0111955470982169,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.0220117208279971,0.000712126038006488,0.000707583784120395,0.0112284865224972,0.00138348690969687,0.0441455277071743
"hsa-let-7d",0.324502035259478,0.327054543279471,0.000351354443145421,0.010791953044858,0.0441546086039902,0.0851813356184094,0.000712126038006488,0.044501514826056,0.000695975736994652,0.00138348690969687,0.0449988682809427
"hsa-let-7e",1.56628083667034,1.59398186995383,0.000351354443145421,0.000342988825261417,0.0890061947403232,0.972258949609919,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-let-7f",0.617122828258842,0.580968936568392,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-let-7g",0.167580828099296,0.170084291828655,0.000351354443145421,0.000342988825261417,0.0224054131663957,0.164688735276634,0.000712126038006488,0.0133907646793271,0.0111310260205083,0.00138348690969687,0.00275791592587112
"hsa-miR-1",0.000174007381657661,0.000175276799618198,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-100",1.57951964848353,1.59447344146472,0.593815952209001,0.314698857165584,4.10328000293858,2.29753369535167,1.01370599125412,2.35848000504734,0.999691035416173,1.57538446847719,2.31374032115898
"hsa-miR-101",0.0113562002038527,0.00283391394462998,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.0116148852496049,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-103",10.0343393999584,10.0599022149084,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.0438234897084811,0.000712126038006488,0.0460224347389363,0.000695975736994652,0.0434350817224048,0.00275791592587112
"hsa-miR-105",0.000174007381657661,0.000175276799618198,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-106a",1.59912168335581,1.6100361988401,0.567731486846642,0.575084909167897,0.997571546185945,1.00110942418823,1.61634674263659,1.02192612626142,1.53688547805309,1.57283546086382,3.13749189033484
"hsa-miR-106b",0.322274657856683,0.328707523341598,0.0113879622522826,0.00554241765169693,0.172426631726663,0.0439998197698114,0.0458578257288115,0.0450340373786069,0.0226668682495336,0.00138348690969687,0.169513357855628
"hsa-miR-107",0.000174007381657661,0.000175276799618198,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-10a",0.000174007381657661,0.000175276799618198,0.00556400368230993,0.000342988825261417,0.321425049079411,0.163395228082106,0.013341850937771,0.169495732604276,0.0428801917643092,0.428712097448778,0.543725172053816
"hsa-miR-10b",0.00277363998235411,0.00277273282990746,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.0120850053492998,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-122",0.171443584227934,0.322468704145442,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.0111822623196705,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-124",0.000174007381657661,0.000175276799618198,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.000344661952718999,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-125a-3p",0.0112177644717294,0.0113362179529416,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.00279711055370312,0.000712126038006488,0.000707583784120395,0.000695975736994652,0.00138348690969687,0.00275791592587112
"hsa-miR-125a-5p",0.0223494600551732,0.0113350585158476,0.000351354443145421,0.000342988825261417,0.000701988861264906,0.0439426128228256,0.0117288127545065,0.0117092649739013,0.000695975736994652,0.00138348690969687,0.04483526127542
"hsa-miR-125b",1.61541025620017,0.985855522744507,0.0451710698192774,0.0219644909879648,1.00774668504586,1.00286784393864,0.000712126038006488,1.02252717719372,0.17135922485281,0.593275617104917,1.56838250330263
"hsa-miR-126",0.992029639773994,0.579158015045502,0.0112013591503639,0.000342988825261417,0.00523269009687758,0.0225459326988583,0.0134796685194584,0.023000847675506,0.022200610521259,0.0437898725952495,0.170767404770269
"hsa-miR-127-3p",0.325554185847153,0.328340544475342,0.00567569401580592,0.00547896549860741,0.173408638838508,0.17294544409684,0.0229112648812527,0.0885340976712139,0.000695975736994652,0.0440942174674344,0.580877791958686
