"","GSM2906338","GSM2906339","GSM2906340","GSM2906341","GSM2906342","GSM2906343","GSM2906344","GSM2906345","GSM2906346","GSM2906347","GSM2906348","GSM2906349","GSM2906350","GSM2906351","GSM2906352","GSM2906353","GSM2906354","GSM2906355","GSM2906356","GSM2906357","GSM2906358","GSM2906359","GSM2906360","GSM2906361","GSM2906362","GSM2906363","GSM2906364","GSM2906365","GSM2906366","GSM2906367"
"hsa-let-7a-5p",1,1,1,1,1,1,1,3.8073549220576,5.35755200461808,1,1,1,1,1,1,1,1,1,1,1,1,4.58496250072116,1,4.39231742277876,1,1,1,1,1,1
"hsa-let-7b-5p",5,5.39231742277876,5.32192809488736,3.8073549220576,3.70043971814109,3.8073549220576,3.58496250072116,4.32192809488736,3.4594316186373,3.90689059560852,4.39231742277876,4.24792751344359,3.58496250072116,3.32192809488736,2.8073549220576,3.16992500144231,3.32192809488736,3.32192809488736,4.16992500144231,4.24792751344359,3.58496250072116,4.90689059560852,4.24792751344359,3.70043971814109,4.32192809488736,3.70043971814109,4.08746284125034,3.16992500144231,4.52356195605701,3.70043971814109
"hsa-let-7c-5p",5.75488750216347,5.75488750216347,5.58496250072116,3.8073549220576,4,4,4,3.70043971814109,2.8073549220576,4.64385618977472,4.70043971814109,4.70043971814109,3.90689059560852,3.4594316186373,3.16992500144231,3.8073549220576,3.8073549220576,3,4.8073549220576,4.08746284125034,4.16992500144231,4.08746284125034,3.58496250072116,3.8073549220576,4.58496250072116,4.70043971814109,3.70043971814109,4.16992500144231,4.64385618977472,4.24792751344359
"hsa-let-7d-5p",3.16992500144231,3.4594316186373,2.8073549220576,2.8073549220576,3,2.58496250072116,2.8073549220576,1.58496250072116,3.16992500144231,1,3,2.8073549220576,2.32192809488736,1.58496250072116,2.58496250072116,1,2.32192809488736,1,2.58496250072116,2.8073549220576,1.58496250072116,3,2,3.16992500144231,2,2.32192809488736,1.58496250072116,1.58496250072116,2,3
"hsa-let-7e-5p",3.58496250072116,3,3,2.32192809488736,2.32192809488736,2,2.32192809488736,2.32192809488736,2.8073549220576,2.32192809488736,3.16992500144231,3,2.32192809488736,1,1.58496250072116,1.58496250072116,1.58496250072116,2.32192809488736,2.8073549220576,2.8073549220576,2,2.8073549220576,1,2.58496250072116,2.58496250072116,2.8073549220576,2.58496250072116,3,1,2.58496250072116
"hsa-let-7f-5p",3,2.8073549220576,2.32192809488736,1,2,2,1.58496250072116,2,2,2.32192809488736,2,2,1,1,1,1,1.58496250072116,1,1,1.58496250072116,3,2.32192809488736,1.58496250072116,1.58496250072116,1,1,2.58496250072116,1,1,2.32192809488736
"hsa-miR-15a-5p",2.32192809488736,2,1,1.58496250072116,1,2,1.58496250072116,2,2.8073549220576,1,1,1.58496250072116,1.58496250072116,1,1,1,2.58496250072116,1.58496250072116,1.58496250072116,1,2,2,2.8073549220576,1.58496250072116,1,2,1,1,1,2
"hsa-miR-16-5p",2.58496250072116,2.8073549220576,3,2.32192809488736,3.4594316186373,2.58496250072116,3,4.52356195605701,4.32192809488736,4,3.70043971814109,3.4594316186373,2.58496250072116,1,1.58496250072116,2.58496250072116,2.58496250072116,2,2.32192809488736,3.58496250072116,4.08746284125034,4.24792751344359,2.32192809488736,4.58496250072116,3.16992500144231,2.58496250072116,4.24792751344359,2.58496250072116,3.32192809488736,4.16992500144231
"hsa-miR-18a-5p",2.58496250072116,2,2.8073549220576,2.58496250072116,2,2.8073549220576,2.32192809488736,2.32192809488736,1.58496250072116,2.32192809488736,2.8073549220576,2,2.32192809488736,1,2.32192809488736,2.58496250072116,3.16992500144231,1,1,2.58496250072116,3,2.58496250072116,2.8073549220576,2.32192809488736,3,1.58496250072116,2,2,2,2
"hsa-miR-19a-3p",4.70043971814109,4.75488750216347,4.4594316186373,3.90689059560852,2.58496250072116,2.58496250072116,3,3,2.32192809488736,3.8073549220576,4.08746284125034,4.16992500144231,3.70043971814109,3,3.16992500144231,3,2,3,3.4594316186373,3.58496250072116,3.4594316186373,3.32192809488736,3.70043971814109,3.90689059560852,4,3.8073549220576,3.70043971814109,3.16992500144231,3.8073549220576,3.16992500144231
"hsa-miR-19b-3p",3.16992500144231,1.58496250072116,1.58496250072116,2.8073549220576,2.58496250072116,2.8073549220576,2.58496250072116,2.58496250072116,2.58496250072116,2.32192809488736,2.32192809488736,2.58496250072116,1.58496250072116,2,2,1.58496250072116,1.58496250072116,2,2,2.58496250072116,2.8073549220576,1,1,1.58496250072116,1.58496250072116,2,1.58496250072116,1.58496250072116,1,1
"hsa-miR-20a-5p+hsa-miR-20b-5p",2.32192809488736,2,1,2.8073549220576,1,1,2.32192809488736,1,2.8073549220576,2,3.16992500144231,2.58496250072116,2.32192809488736,2.32192809488736,1,2.32192809488736,2.58496250072116,2.58496250072116,1,1.58496250072116,2,1,1,2.58496250072116,2.58496250072116,1.58496250072116,1,2.58496250072116,2.32192809488736,1.58496250072116
"hsa-miR-21-5p",5.16992500144231,4.95419631038687,5.04439411935845,3.4594316186373,3.32192809488736,2.58496250072116,3.4594316186373,4.08746284125034,3.58496250072116,4.39231742277876,4,4.24792751344359,3.16992500144231,3.32192809488736,3.4594316186373,3.16992500144231,3.32192809488736,2.8073549220576,3.70043971814109,3.58496250072116,3,3.32192809488736,4.39231742277876,4.4594316186373,3.58496250072116,3.58496250072116,3.32192809488736,3.4594316186373,2.8073549220576,3.58496250072116
"hsa-miR-22-3p",3.4594316186373,2.32192809488736,2.32192809488736,2.58496250072116,2,2,1.58496250072116,2,3.16992500144231,3,2.8073549220576,2.32192809488736,2.58496250072116,1.58496250072116,1,1,1.58496250072116,1.58496250072116,1.58496250072116,2,2.8073549220576,3,2,2,1.58496250072116,2,1.58496250072116,2,2,3
"hsa-miR-23a-3p",2.8073549220576,2.8073549220576,3.16992500144231,1,2,2.58496250072116,2.58496250072116,3,3.58496250072116,2.8073549220576,3.4594316186373,2.32192809488736,2.58496250072116,2.8073549220576,1.58496250072116,2.32192809488736,1,1,3.16992500144231,2.58496250072116,1.58496250072116,2.8073549220576,2.58496250072116,2.58496250072116,2.58496250072116,2.32192809488736,2.58496250072116,2.58496250072116,1.58496250072116,2.8073549220576
"hsa-miR-24-3p",2.8073549220576,2.8073549220576,2.8073549220576,1.58496250072116,1,1.58496250072116,2.58496250072116,2.32192809488736,2.8073549220576,2.32192809488736,2.32192809488736,2.58496250072116,2.32192809488736,1,2.32192809488736,2.58496250072116,1.58496250072116,2.32192809488736,1,2.32192809488736,1,2,1,2,2.32192809488736,1,1,1.58496250072116,2.32192809488736,2.32192809488736
"hsa-miR-25-3p",2.8073549220576,2.32192809488736,2,2,2,2,1,3.70043971814109,3.16992500144231,2.58496250072116,2.32192809488736,2.32192809488736,2.58496250072116,2,2.58496250072116,2.8073549220576,2.58496250072116,1,2.32192809488736,2.58496250072116,2.32192809488736,2,1,1.58496250072116,2,2,2.32192809488736,2,2,2.8073549220576
"hsa-miR-26a-5p",2,1,3,2.8073549220576,2.32192809488736,1,1,3.16992500144231,3.58496250072116,2.58496250072116,2.32192809488736,2.58496250072116,1.58496250072116,1,1.58496250072116,3,3,1,1.58496250072116,1.58496250072116,2.58496250072116,3,2.8073549220576,2.8073549220576,2.8073549220576,2.32192809488736,1.58496250072116,2.32192809488736,1,1.58496250072116
"hsa-miR-26b-5p",2.8073549220576,3,3,2,3,3.16992500144231,2.32192809488736,3.16992500144231,3.16992500144231,3.90689059560852,2.58496250072116,3,3.32192809488736,1.58496250072116,2,2,3,2.32192809488736,2.8073549220576,2.8073549220576,2,2.8073549220576,3,2.32192809488736,2.32192809488736,2,3.16992500144231,3.32192809488736,1.58496250072116,3.16992500144231
"hsa-miR-27a-3p",2.32192809488736,3.32192809488736,2.32192809488736,1,2,1.58496250072116,1,3,2.58496250072116,3,2,2.32192809488736,1.58496250072116,1,1,1,1,1.58496250072116,2.32192809488736,2.32192809488736,2.58496250072116,1,1.58496250072116,2.32192809488736,1,1.58496250072116,2,1,1.58496250072116,1.58496250072116
"hsa-miR-28-5p",5.61470984411521,5.16992500144231,4.95419631038687,4.16992500144231,3.58496250072116,3.90689059560852,3.8073549220576,3.8073549220576,4,4.8073549220576,4,3.90689059560852,4,3.16992500144231,4,3.16992500144231,4,3.16992500144231,4.8073549220576,4.4594316186373,3.8073549220576,4.64385618977472,4.4594316186373,3.4594316186373,4,4.58496250072116,4.39231742277876,4.39231742277876,3.70043971814109,4.08746284125034
"hsa-miR-29a-3p",5.7279204545632,5.7279204545632,5.90689059560852,4.64385618977472,3.32192809488736,4.32192809488736,3.4594316186373,3.90689059560852,3.58496250072116,4.85798099512757,4.85798099512757,4.75488750216347,4.39231742277876,3.90689059560852,3.58496250072116,3.70043971814109,4.24792751344359,3.16992500144231,4.70043971814109,4.64385618977472,4.08746284125034,5.04439411935845,4.16992500144231,4,4.75488750216347,4.4594316186373,4.24792751344359,4.8073549220576,4.08746284125034,4.39231742277876
"hsa-miR-30a-5p",2.58496250072116,1.58496250072116,3,2.32192809488736,2.8073549220576,2.8073549220576,2.8073549220576,3.32192809488736,2.58496250072116,3,2.58496250072116,2,2,1,1,2.58496250072116,1.58496250072116,2,1.58496250072116,2.32192809488736,2,2.58496250072116,1,2,1.58496250072116,1.58496250072116,1.58496250072116,2,2.32192809488736,2.8073549220576
"hsa-miR-30a-3p",3,2.58496250072116,2,2,3,1,2.58496250072116,3.16992500144231,2.8073549220576,1.58496250072116,3.16992500144231,2.8073549220576,1,2.32192809488736,1.58496250072116,2.8073549220576,2.58496250072116,1.58496250072116,1.58496250072116,2.32192809488736,2.8073549220576,2,1.58496250072116,2,2.8073549220576,1,3.16992500144231,2.32192809488736,2,1.58496250072116
"hsa-miR-31-5p",2.32192809488736,2,2.8073549220576,2.32192809488736,1,3.70043971814109,2.32192809488736,2,2.32192809488736,2.58496250072116,1,2.8073549220576,2,2,2,1,2,1.58496250072116,2.58496250072116,1,2,2,1.58496250072116,2,2.32192809488736,2.32192809488736,2.8073549220576,2.58496250072116,2,1.58496250072116
"hsa-miR-32-5p",3,2.8073549220576,1.58496250072116,1,2.8073549220576,1,2,2.32192809488736,3.8073549220576,3.58496250072116,3,2.58496250072116,2.58496250072116,1,2.32192809488736,2,3,1.58496250072116,2.58496250072116,2.32192809488736,1,2.32192809488736,3,2.8073549220576,2,2.32192809488736,1.58496250072116,1.58496250072116,2,1.58496250072116
"hsa-miR-33a-5p",2,2.32192809488736,2.8073549220576,2.8073549220576,1,2.32192809488736,2.8073549220576,3.8073549220576,3,2.8073549220576,2,2,2.32192809488736,1.58496250072116,1.58496250072116,2.32192809488736,1,2,2.58496250072116,2,2,2.32192809488736,2.58496250072116,2.32192809488736,2.8073549220576,1,2.8073549220576,1,2.32192809488736,1.58496250072116
"hsa-miR-92a-3p",3,2,2.32192809488736,3,2.32192809488736,2.58496250072116,3.16992500144231,2.8073549220576,3.16992500144231,2.58496250072116,1.58496250072116,3.16992500144231,2.8073549220576,2,2,2.8073549220576,2.32192809488736,1.58496250072116,2,2.58496250072116,1.58496250072116,1,1.58496250072116,2,2,2.58496250072116,2.58496250072116,1,1.58496250072116,1.58496250072116
"hsa-miR-93-5p",2.32192809488736,1,3,1.58496250072116,1.58496250072116,2.58496250072116,2.8073549220576,3.32192809488736,3.58496250072116,3.70043971814109,3.32192809488736,1.58496250072116,1.58496250072116,2,2,2.32192809488736,2,2.32192809488736,2,2.32192809488736,2.8073549220576,1,1,1,1.58496250072116,1,2.58496250072116,2.32192809488736,1.58496250072116,2.32192809488736
"hsa-miR-95-3p",2,2.32192809488736,2,3.16992500144231,3.90689059560852,3.32192809488736,3.16992500144231,3,2.32192809488736,2.58496250072116,2.8073549220576,3,2.58496250072116,2.58496250072116,2.58496250072116,2.8073549220576,2.58496250072116,2,2.32192809488736,3,1.58496250072116,2.32192809488736,2.58496250072116,1.58496250072116,2.8073549220576,2,2.58496250072116,3.32192809488736,2.32192809488736,2.8073549220576
"hsa-miR-96-5p",5.52356195605701,5.20945336562895,5.58496250072116,4.16992500144231,3.32192809488736,2.8073549220576,4,3.70043971814109,3.70043971814109,4.24792751344359,3.90689059560852,3.90689059560852,2.32192809488736,3.16992500144231,3.8073549220576,3.4594316186373,3.4594316186373,2.32192809488736,4.24792751344359,4.39231742277876,3.8073549220576,4.08746284125034,4.08746284125034,3,4.75488750216347,4.70043971814109,3.8073549220576,4.39231742277876,3.58496250072116,4.16992500144231
"hsa-miR-98-5p",2.8073549220576,2.58496250072116,3.16992500144231,2.8073549220576,2.58496250072116,3.4594316186373,2.8073549220576,3.16992500144231,3.58496250072116,2.8073549220576,3.32192809488736,2.58496250072116,2,1.58496250072116,2.58496250072116,1.58496250072116,2,2,1,2.8073549220576,2.8073549220576,2.32192809488736,2.8073549220576,2.58496250072116,1,2.32192809488736,1.58496250072116,2.8073549220576,3,3.16992500144231
"hsa-miR-99a-5p",2.8073549220576,1.58496250072116,2.58496250072116,2.32192809488736,3,2.32192809488736,1,2,3,2.8073549220576,2.58496250072116,2,2,1,2,1.58496250072116,1.58496250072116,2,1,2.32192809488736,2.32192809488736,3.32192809488736,3.16992500144231,2.32192809488736,2,2,3.16992500144231,1.58496250072116,2.32192809488736,2
