"","GSM3529081","GSM3529082"
"hsa-miR-222-3p",8.44591,9.03049
"hsa-miR-149-3p",8.12979,8.0985
"hsa-miR-28-5p",6.55971,7.39411
"hsa-miR-183-5p",6.33273,7.118
"hsa-miR-126-3p",5.31237,5.85645
"hsa-miR-125b-1-3p",5.37733,5.46308
"hsa-miR-25-5p",5.05647,5.20399
"hsa-miR-30b-5p",4.57578,5.34761
"hsa-miR-224-3p",4.48981,4.4234
"hsa-miR-92a-1-5p",4.37406,3.00104
"hsa-miR-23b-5p",3.34292,2.70805
"hsa-miR-7-1-3p",3.35658,2.65543
"hsa-miR-197-5p",2.65262,2.42105
"hsa-miR-222-5p",2.50401,2.42002
"hsa-let-7a-2-3p",1.78279,2.69483
"hsa-miR-221-5p",2.00358,2.36854
"hsa-miR-183-3p",1.22105,2.97747
"hsa-miR-18a-3p",1.45339,2.32948
"hsa-miR-212-3p",2.46053,0.97008
"hsa-miR-210-5p",1.0232,2.33836
"hsa-miR-103a-2-5p",1.53101,1.4756
"hsa-miR-186-3p",0.9877,1.55972
"hsa-miR-149-5p",1.25232,0.98234
"hsa-miR-122-5p",1.16294,1.03449
"hsa-miR-26b-5p",1.41932,0.6912
"hsa-miR-212-5p",1.3208,0.62495
"hsa-miR-211-3p",1.39209,0.53829
"hsa-miR-196a-3p",0.44422,1.44092
"hsa-miR-216a-3p",0.9336,0.87934
"hsa-miR-181c-5p",0.93119,0.84372
"hsa-miR-181b-3p",1.0358,0.72012
"hsa-miR-98-3p",0.68302,0.97255
"hsa-miR-126-5p",0.94835,0.65116
"hsa-miR-101-3p",0.98213,0.58422
"hsa-miR-9-3p",0.55591,0.99235
"hsa-miR-214-3p",0.52806,0.99708
"hsa-miR-96-3p",0.79198,0.70215
"hsa-miR-204-3p",0.45854,1.00111
"hsa-miR-208a-5p",0.54627,0.89903
"hsa-miR-143-5p",0.5575,0.87089
"hsa-miR-100-3p",0.53166,0.77418
"hsa-miR-218-1-3p",0.52411,0.72012
"hsa-miR-9-5p",0.33663,0.90732
"hsa-miR-7-2-3p",0.72226,0.516
"hsa-miR-214-5p",0.50241,0.72012
"hsa-miR-32-3p",0.79198,0.42011
"hsa-miR-144-5p",0.47505,0.72012
"hsa-miR-132-5p",1.10859,0.03452
"hsa-miR-141-3p",0.81397,0.28325
"hsa-miR-16-2-3p",0.44257,0.63118
"hsa-miR-215-3p",0.67876,0.39189
"hsa-miR-19a-5p",0.90219,0.14578
"hsa-miR-199a-5p",0.47181,0.56198
"hsa-miR-199b-3p",0.75294,0.22284
"hsa-miR-124-5p",0.48789,0.47128
"hsa-miR-95-5p",0.35407,0.58091
"hsa-miR-133a-5p",0.49577,0.43271
"hsa-miR-128-1-5p",0.50072,0.42011
"hsa-miR-154-5p",0.62661,0.28953
"hsa-miR-205-3p",0.76822,0.1464
"hsa-miR-223-5p",0.4887,0.42564
"hsa-miR-211-5p",0.62711,0.25828
"hsa-let-7d-3p",0.4378,0.43411
"hsa-miR-153-5p",0.44307,0.42011
"hsa-miR-129-2-3p",0.2449,0.59045
"hsa-let-7c-3p",0.30798,0.46596
"hsa-miR-129-1-3p",0.36198,0.40423
"hsa-miR-191-3p",0.28681,0.42011
"hsa-miR-134-3p",0.20946,0.42011
"hsa-miR-185-3p",0.35654,0.1464
"hsa-miR-152-5p",0.35985,0.14095
"hsa-miR-33a-3p",0.20533,0.17257
"hsa-miR-142-5p",0.11516,0.0521
"hsa-miR-122-3p",-0.00249,0.1464
