"","GSM2283811","GSM2283812","GSM2283813","GSM2283814","GSM2283815","GSM2283816","GSM2283817","GSM2283818","GSM2283819","GSM2283820","GSM2283821","GSM2283822"
"hsa-miR-17",11.1224,12.672,10.8846,12.5526,11.0893,12.9251,11.1375,12.4034,12.3325,11.4325,12.4321,12.0437
"hsa-miR-3960",12.3234,11.2977,13.1445,11.3055,12.727,11.0458,12.3954,11.6875,11.1783,12.113,9.31825,12.4946
"hsa-miR-106a",10.8764,12.3467,10.6929,12.2866,10.8849,12.5036,10.9857,12.1792,12.13,11.1555,12.2579,11.7454
"hsa-miR-20a",10.9861,12.0349,10.5316,11.8794,11.058,12.1389,11.0309,11.5981,11.8571,10.853,11.7916,11.3185
"hsa-miR-3665",12.1367,11.056,12.6066,10.9442,12.3355,10.1958,12.0331,10.7483,10.043,12.1829,9.32173,12.3959
"hsa-miR-92a-1",11.4003,11.3933,10.8374,11.44,11.5523,11.6434,11.5447,10.8496,11.3973,10.9583,11.2454,11.2083
"hsa-miR-4787",11.8019,10.5298,12.1955,10.6124,11.9772,9.47405,11.6046,10.2859,9.08736,11.6858,8.5405,11.8579
"hsa-miR-191",10.0175,11.1372,10.3092,11.2205,10.1485,11.2375,10.0208,11.4616,10.8674,10.4173,10.8254,10.5962
"hsa-miR-16-1",10.1938,10.7621,10.2891,10.1821,9.90753,10.8634,10.081,11.7804,10.605,10.3956,10.6848,9.9419
"hsa-miR-23a",10.1282,10.639,9.81383,10.335,9.95277,10.7622,10.0936,10.5116,10.5396,9.98187,10.1592,10.2526
"hsa-miR-4497",12.126,10.7689,11.7452,9.35745,12.1849,9.1071,12.3676,8.46668,7.84107,10.7351,7.55464,10.8525
"hsa-miR-4466",11.5491,9.74803,11.7401,9.41174,11.7135,8.6144,11.1713,9.10659,8.26185,11.6206,8.01414,11.4102
"hsa-miR-1915",11.6705,9.73207,11.9789,9.40481,11.6312,8.46739,11.3097,9.21713,8.24324,11.4083,7.88589,11.1358
"hsa-miR-1469",12.6824,9.48891,13.9817,8.44735,12.9424,8.2112,12.8601,8.25663,7.56145,10.6377,6.62953,10.0723
"hsa-miR-638",11.5634,9.41729,11.8058,9.44789,11.4085,8.50542,11.2023,9.00856,8.29021,11.3623,7.60665,10.79
"hsa-miR-93",9.78911,10.3979,9.51699,10.7897,9.61558,10.3486,9.7307,9.65282,10.1157,9.81237,10.311,9.99976
"hsa-miR-103a-1",9.04275,10.3701,8.50264,10.4318,8.70601,10.4647,8.47,9.96628,10.3785,9.91929,10.9753,10.3759
"hsa-miR-24-1",9.40508,9.84319,9.46544,10.2948,9.27519,9.94422,9.41785,9.85004,9.7473,9.24038,9.48545,9.22047
"hsa-miR-4508",10.6881,8.70022,11.3441,9.16954,11.1327,8.45506,10.5309,8.44774,7.99623,11.4871,6.41381,10.7714
"hsa-miR-4530",11.454,8.55568,12.4075,8.35742,11.272,7.53975,11.3727,8.35558,7.17572,10.8322,6.7268,10.7816
"hsa-miR-2861",10.6804,8.9295,11.4944,8.93457,10.6923,7.90106,10.5318,8.56387,7.92214,11.0591,7.1308,10.5607
"hsa-miR-26a-1",9.01707,9.20174,9.03381,8.81598,8.82228,9.3263,8.38824,9.92034,10.8408,10.024,10.4144,10.1854
"hsa-miR-19b-1",9.65981,10.0589,7.93792,9.4465,9.36739,10.123,9.63283,9.81984,9.45483,8.86132,9.84156,9.47891
"hsa-miR-4488",10.5248,8.77623,11.3705,9.18841,10.8055,7.9921,10.3299,8.63033,7.50433,10.9139,6.53265,9.9967
"hsa-miR-107",8.39523,9.854,8.09301,9.7443,8.25371,9.90695,7.95127,9.74466,9.9834,9.57775,10.5982,9.8488
"hsa-miR-4516",10.4377,8.97636,11.1442,8.61896,10.384,7.96398,10.1365,8.40065,7.91985,10.524,7.35734,9.89705
"hsa-miR-3656",10.1418,8.56574,11.1609,8.67642,10.4742,7.78143,10.057,8.2883,7.80724,11.2088,6.15722,10.691
"hsa-miR-106b",9.09355,9.74143,7.71586,9.81412,8.82227,9.64662,8.84106,9.20282,9.64402,8.76776,10.0328,9.33744
