"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-miR-371a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-372-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-372-3p",-3.322,-3.322,-3.322,-3.322,-3.322,5.075,0.263,-3.322,-3.322,-3.322,-3.322,-3.322,0.678,-3.322,-1.322,-3.322,-3.322,1,-3.322,3.926,2.561,-3.322,-3.322,2.036,0.138,-3.322,1.848,5.066,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,0.263,0.678,-3.322,-0.737
"hsa-miR-373-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-373-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,-3.322,2.536,-3.322,-3.322,-3.322,-3.322,-1,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-374a-5p",8.281,8.322,8.259,7.974,6.764,6.66,8.016,6.758,8.526,6.96,7.701,7.463,7.817,6.767,7.743,7.616,6.416,8.394,7.847,7.759,6.621,6.796,9.206,8.455,8.723,5.924,7.652,7.742,7.716,7.115,8.566,7.673,8.315,6.289,7.297,6.042,8.023,7.6
"hsa-miR-374a-3p",8.131,7.717,7.949,7.624,6.562,5.489,7.67,7.7,5.624,6.598,6.471,5.998,7.971,3.446,5.853,6.263,4.902,8.417,7.833,6.511,5.736,5.629,8.523,7.952,8.531,7.243,7.852,7.178,5.42,5.692,7.414,7.184,7.115,6.404,6.852,7.085,7.193,6.967
"hsa-miR-375-3p",3.722,1.536,3.053,7.803,4.24,8.847,4.897,5.758,4.661,5.789,5.733,4.776,4.991,5.768,3.838,4.678,3.678,4.17,7.629,3.248,4.638,6.37,5.446,3.632,2.609,3.018,6.156,7.756,5.347,3.744,6.703,1.485,3.632,3.121,2.678,1.263,4.113,5.142
"hsa-miR-376a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.609,0.678,-3.322,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,0.848,-3.322,-3.322,-3.322,2.632,0.585,2.485,0.585,-3.322,-3.322,-3.322,0.585,-3.322
"hsa-miR-376a-3p",-1,2.138,0.926,-3.322,1.263,-3.322,-3.322,-3.322,-3.322,3.787,-3.322,2.609,2.982,4.446,2.485,3.087,2.104,3.17,1.263,0.926,-3.322,-0.322,2.263,2.036,3.597,6.902,0.848,3.644,2.485,0,2.585,1.485,1.322,3.536,1.322,3.263,5.022,1.678
"hsa-miR-377-5p",0.678,-3.322,0.926,1.632,1.263,-3.322,1.263,-3.322,2,-3.322,-3.322,3.926,0.678,-3.322,4.365,5.678,3.678,1,1.263,4.248,3.828,2.293,1.263,-3.322,3.138,1.433,1.963,3.446,4.293,2.036,1.585,3.807,1,3,2.561,-3.322,3.776,1.433
"hsa-miR-377-3p",-3.322,0.585,2.202,0.263,1.263,-3.322,-0.737,-3.322,-3.322,-3.322,-3.322,3.609,2.678,-3.322,3.053,4.096,2.104,2,-3.322,-3.322,3.42,-3.322,2.868,-3.322,3.233,6.425,2.07,5.049,4.485,1.632,-3.322,4.655,2.907,3.858,1.433,3.597,5.789,3.036
"hsa-miR-378a-5p",-3.322,0.585,-3.322,1.963,2.828,3.485,-0.737,-3.322,2.585,3.787,-3.322,1.585,-3.322,-3.322,0.926,-3.322,3.678,0.585,2.7,-3.322,1.263,2.7,3.278,3.632,0.138,2.293,-3.322,3.17,1.485,2.379,2.17,-3.322,2.609,2.104,-3.322,1.678,2.433,0.138
"hsa-miR-378a-3p",9.714,10.304,9.896,11.177,10.79,11.747,10.692,11.12,10.485,12.196,10.929,11.268,10.034,11.278,10.226,10.663,11.311,9.659,10.655,10.841,10.711,11.068,9.771,9.878,9.298,9.082,9.79,9.576,10.842,10.331,10.194,8.549,8.658,9.634,9.934,9.071,8.8,10.324
"hsa-miR-379-5p",8.391,6.776,8.276,7.371,9.607,7.296,9.075,6.144,7.886,8.112,6.497,10.031,8.93,9.674,9.743,9.963,10.586,9.86,8.741,9.637,10.079,7.237,8.319,8.891,9.272,8.993,9.29,8.318,8.003,10.211,7.164,7.549,6.075,9.382,9.915,5.684,8.177,8.993
"hsa-miR-379-3p",2.828,1.536,2.888,1.807,2.233,3.485,3.154,-3.322,3.667,3.787,-3.322,-3.322,4.129,-3.322,3.104,3.087,3.087,4.087,2.7,-3.322,0.263,1.678,3.278,3.053,5.289,1.138,2.585,1.202,1.485,2.379,1.585,-3.322,0.585,1.536,3.818,-3.322,2.485,2.888
