"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-let-7a-5p",16.624,16.605,16.642,16.419,16.764,15.288,16.845,17.148,16.068,14.656,15.605,14.319,16.561,15.628,14.659,14.394,15.136,16.629,16.43,15.086,15.231,13.628,15.865,16.313,15.491,16.617,16.512,16.185,14.346,13.998,15.6,16.478,16.145,16.178,16.471,16.51,16.262,16.257
"hsa-let-7a-3p",6.718,6.613,6.746,6.84,5.15,6.296,7.04,5.517,6.368,6.375,6.244,4.776,6.711,6.031,5.907,5.416,5.555,7.04,7.199,6.174,6.2,5.787,7.845,6.568,7.62,7.632,6.78,8.357,5.133,5.98,7.594,7.892,8.254,6.96,6.104,7.937,8.484,6.583
"hsa-let-7a-2-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7b-5p",14.357,15.166,14.108,15.477,14.93,14.54,15.566,16.344,15.691,15.097,14.567,14.422,14.272,15.066,13.011,13.061,15.107,14.37,14.133,14.57,15.901,14.173,13.442,14.059,13.001,14.918,14.351,14.746,13.967,13.694,14.855,14.568,13.907,14.042,14.176,14.909,13.603,14.151
"hsa-let-7b-3p",3.776,5.07,4.53,4.603,3.561,-3.322,3.776,4.644,-0.515,4.792,3.858,-3.322,4.573,4.446,2.036,3.087,-3.322,4.755,3.878,3.248,1.848,2.7,4.977,4.853,4.044,4.573,4.505,6.098,1.07,1.632,3.186,3.07,5.558,4.621,3.573,5.146,5.271,3.379
"hsa-let-7c-5p",11.507,11.99,11.124,12.09,12.08,10.679,11.919,12.423,11.258,10.98,10.654,10.208,11.39,11.053,9.453,9.242,11.729,11.672,11.235,10.398,11.112,9.509,11.031,11.488,10.71,11.246,11.348,11.018,10.463,10.201,10.874,10.759,10.339,10.849,11.957,10.766,10.35,10.879
"hsa-let-7c-3p",-3.322,-3.322,-3.322,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.926,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,0.485,-3.322,-2.322,-3.322
"hsa-let-7d-5p",14.004,13.974,13.908,13.59,13.82,14.109,14.073,13.796,14.19,13.337,13.51,13.136,13.63,13.983,12.584,12.492,13.658,13.967,13.621,13.655,13.839,12.495,13.224,13.601,13.409,13.729,13.497,13.399,13.162,13.17,13.704,14.267,13.916,14.034,14.158,13.571,14.034,14.07
"hsa-let-7d-3p",10.544,10.296,10.562,10.576,10.142,9.133,10.393,10.09,9.633,9.314,9.913,8.219,10.561,9.512,9.077,7.485,9.809,10.522,10.721,9.485,9.839,8.956,10.972,10.269,10.635,11.761,10.872,11.354,8.57,9.13,10.379,11.681,11.349,10.963,10.816,12.04,11.249,10.627
"hsa-let-7e-5p",10.891,10.759,11.153,10.609,10.479,10.372,10.707,10.955,11.628,10,9.328,9.997,10.258,11.053,9.175,8.765,10.375,11.049,10.349,10.769,11.408,9.002,9.751,11.159,10.533,11.478,10.843,10.596,9.704,9.578,11.271,11.57,10.762,11.069,11.502,11.237,10.35,10.959
"hsa-let-7e-3p",2.459,2.138,3.053,1.202,2.828,-3.322,0.263,-3.322,3.121,-3.322,2.7,3.186,2.263,-3.322,3.585,-3.322,2.104,2.7,-3.322,0.926,-3.322,1.263,1.263,4.632,2.722,1.433,2.17,3.888,3.878,2.632,-3.322,3.07,3.322,3.121,2.888,1.263,3.632,1.766
"hsa-let-7f-5p",16.582,16.38,16.636,16.217,16.232,14.252,16.179,16.198,15.13,13.955,15.258,13.862,16.415,14.627,14.613,14.465,14.258,16.555,16.059,14.638,14.441,13.33,15.825,15.955,15.651,16.575,16.283,15.829,14.06,13.809,14.983,16.339,16.083,16.091,16.118,16.494,16.19,15.986
"hsa-let-7f-1-3p",0.138,2.138,-3.322,2.233,-3.322,-3.322,2.07,-3.322,-0.515,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.585,-3.322,-3.322,0.263,1.263,4.446,-3.322,1.485,3.365,1.433,3.644,-3.322,1.632,3.406,1.485,3.548,1.138,0.485,3.858,3.121,0.848
"hsa-let-7f-2-3p",3.838,4.717,3.053,3.548,2.233,5.075,4.062,2.07,1.722,4.792,4.079,3.609,3.248,4.446,4.926,3.087,2.104,5.129,3.818,5.096,3.248,4.225,5.361,4.853,5.329,6.131,4.009,5.768,3.573,4.689,4.916,6.527,6.057,5.057,3.733,6.285,6.722,3.766
"hsa-miR-15a-5p",5.916,6.354,6.229,5.995,6.411,6.811,5.644,5.963,8.502,7.113,7.431,7.627,6.34,7.969,7.705,7.951,5.416,6.111,5.536,6.88,6.493,7.334,6.735,6.215,6.567,6.347,5.311,7.789,7.612,7.277,6.209,7.768,7.897,7.527,5.733,6.385,7.887,6.2
"hsa-miR-15a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.515,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.632,-3.322,-0.322,-3.322,-3.322,-3.322,-3.322,-0.322,-0.515,-3.322,1.263,-0.515,-3.322
"hsa-miR-16-5p",10.495,11.684,11.009,11.851,11.377,10.756,10.687,11.406,11.766,10.779,10.753,10.689,11.279,10.977,10.585,10.544,9.562,10.272,10.464,9.365,10.276,10.67,11.373,10.565,10.596,9.509,10.156,11.117,10.993,9.86,9.949,10.692,11.028,10.494,10.381,9.368,10.612,10.644
"hsa-miR-16-1-3p",2.828,3.138,2.7,2.233,-3.322,5.489,1.263,2.07,3,-3.322,2.263,2.609,1.678,3.446,3.336,-3.322,4.096,0,-0.737,2.926,1.848,2.036,1.263,3.632,2.459,2.293,2.263,2.104,2.655,1.632,2.907,1.485,1.585,1.848,2.036,2.485,3.293,0
"hsa-miR-17-5p",11.508,11.607,11.869,10.82,11.061,12.411,11.369,11.394,13.746,10.899,12.632,11.911,11.767,12.149,13.467,13.555,11.918,11.461,12.225,11.939,11.75,11.11,11.361,11.529,11.332,9.901,10.778,10.945,12.129,12.036,11.519,11.258,11.765,11.093,11.084,9.955,11.284,11.787
"hsa-miR-17-3p",4.225,4.453,3.888,3.776,3.561,5.489,4.897,4.863,5.938,7.25,5.274,6.463,3.472,5.768,6.406,6.414,4.096,4.358,4.479,6.284,5.703,5.453,4.858,5.044,4.661,5.096,3.459,5.472,6.102,6.002,5.638,6.007,5.524,5.463,4.621,4.146,6.435,4.567
"hsa-miR-18a-5p",6.5,6.547,6.209,6.047,5.885,7.577,6.274,5.963,7.811,5.789,7.236,6.604,6.025,7.969,7.307,7.848,6.002,6.211,6.382,6.57,6.654,6.675,6.597,6.293,6.834,5.766,6.064,6.992,7.716,7.135,6.148,7.098,7.394,6.883,6.598,5.875,7.035,6.75
"hsa-miR-18a-3p",4.087,5.19,4.35,4.797,3.828,6.075,4.209,5.057,5.117,4.792,5.213,4.776,4.129,5.446,4.609,5.9,4.096,3.644,4.138,4.626,4.154,4.982,4.079,4.044,4.597,4.129,3.17,5.558,5.678,5.217,2.585,4.94,4.828,3.926,3.945,3.498,4.883,3.926
"hsa-miR-19a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-19a-3p",7.299,7.355,7.297,7.523,4.828,6.948,6.073,4.863,7.988,7.698,7.012,7.031,7.06,3.446,7.215,7.341,5.096,7.141,5.322,6.88,6.077,7.222,7.541,6.903,7.476,8.226,6.687,7.906,7.4,7.037,7.253,8.083,8.263,7.057,5.178,8.3,8.598,6.463
"hsa-miR-19b-1-5p",-3.322,-3.322,-3.322,0.263,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.07,-3.322,-3.322,-3.322,-3.322,-3.322,-0.322,-3.322,-0.515,-3.322
"hsa-miR-19b-3p",7.989,8.071,7.981,8.382,5.329,8.244,6.736,7.227,9.132,8.649,7.989,8.373,7.925,6.031,8.375,8.552,7.049,8.078,6.453,8.212,7.322,8.145,8.133,8.068,8.386,9.358,6.918,9.362,8.617,8.365,7.723,9.648,9.527,8.57,5.945,9.37,9.903,7.258
"hsa-miR-19b-2-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-20a-5p",12.301,12.512,12.72,11.846,11.556,12.274,12.031,12.195,13.817,10.559,12.955,11.599,12.808,11.712,13.399,13.632,10.986,12.339,13.047,11.769,10.887,10.607,12.29,12.312,12.224,12.238,11.563,12.884,11.826,11.598,11.378,13.184,13.21,13.134,11.145,12.355,13.082,12.415
"hsa-miR-20a-3p",1.138,1.536,2.202,1,-3.322,-3.322,-3.322,-3.322,-0.515,-3.322,-3.322,-3.322,0.678,-3.322,0.926,-3.322,2.104,2.807,-3.322,1.926,1.263,0.678,-3.322,-3.322,1.485,-1.322,0.263,1.433,2.07,-3.322,-3.322,-3.322,2.433,-3.322,0.848,1.263,2.561,0.138
"hsa-miR-21-5p",16.804,16.343,16.657,16.407,16.546,15.869,16.364,14.902,15.501,14.972,16.164,16.14,16.301,16.188,16.794,16.715,16.07,16.679,16.868,16.398,15.859,16.216,17.366,17.152,17.624,17.245,17.526,16.875,16.517,16.92,16.641,16.453,17.167,17.424,17.171,17.547,17.016,17.156
"hsa-miR-21-3p",5.626,4.797,5.644,5.217,6.562,7.074,6.274,5.758,3.585,5.789,6.377,6.19,5.423,5.768,7.105,6.9,6.342,5.714,6.363,6.385,5.289,6.426,6.445,6.133,7.157,7.735,6.044,7.297,6.509,7.208,4.843,6.84,7.49,7.255,6.558,7.825,7.661,6.333
"hsa-miR-22-5p",6.263,5.94,6.531,6.113,5.409,7.811,5.98,5.517,7.524,8.96,7.174,7.649,5.878,7.445,7.387,6.793,7.586,6.111,5.463,7.211,7.629,7.743,6.829,6.293,6.516,6.123,5.65,6.873,7.662,7.516,8.208,7.341,7.233,6.219,5.959,6.223,7.354,5.763
"hsa-miR-22-3p",11.632,11.945,11.698,11.742,12.192,13.669,11.689,11.82,13.37,14.353,13.199,13.483,11.672,13.859,13.647,13.615,13.581,11.343,11.689,13.358,13.344,14.047,12.036,12.151,12.2,12.223,11.744,13.097,13.661,13.692,13.744,12.934,13.024,13.074,12.189,12.178,13.43,12.082
"hsa-miR-23a-5p",0.678,2.868,1.888,2.233,2.233,6.075,3.711,4.379,5.17,6.96,3.689,3.609,0.678,6.767,3.678,-3.322,4.902,1.807,3.818,5.174,5.973,4.868,2.868,3.632,2.848,4.129,3.42,3.597,5.736,5.776,5.501,4.655,3.828,3.536,4.453,4.009,4.24,3.878
"hsa-miR-23a-3p",9.053,8.553,9.755,8.553,8.684,9.133,8.551,7.343,11.031,8.697,9.785,9.12,9.361,9.352,10.729,9.951,8.876,9.138,9.822,9.592,8.306,8.538,9.489,9.787,10.001,7.937,8.482,9.079,9.172,9.12,9.83,9.402,9.776,8.629,8.971,7.913,10.021,8.749
"hsa-miR-24-1-5p",3.036,2.868,3.053,2.888,-3.322,3.485,2.945,-3.322,3,-3.322,1.678,1.585,2.982,3.446,2.678,3.087,3.678,2.459,3.036,3.248,2.561,1.678,2.868,2.036,1.963,2.293,2.848,4.256,2.07,2.848,4.498,3.807,3.248,2.536,2.848,2.485,2.963,1.926
"hsa-miR-24-3p",11.671,11.307,11.775,11.527,12.341,13.482,11.876,10.743,12.735,12.796,12.542,12.431,11.609,13.846,13.088,12.67,12.861,11.396,12.471,12.566,12.88,12.67,12.124,12.512,12.397,11.873,11.998,12.274,12.607,13.231,12.964,12.577,12.593,12.656,12.926,11.881,12.474,12.634
"hsa-miR-24-2-5p",6.087,5.354,5.865,6.311,6.24,8.133,5.823,5.379,6.662,6.96,7.021,7.305,6.06,7.693,7.141,6.552,6.679,6.036,6.423,6.857,6.752,6.58,6.561,6.999,6.624,5.966,6.256,6.49,7.08,7.002,7.118,7.038,6.903,6.703,6.459,5.933,6.961,6.265
"hsa-miR-25-5p",4.307,5.717,4.138,5.304,5.564,7.296,5.966,6.758,6.029,7.961,6.497,6.411,4.991,6.254,4.733,4.678,6.342,3.858,5.498,6.57,6.548,5.479,2.868,3.632,4,4.202,3.868,3.336,6.394,6.092,6.053,4.07,3.818,4.853,5.113,3.858,4.096,5.142
"hsa-miR-25-3p",13.326,14.329,13.56,14.72,14.861,14.11,14.485,15.117,14.088,13.993,14.629,14.731,13.914,14.646,13.942,13.667,13.505,13.194,14.104,13.395,14.066,15.268,14.47,13.671,14.022,11.561,14.118,12.034,14.515,13.834,13.022,11.526,11.349,11.062,13.995,11.372,11.037,14.203
"hsa-miR-26a-5p",16.498,16.031,16.298,15.747,15.619,15.921,15.847,14.684,16.132,15.308,15.812,15.703,16.126,16.039,16.362,16.395,16.113,16.491,16.03,16.118,16.173,15.565,16.409,16.446,16.609,16.312,16.298,16.467,16.084,16.304,17.003,17.036,17.07,16.734,16.578,16.346,17.002,16.433
"hsa-miR-26a-1-3p",1.138,0.585,-0.152,-0.322,-3.322,-3.322,0.263,2.07,-3.322,-3.322,-3.322,-3.322,0.678,-3.322,0.138,3.087,-3.322,-3.322,-3.322,-3.322,-3.322,-0.322,2.868,-3.322,2.138,-0.152,1.722,-1.322,1.485,-3.322,-3.322,-3.322,1.722,-0.515,1.322,-0.322,1.485,0.485
"hsa-miR-26b-5p",13.205,12.999,13.062,13.178,12.419,13.005,12.724,12.194,13.636,12.427,12.531,12.256,13.029,12.736,13.027,12.836,11.912,12.995,12.81,12.605,12.142,12.034,13.417,13.334,13.535,11.949,12.744,13.494,12.92,12.538,13.525,13.582,13.839,12.637,12.979,11.906,13.709,13.065
"hsa-miR-26b-3p",4.717,3.868,4.695,4.104,2.233,3.485,3.776,3.644,3.935,4.792,3.776,4.776,4.991,5.446,5.142,4.678,2.104,4.459,3.878,3.248,4.706,4.285,5.524,4.853,5.986,5.24,4.209,6.09,5.42,3.954,6.267,6.127,6.711,5.579,4.843,5.914,6.565,4.977
"hsa-miR-27a-5p",6.087,6.276,6.574,6.289,6.969,7.19,6.821,6.963,5.84,6.791,6.839,6.853,7.077,6.767,6.456,5.9,7.265,5.957,7.187,6.352,6.688,5.984,6.89,7.045,5.248,4.655,5.476,5.282,6.295,6.07,6.02,6.943,4.178,4.706,7.775,4.271,5.95,5.573
"hsa-miR-27a-3p",11.527,11.482,11.298,11.965,11.962,11.55,11.347,11.065,11.524,11.779,11.852,10.547,11.761,11.917,10.924,10.433,10.63,11.338,12.088,10.839,11.116,10.631,12.385,12.287,11.909,10.908,11.59,12.69,11.173,10.818,12.565,11.887,11.848,11.37,12.083,10.86,11.937,11.458
"hsa-miR-28-5p",7.973,7.548,7.524,7.456,8.16,9.104,8.1,6.58,8.915,8.491,8.753,9.174,7.7,9.146,9.369,9.115,9.234,8.319,7.59,9.188,9.476,8.764,8.541,8.645,8.618,8.12,8.128,8.682,9.3,9.676,9.754,8.653,9.093,8.241,9.085,7.621,8.963,8.409
"hsa-miR-28-3p",10.958,10.727,10.966,10.642,10.919,10.932,11.16,9.449,9.983,10.33,10.942,11.041,10.902,10.929,11.381,11.243,11.106,10.908,11.252,11.449,11.245,11.128,10.604,11.262,10.687,10.163,11.083,9.818,11.139,11.463,10.918,9.511,10.165,10.179,11.183,10.397,9.736,11.168
"hsa-miR-29a-5p",1.138,-3.322,-3.322,-3.322,-3.322,3.485,0.263,-3.322,-3.322,-3.322,-3.322,-3.322,1.678,-3.322,-3.322,-3.322,-3.322,0,1.263,-3.322,-3.322,-0.322,-3.322,-3.322,-0.737,0.379,-3.322,0.263,-3.322,-3.322,-3.322,2.485,-3.322,-3.322,-2.322,1.678,-0.515,-3.322
"hsa-miR-29a-3p",9.066,9.361,9.07,9.961,9.16,9.756,9.22,8.743,10.713,9.25,9.744,10.596,9.884,9.712,9.825,9.663,10.111,9.456,9.929,9.688,9.231,9.069,10.525,9.84,9.698,8.949,8.973,10.996,10.368,9.995,10.483,10.798,10.289,9.608,9.175,9.268,10.563,8.938
"hsa-miR-30a-5p",12.251,11.943,11.201,11.703,11.122,11.751,11.557,11.324,11.361,11.112,11.734,12.177,12.744,11.411,11.441,10.722,12.249,12.552,12.088,11.745,10.903,11.167,11.729,12.538,11.387,11.102,11.668,12.274,12.079,11.881,12.562,11.42,11.076,11.644,10.691,11.292,11.546,10.946
"hsa-miR-30a-3p",8.661,8.46,7.228,8.225,8.969,8.347,9.066,8.927,8.212,8.25,8.887,8.997,9.478,9.146,8.23,7.18,8.809,9.053,9.83,9.126,8.567,8.116,8.667,9.787,8.193,7.213,8.996,8.351,9.089,8.922,9.274,7.505,7.259,6.763,8.132,7.145,7.402,8.497
"hsa-miR-31-5p",0.138,-3.322,-3.322,0.263,2.233,-3.322,1.263,-3.322,5.296,-3.322,1.678,-3.322,1.678,-3.322,3.17,-3.322,4.902,-3.322,2.561,3.926,4.154,3.154,2.868,-3.322,1.138,-0.152,-1.737,1.807,3.573,1.07,-3.322,1.485,1.585,1.138,1.322,1.263,2.655,1.379
"hsa-miR-31-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.515,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.322,-3.322,0.263,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-32-5p",6.409,6.547,6.098,6.641,5.564,3.485,5.711,5.379,6.907,6.375,4.897,5.773,6.311,7.03,5.652,5.092,5.096,5.909,5.758,5.013,5.289,4.399,7.03,5.505,6.792,6.498,5.278,7.174,5.443,5.44,5.35,6.482,7.31,5.909,5.594,6.772,7.082,5.336
"hsa-miR-32-3p",2.138,2.138,2.485,1.632,1.263,-3.322,0.848,-3.322,-3.322,-3.322,2.868,2.609,0.678,-3.322,0.585,3.087,-3.322,2.585,1.263,3.248,-3.322,-3.322,3.858,2.036,2.848,2.926,1.722,3.926,-3.322,-3.322,-3.322,2.485,3.797,2.35,1.202,3.776,4.062,1.07
"hsa-miR-33a-5p",2.585,1.536,3.053,1.632,2.828,4.492,2.433,-3.322,5.924,3.787,3.154,5.304,2.263,5.031,5.843,4.678,5.263,2.585,4.935,5.97,5.638,4.285,2.868,4.044,3.945,5.576,3.336,5.508,5.533,5.217,4.684,5.805,6.263,5.206,4.655,4.684,6.387,3.278
"hsa-miR-33a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.678,-1.322,-0.322
"hsa-miR-92a-1-5p",0.678,4.717,2.888,1,4.561,-3.322,4.42,3.644,6.38,6.598,4.278,5.066,0.678,5.031,3.336,-3.322,6.002,2.907,3.818,4.511,4.828,4.154,3.278,-3.322,2.609,3.485,2.787,2.722,4.843,4.044,5.293,-3.322,2.585,3.121,1.888,2.848,3.087,1.585
"hsa-miR-92a-3p",14.05,15.004,14.394,14.995,15.183,14.048,15.151,15.683,14.385,13.996,15.127,14.508,14.559,14.612,14.695,14.354,14.025,14.208,14.884,13.924,14.229,14.863,15.026,14.58,14.728,14.604,14.766,14.674,14.743,14.408,13.666,14.398,14.529,14.411,14.59,14.621,14.204,14.87
"hsa-miR-92a-2-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.263,-0.322,-3.322,-3.322,-0.737,1.138,-3.322,-1.322,0.485,-3.322,-3.322,-3.322,-0.737,-3.322,-1.322,-3.322,-3.322,-1.737
"hsa-miR-93-5p",11.396,11.76,11.969,11.352,11.46,13.024,11.85,11.882,13.678,11.813,13.164,12.769,11.901,12.712,13.508,13.583,12.422,11.463,12.264,12.505,12.216,11.613,11.287,11.592,11.578,10.42,11.008,11.31,12.702,12.621,12.049,11.834,11.899,11.566,11.368,10.449,11.589,12.078
"hsa-miR-93-3p",4.75,4.717,5.057,5.087,4.044,5.489,4.573,5.517,6.358,3.787,5.597,5.606,5.476,6.615,6.223,5.416,4.42,5.087,5.066,5.833,5,5.72,5.182,6.044,5.368,3.365,4.524,4.907,5.863,5.406,5.594,4.94,5.34,4.285,5.296,3.263,5.194,5.005
"hsa-miR-95-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.263,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-95-3p",4.379,4.632,3.888,5.375,4.24,-3.322,6.441,5.641,5.624,-3.322,5.244,5.413,7.5,3.446,4.585,-3.322,3.087,5.476,5.641,5.926,4.248,4.018,6.229,6.505,4.498,4.802,5.022,7.647,4.807,4.689,5.638,5.182,4.991,4.991,3.548,4.542,5.446,4.695
"hsa-miR-96-5p",2.138,4.797,3.973,4.343,4.044,4.492,5.591,5.379,6.615,6.96,5.9,4.776,3.667,4.446,4.585,3.087,3.087,3,4.722,4.511,6.077,4.087,4.446,3.053,3.787,3.973,0.848,5.618,4.807,4.44,3.916,4.807,3.459,3.536,2.406,3.498,4.771,1.585
"hsa-miR-96-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-98-5p",10.723,10.312,10.399,10.203,9.976,9.577,10.286,9.75,10.194,8.92,10.035,8.833,10.326,9.803,9.796,9.737,9.244,10.572,10.507,9.74,9.493,8.833,10.354,10.48,10.638,11.286,10.643,10.884,9.414,9.639,10.272,11.976,11.642,10.453,10.688,11.148,11.589,10.63
"hsa-miR-98-3p",-3.322,-3.322,0.926,0.678,2.233,-3.322,-3.322,-3.322,1,-3.322,-0.322,-3.322,0.678,-3.322,0.138,-3.322,-3.322,2.585,2.828,-3.322,1.848,-3.322,3.858,2.036,3.536,3.233,0.263,3.807,1.07,3.053,2.585,4.07,4.561,2.104,1.07,3.263,3.926,1.766
"hsa-miR-99a-5p",10.071,10.132,9.178,9.74,10.531,11.55,9.858,9.649,11.01,12.053,10.961,11.526,10.517,11.24,10.754,9.585,11.742,9.846,10.099,10.998,10.692,11.21,10.913,10.912,10.014,9.781,9.729,11.532,11.49,11.267,12.189,10.405,10.339,10.435,9.403,9.836,10.785,9.687
"hsa-miR-99a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.406,-3.322,-0.322,-3.322,-3.322,-3.322,-1.322,3.087,2.104,-3.322,-3.322,-3.322,-3.322,2.036,-3.322,-3.322,-3.322,-1.322,-3.322,1.807,-3.322,1.632,2.907,1.485,0.138,-0.515,-3.322,-3.322,1,-2.322
"hsa-miR-100-5p",6.973,9.216,6.733,7.999,9.646,8.949,8.468,9.896,8.264,9.314,9.016,9.463,8.906,8.2,7.481,8.552,9.161,8.828,9.019,8.57,7.889,9.456,9.139,7.827,6.655,7.114,7.534,11.889,9.965,9.003,8.813,7.731,7.752,7.748,6.842,8.618,7.897,7.275
"hsa-miR-101-5p",-3.322,-3.322,-3.322,-0.322,-3.322,-3.322,-3.322,-3.322,1.433,-3.322,-3.322,-3.322,-3.322,-3.322,-0.322,-3.322,2.104,-3.322,-3.322,-3.322,-3.322,-3.322,1.263,-3.322,-0.737,1.138,-3.322,0.263,1.07,2.036,-3.322,-3.322,0.379,-0.515,-3.322,2.678,1.888,-1.737
"hsa-miR-101-3p",13.827,14.476,13.797,14.561,14.126,13.327,13.669,14.494,13.537,13.628,14.467,14.369,14.221,14.164,14.109,14.344,13.343,13.886,13.97,13.806,13.201,13.75,14.515,13.588,14.313,14.038,13.731,14.029,14.206,13.751,13.045,13.882,13.658,14.32,13.441,13.767,13.509,13.046
"hsa-miR-29b-1-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,2.233,-3.322,-3.322,1.585,0.678,3.446,0.585,-3.322,-3.322,-1,-0.737,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.322,-0.152,-0.322,1.07,-3.322,-3.322,1.485,0.485,-3.322,-3.322,-3.322,-1.322,-0.737
"hsa-miR-29b-3p",5.594,6.756,5.644,6.421,5.825,6.489,5.661,5.641,6.544,6.598,5.213,6.19,6.474,6.615,5.576,-3.322,5.555,5.833,5.89,5.57,4.945,5.158,6.597,4.853,6.14,6.298,5.15,7.29,6.295,5.632,4.766,6.943,6.754,5.34,5.564,6.144,6.508,5.433
"hsa-miR-29b-2-5p",2.828,3.35,2.888,0.678,-3.322,4.492,4.678,-3.322,5.087,3.787,4.446,5.304,2.678,4.446,5.259,3.087,3.087,2,3.621,5.174,4.154,4.154,1.263,5.044,3.597,3.548,2.848,3.17,4.733,4.44,3.766,4.807,4.766,3.336,2.655,3.498,4.739,3.644
"hsa-miR-103a-2-5p",-3.322,-3.322,-3.322,-0.322,1.263,-3.322,2.828,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.138,-3.322,-3.322,-3.322,-3.322,2.926,-3.322,-3.322,-3.322,-3.322,-0.737,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.737,-3.322,-2.322,-3.322,0.138,-3.322
