"","GSM4154456","GSM4154457","GSM4154458","GSM4154459","GSM4154460","GSM4154461","GSM4154462","GSM4154463","GSM4154464","GSM4154465","GSM4154466","GSM4154467","GSM4154468","GSM4154469","GSM4154470","GSM4154471","GSM4154472","GSM4154473","GSM4154474","GSM4154475","GSM4154476","GSM4154477","GSM4154478","GSM4154479","GSM4154480","GSM4154481","GSM4154482","GSM4154483","GSM4154484","GSM4154485","GSM4154486","GSM4154487","GSM4154488","GSM4154489","GSM4154490","GSM4154491","GSM4154492","GSM4154493","GSM4154494","GSM4154495","GSM4154496","GSM4154497","GSM4154498","GSM4154499","GSM4154500","GSM4154501","GSM4154502","GSM4154503","GSM4154504","GSM4154505","GSM4154506","GSM4154507","GSM4154508","GSM4154509"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.58496250072116,0,0
"hsa-let-7a-3p",7.61470984411521,9.11894107272351,5.7279204545632,8.07146236255662,8.20945336562895,10.0320457269308,10.7640422173066,9.93516504960369,6.28540221886225,0,10.2191685204622,1.58496250072116,9.75655632252409,8.56605403817109,11.3224915375975,10.7304701371842,10.1163439612375,6.12928301694497,5.08746284125034,7.67948009950545,6.98868468677217,5.90689059560852,1,7.55458885167764,7.86418614465428,8.46352437327118,8.86418614465428,5.90689059560852,3,5.08746284125034,8.96866679319521,5.85798099512757,8.33539035469392,3.32192809488736,9.31288295528435,0,2.32192809488736,6.56985560833095,0,8.8073549220576,7.83289001416474,8.60733031374961,8.48784003382305,10.1674181458317,7.99435343685886,8.51175265376738,10.7829982089204,10.7465143211385,5.6724253419715,10.3597495603223,8.15987133677839,11.199058823653,7.34872815423108,0
"hsa-let-7a-5p",15.8442398924741,17.7335185242717,15.9000412853857,18.300790465072,16.4691648249252,18.5101228344612,20.0182151234809,18.2027216973303,17.7381714451874,6.84549005094437,19.0801643246304,10.9829935746943,17.4033116660008,17.631084667049,20.4913716480312,18.5757903494044,19.6942184377376,15.4283274551925,14.3337842953359,17.7893425974907,17.4667934235133,15.6267927398227,6.4262647547021,16.8621287992875,16.6291716035257,18.70242974535,18.1152164152317,15.995877538966,11.6666678406904,15.1370311507964,17.179539818544,15.0357871246177,17.7445513766537,10.3174126137649,18.0183088637743,6.58496250072116,11.1189410727235,16.0499548762399,6.91886323727459,17.9533211748158,17.4610397292004,16.3270613704995,17.9046581395881,18.2739185012833,17.5038335004094,16.8383422057139,18.9761557345937,18.5824838224729,14.6050743398092,18.7275183355394,17.857677324835,19.3605234871863,14.9571927514269,4
"hsa-let-7b-3p",4.24792751344359,6.06608919045777,2.58496250072116,4.8073549220576,5.88264304936184,7.49185309632967,8.13955135239879,7.24792751344359,5.35755200461808,0,7.34872815423108,0,7.14974711950468,6.3037807481771,7.82017896241519,7.54689445988764,6.89481776330794,3.90689059560852,4.08746284125034,5.20945336562895,5.12928301694497,3.32192809488736,0,5.4594316186373,0,6.2667865406949,5.97727992349992,3.16992500144231,0,1.58496250072116,6.06608919045777,3.8073549220576,4.85798099512757,0,6.4093909361377,1,0,0,0,6.65821148275179,5.8073549220576,5.70043971814109,6.04439411935845,7.33091687811462,4.85798099512757,5.83289001416474,7.96000193206808,7.94251450533924,3.90689059560852,7.73470962022584,5.61470984411521,8.55458885167764,5.75488750216347,0
"hsa-let-7b-5p",13.5277213442845,15.3962033821417,14.4735789248608,16.2813867413,14.1167500682186,16.6368936281823,18.0467190348059,16.1232120693204,16.0871105777787,4.39231742277876,16.3605041976562,9.4178525148859,14.3534225436147,15.1150436501617,18.7048762861734,15.7950249839614,17.6669174395101,13.7374586185705,12.9735180047037,15.3952663498391,15.2724110898888,13.9558315042359,5.32192809488736,14.7140308149288,15.4111799352006,16.8910241901495,15.2706238380389,14.026782772346,9.14720492494223,13.4806639976193,14.441582554398,14.0155021690221,15.5370060097102,8.02790599656988,15.6858438114261,4.85798099512757,10.8525295094042,15.7219002261179,4.85798099512757,15.346375218928,15.5226428273286,14.5366721895076,16.0775668051078,16.004198516677,16.1220999941548,14.2205294822913,16.7857844950254,15.9885071789232,12.6664459388148,16.4000288545161,15.4786748352409,16.8687261147174,14.6152847833652,3.16992500144231
"hsa-let-7c-3p",1.58496250072116,0,0,1,0,0,1,0,1,0,1,0,2.32192809488736,2,0,1,2.58496250072116,0,1,0,0,1,0,0,0,1.58496250072116,0,0,0,1,0,0,2.32192809488736,0,1,0,0,0,0,0,0,1,2.58496250072116,2.32192809488736,0,1,2.32192809488736,2.32192809488736,0,0,0,3.4594316186373,0,0
"hsa-let-7c-5p",11.0734721539765,13.0072025107497,11.1472049249422,13.400612641082,11.6003775531078,12.691525441166,15.4359631972452,12.3828941688921,13.9617209881667,2,13.0182001788132,6.4594316186373,12.0140204703149,12.0185479418717,15.4221633434609,13.169455297697,14.4544278245159,10.6474584264549,9.9614496943982,12.3936585914548,12.8004955004668,10.977995368613,1,10.9329528921947,11.4304525516655,13.8637991037288,11.9639797878153,12.7058483435089,6.62935662007961,10.4501802471648,11.0848083878044,10.2070143201775,12.3069161135225,5.28540221886225,11.9277779620823,5.52356195605701,7.36632221424582,11.525031345124,2,12.6919615642168,12.3909750061555,12.1699250014423,12.8811139606751,13.4800328145839,12.6865005271832,10.7706638929168,13.1321783809155,12.5010907702745,10.2491134527137,12.9218409370745,12.4845711809158,13.5444815223108,10.7082217300384,1.58496250072116
"hsa-let-7d-3p",11.3487281542311,12.6766182635885,9.37068740680722,12.380731612683,11.5617652636277,13.8778592561303,14.7187469099011,13.2774327085901,11.6416002158344,1,13.5491830185622,5.12928301694497,12.9785317197094,11.6608872703026,15.1780423288648,13.7641459150634,13.9280556615553,9.46964181723952,8.93957921431469,11.3370643386847,11.5882461520448,9.24792751344359,1.58496250072116,11.2772874001304,11.8792003179474,12.8157835441282,12.5615266241365,9.76818432477693,6.20945336562895,9.12153351734003,12.4434616122274,9.70563238736142,11.8474489039824,5.88264304936184,13.1308922698066,0,6.10852445677817,10.4241662888181,0,12.1767964781476,11.5910547740368,11.7669429407558,12.0154150523867,13.1559250160266,11.5186531556734,12.2085392067384,14.4521768789381,14.1530769661067,9.30606168942834,14.0680224785928,11.9556499075284,14.7341803656468,10.1267044728432,0
"hsa-let-7d-5p",13.3385971195745,14.81987969983,12.642728643769,15.3161047200491,13.6866099507519,15.4997524775261,17.3698699386349,15.6285594565999,15.0189390751371,2.8073549220576,16.1354086933247,8.01122725542325,14.8069523282107,14.0329066776283,18.1970438727167,16.0960356432276,17.7152984402714,12.6575417597034,11.8707500033461,15.4680193995189,15.1550553749092,12.7062801588492,4.70043971814109,13.5936245497061,15.3881182166354,15.9764969989456,14.9215620386541,13.319107575825,7.20945336562895,11.8089641749193,14.6259941580146,13.6084858564953,14.7685978821944,7.40087943628218,15.0338101232394,4.16992500144231,9.13955135239879,14.508413796056,2.8073549220576,14.0837286194514,14.5358221166475,14.1072988216345,15.2281046803544,15.5579721930911,15.1889751197842,13.959005752031,16.265358655271,16.0544135399593,12.089781488354,16.0890987026921,14.3920490393642,16.4599118393439,13.5187760794617,2.8073549220576
"hsa-let-7e-3p",3.90689059560852,5,0,3.70043971814109,3.8073549220576,5.16992500144231,7.33091687811462,5.78135971352466,4.39231742277876,0,5.58496250072116,0,4.16992500144231,4.24792751344359,6.65821148275179,4.8073549220576,5.20945336562895,2.32192809488736,2.32192809488736,1.58496250072116,4.24792751344359,2,0,2.8073549220576,3.70043971814109,5,5,3.4594316186373,0,1.58496250072116,3.32192809488736,1.58496250072116,4.58496250072116,0,5.28540221886225,0,0,2.8073549220576,0,2,3,4.24792751344359,3.8073549220576,5.28540221886225,3.70043971814109,4,5.58496250072116,6.33985000288462,2.32192809488736,6.12928301694497,3.16992500144231,6.12928301694497,4.32192809488736,0
