"","GSM1223778","GSM1223780","GSM1223782","GSM1223784","GSM1223786","GSM1223788","GSM1223790","GSM1223792","GSM1223794","GSM1223796","GSM1223798","GSM1223800"
"hsa-miR-574",12.9326,12.7824,12.8596,12.6511,12.7311,11.5559,11.9996,12.9089,12.9133,12.8842,12.4277,12.8067
"hsa-miR-1234",13.5343,13.7559,13.6975,12.0118,12.2978,8.08045,9.4174,13.7071,13.5119,11.3343,11.1362,12.0637
"hsa-miR-466",12.1368,12.1606,12.1319,11.9356,11.324,11.8895,12.1449,12.0424,11.9752,12.1571,12.0811,12.0348
"hsa-miR-4701",12.698,12.2729,12.355,10.6924,11.6155,8.71437,9.93915,12.5909,11.7554,9.89364,10.3482,11.3174
"hsa-miR-3613",10.7691,10.9705,10.8852,10.7119,10.4711,11.7292,11.6462,11.0029,10.8624,10.9065,11.1003,10.5433
"hsa-miR-3145",10.488,10.5962,10.5119,10.1974,9.75783,11.0545,11.467,10.7485,10.4932,10.7305,11.1978,10.939
"hsa-miR-4423",10.3134,10.4577,10.4646,10.4507,10.2073,10.8972,10.7893,10.6202,10.6202,10.8237,11.1152,10.8236
"hsa-miR-4668",9.91839,10.3644,10.342,10.598,10.1836,11.2168,10.8494,10.2225,10.3942,10.782,10.6565,10.1798
"hsa-miR-138-1",10.7852,10.7175,10.7833,9.37377,8.96966,9.26066,9.88889,10.4603,9.81664,9.32283,9.68252,10.3116
"hsa-miR-3591",10.5399,10.5745,10.6129,9.7835,9.64113,9.18859,10.0593,10.2179,9.21458,8.6594,9.60044,10.0061
"hsa-miR-3910-1",9.56808,9.85171,9.8528,9.89128,9.31576,9.79661,9.644,9.92469,9.96847,10.072,9.73036,9.54364
"hsa-miR-4445",9.45812,9.68725,9.68697,9.92519,9.44476,9.86299,9.60239,9.79145,9.89862,10.0442,9.90455,9.46583
"hsa-miR-3133",9.46704,9.64223,9.64291,9.35608,9.21514,9.45317,9.50373,9.60449,9.54944,9.58855,9.41212,9.65476
"hsa-miR-4801",9.13382,9.50675,9.52581,9.20131,9.04364,9.48208,9.66264,9.59722,9.55571,9.63824,9.74465,9.25407
"hsa-miR-34c",9.92446,9.47568,9.89395,8.30083,9.12411,8.88214,9.33951,9.40726,8.95328,8.53554,9.22394,9.88091
"hsa-miR-548aa-1",9.091,8.82517,9.18057,8.79476,9.29965,9.42321,10.0292,9.34968,8.89241,9.02184,9.83488,9.19665
"hsa-miR-3128",8.60809,9.13427,9.03413,9.48017,9.02604,9.30581,9.23137,8.97946,9.25585,9.52691,9.16448,8.95666
"hsa-miR-633",8.87631,9.21569,9.11751,9.33134,8.84499,9.16058,9.13591,9.15114,9.2582,9.27613,9.00297,9.12589
"hsa-miR-4520a",8.77875,9.15548,9.13225,8.98708,8.96715,8.90562,8.86071,9.34394,9.17046,9.32671,9.15573,8.70219
"hsa-miR-4520b",8.79008,9.18413,9.12046,9.03117,8.80433,8.93049,8.85427,9.10308,9.16327,9.19347,9.00542,8.65707
"hsa-miR-3658",8.77935,8.88445,9.0385,8.41046,8.64002,8.82449,9.03264,9.02816,8.92172,8.85285,9.06576,8.64765
"hsa-miR-559",8.45697,8.84165,8.63788,9.0789,8.43158,8.86792,8.81777,8.83236,9.00926,8.98329,8.8249,8.64268
"hsa-miR-3064",9.15692,9.0095,9.1316,8.58504,8.57916,8.22235,8.73547,8.96999,8.61783,8.28826,8.46846,9.16203
"hsa-miR-335",8.04854,8.81627,8.5505,8.98188,8.49219,8.71405,8.77087,8.39202,8.68304,9.08321,8.7866,8.33657
"hsa-miR-449b",9.61324,8.82249,8.80243,8.19952,8.43865,8.37587,8.72292,9.12968,8.00817,7.7639,8.5959,9.0836
"hsa-miR-4677",8.45185,8.74444,8.50588,8.58094,8.16006,8.14389,8.44677,8.74142,8.58455,8.76067,8.62898,8.38158
"hsa-miR-129-2",8.26172,8.27691,8.39686,8.56626,8.30164,8.65621,8.41627,8.56869,8.62405,8.83434,8.51827,8.42167
"hsa-miR-4659a",7.98753,8.12269,8.23388,8.68593,8.69054,8.2941,8.33825,8.38375,8.79682,8.82388,8.52953,8.23209
"hsa-miR-4718",8.45634,8.66346,8.42351,8.56265,8.26027,7.96123,7.73207,8.6379,8.66665,8.65693,8.20409,8.35471
"hsa-miR-494",7.89029,8.18158,8.17303,8.08001,8.1848,8.25576,8.94105,8.54409,8.13771,8.32688,8.72337,8.55357
"hsa-miR-558",8.29477,8.33304,8.35156,8.56316,8.28705,7.95768,7.62297,8.19913,8.65734,8.67854,7.78863,8.19269
"hsa-miR-197",9.55062,8.90592,9.36926,7.46206,7.94118,7.68403,7.48048,9.3361,7.81174,6.67445,7.66575,8.02237
"hsa-miR-1273c",8.11382,8.16325,8.46049,7.56542,8.14065,7.38287,8.20566,8.4609,8.1003,8.20478,8.46466,7.76695
