"","GSM3904621","GSM3904622","GSM3904623","GSM3904624","GSM3904625","GSM3904626","GSM3904627","GSM3904628","GSM3904629","GSM3904630","GSM3904631","GSM3904632","GSM3904633","GSM3904634","GSM3904635","GSM3904636","GSM3904637","GSM3904638","GSM3904639","GSM3904640","GSM3904641","GSM3904642","GSM3904643","GSM3904644","GSM3904645","GSM3904646","GSM3904647","GSM3904648","GSM3904649","GSM3904650","GSM3904651"
"hsa-miR-155",0.592317010415793,1.00310583541332,0.0226133113132617,0.0894956423915969,0.176358265055325,0.0452279764058236,0.597377154583024,0.0885033246028291,0.00555441791497377,0.000694331856932538,0.0456001768122937,0.04589623012186,0.00138952599524664,0.0898425667246499,0.0226636159757108,0.0446200784186693,0.0114006296610403,0.0451958601143609,0.17247992437961,0.329706643070597,0.168255665006431,0.044675510129907,0.0453900150527018,0.0462023386333998,0.0889222867055405,0.0222806627376281,0.173214402018424,0.0108781391407709,0.0451546126312194,0.171289581414747,0.000698066634367432
"hsa-let-7a",1.01504564305005,0.577916531813462,8.71217229053686e-05,0.588390951138991,0.323178853897564,0.00140602885666402,0.571678071873527,0.0109875862001963,0.000344604258701072,0.000694331856932538,1.89956798630637,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,0.173304359101824,8.81892523724547e-05,0.000347142793308539,0.32967129725897,0.0028161027181358,2.27587404338531,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.968331393788118,0.000173401522692124,0.0878892592474005,0.000678037155011903,0.0837174591055841,0.00138990073480605,0.000698066634367432
"hsa-let-7b",1.58640286068992,1.00081222503147,0.998045325047776,3.16909036455836,3.17082637054199,2.35151034777872,3.17119084845707,2.30977534622174,0.57299712701379,0.569703135047231,2.34455611431783,0.595566160020798,0.0439182907868037,0.993865599902466,1.60464033090933,1.59787991030173,0.32522910281408,1.57622245673963,1.60609648475642,3.18175771318568,4.07833147511784,0.324492564976948,1.01596335138732,1.00253923010049,3.17570778059309,1.57389583367784,3.16484167798488,1.56381079371292,1.55851653014112,1.56666700049405,0.165557264022904
"hsa-let-7c",0.0027870168149058,0.0111955470982169,0.00544041856983082,0.171887155227125,0.173861875776919,0.088827955551435,0.324065600342627,0.171077337805318,0.000344604258701072,0.044171706840089,0.0444139147473276,0.0451995653390193,0.0221741859219381,0.0441656343309965,0.173988391897244,0.0222573791526654,0.00140941588347589,0.0884409894890208,0.0446685585534234,0.17259117588924,0.315926656183221,0.0110561939899985,0.0456595125411672,0.088623129633462,0.0434650954225936,0.00552777288379117,0.32635663178993,0.0109996557953764,0.0886364663164788,0.0879470167101453,0.000698066634367432
"hsa-let-7d",0.324502035259478,0.327054543279471,0.00140039340294234,0.600814895965355,0.326951517033321,0.326590947751882,1.01941084848688,0.171636958039979,0.0440316128653489,0.0926384769621762,0.326965307197372,0.0888677289442391,0.0432570165251981,0.086098622197429,0.0445303872732254,0.00560977592102024,0.00141111660032297,0.145632148969471,0.325196606603219,0.592727254306664,0.044349015634629,0.0436331550068105,0.0446852730519952,0.0449478540859479,0.00547436636658552,0.00271710745593645,0.591261137489979,0.0107477339565053,0.0878694677917037,0.169648439150298,0.000698066634367432
"hsa-let-7e",1.56628083667034,1.59398186995383,0.584132308298583,2.31590644365395,2.34748499065955,1.589791866099,3.16672455737225,0.326505065463895,0.311591278763018,0.583833053680525,0.96123375173517,0.31921654788989,0.090552316025012,0.00275306332072081,0.323308727996047,1.03109453525241,0.327905016526863,0.995639109614372,1.5705049628723,2.32889228717739,2.277761335368,0.170621122981444,0.594207450389938,0.316872109899928,2.31428277389135,0.991624950020302,3.16808159243284,0.975572858830891,0.581153927953811,0.31723868245891,0.0109561160097769
"hsa-let-7f",0.617122828258842,0.580968936568392,8.71217229053686e-05,0.000351383290019542,0.000355147802166242,0.00140602885666402,0.00139684781208135,0.000694966337178484,0.000344604258701072,0.000694331856932538,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.000347142793308539,0.000695990156986822,0.0028161027181358,0.000173040892234554,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.000349205349388118,0.000173401522692124,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-let-7g",0.167580828099296,0.170084291828655,0.165226252339785,0.323084949359914,1.02387382179566,0.170346155620397,1.57654283131572,0.319149456219351,0.021778156744117,0.0435946903228582,0.32647994982464,0.0879383837792612,0.0212674863840502,0.0435494356170871,0.0437686830547853,0.173759150798049,0.0442044895525522,0.168091280446086,0.319771767229147,0.984434883498726,1.59167160989533,0.0436975544616045,0.0878809246071076,0.0889259898303784,0.576336261355915,0.154525116434618,0.595871973343411,0.159611646056008,0.170015022804226,0.0844829394626914,0.0111422927223851
"hsa-miR-1",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,0.000351383290019542,0.0116040229564141,0.00140602885666402,0.0452180773377897,0.011143738633282,0.000344604258701072,0.0113008475451842,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,0.00282213580978049,8.81892523724547e-05,0.000347142793308539,0.0111567660819578,0.0452858454457962,0.0111640671281291,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.000349205349388118,0.00564249822942725,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-miR-100",1.57951964848353,1.59447344146472,2.33705421526872,5.05753634738752,5.08839449929597,4.12361512272184,5.0634865337139,4.07214935257339,2.31848832021726,2.29736800748131,4.07958465902734,3.19946470586118,2.31167643190427,4.08502155891482,3.1924330283422,2.32748916967181,0.586572630586729,2.32228410520855,4.09887930312152,6.03914717773424,4.06004958836229,2.30796826321392,3.18115088738572,1.00084174728475,4.07530605292328,3.16151562863984,6.03937663479427,1.58373142889,3.18047202842641,3.18926377987781,1.59563146368238
