"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-654-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,37.66,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-524-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,37.463,40,40,39.942,40,40,40,39.783,40
"hsa-miR-450b-3p",40,40,40,40,40,39.762,40,40,40,40,40,36.937,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-518c-3p",40,40,40,40,40,39.762,40,35.177,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-519c-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,34.565,40,40,40,40
"hsa-miR-518d-5p",40,40,40,40,39.254,39.762,40,40,40,35.223,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-369-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,39.493,39.123,40,40,40,40,34.949,40,39.942,40,40,40,40,40
"hsa-miR-876-3p",40,40,40,40,40,39.762,40,40,40,40,38.281,40,39.758,40,38.149,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,39.58,40,40,38.386,40,40,39.942,40,40,40,40,40
"hsa-miR-515-3p",40,36.255,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,37.998,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-548d-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,37.156,40,37.134,39.942,40,40,40,39.347,40
