"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-499a-5p",40,40,35.223,40,40,39.762,40,40,40,35.816,39.11,40,39.758,34.289,40,39.884,40,34.774,40,39.756,40,40,40,39.751,40,40,38.092,36.711,40,39.123,40,40,40,37.171,40,38.281,39.942,32.36,40,34.672,39.101,40
"hsa-miR-379-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,32.36,40,40,39.884,40,40,40,39.756,29.984,40,40,39.751,40,38.364,34.774,40,34.672,39.123,34.565,40,40,38.311,36.255,40,39.942,40,35.367,40,40,40
"hsa-miR-526b-5p",40,40,40,33.204,40,39.762,34.672,40,40,40,34.18,40,32.778,40,40,39.884,40,40,32.011,39.756,40,40,40,39.751,36.342,40,40,40,40,39.123,40,40,40,40,35.121,35.816,39.942,40,40,40,40,40
"hsa-miR-520b",40,40,40,40,40,39.762,38.149,40,40,36.54,38.311,40,39.758,40,40,39.884,36.793,40,40,32.319,40,36.376,40,39.751,40,40,40,36.992,39.496,39.123,39.347,40,40,39.101,40,40,39.942,40,40,20.922,39.763,40
"hsa-miR-199a-5p",40,40,40,40,40,39.762,36.54,40,40,40,37.968,40,39.758,40,34.522,39.884,40,40,40,39.756,37.265,32.428,40,39.751,40,40,40,40,40,39.123,40,40,40,29.125,40,40,39.942,40,40,40,30.521,35.79
"hsa-miR-504-5p",40,35.816,40,35.005,40,39.762,40,40,40,40,40,33.612,39.758,40,33.7,39.884,40,40,40,39.756,36.711,40,40,39.751,40,40,40,40,40,39.123,34.289,40,40,33.794,40,40,39.942,40,40,40,36.128,34.949
"hsa-miR-487b-3p",31.969,40,40,40,39.496,39.762,37.395,37.229,40,35.434,40,40,39.758,40,40,39.884,40,40,40,39.756,40,34.88,40,39.751,40,40,37.836,34.435,38.791,39.123,40,40,34.622,40,40,37.968,33.612,40,40,40,39.761,40
"hsa-miR-655-3p",40,40,40,40,38.364,39.762,40,36.992,31.899,36.406,39.11,40,39.758,40,40,39.884,40,40,40,39.756,38.092,35.849,40,39.751,37.734,36.376,37.87,40,35.367,39.123,38.437,40,40,35.177,40,37.66,39.942,40,40,40,38.02,40
"hsa-miR-298",40,37.427,40,37.622,39.506,39.762,35.042,36.376,40,40,40,35.401,39.758,36.406,32.814,39.884,40,35.078,40,39.756,40,40,40,39.751,38.386,33.944,40,40,40,39.123,40,40,40,38.904,40,36.128,39.942,40,40,40,40,40
"hsa-miR-373-3p",40,34.972,40,40,40,39.762,36.406,40,40,27.511,40,40,39.758,40,40,39.884,40,40,40,39.756,33.409,29.081,40,39.751,37.622,35.992,40,40,40,39.123,40,40,40,40,40,37.265,39.942,40,40,40,40,40
"hsa-miR-410-3p",40,40,40,38.364,40,39.762,37.641,36.711,40,36.128,40,40,39.758,40,40,39.884,40,35.367,34.18,39.756,40,40,40,39.751,38.628,38.281,40,40,36.599,39.123,39.363,40,40,30.065,35.992,38.951,39.942,40,40,40,38.808,35.752
"hsa-miR-627-5p",40,40,35.121,38.386,39.335,39.762,40,37.134,40,40,39.363,40,39.758,40,38.311,39.884,36.311,35.177,40,39.756,29.36,40,40,39.751,40,40,40,40,38.628,30.882,39.493,40,40,37.024,40,38.808,39.942,34.972,40,40,39.254,40
"hsa-miR-147b",40,33.944,40,40,36.793,39.762,40,34.435,40,40,34.949,36.992,39.758,40,40,39.884,40,35.752,35.042,39.756,40,40,40,39.751,33.7,40,40,36.406,38.437,39.123,40,40,40,40,37.196,38.258,39.942,40,40,40,40,36.255
"hsa-miR-133b",28.367,40,40,40,30.619,39.762,40,40,40,40,40,33.409,39.758,40,40,39.884,32.887,40,40,39.756,40,40,40,39.751,40,37.265,40,40,33.579,39.123,38.092,40,40,40,40,33.653,39.942,40,40,40,40,40
"hsa-miR-521",34.057,30.125,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,37.427,30.987,40,40,40,40,40,38.653,39.942,20.922,40,40,40,34.321
"hsa-miR-122-5p",40,40,40,40,40,39.762,40,40,40,40,34.057,40,39.758,40,40,39.884,40,40,40,39.756,33.557,40,40,39.751,40,36.793,32.814,40,35.078,39.123,40,40,40,40,33.557,40,31.848,40,40,40,35.79,33.16
"hsa-miR-380-3p",31.186,40,40,36.128,36.406,39.762,40,40,40,40,40,40,39.758,40,31.606,39.884,40,40,40,39.756,30.311,40,40,39.751,40,40,40,40,40,39.123,33.02,40,40,40,40,40,39.942,30.211,40,40,40,37.427
"hsa-miR-18b-5p",40,40,40,40,35.177,39.762,35.329,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,37.156,34.522,33.182,39.751,40,40,40,40,33.453,39.123,32.36,40,40,33.557,32.011,40,39.942,40,40,40,35.121,40
"hsa-miR-302a-3p",40,35.992,40,37.734,40,39.762,40,40,40,40,40,40,39.758,25.059,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,27.221,40,40,39.123,29.769,26.041,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-381-3p",40,37.66,40,35.849,39.393,39.762,37.641,35.849,40,40,38.653,40,39.758,40,40,39.884,40,40,40,27.621,36.406,40,40,39.751,40,36.599,40,35.434,40,39.123,38.951,40,40,40,36.711,29.03,39.942,40,40,40,40,35.223
"hsa-miR-518e-3p",40,30.211,40,31.606,34.972,39.762,33.557,30.953,40,40,35.177,34.972,39.758,40,40,39.884,40,40,32.887,39.756,40,40,40,39.751,40,37.836,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,38.653,40
"hsa-miR-548a-3p",33.612,40,34.774,36.311,40,39.762,40,40,33.503,40,40,40,39.758,40,38.258,39.884,40,35.329,40,39.756,40,40,40,39.751,40,40,40,40,38.669,31.331,39.496,40,34.321,40,40,40,33.16,34.949,40,40,39.335,36.342
"hsa-miR-382-5p",33.944,37.134,40,36.992,35.121,39.762,28.254,40,40,40,36.793,40,39.758,40,31.655,39.884,40,40,40,39.756,36.992,40,40,39.751,35.005,31.331,40,40,38.904,39.123,39.393,40,40,40,40,40,39.942,40,40,40,37.427,40
"hsa-miR-198",40,40,40,40,30.953,39.762,32.154,40,40,40,40,40,39.758,40,35.816,39.884,40,40,34.321,39.756,30.987,33.557,40,39.751,33.126,40,40,40,35.752,39.123,40,40,40,37.622,40,34.18,39.942,40,40,40,40,40
"hsa-miR-383-5p",31.811,40,40,38.05,40,39.762,37.998,37.265,33.653,40,38.904,40,39.758,40,40,39.884,37.024,40,40,39.756,34.88,40,40,39.751,35.042,36.255,40,33.737,37.196,39.123,40,40,40,40,35.177,36.793,39.942,40,40,40,37.622,36.54
"hsa-miR-450b-5p",40,40,40,37.836,39.517,39.762,37.427,40,40,40,38.669,40,39.758,40,37.87,39.884,34.949,40,35.816,39.756,37.463,28.043,40,39.751,38.437,40,36.342,40,38.986,39.123,38.669,34.289,40,38.281,40,38.791,33.351,40,40,33.944,38.669,40
"hsa-miR-136-5p",40,40,35.042,40,38.904,39.762,40,40,31.848,36.599,40,40,39.758,40,40,39.884,40,40,40,39.756,28.702,28.581,33.503,39.751,38.904,40,40,40,40,31.397,40,40,40,40,40,40,39.942,35.177,40,40,36.599,40
"hsa-miR-486-3p",31.848,33.579,40,36.376,40,39.762,40,40,33.944,35.79,38.808,40,39.758,40,40,39.884,35.121,40,40,39.756,40,40,40,39.751,40,40,36.711,40,35.121,39.123,38.386,40,32.548,38.986,36.342,40,39.942,40,40,40,36.937,34.435
"hsa-miR-326",40,40,40,40,33.653,39.762,40,31.763,40,40,35.833,40,39.758,40,34.289,39.884,40,33.278,40,39.756,37.196,40,40,39.751,40,37.229,40,40,40,39.123,35.042,32.393,40,34.522,34.88,37.196,39.942,40,40,40,36.711,40
"hsa-miR-338-3p",32.605,40,40,40,40,39.762,40,40,40,35.042,37.229,40,39.758,35.223,40,39.884,36.599,40,40,39.756,40,40,40,39.751,34.774,40,35.849,40,37.134,39.123,33.351,40,40,33.944,33.16,35.752,39.942,40,40,40,33.204,40
"hsa-miR-490-3p",40,40,40,40,36.992,39.762,40,40,40,40,33.579,40,39.758,40,40,39.884,33.653,40,32.814,39.756,32.701,29.169,40,39.751,34.057,31.899,40,40,37.024,39.123,35.79,40,40,40,40,40,39.942,40,40,40,34.321,40
"hsa-miR-542-3p",34.321,40,40,36.711,38.986,39.762,37.836,40,40,35.367,40,40,39.758,34.622,35.849,39.884,36.376,35.816,35.752,39.756,40,40,40,39.751,39.254,38.808,35.816,35.816,40,39.123,37.968,34.321,40,37.229,40,37.836,39.942,40,40,40,37.66,35.434
"hsa-miR-208b-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,28.309,40,29.081,39.751,40,40,32.36,40,38.808,39.123,27.973,40,40,40,32.463,29.593,39.942,40,40,40,40,32.193
"hsa-miR-520d-5p",40,40,40,40,40,32.887,40,40,31.331,34.522,40,40,39.758,40,40,39.884,40,40,34.949,39.756,40,40,33.579,31.708,40,33.579,35.992,40,40,39.123,39.884,40,33.503,40,40,40,39.942,40,33.204,40,39.506,34.057
"hsa-miR-124-3p",40,40,34.124,40,38.808,39.762,40,40,32.111,40,37.66,34.321,39.758,40,37.622,39.884,40,40,40,32.193,33.944,35.223,40,39.751,35.223,34.522,40,36.128,40,39.123,40,40,40,40,35.005,40,39.942,40,34.565,40,38.149,35.005
"hsa-miR-508-3p",40,40,34.622,35.79,38.791,39.762,38.311,40,40,35.121,38.092,40,39.758,34.321,38.281,39.884,34.622,40,40,39.756,40,36.311,34.18,39.751,34.321,38.904,38.258,35.79,36.992,39.123,37.87,40,40,40,40,34.88,39.942,40,40,34.565,38.364,36.128
"hsa-miR-146b-3p",40,40,40,37.265,35.992,39.762,35.434,32.36,40,40,35.752,40,39.758,40,40,39.884,40,40,40,39.756,30.709,40,40,39.751,37.427,34.435,40,40,37.265,39.123,34.435,40,40,34.057,35.223,33.503,39.942,40,40,40,36.406,33.944
"hsa-miR-1-3p",19.367,40,40,40,39.363,39.762,40,40,40,40,40,36.311,39.758,40,38.364,39.884,35.79,40,40,39.756,29.593,40,19.367,39.751,40,40,40,36.54,40,39.123,31.934,40,40,40,37.229,39.128,39.942,40,40,40,39.493,40
"hsa-miR-616-3p",40,31.236,34.057,32.887,40,39.762,30.953,33.204,40,40,40,40,39.758,40,40,39.884,40,32.463,40,39.756,40,40,40,39.751,32.241,32.778,40,40,36.06,39.123,37.463,40,40,40,35.367,36.54,39.942,40,40,40,35.992,40
"hsa-miR-411-5p",40,40,34.565,37.024,40,39.762,36.376,40,40,34.622,40,40,39.758,40,40,39.884,40,40,40,39.756,36.342,36.255,34.124,39.751,37.196,38.628,36.376,40,36.255,39.123,35.816,40,40,35.752,36.937,38.092,39.942,40,40,24.764,35.078,36.711
"hsa-miR-105-5p",40,40,40,31.186,31.899,39.762,34.622,33.7,40,40,40,40,39.758,34.565,31.236,32.605,40,40,40,39.756,37.229,31.934,40,39.751,40,32.111,37.734,40,40,39.123,38.05,40,40,40,40,32.778,39.942,40,40,40,40,40
"hsa-miR-579-3p",40,40,40,37.427,39.347,39.762,40,35.121,40,40,36.376,40,39.758,40,35.223,39.884,34.972,34.321,40,39.756,34.622,40,40,39.751,38.281,37.463,36.992,33.7,36.54,39.123,36.128,34.972,40,37.66,34.565,36.311,39.942,33.579,40,40,38.904,35.992
"hsa-miR-216b-5p",40,40,40,35.367,40,39.762,40,40,40,35.849,38.258,40,39.758,34.672,34.88,39.884,36.937,34.672,40,32.548,40,29.593,40,39.751,37.229,40,40,40,34.124,39.123,39.128,40,33.453,40,40,38.364,39.942,40,40,32.111,34.972,35.329
"hsa-miR-376a-3p",40,37.395,40,38.092,39.529,39.762,19.367,37.463,40,40,39.335,40,39.758,40,40,39.884,40,35.434,40,39.756,37.968,30.366,40,32.463,38.258,40,38.149,40,35.177,39.123,39.783,40,40,36.793,34.289,38.986,39.942,40,36.255,34.774,39.119,37.395
"hsa-miR-96-5p",40,40,40,34.565,38.02,30.521,36.992,40,40,40,36.937,37.024,39.758,40,37.156,39.884,35.434,40,40,39.756,31.969,40,40,39.751,34.435,34.949,34.522,33.794,37.622,39.123,39.254,34.435,40,34.88,37.134,37.87,39.942,40,40,40,38.437,34.88
"hsa-miR-503-5p",40,30.953,40,33.944,33.453,39.762,36.128,40,40,40,36.992,40,39.758,40,32.28,39.884,35.367,40,40,39.756,35.042,40,40,39.751,40,37.156,35.434,40,40,39.123,37.229,33.7,40,40,34.522,36.599,31.49,40,34.001,40,36.311,40
"hsa-miR-518f-3p",40,33.126,34.18,40,37.66,39.762,34.774,32.463,40,40,34.565,40,39.758,34.972,37.734,33.653,40,40,34.522,39.756,40,36.54,40,39.751,35.434,35.121,40,40,19.367,39.123,39.758,40,40,37.998,40,38.05,39.942,40,40,40,37.395,40
"hsa-miR-139-3p",40,40,29.631,40,40,39.762,40,40,40,40,37.171,34.435,39.758,40,40,39.884,31.848,40,40,39.756,36.865,30.311,40,39.751,40,40,36.255,31.655,30.792,39.123,33.557,40,40,31.438,40,31.236,39.942,40,40,40,40,30.261
"hsa-miR-589-5p",33.16,40,40,37.463,37.196,39.762,40,34.18,33.126,36.711,35.005,40,39.758,40,40,39.884,40,40,35.005,39.756,34.774,40,40,32.605,36.711,40,37.66,40,37.66,39.123,35.992,35.078,40,37.836,36.128,38.149,33.794,34.057,34.321,40,36.793,40
"hsa-miR-523-3p",40,35.078,40,36.599,37.734,39.762,40,37.427,40,40,36.406,35.005,19.367,35.367,36.54,39.884,40,35.121,40,39.756,40,35.078,40,39.751,38.092,35.816,38.364,40,40,39.123,39.529,40,40,38.791,35.816,37.463,39.942,19.367,40,40,40,40
"hsa-miR-576-3p",34.18,40,34.435,40,36.376,39.762,35.752,36.54,40,40,37.024,40,39.758,35.992,36.793,39.884,37.171,40,34.435,39.756,37.427,40,40,39.751,35.752,36.54,37.265,40,37.734,39.123,35.078,40,40,35.816,40,34.774,33.7,40,33.7,34.622,34.289,36.992
"hsa-miR-302b-3p",40,37.463,40,38.149,40,39.762,40,37.395,40,40,40,40,39.758,40,38.669,39.884,40,36.128,40,39.756,40,31.606,25.059,39.751,40,40,40,24.024,40,39.123,40,40,40,40,40,28.474,39.942,24.526,40,19.367,40,40
"hsa-miR-296-3p",32.463,40,34.972,40,34.565,39.762,31.899,40,34.124,33.612,34.972,33.126,39.758,30.987,34.18,39.884,40,40,40,39.756,36.54,40,40,39.751,34.289,40,33.794,40,33.944,39.123,35.849,40,40,40,40,40,39.942,32.241,40,40,39.128,40
"hsa-miR-522-3p",40,35.121,33.579,40,35.849,39.762,34.522,37.66,33.351,40,33.766,36.54,22.978,40,40,39.884,40,32.814,32.28,39.756,40,34.774,35.121,39.751,38.05,40,37.196,36.793,40,39.123,38.986,40,40,38.092,35.434,38.02,39.942,40,40,40,35.816,40
"hsa-miR-495-3p",40,40,40,34.124,35.005,39.762,40,40,40,40,32.701,35.816,39.758,40,40,39.884,40,40,40,32.066,27.823,40,40,39.751,36.599,34.622,33.737,35.223,32.953,39.123,33.737,40,40,33.7,40,33.944,39.942,40,35.042,40,32.548,33.126
"hsa-miR-517a-3p",40,35.849,40,32.36,32.548,39.762,33.737,35.042,40,40,34.435,40,39.758,32.605,36.406,33.453,40,40,40,39.756,40,34.972,40,39.751,33.737,36.311,40,40,34.522,39.123,39.335,40,34.435,36.255,36.599,34.972,39.942,40,35.329,33.612,35.434,40
"hsa-miR-302c-3p",40,40,34.289,38.258,40,39.762,37.968,40,33.737,40,40,40,39.758,40,26.914,39.884,40,40,40,39.756,29.733,19.367,40,23.26,40,40,40,40,30.169,39.123,30.366,40,40,40,40,27.146,39.942,40,40,40,40,40
"hsa-miR-487a-3p",31.934,29.984,40,31.934,35.223,39.762,31.848,31.331,40,40,36.311,32.605,39.758,40,35.005,39.884,40,40,40,39.756,35.276,32.393,40,29.36,35.79,33.612,40,40,40,39.123,37.427,40,40,40,40,40,39.942,40,33.653,40,37.171,40
"hsa-miR-134-5p",32.193,37.229,40,37.968,40,39.762,40,32.887,40,40,40,33.453,39.758,40,35.329,39.884,30.839,40,33.794,39.756,40,40,32.28,39.751,35.177,33.16,40,29.314,31.708,39.123,34.949,40,40,34.565,40,35.223,39.942,40,33.02,40,38.628,37.463
"hsa-miR-512-3p",33.7,33.351,40,31.397,38.628,39.762,33.204,33.126,33.579,40,37.836,36.406,39.758,34.88,35.593,39.884,36.255,34.949,40,39.756,37.836,40,40,39.751,30.366,32.066,37.622,40,39.254,39.123,35.177,40,40,38.669,40,33.612,33.557,40,40,40,37.008,40
"hsa-miR-450a-5p",40,40,40,34.435,37.024,39.762,34.435,33.944,32.814,33.579,35.042,33.503,39.758,33.204,34.565,31.606,36.128,40,40,39.756,40,40,34.057,39.751,40,40,40,40,37.998,39.123,36.793,33.453,40,35.005,33.944,40,32.502,40,34.622,40,37.463,40
"hsa-miR-629-5p",40,34.88,40,40,36.311,39.762,36.793,34.972,40,40,35.367,33.653,31.811,34.057,37.134,39.884,40,40,32.319,39.756,40,35.005,40,39.751,37.395,36.937,32.701,33.653,35.329,39.123,36.311,40,40,35.992,36.793,37.395,39.942,32.154,34.001,40,34.435,40
"hsa-miR-34c-5p",33.126,36.992,34.914,37.87,34.321,39.762,38.05,36.793,40,40,37.134,31.848,32.193,40,38.02,39.884,40,35.042,35.849,39.756,40,36.342,34.289,39.751,38.364,40,32.463,35.367,37.463,39.123,34.972,40,40,36.128,37.427,38.669,39.942,35.078,35.849,40,31.763,37.265
"hsa-miR-219a-5p",40,40,40,40,34.289,29.125,31.606,31.708,40,40,35.223,31.969,39.758,40,32.428,39.884,40,40,40,39.756,40,40,40,39.751,37.024,32.393,33.204,40,40,39.123,34.622,30.521,40,32.428,40,34.565,39.942,40,31.606,31.811,34.565,40
"hsa-miR-545-3p",40,35.223,40,32.548,37.229,39.762,38.258,34.124,40,33.409,36.342,34.949,39.758,34.18,33.503,39.884,35.992,40,34.972,30.882,40,32.548,40,39.751,35.348,36.992,34.435,40,38.311,39.123,36.376,40,40,38.653,40,35.79,32.463,40,35.992,40,34.124,35.078
"hsa-miR-517c-3p",33.453,35.329,35.078,33.794,38.258,39.762,35.223,35.752,40,36.793,37.395,35.752,39.758,35.329,37.196,33.409,40,34.622,35.177,39.756,37.66,34.622,34.522,39.751,34.949,38.669,36.54,40,37.836,39.123,37.196,35.367,33.719,36.937,36.54,37.171,39.942,40,40,40,37.134,35.177
"hsa-miR-182-5p",40,37.622,34.321,36.342,37.968,39.762,34.972,36.599,31.811,40,37.734,35.401,39.758,34.949,37.265,31.278,34.435,40,30.839,39.756,38.05,40,35.367,39.751,36.255,37.024,38.05,36.599,38.653,39.123,38.281,35.434,32.36,38.05,40,38.904,39.942,33.503,36.128,33.351,39.393,37.134
"hsa-miR-492",40,40,40,40,35.752,39.762,40,30.211,29.631,40,32.193,40,39.758,40,34.949,39.884,40,28.883,29.169,39.756,40,40,33.612,28.685,40,32.154,37.156,40,40,39.123,33.944,29.984,40,40,40,32.463,39.942,40,33.16,40,33.409,31.278
"hsa-miR-511-5p",40,34.435,40,34.774,37.427,39.762,37.156,33.16,40,33.204,35.121,40,39.758,40,37.171,33.16,33.16,33.503,34.057,30.987,37.024,40,40,39.751,34.972,35.752,35.099,33.557,37.87,39.123,36.406,33.612,40,40,32.428,35.005,39.942,40,31.708,40,36.54,37.171
"hsa-miR-618",32.111,33.7,34.914,34.522,37.998,31.026,34.321,35.79,40,34.774,37.265,36.599,39.758,35.849,38.437,39.884,35.752,35.992,34.88,39.756,40,40,33.453,39.751,35.849,35.434,35.099,40,37.229,39.123,35.005,34.124,40,35.849,37.66,35.434,33.653,40,40,40,35.752,35.816
"hsa-miR-107",40,36.793,34.672,34.622,34.18,39.762,33.453,40,40,33.7,36.255,40,39.758,32.428,33.794,39.884,35.042,40,40,39.756,36.376,40,32.548,39.751,37.171,37.734,38.02,33.612,34.949,39.123,35.367,32.463,33.02,37.196,40,32.502,39.942,32.887,40,31.969,40,32.814
"hsa-miR-184",33.204,40,33.7,38.02,39.493,39.762,36.311,37.196,40,33.478,34.672,40,39.758,32.463,35.367,32.814,35.849,40,35.367,39.756,29.542,40,33.653,39.751,34.622,40,37.968,32.548,38.258,39.123,37.265,40,31.108,34.622,40,34.057,39.942,35.005,35.434,40,37.968,32.463
"hsa-miR-888-5p",40,34.565,40,32.605,30.882,39.762,35.367,34.949,40,35.078,38.791,40,39.758,40,34.672,39.884,33.503,35.79,40,39.756,40,36.406,30.581,39.751,36.937,40,34.972,36.342,29.631,39.123,37.622,32.605,33.944,35.79,37.171,37.998,39.942,31.331,40,29.819,34.88,32.887
"hsa-miR-501-3p",30.311,40,40,40,30.918,39.762,40,40,31.397,32.011,40,35.042,39.758,35.078,32.066,39.884,32.701,40,40,39.756,35.177,40,40,39.751,40,40,34.124,31.331,32.011,39.123,31.763,40,31.655,32.066,40,31.969,31.149,40,33.126,31.899,37.229,40
"hsa-miR-519a-3p",40,32.605,33.409,34.949,36.128,39.762,33.596,34.672,40,32.605,34.622,34.774,39.758,33.794,37.998,32.193,37.395,32.28,35.79,39.756,36.599,34.057,33.737,32.701,38.02,37.66,37.171,40,34.972,39.123,39.506,35.223,40,37.395,36.376,34.522,39.942,34.88,34.774,40,34.774,36.793
"hsa-miR-193a-3p",40,31.708,34.522,32.066,33.737,32.701,33.944,32.605,40,40,32.154,35.121,32.548,35.177,34.435,39.884,40,33.7,35.223,39.756,35.992,40,40,39.751,36.992,34.18,33.653,34.321,34.305,39.123,38.311,40,34.522,36.311,33.612,36.937,39.942,40,35.79,34.057,38.258,36.937
"hsa-miR-337-5p",40,31.606,30.953,40,32.066,39.762,40,36.937,40,40,36.54,34.289,31.655,40,31.397,32.778,40,34.972,30.661,39.756,37.622,33.02,40,39.751,36.311,35.329,34.565,40,35.042,29.905,39.822,40,40,40,35.042,33.579,39.942,31.899,30.839,40,33.453,31.236
"hsa-miR-32-5p",31.655,36.128,40,37.171,36.54,39.762,36.342,40,32.36,33.02,35.078,33.351,39.758,34.435,36.937,39.884,34.565,33.794,40,32.393,35.005,26.23,35.042,39.751,39.128,37.622,34.289,34.774,39.101,39.123,34.774,34.522,33.16,33.409,37.395,36.255,39.942,40,40,33.557,33.557,40
"hsa-miR-424-5p",40,36.937,40,34.321,35.042,31.934,37.196,40,40,32.428,35.992,40,39.758,33.351,35.79,39.884,40,40,34.774,30.839,38.258,35.992,32.393,39.751,37.87,34.88,33.503,40,38.364,39.123,32.393,33.579,31.969,35.434,33.351,37.156,33.02,34.672,34.289,32.011,32.428,37.024
"hsa-miR-582-3p",40,40,33.794,40,37.836,29.819,40,40,33.7,36.255,37.463,36.255,30.414,40,40,39.884,35.816,32.066,34.565,39.756,33.7,31.186,31.934,29.819,38.791,37.427,34.672,34.565,39.363,29.403,37.156,34.622,33.409,36.406,40,40,32.393,31.438,40,40,37.008,33.653
"hsa-miR-370-3p",40,30.366,40,28.935,32.605,39.762,29.451,28.883,40,40,40,40,39.758,40,34.774,32.428,34.289,40,40,30.709,40,28.702,40,39.751,30.882,30.311,31.708,40,31.969,39.123,38.02,40,32.605,34.321,32.548,33.409,39.942,40,40,40,33.351,34.622
"hsa-miR-139-5p",40,40,32.217,32.463,33.351,39.762,36.255,40,40,32.066,40,36.128,39.758,40,33.944,39.884,32.319,32.428,40,39.756,31.236,40,40,39.751,29.984,33.02,36.311,40,31.811,30.169,36.937,34.672,40,33.351,31.257,34.124,30.756,35.223,33.737,40,34.622,31.811
"hsa-miR-125a-3p",31.708,40,40,35.121,39.119,32.814,34.057,33.351,33.409,40,33.612,35.177,39.758,34.124,38.092,39.884,33.02,40,35.121,39.756,37.734,40,40,32.241,34.565,36.128,35.177,34.672,35.849,39.123,37.171,32.502,40,35.367,34.18,35.367,30.882,33.737,34.435,32.36,34.18,35.042
"hsa-miR-628-5p",40,33.794,40,37.395,37.171,39.762,35.005,34.622,32.887,32.887,37.427,25.144,39.758,36.376,34.124,39.884,33.794,40,40,39.756,38.02,34.124,33.7,39.751,35.992,36.711,34.88,34.18,39.58,39.123,33.653,34.88,33.719,32.241,32.502,34.949,33.204,32.463,35.816,40,35.329,33.612
"hsa-miR-412-3p",30.882,30.882,40,30.521,32.111,31.438,29.631,29.495,40,33.653,38.149,40,30.792,33.7,40,31.397,33.351,40,40,39.756,40,30.015,40,39.751,31.655,31.278,33.351,40,34.435,39.123,36.342,40,40,40,32.241,33.126,39.942,40,35.005,40,37.87,34.672
"hsa-miR-625-5p",31.278,37.024,40,37.998,33.794,39.762,36.599,37.171,40,34.949,35.329,35.329,39.758,35.042,36.376,39.884,34.057,33.944,34.124,32.605,34.321,35.329,34.774,32.502,37.998,38.437,32.428,32.701,39.119,39.123,32.887,35.005,40,36.54,37.265,32.428,39.942,33.453,33.453,34.435,33.503,33.7
"hsa-miR-214-3p",40,31.655,40,40,33.02,39.762,32.28,40,31.06,30.661,34.289,32.111,39.758,31.899,36.128,39.884,33.612,40,40,31.708,32.887,40,32.778,39.751,31.811,34.289,36.937,33.409,28.702,39.123,34.321,40,40,33.612,32.393,30.169,39.942,40,40,40,33.7,31.899
"hsa-miR-376c-3p",32.393,33.204,40,40,33.409,39.762,34.88,33.503,40,34.18,34.124,34.88,39.758,40,36.342,39.884,31.811,40,33.02,39.756,35.434,35.434,32.428,39.751,37.156,34.972,34.18,36.255,34.305,30.953,33.204,40,40,33.126,36.406,35.121,32.011,40,32.428,33.579,30.414,34.522
"hsa-miR-891a-5p",40,34.18,33.944,30.882,30.839,39.762,32.428,32.502,40,35.329,39.347,35.992,39.758,40,35.042,39.884,31.149,40,40,39.756,40,40,28.309,39.751,33.453,35.177,40,34.522,27.865,39.123,35.434,31.186,32.393,37.968,31.969,40,39.942,30.125,40,29.208,33.612,31.49
"hsa-miR-433-3p",33.503,29.081,40,30.211,36.711,39.762,29.905,30.987,40,40,31.708,30.918,39.758,33.653,34.057,39.884,40,33.16,40,39.756,33.126,31.811,40,39.751,30.918,32.319,36.599,32.814,33.16,39.123,34.124,33.503,40,40,31.763,33.204,39.942,34.124,40,40,32.463,40
"hsa-miR-758-3p",33.653,34.124,31.969,31.331,34.622,32.483,37.734,30.261,32.605,35.992,33.653,34.522,28.581,32.701,32.463,30.211,40,40,40,39.756,40,31.438,35.223,31.811,38.311,33.737,40,35.078,40,39.123,37.079,40,32.701,35.223,40,32.887,39.942,34.305,33.579,40,40,40
"hsa-miR-509-5p",34.289,31.934,30.211,32.154,35.434,32.778,35.121,31.49,40,40,31.899,35.79,32.605,35.816,35.593,39.884,40,29.69,40,39.756,40,40,32.111,39.751,31.149,35.005,37.134,32.428,34.774,39.123,38.856,35.329,30.918,32.605,36.992,32.548,39.942,32.548,35.223,40,37.196,37.196
"hsa-miR-127-3p",33.579,40,33.16,35.078,34.435,24.158,37.024,34.774,40,32.393,36.711,31.708,39.758,40,36.711,39.884,33.453,35.005,32.463,39.756,33.16,40,40,32.066,32.28,34.672,32.393,40,32.261,39.123,33.16,40,32.038,34.435,40,32.066,39.942,40,33.503,34.18,31.236,34.565
