"","GSM5324369","GSM5324370","GSM5324371","GSM5324372","GSM5324373","GSM5324374","GSM5324375","GSM5324376","GSM5324377","GSM5324378","GSM5324379","GSM5324380","GSM5324381","GSM5324382","GSM5324383","GSM5324384","GSM5324385","GSM5324386","GSM5324387","GSM5324388","GSM5324389","GSM5324390","GSM5324391","GSM5324392","GSM5324393","GSM5324394","GSM5324395","GSM5324396","GSM5324397","GSM5324398","GSM5324399","GSM5324400","GSM5324401","GSM5324402","GSM5324403","GSM5324404","GSM5324405","GSM5324406","GSM5324407","GSM5324408","GSM5324409","GSM5324410","GSM5324411","GSM5324412","GSM5324413","GSM5324414","GSM5324415","GSM5324416","GSM5324417","GSM5324418","GSM5324419","GSM5324420","GSM5324421","GSM5324422","GSM5324423","GSM5324424","GSM5324425","GSM5324426","GSM5324427","GSM5324428","GSM5324429","GSM5324430","GSM5324431","GSM5324432","GSM5324433","GSM5324434","GSM5324435","GSM5324436","GSM5324437","GSM5324438","GSM5324439"
"hsa-let-7a-5p",16.813305223722,13.4670960339057,16.0945519613476,16.9888510805474,16.8691720959518,15.8479626624918,16.9293508861243,17.6173383194821,17.7508378108794,19.180086403906,14.5551283225844,16.9682392846606,17.5570522905702,17.260689868786,17.9749074742097,18.8551726453154,16.2565404230588,16.9156926826154,17.5479864949936,19.889806948887,15.6109671437001,17.7045723838908,18.2860974609588,17.8401570830747,18.5247291711852,16.6163621772892,17.8073737908879,15.3011389065286,16.8235787123336,15.780847301855,18.2789757077931,16.9501799563922,17.8137310967695,17.9985243223363,20.4127600281544,18.9522777060343,18.2457290958389,16.6786826581916,17.4884913474814,17.7668588500899,16.9353031968811,18.1116094658965,16.0182219164605,19.110195259982,16.6529009771572,20.0181838753629,16.8022386640284,12.9728003352245,15.2909907829959,15.6347826950377,11.6384359139905,12.1705510353167,15.4090593964279,8.42206476617281,13.565935077541,14.9719925300976,15.0161989127922,12.5369756656106,14.3459595964041,12.9235131963084,13.6817874451752,12.0443941193585,13.4936053070571,11.0430272835945,13.8114750444327,14.0619617868542,13.8824520018821,12.7082217300384,11.1072170755914,12.819580375155,13.7783851892627
"hsa-let-7a-3p",4.95419631038687,0,1,5.08746284125034,4.64385618977472,4.24792751344359,3.58496250072116,5.04439411935845,6.58496250072116,6.04439411935845,4.4594316186373,5.35755200461808,4.52356195605701,5.04439411935845,4.39231742277876,6.4093909361377,0,4,4.75488750216347,5.20945336562895,3,5.4262647547021,5.85798099512757,4.90689059560852,6.02236781302845,4.4594316186373,3,3,3.70043971814109,3.8073549220576,4.95419631038687,4.16992500144231,5.52356195605701,5.12928301694497,7.91288933622996,5.6724253419715,6.85798099512757,3.4594316186373,5.35755200461808,7.8703647195834,3,3.4594316186373,0,6.8073549220576,5.04439411935845,5.04439411935845,4.08746284125034,3,4.32192809488736,5.28540221886225,2.8073549220576,2.32192809488736,4.8073549220576,0,1.58496250072116,4.52356195605701,4.64385618977472,1.58496250072116,2.58496250072116,3.8073549220576,2.8073549220576,4.32192809488736,3.58496250072116,3.32192809488736,3.32192809488736,3,3,1,1,0,1.58496250072116
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",16.0557272769789,13.5408545321136,15.4738642648911,16.5630770756999,15.8500891437205,15.0725932147172,16.5595563407028,17.7769020479978,17.2419179976162,18.4363699545801,14.3085523466396,15.9927613509431,17.1559250160266,17.0988751089688,16.8000151288387,19.1569841828685,16.2008411473692,16.2473898135911,17.1118997798957,17.4155519796247,15.3039234127054,17.2638285177764,18.2645571389217,16.9231881865625,18.0392778613293,16.692370309875,18.203065960041,15.4434939883237,16.8733479809117,15.6886601074716,17.4146522066965,15.899238896577,17.33491919652,17.65474090426,19.749515936376,18.6901378294269,19.4320728764984,16.7961537094864,17.384682585245,17.3109411136145,16.3805456166623,17.8327046230594,15.8727950998483,18.5640378173513,16.6760948143208,17.491500832858,16.2113560048952,12.5372184005386,14.8256544702989,16.4144540161512,12.7966480414138,11.6261653199045,15.3786335405722,8.38801728534514,12.8807314351417,13.6464462061547,14.052143466487,11.2258099406235,13.0894504811159,12.4181161412075,12.3151495622563,13.2500022678404,12.7414669864011,11.0848083878044,13.1334633465234,13.0512089409148,12.4830599778717,11.424691191513,10.3674147512468,11.3370643386847,12.0433691139577
"hsa-let-7b-3p",8.11374216604919,0,6.10852445677817,6.14974711950468,6.4093909361377,6.4757334309664,7.57742882803575,7.54689445988764,8.18982455888002,7.98299357469431,6,6.70043971814109,7.4178525148859,8.11894107272351,7,8.65105169117893,6,6.35755200461808,7.63662462054365,5.70043971814109,6.56985560833095,7.10852445677817,7.86418614465428,6.6724253419715,9.09011241966429,7.3037807481771,7.68650052718322,6.10852445677817,5.6724253419715,7.06608919045777,7.24792751344359,6.22881869049588,7.54689445988764,8.89784545600551,8.07146236255662,8.19475685442225,8.04439411935845,6.12928301694497,7.6724253419715,7.98299357469431,5.35755200461808,7.22881869049588,6.4757334309664,8.7279204545632,6.06608919045777,6.76818432477693,6.24792751344359,4.90689059560852,5.88264304936184,7.32192809488736,2.8073549220576,3.32192809488736,5.4594316186373,0,2.32192809488736,6.3037807481771,6.2667865406949,3,4.64385618977472,5.28540221886225,4,3.32192809488736,4.58496250072116,1,4.4594316186373,4.90689059560852,4.39231742277876,3.58496250072116,3,3.32192809488736,3.58496250072116
"hsa-let-7c-5p",17.0415629060217,14.0818994761163,16.4327702394377,17.4511144995546,16.9382931441517,16.0417019254054,17.4201082571023,18.4700908408729,18.0760483351521,19.3527094457174,14.8799182314631,16.9484584923015,18.0662574053523,17.8492157103571,17.9286571604345,19.7588917093058,16.894912474947,17.1908952976622,18.0172325217783,19.3224849360273,16.0566588812584,18.1437917443432,19.0094432073191,17.9211435899051,18.9604375446273,17.4178607539377,18.8028571070574,16.1541258606729,17.6123573946953,16.449293758957,18.4567755140648,17.0666042866411,18.2770421589126,18.5538130086642,20.7014858399704,19.5626989340765,19.8194743494386,17.4889619935915,18.1618060200129,18.1174604804792,17.3131487575662,18.7300587745933,16.7263246116503,19.5049973897231,17.4724290668569,19.4725262454829,17.0375255055534,13.4048754550152,15.6117452730671,16.8467391270354,13.1006623390052,12.581200581925,16.1083815196522,9.25502856981873,13.800394382889,15.0024194857784,15.1971398866021,12.5729370250173,14.3900345707461,13.3116064222052,13.6595499968799,13.5786085607378,13.8122776006266,11.7573900093666,14.114149005972,14.2261863776879,13.8224712488938,12.7827934987334,11.4056733322819,12.7809497987497,13.570567288872
"hsa-let-7c-3p",3.32192809488736,0,0,2.8073549220576,0,0,0,0,2.8073549220576,0,0,1.58496250072116,3,4,2.32192809488736,2,0,0,0,0,1,0,1.58496250072116,3.32192809488736,3.16992500144231,1.58496250072116,0,0,0,1,2.32192809488736,0,2,0,2.32192809488736,2.32192809488736,0,0,0,0,0,1,2.32192809488736,0,0,1,0,1,1,0,0,0,0,0,0,2.32192809488736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",12.9325838692893,8.74146698640115,11.0774833568595,12.6582114827518,11.5072991241228,12.1225044843139,12.8632183475824,13.775404519504,13.2215871212648,14.2271646546224,11.3685064615077,12.2045711442492,13.5079184926296,13.1302487840507,13.0839778685017,14.8864110623553,11.9162526988122,12.4696418172395,13.4202234193486,14.3515604229315,11.6947931549999,13.2660544682984,13.852919585124,12.8525295094042,14.934750528383,12.9242558009012,13.7187469099011,11.1636496760158,12.9166259222112,11.8902642770211,13.5853146782015,12.6971847832245,13.0884570034862,13.9556499075284,15.6878403943582,14.4367115421372,14.8317525735046,12.7193888209421,13.4683694871095,13.1068900450922,11.9876193119243,13.6570951048884,11.7972562175098,14.6741370844464,13.133623886783,14.9748178713875,13.3231955316781,8.90086680798075,10.7507069862249,11.7627972624982,7.14974711950468,7.98299357469431,11.4372319010395,1.58496250072116,9.31061278165953,11.3359485652023,11.8509681509824,8.29001884693262,10.2191685204622,9.14974711950468,9.77807712953536,6.71424551766612,9.08746284125034,6.83289001416474,10.5255208090951,10.1421070573025,9.86573327085176,8.63662462054365,7.58496250072116,8.4757334309664,9.91737207947684
"hsa-let-7d-3p",10.9794251953315,8.38801728534514,8.86108690599539,9.57553924683453,8.92777796208234,9.2240016741981,9.68999797141945,9.93957921431469,9.93663793900257,11.0265234425198,8.17492568250068,10.9765641234153,10.2691266791494,9.76818432477693,10.8233672400462,11.5708044377245,8.60733031374961,9.54496443278924,10.1598713367784,11.7561392983729,8.06608919045777,10.3219280948874,11.0382331347318,10.4283601727043,11.0707918094231,9.82495874052852,10.9908130791536,8.76487159073609,9.25502856981873,8.92777796208234,10.8081597728684,9.69870466677034,10.5612879451648,10.7355560239115,11.9625345635113,10.5877775163282,11.7784878612224,9.61654884377899,10.791162888555,10.9307373375629,9.49984588708321,10.5077946401987,8.63662462054365,10.8415643477306,9.42206476617281,11.9844184588011,9.0389189892923,8.26209484537018,9.15228484230658,10.9872640120725,6.4594316186373,6.39231742277876,9.19721669311005,0,7.66533591718518,10.7073591320809,10.5727002264873,7.06608919045777,8.62205181945638,8.51569983828404,8.41362792902417,7.40087943628218,9.00842862207058,5.32192809488736,8.93957921431469,8.93073733756289,8.89178370321831,8.14974711950468,6.3037807481771,7.57742882803575,8.59618975614441
"hsa-let-7e-5p",16.1515913770297,12.5964227307175,15.5035152071952,16.4483744596628,16.1395913201253,15.1640819795222,16.3930887471022,17.2319711391628,17.068421422057,18.3800382328768,13.5012151995334,16.0500611951936,17.0934278811062,16.7477471809108,17.1536905630464,18.3948478352704,15.6764805321936,16.2668231345652,17.0291470060727,18.9575526999777,14.9541508618686,17.1516904639081,17.8371474475448,17.0392832169523,18.0182708249693,16.1985025946278,17.392384510832,14.9387066488875,16.4112958123259,15.3672440968693,17.5914273831634,16.3344653431736,17.3352158696072,17.5676739002,19.7565595800508,18.5511675100841,17.9417525916254,16.2536074589362,17.0169497129119,17.0274308930419,16.3688644990056,17.7264643183987,15.6714028497294,18.5393557381445,16.3250243101914,19.1352834278463,15.9602734981942,12.4160057805593,14.519390541348,15.1607774656723,11.0606959316876,11.6438561897747,14.9161593778742,8.11374216604919,12.8636055443214,14.3813401593313,14.4453382258355,11.9639797878153,13.7459893802453,12.3644082813798,13.0342831309619,11.5868397879618,12.9753106180567,10.5107641679179,13.200438879598,13.4924791302041,13.2067091493586,12.1767964781476,10.5584207132687,12.2143191208008,13.0586682503406
