"","GSM2995045","GSM2995046","GSM2995047","GSM2995048","GSM2995049","GSM2995050","GSM2995051","GSM2995052","GSM2995053"
"hsa-miR-4711-3p",6.671184100331,7.6453727901396,7.17138766746838,6.62887717599577,7.15743326304482,6.4845297555646,6.86286399071199,6.58583596137612,6.39514048662239
"hsa-miR-4454",6.44436105663353,6.10160601872695,7.1321234112911,6.14613318558957,6.44116703366495,5.40537488133237,6.61765748622336,6.31482296871063,5.40011387784497
"hsa-miR-3191-5p",6.22073895105915,5.73658619483591,5.49840228095948,6.67991216489418,6.22978235624486,6.58416966294612,4.41667288958132,5.8028544660767,6.39632216576102
"hsa-miR-5100",6.01651508688858,5.26158274531275,6.01570215843451,6.00547681527147,5.30614994484008,5.57981715915611,5.67352824961077,5.42298394801539,5.44106344299728
"hsa-miR-1260b",5.60212906406079,5.61044753533531,6.6419277058192,4.96193195932078,5.40400680000253,4.47716905065456,5.83770821882428,5.83477235311011,3.74839777771573
"hsa-miR-4436b-5p",5.35693454470292,5.73483382699354,6.35572776959165,4.6695688878682,6.29011333861177,4.80789833032889,5.69715959921928,4.96229074906522,4.05088336821769
"hsa-miR-935",5.52135936773641,5.90463218619819,5.17626499226519,5.12085174653229,5.44109139079518,5.56201695016034,4.48931525135701,5.37358347059501,5.52031386065425
"hsa-miR-3132",5.40364744853614,2.63818008700469,5.26353150370208,5.97154355395077,5.82531740127493,6.15948816783995,3.65550068301634,4.91880777996519,5.81815239574493
"hsa-miR-4764-5p",4.94805978446193,5.79857403639209,5.7553877257756,4.3701520412998,5.67074898901828,4.49320520072671,5.02282463200621,4.72538607515718,4.17787852724141
"hsa-miR-3168",4.73470962022584,2.16281768809312,3.63583698233424,5.9636059430559,4.7672493799864,6.02960757671968,2.38911333669098,3.94572963890525,5.69048315319335
"hsa-miR-625-5p",4.05775426928717,1.1721712483663,1.99232487124647,6.04889312221713,4.15690370289924,6.2764778192897,1.32411470701476,2.76947653850991,5.7873943767292
"hsa-miR-122-5p",5.27146302790437,4.10944892135151,5.41203720989208,4.80780682341439,3.24394384007631,4.26575844497916,4.70709735347528,5.60081186849359,4.04641708219707
"hsa-miR-491-3p",4.93890892460653,3.63505181693506,5.00106901731708,5.46631800435994,4.92171218891292,4.9109431126414,4.03903190521763,4.31823275109655,4.7261762057636
"hsa-miR-1246",4.11875897194384,3.74522920847507,4.64154891563072,5.88762146434412,3.5673281168165,4.49711915167851,5.0468550070984,3.66119808646868,5.29202009744899
"hsa-miR-4524b-5p",4.06249592544594,5.10705762666438,5.98133388377026,2.13217274263762,4.47236934083492,1.33766894369785,5.73591992558237,5.0645861220783,0.766788355869897
"hsa-miR-4445-5p",4.51459294645282,3.98366392245755,3.76519037426968,5.27367292641754,4.3211062806623,5.4986009805337,3.12153632344909,3.98185265328974,5.33659999611434
"hsa-miR-323b-5p",4.32682367714536,3.28136614679678,4.26038658651139,4.6763901540023,5.12392105599648,5.33857185096812,3.02075576896912,4.28986877081858,4.87948365941787
"hsa-miR-4800-3p",4.38127729988021,4.34040709121015,4.64356798207747,4.29784141117282,4.45449369600749,3.89343594457658,5.53772950946517,4.66992329142033,3.25188696164997
"hsa-miR-4695-3p",4.19311462907711,4.95208622548596,5.27138725090187,3.85229678281614,3.92322933198569,3.29178755842447,5.02934855122106,4.80986905872898,3.17591391238824
"hsa-miR-3138",3.67836848145614,5.45819311712813,4.80986144271206,2.92283213941412,4.94344933433755,2.96300579243817,3.85079465646439,4.64385618977472,4.06470958588514
"hsa-miR-4787-5p",4.03805259257707,4.60537362932343,3.90496812349478,3.27726700484937,3.21309037654831,2.9350220309113,5.82469504865875,4.37285493901649,4.56546511630206
