"","GSM4176156","GSM4176157","GSM4176158","GSM4176159","GSM4176160","GSM4176161","GSM4176162","GSM4176163","GSM4176164","GSM4176165","GSM4176166","GSM4176167","GSM4176168","GSM4176169","GSM4176170","GSM4176171","GSM4176172","GSM4176173","GSM4176174","GSM4176175","GSM4176176","GSM4176177","GSM4176178","GSM4176179","GSM4176180","GSM4176181"
"hsa-miR-20a-5p",13.6263,18.44623333,13.6582,12.79253333,18.23566667,16.9385,15.36526667,14.54366667,14.7025,15.8206,16.04743333,16.56163333,13.96296667,12.01006667,18.94373333,15.17113333,15.29303333,19.90456667,18.68803333,13.9959,18.84653333,15.94893333,20.3674,15.46876667,17.45293333,15.19073333
"hsa-miR-200a-3p",15.6319,18.30273333,12.5553,11.30663333,19.39956667,19.8952,14.83496667,13.43506667,12.6595,13.1057,18.67153333,16.80913333,13.69676667,11.47006667,17.15423333,14.66813333,18.44533333,17.31586667,19.86643333,14.1195,15.91903333,17.40563333,19.522,15.12146667,15.23933333,16.97873333
"hsa-miR-532-5p",24.0427,19.97453333,12.2318,10.55333333,19.04196667,16.6701,15.55766667,14.60716667,1.5743,13.8593,20.44713333,11.15723333,13.70196667,11.66846667,14.70273333,10.98603333,16.69183333,14.17906667,18.22753333,11.1702,13.85613333,14.33163333,20.3228,13.36536667,20.91763333,20.99483333
"hsa-miR-149-5p",14.0212,15.73493333,11.7088,10.46253333,22.55976667,15.8847,13.87136667,12.33726667,2.9495,8.1693,13.03823333,11.31573333,10.87986667,7.914966667,20.29883333,11.98243333,13.40073333,14.08376667,13.63953333,10.626,13.17313333,14.09073333,17.1963,13.59576667,14.38033333,15.80773333
"hsa-miR-204-5p",11.3121,12.93153333,10.8847,8.599133333,12.88786667,13.044,8.492366667,10.37026667,11.5162,10.299,10.02403333,11.28023333,8.436666667,8.960166667,12.93843333,12.44343333,15.32663333,11.98816667,19.96213333,9.6925,13.87703333,18.29813333,14.5325,7.948266667,13.84853333,14.09003333
"hsa-miR-203a",11.2471,13.74083333,10.4013,8.558733333,20.06956667,13.2166,9.977166667,7.916066667,9.4699,8.8866,20.42083333,11.31053333,9.759466667,7.187766667,12.36453333,9.493533333,10.53063333,5.777666667,20.40423333,13.2738,17.76423333,5.799933333,16.7285,11.37906667,12.80003333,13.44573333
"hsa-miR-30d-5p",13.9695,12.16923333,3.3324,9.819233333,15.21746667,15.8372,11.14416667,8.658166667,7.3711,5.0567,13.56053333,11.86853333,10.76576667,8.433866667,16.18573333,11.68783333,13.57043333,13.73086667,15.74483333,10.595,11.94783333,13.08103333,16.0613,13.05016667,12.91353333,14.31093333
"hsa-miR-27a-3p",15.5268,15.92473333,11.3021,10.16693333,20.48316667,9.3462,10.05196667,11.05236667,3.2554,0.3937,19.13763333,11.53963333,9.828766667,7.938566667,13.20503333,10.36043333,15.00423333,14.54516667,8.925233333,10.2967,12.36453333,16.87073333,13.5258,13.62516667,9.471033333,15.45443333
"hsa-miR-222-3p",12.6933,16.69833333,10.126,10.69913333,14.99066667,19.2118,11.93886667,6.597366667,4.1918,11.3341,12.42233333,13.09213333,9.967466667,-0.194533333,15.49523333,11.46613333,13.70793333,5.356266667,15.43373333,11.7887,13.18263333,17.07413333,15.0787,11.42106667,12.41023333,13.40693333
"hsa-miR-574-3p",12.4672,11.42983333,9.0911,5.237533333,13.72646667,17.9003,11.13906667,12.40086667,1.8987,10.7568,13.04883333,10.36193333,9.396566667,6.783166667,13.11253333,9.661633333,13.71463333,12.95076667,15.07663333,11.1119,12.12583333,13.38423333,19.2316,11.70066667,13.20893333,12.78423333
