"","GSM2079803","GSM2079804","GSM2079805","GSM2079806","GSM2079807","GSM2079808"
"hsa-miR-155",3.4691,3.3895,0.1422,0.0264,3.6292,5.0836
"hsa-let-7a",1.6664,0.9062,-1.8846,-0.3198,12.2249,11.8754
"hsa-let-7b",-6.5159,-7.0429,-2.4778,-2.0495,-0.8684,0.8871
"hsa-let-7c",4.2514,4.0475,9.0144,6.5419,6.0962,11.8754
"hsa-let-7d",2.5405,1.9611,1.1226,0.9175,3.601,4.7319
"hsa-let-7e",-1.2944,-1.4821,-3.1004,-2.4948,-0.5326,0.7953
"hsa-let-7f",13.5838,1.1684,0.9056,0.4714,12.2249,11.8754
"hsa-let-7g",0.2365,0.4737,-0.3824,-0.6643,0.5732,6.1882
"hsa-miR-1",13.5838,10.3045,13.0173,13.0394,12.2249,11.8754
"hsa-miR-100",0.2827,-0.0098,-1.5059,-0.9816,-2.4284,-1.5979
"hsa-miR-101",8.0512,7.7124,6.9835,8.2182,12.2249,11.8754
"hsa-miR-103",2.8102,1.6404,-10.0103,-10.0259,3.6939,11.8754
"hsa-miR-105",13.5838,13.3371,13.0173,13.0394,12.2249,11.8754
"hsa-miR-106a",0.5516,-0.6537,-2.9566,-2.6457,-0.6265,0.7313
"hsa-miR-106b",1.9934,2.0007,1.9792,2.0142,4.8445,6.8551
"hsa-miR-107",13.5838,13.3371,13.0173,13.0394,12.2249,11.8754
"hsa-miR-10a",2.4215,2.1234,13.0173,13.0394,4.2536,2.939
"hsa-miR-10b",9.5431,8.7854,8.0082,7.308,12.2249,11.8754
"hsa-miR-122",2.3539,1.6361,1.7912,2.0299,6.5863,11.8754
"hsa-miR-124",9.6051,13.3371,13.0173,13.0394,12.2249,11.8754
"hsa-miR-125a-3p",13.5838,4.9774,3.1434,4.0272,-0.0965,0.9048
"hsa-miR-125a-5p",5.1583,5.7851,5.0309,5.3999,4.8846,4.8857
"hsa-miR-125b",-1.4327,-1.3281,-1.0454,-1.6867,-0.5398,-0.1261
