"","GSM1399577","GSM1399578","GSM1399579","GSM1399580","GSM1399581","GSM1399582","GSM1399583","GSM1399584"
"hsa-let-7a",12.3541923453187,13.0181128771228,12.4865333813123,5.80061521451634,6.50738238271885,6.51878689625372,11.5684050657569,10.3682095980993
"hsa-let-7b",11.1314171416098,11.2073481031307,10.6204095448454,4.41298470751484,5.29752159890574,4.9993686828089,8.94592075407571,7.60800341439076
"hsa-let-7c",12.2726487369897,12.281836161815,12.0930015328401,5.66286060338224,6.39669039852504,5.83385149040219,11.1352257419412,9.58288901578501
"hsa-let-7d",12.3535024920132,12.6164741800813,12.3745336389737,5.26764815312046,6.31437025119251,6.67939564659221,11.4937789103377,10.0696753177499
"hsa-let-7e",9.91919555539657,10.4675515498936,10.2875784912371,4.13496017262534,4.63017245928108,4.12672511949389,9.47773803214995,8.06202994273671
"hsa-let-7f",11.625953532611,11.99334779674,11.8922718589962,4.8165485099189,5.9835408966474,5.76404885418628,11.1851219681442,9.8634444831009
"hsa-miR-15a",8.55006952156704,8.50186106379501,8.65164013331259,7.27109880648553,4.7899900186681,5.74907832544978,8.94060724563892,7.49331108434567
"hsa-miR-16",10.280523728045,10.013880937935,10.1748508001919,3.32941067121857,6.10504944346395,6.8238512419538,10.8827989253625,9.32115920408038
"hsa-miR-17",8.68400516923994,8.62623469174063,9.76903612366388,3.34440244146226,5.9486942832656,6.66380001553176,11.0775073904499,9.83364596545089
"hsa-miR-17*",3.91972144513017,4.1740867785504,5.58381991481383,4.08491465976794,4.0621217119078,4.0765590951316,6.908308548686,5.20108490536784
"hsa-miR-18a",5.63479653241273,5.18237448827581,6.47592793853349,4.07570375921938,6.61106907371358,3.79981261691531,8.69807258970499,6.97645529070188
"hsa-miR-19a",7.31582885052478,6.98941153106785,8.3153262079771,4.45325416949395,8.61353533626454,4.1948750225553,9.37931337934446,7.30597052098439
"hsa-miR-19b",9.15220370427578,8.90092415245985,9.76767134888398,4.07578931563399,5.21598915414672,5.20668229123609,10.5325137266494,9.14700644530542
"hsa-miR-20a",8.54990400536364,8.45764764012002,9.53010391496266,3.33313745630767,5.52819621940835,6.08176569137544,10.9622005107535,9.60975311566815
"hsa-miR-21",13.6645487274211,14.4787758118291,14.5580659154309,6.99734886767138,7.13166150205139,6.05045816344528,14.2337066222783,12.725531353094
"hsa-miR-22",11.3537616046478,11.3527574217654,11.4826088288896,4.78225128581961,5.12142990894896,4.63807383718072,10.5863969683454,9.10221719385008
"hsa-miR-23a",12.2982470467113,12.9275331719572,13.2796433692035,6.2673672490831,6.97064662010827,5.99934613065613,12.4364296894393,11.3846693658474
