"","GSM5031574","GSM5031575","GSM5031576","GSM5031577","GSM5031578","GSM5031579","GSM5031580","GSM5031581","GSM5031582","GSM5031583","GSM5031584"
"hsa-let-7a-2",2.10401058697426,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,2.14023397976326,1.33320818528216
"hsa-let-7a-2-3p",2.70011951706306,3.22501616859652,3.32758010515286,2.64126144861462,2.51452749234203,2.07958052038919,3.24502772644577,1.33320818528216,2.25563512231622,1.33320818528216,2.70671887521544
"hsa-let-7a-5p",15.5253939526112,16.2923365106977,14.4373592302964,13.8118362359245,14.9270453088651,11.9079378209258,12.0913674213561,11.7377571995596,11.3539835637661,12.5655486704725,11.0676776407452
"hsa-let-7e-3p",4.53170167395446,4.01612996666001,4.03564593353398,3.55401275264483,3.87717591245676,3.83311249703128,3.24502772644577,3.76068848596,3.57467916332495,2.14023397976326,2.9189873555982
"hsa-let-7e-5p",10.9660313596544,11.2187133600806,10.2755355096187,10.209772385287,11.261213341452,9.3479653637076,8.55244178079387,9.14490580488219,9.58419722289286,9.31806241102017,8.96616308029911
"hsa-let-7i",1.33320818528216,1.33320818528216,1.33320818528216,2.64126144861462,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.97202903039175,1.33320818528216,2.10791074044889
"hsa-let-7i-3p",3.52323030131104,3.5416368798068,2.75841543495097,3.17510957344364,1.33320818528216,2.65865181109363,2.69474691816257,2.4492876150515,2.25563512231622,1.33320818528216,3.26060636689114
"hsa-let-7i-5p",16.5343758267569,16.6779238163225,14.5499032420927,14.5869108820904,14.4196522079096,13.0404440306206,13.9330689396137,13.3309822935548,13.9074679957576,13.9139558403537,13.5320442181032
"hsa-miR-1-3p",8.9413220680067,8.20801634589136,5.07391023700652,3.55401275264483,4.2528124954628,2.76608654275214,4.79499518833703,2.1083217964975,1.33320818528216,4.36930984327538,2.44870793258868
"hsa-miR-100-3p",1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,2.90552395541442,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216
"hsa-miR-100-5p",16.0262872614104,16.7609397780038,15.4178251786933,15.7235251113383,16.1825743246316,14.5355907038467,16.0790237561058,14.8708738839262,14.9934079762332,15.0606596211259,13.7699777208404
"hsa-miR-101-3p",9.59932657133109,8.3775770884643,6.99510749204568,5.44592122434183,5.96460819339077,6.19189257537857,9.24068195003136,5.57396862594094,7.51798822511225,6.94643922288958,7.6629193666004
"hsa-miR-103a-2-5p",1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.33320818528216,1.97202903039175,2.76118977549256,2.9189873555982
"hsa-miR-103a-3p",10.3609261296342,9.32171862989221,8.39048105800373,8.45086066214123,7.72683996484292,9.26461647133106,10.2472131527372,8.92648567194805,8.47500923232003,8.58872573230017,8.1302026479659
"hsa-miR-107",3.74968476562738,3.03352580886025,3.07375474167472,2.64126144861462,1.33320818528216,3.6867438117253,4.52235339235539,3.65177650969714,3.65549070193601,4.21415787891302,3.26060636689114
"hsa-miR-10a-3p",5.82743157595767,6.59648303242337,4.16816500335733,5.15609298277748,4.79518888189201,2.40868931786028,6.16232701142441,2.91976889828265,4.3764680299291,5.45143542803046,2.44870793258868
"hsa-miR-10a-5p",13.4809015109714,14.6322111927192,12.3868321649393,12.7997413387006,13.2749541051722,10.0003397667986,15.0843970344613,11.0017917173158,11.055907507017,12.9074710981852,8.20790259204443
"hsa-miR-10b-3p",3.94448164429011,4.11336196362428,2.75841543495097,1.33320818528216,4.07742756064139,2.8648794704646,3.08622049876332,4.513917694241,5.01213189940329,3.60953483984578,2.44870793258868
"hsa-miR-10b-5p",11.7127360724685,12.3546367684945,11.0348394152341,10.6640526014708,11.8888559618935,10.4979044175379,12.7318929316971,13.1317295932706,13.2215157944531,11.1229568812367,9.33421330705931
"hsa-miR-1180-3p",5.33812700353356,5.82072292926036,5.66985023361434,5.25933061329287,5.09912310050297,5.59242412580451,4.58119757991076,5.22642046376706,4.00145127293322,4.8086972697268,3.95487881639267
"hsa-miR-1185-1-3p",2.91156693933161,2.8088833783377,3.07375474167472,2.64126144861462,1.33320818528216,3.40221285024954,3.38701378520355,3.33479671394532,2.47350896515992,2.14023397976326,2.44870793258868
