"","GSM692615","GSM692616","GSM692617","GSM692618","GSM692619","GSM692620","GSM692621","GSM692622","GSM692623","GSM692624","GSM692625","GSM692626","GSM692627","GSM692628","GSM692629","GSM692630"
"hsa-let-7a",9.9586927,10.78067497,7.706177029,9.07961263,11.02855911,10.96767766,5.465186578,9.637434815,10.22967397,9.297919857,4.318660739,4.045577327,8.06102109,8.599840188,6.36639179,5.554113511
"hsa-let-7a*",0.62203407,0.787400676,0.776720264,-0.579038317,0.766856401,1.148007023,1.302049504,-1.71071351,0.817040571,1.208030627,0.633617432,1.307734171,0.454570797,1.60262753,0.773104825,1.180921481
"hsa-let-7b",7.04649856,7.611267445,5.01495564,6.543962999,7.989686769,8.724167527,4.885636053,9.058015551,8.370988623,7.908893523,3.87328596,3.377676034,5.004919534,6.107208079,4.931210861,5.518481975
"hsa-let-7b*",3.492021333,3.44514184,3.714185216,3.321519557,3.214652601,3.60853055,4.210750705,3.391691668,4.908902553,4.537703581,5.229164335,5.687142338,4.179075717,5.078733738,4.69363399,5.143884124
"hsa-let-7c",5.535693086,7.218658368,4.123145856,6.086351726,5.620985724,6.170239208,2.24041546,5.758438812,7.474520463,6.944413354,2.496892415,1.757956203,4.798151803,4.783997679,3.630279417,3.754162156
"hsa-let-7c*",-2.046343639,-1.686440539,1.492481385,-0.525455745,-0.324468395,-0.330955514,-1.130226025,3.490186581,-2.683904942,-2.307801948,0.080871482,-2.616513052,-3.68757333,-0.484714212,0.053241178,-3.032567114
"hsa-let-7d",8.825180298,9.681300945,6.422900511,7.861189158,9.892658673,9.858747625,3.378711519,7.107988822,8.135521579,7.337272868,2.490703362,2.366192491,6.87121604,7.451969773,5.187542603,3.481744015
"hsa-let-7d*",1.719122438,1.400712621,1.591243055,1.459627722,1.481710695,1.623925588,3.223930824,3.480267799,1.066695691,1.931517472,1.995091306,2.122578519,1.146203599,1.994418449,0.664565299,2.364462136
"hsa-let-7e",-1.755197335,0.323847766,1.401174703,2.238287209,2.335201619,2.475954054,-1.671042011,2.058873655,4.808279674,4.724382095,-2.020355244,0.431150407,-0.803612234,-1.980203209,-2.732044308,-1.540493
"hsa-let-7e*",0.909518443,-0.184774693,0.042251904,-0.675479034,-0.061919795,0.494646014,1.250798271,-0.874621561,0.654200349,0.046714623,0.70274706,-0.054330997,-0.618248454,1.865467522,0.414832628,0.017610084
"hsa-let-7f",10.82134008,11.49311197,7.716378821,9.511379413,11.75829003,11.49535351,4.575373584,8.614597818,10.65262718,9.765183068,4.31105899,4.16870544,9.025288267,9.647651277,7.094202975,5.172364143
"hsa-let-7f-1*",3.145898733,3.152520497,3.554183301,3.059744534,3.049716796,3.330034438,4.141624069,3.080405329,4.874903147,4.496756106,5.204954187,5.611717685,4.20804657,4.991779356,4.670769583,5.059284466
"hsa-let-7f-2*",1.331020637,0.958069405,-0.849581594,0.232561533,1.160848985,0.987643144,1.500342067,0.22416325,1.581820877,1.512744257,1.411864219,1.722498643,1.701086801,1.431147494,1.207411338,1.305960317
