"","GSM3147673","GSM3147674","GSM3147675","GSM3147676","GSM3147677","GSM3147678","GSM3147679","GSM3147680","GSM3147681","GSM3147682","GSM3147683","GSM3147684","GSM3147685","GSM3147686","GSM3147687","GSM3147688","GSM3147689","GSM3147690","GSM3147691","GSM3147692","GSM3147693","GSM3147694","GSM3147695","GSM3147696","GSM3147697","GSM3147698","GSM3147699","GSM3147700","GSM3147701","GSM3147702","GSM3147703","GSM3147704","GSM3147705","GSM3147706","GSM3147707","GSM3147708","GSM3147709","GSM3147710","GSM3147711","GSM3147712","GSM3147713","GSM3147714","GSM3147715","GSM3147716","GSM3147717","GSM3147718","GSM3147719","GSM3147720"
"hsa-miR-324-3p",2.692,4.078,4.022666667,2.355,3.091666667,2.430333333,3.540333333,0.086722338,3.379333333,5.006666667,3.734333333,3.359,5.162666667,5.426,1.410055671,3.626333333,5.158,3.935730834,1.611333333,4.7983975,4.020333333,1.257,4.334333333,4.994666667,4.905,1.775666667,3.541333333,0.830064167,3.985333333,4.283333333,4.250333333,2.097666667,4.554,4.96,3.9,3.778666667,0.879666667,0.62974723,4.626,4.47,3.771,4.064666667,4.770666667,0.11274723,4.208666667,3.220413897,3.541666667,2.930333333
"hsa-miR-345",1.707,2.884,3.228666667,2.368,1.871666667,1.630333333,4.168333333,1.659333333,2.929333333,5.706666667,3.873333333,2.846,5.427666667,5.268915932,3.181666667,2.703333333,4.617094759,3.430094759,0.137333333,5.006666667,4.601333333,0.504,5.055333333,3.907666667,3.241,0.993666667,3.255333333,0.324428093,3.528333333,3.906333333,4.030333333,1.103666667,4.005,5.745,3.917,5.973410185,-0.421333333,0.599076851,5.126743518,4.185,3.737,3.263666667,4.141666667,1.491333333,4.351666667,3.189743518,3.217666667,1.537333333
"hsa-miR-324-5p",0.499924004,4.161,3.314666667,2.176,3.322666667,2.737333333,3.440333333,-0.190742662,2.706333333,3.843666667,2.891333333,3.228,3.888666667,3.717,3.333666667,2.135333333,4.599,3.557551405,2.953333333,3.809666667,2.758333333,0.981,2.510333333,4.375666667,4.088,1.899666667,3.731333333,0.451884739,3.017333333,3.235333333,2.689333333,1.353666667,3.641,2.831,3.159,6.035844456,2.984666667,0.661511123,5.189177789,4.15,3.436,2.695666667,3.852666667,0.144511123,3.431666667,3.592,3.871666667,1.712511123
"hsa-miR-29a",1.71,2.017,3.085666667,1.381,0.818666667,1.433333333,4.92891221,1.665333333,2.153333333,3.588666667,2.637333333,5.099578876,3.464666667,2.778,2.263666667,0.982333333,3.563,3.749,0.367333333,3.236666667,2.689333333,0.566,3.989333333,3.881666667,1.421,-0.037333333,1.963333333,2.242333333,3.543333333,2.506333333,2.672333333,0.944666667,3.183,3.505,2.86,5.766238092,0.330666667,0.843333333,4.919571425,4.146,2.626,2.905666667,3.925666667,-0.125095242,3.814666667,4.273,3.427666667,1.442904758
"hsa-miR-195",2.483,2.526,3.015666667,-0.145204353,3.218666667,3.245333333,3.005333333,-0.477871019,2.669333333,2.613666667,3.358333333,2.451,2.594666667,3.475,0.845462314,3.342333333,4.033,4.085,2.624333333,2.978666667,2.791333333,-0.248023832,2.664333333,3.136666667,3.89,2.589666667,1.500333333,2.030333333,3.355333333,2.290333333,2.895333333,0.186642834,2.64,3.504,2.468,2.883666667,2.340666667,1.761333333,4.584,2.602,3.213,2.445666667,4.310666667,-0.147535448,4.258666667,3.437,2.674666667,1.420464552
"hsa-miR-410",-0.089728152,2.549,5.792666667,-0.447728152,0.733938515,2.953333333,2.454333333,-0.780394819,2.187333333,3.251666667,5.138333333,2.728,3.986666667,3.855,0.542938515,3.525333333,2.842,4.111,2.112333333,3.457666667,2.855333333,-0.549098316,2.689333333,3.546666667,4.756,0.468568351,2.859333333,1.624333333,2.436333333,2.886333333,3.667333333,1.071666667,2.649,3.539,2.567,2.457666667,1.781666667,-0.254856226,2.018,3.347,3.879,4.865666667,2.591666667,-0.771856226,2.308666667,2.771,2.995666667,2.361333333
"hsa-miR-28",2.253,2.263,2.523666667,1.039,2.456666667,1.847333333,2.489333333,1.974333333,2.015333333,2.119666667,2.018333333,2.039,1.706666667,2.082,1.237666667,0.346333333,3.128,3.069872685,2.125333333,2.083666667,1.737333333,-0.553127315,2.382333333,2.141666667,3.056,1.059666667,2.290333333,1.884333333,2.990333333,2.878333333,2.859333333,1.046666667,1.551,1.551,1.84,5.398477001,2.856666667,0.024143667,3.021,2.462,2.989,1.888666667,2.575666667,-0.492856333,2.649666667,2.978,3.846666667,1.967333333
"hsa-miR-942",-0.151,6.001,4.810666667,-2.377,1.092666667,1.119333333,2.473333333,-2.270666667,2.578333333,3.128666667,2.296333333,4.294,6.371666667,3.65,1.993666667,-1.004666667,3.046,2.366,3.977333333,3.748666667,3.105333333,-4.285,2.811333333,6.349666667,4.592,-3.146333333,5.068333333,0.956333333,1.635333333,1.667791534,2.996333333,-3.252333333,6.571,3.158,2.708,1.797666667,0.425881609,0.124333333,2.142,2.268,1.651,2.126666667,2.165666667,0.240333333,1.564666667,1.827,4.916666667,1.359333333
"hsa-miR-335",2.25,2.807,2.643666667,2.274,3.269666667,3.365333333,2.189333333,1.944333333,2.288333333,2.708666667,2.540333333,2.696,2.557666667,2.584,3.453666667,3.020333333,2.256,1.699,2.885333333,2.021666667,2.205333333,-0.975373049,1.875333333,1.953666667,3.12,2.587666667,2.343333333,-0.458039716,1.522333333,2.081333333,1.803333333,-0.540706382,2.457,1.857,1.875,1.774666667,2.698666667,-0.553942543,1.989,2.127,1.876,2.135666667,1.247666667,-1.070942543,1.794666667,1.633,1.781666667,3.091333333
"hsa-miR-27a",2.62,3.046,1.645666667,2.261,3.289666667,3.293333333,2.743333333,-0.302771986,1.913333333,2.433666667,1.993333333,2.285,2.138666667,2.029,3.283666667,2.296333333,2.961,2.795,2.236333333,1.798666667,1.210333333,1.643,1.993333333,2.010666667,1.239,1.767666667,2.025333333,-0.21134045,2.388333333,1.127333333,1.943333333,1.755666667,1.579,1.958,1.713,1.916666667,1.843666667,-0.35095845,2.368,2.442,2.185,1.359666667,2.982666667,-0.86795845,2.235666667,2.656,2.150666667,2.106333333
