"","GSM1954293","GSM1954294","GSM1954295","GSM1954296","GSM1954297","GSM1954298","GSM1954335","GSM1954336","GSM1954337","GSM1954338","GSM1954339","GSM1954340","GSM1954341","GSM1954342","GSM1954343","GSM1954344","GSM1954345","GSM1954346","GSM1954347","GSM1954348"
"hsa-miR-155",5.0039,7.0097,6.011,5.9695,5.9866,4.9949,0.9598,1.9946,1.9706,2.9533,4.9637,5.014,4.9814,3.0125,5.9788,6.9962,6.9992,5.9397,6.9933,8.007
"hsa-let-7a",3.0359,3.0555,1.0579,11.9977,11.005,11.0021,1.9732,3.0448,5.0116,10.9852,12.0311,11.0373,12.0125,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-let-7b",0.0093,0.9783,0.0056,1.0144,1.0089,-1.0131,-3.0059,-2.9673,-2.9778,-3.0224,-0.0757,1.0757,-0.0011,0.0625,-5e-04,0.0289,1.0084,-1.0394,0.0515,2.0294
"hsa-let-7c",7.9793,10.0152,9.0107,8.9522,6.9601,7.8747,6.1455,6.0138,3.9898,4.97,7.0222,7.0232,7.0063,6.0797,8.0098,10.9983,6.9734,7.9807,5.9809,12.0272
"hsa-let-7d",1.967,7.0181,6.0128,8.0029,7.0389,11.0021,0.9524,1.0023,0.9962,1.9463,6.0072,4.0227,4.9876,2.0037,3.9857,4.9862,3.9638,3.9451,3.9891,3.9826
"hsa-let-7e",-0.013,1.0243,-0.9696,-0.031,0.9767,-1.0355,-1.0164,-0.9991,-0.941,-2.0296,1.1188,1.0316,0.9818,-0.9922,1.0652,0.9984,1.0319,0.9651,0.9688,2.0635
"hsa-let-7f",1.0159,13.034,13.0195,11.9977,11.005,11.0021,0.0641,1.0301,0.0504,10.9852,12.0311,11.0373,12.0125,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-let-7g",2.9959,4.054,0.9801,2.9982,1.9905,1.9923,-2.0495,-0.9874,0.0292,-1.0337,4.0547,3.0278,2.9949,0.0137,3.0146,3.9711,4.0141,3.9195,3.962,4.0313
"hsa-miR-1",12.0124,13.034,9.9854,6.0389,11.005,5.9993,8.9594,7.9969,2.9083,10.9852,8.016,8.1128,12.0125,0.3659,12.02,10.9983,12.003,11.9782,11.0006,8.0077
"hsa-miR-100",12.0124,2.0161,5.9701,1.9825,11.005,-1.0368,4.9706,6.0419,7.0139,10.9852,8.0503,7.0933,8.0442,10.0295,7.967,10.9983,12.003,7.9746,6.9891,12.0272
"hsa-miR-101",12.0124,13.034,5.993,8.0035,4.979,4.9809,1.9425,2.9972,4.0038,2.9567,3.9916,4.0142,3.9956,3.0145,4.9854,5.9828,5.9958,4.9558,6.9881,8.9844
"hsa-miR-103",4.0057,3.994,13.0195,4.0278,11.005,11.0021,0.9797,2.0272,2.0345,2.9818,12.0311,11.0373,5.0473,2.026,5.0124,6.0252,6.9974,3.8777,4.0099,6.004
"hsa-miR-105",12.0124,13.034,13.0195,11.9977,11.005,11.0021,11.9886,12.0273,11.0249,10.9852,12.0311,11.0373,2.859,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-106a",-1.0397,1.0145,-2e-04,0.9721,1.0151,-2.0063,-5.0596,-5.0191,-5.0328,-5.0469,-2.9993,-1.9856,-3.0067,-2.9872,-1.9853,-2.0307,-1.0244,-3.0405,-2.0229,-2.0125
"hsa-miR-106b",5.9713,3.9983,2.989,4.0341,3.9599,1.9593,-0.0222,0.0036,1.0042,-0.0167,2.0206,5.01,2.0068,3.0172,3.0187,5.9982,5.9858,3.966,4.9571,4.0083
"hsa-miR-107",7.9999,7.0042,13.0195,11.9977,11.005,11.0021,7.9731,12.0273,5.034,6.9918,12.0311,11.0373,0.8455,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-10a",5.9927,13.034,6.9831,6.0018,4.9547,11.0021,4.9572,6.0166,4.9781,4.9433,6.9898,6.0501,5.9909,4.9542,6.0054,10.9983,6.9673,6.946,5.9898,9.0029
"hsa-miR-10b",12.0124,-21.4391,13.0195,11.9977,11.005,11.0021,7.9993,12.0273,11.0249,10.9852,9.0662,11.0373,12.0125,10.0295,8.0264,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-122",5.9919,2.994,2.0159,0.9828,-1.0123,-2.0377,1.9452,2.0163,1.9871,-2.0643,1.0031,1.992,1.0294,4.0617,-0.9953,-0.0257,-0.0116,-0.0413,-0.0316,3.009
"hsa-miR-124",12.0124,13.034,13.0195,11.9977,11.005,3.9693,11.9886,12.0273,11.0249,10.9852,12.0311,11.0373,12.0125,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-125a-3p",12.0124,13.034,13.0195,11.9977,11.005,11.0021,6.9669,12.0273,11.0249,10.9852,12.0311,11.0373,12.0125,10.0295,12.02,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-125a-5p",7.0061,13.034,13.0195,7.9768,6.9483,11.0021,5.9895,8.0239,8.0192,6.9495,12.0311,8.023,12.0125,7.0134,8.0406,10.9983,12.003,11.9782,11.0006,12.0272
"hsa-miR-125b",12.0124,9.0188,8.0278,11.9977,11.005,11.0021,0.9808,2.998,5.0058,3.9571,6.0144,11.0373,4.967,6.0105,7.9875,5.974,5.9873,11.9782,4.9676,8.0161
"hsa-miR-126",-1.0098,0.005,0.0101,-0.0113,-0.0151,-1.0279,-4.0404,-2.9888,-3.0105,-2.0193,-1.9818,-0.9738,-2.0015,-2.9881,-0.9971,-1.0092,-1.0135,-1.0331,-0.0194,0.0224
"hsa-miR-127-3p",8.0227,6.0164,6.0457,3.9605,11.005,11.0021,3.9682,4.0099,4.9866,5.9557,8.0071,11.0373,6.9983,4.0181,5.985,6.9892,12.003,11.9782,11.0006,12.0272
