"","GSM3124520","GSM3124521","GSM3124522","GSM3124523","GSM3124524","GSM3124525","GSM3124526","GSM3124527","GSM3124528","GSM3124529","GSM3124530","GSM3124531","GSM3124532","GSM3124533","GSM3124534","GSM3124535","GSM3124536","GSM3124537","GSM3124538","GSM3124539","GSM3124540","GSM3124541","GSM3124542","GSM3124543","GSM3124544","GSM3124545","GSM3124546","GSM3124547","GSM3124548","GSM3124549","GSM3124550","GSM3124551","GSM3124552","GSM3124553","GSM3124554","GSM3124555","GSM3124556","GSM3124557","GSM3124558","GSM3124559"
"hsa-miR-4778-3p",-2.905,-3.046,-2.256,-2.586,-3.104,-2.788,-2.746,-3.055,-2.593,-2.558,-2.611,-2.697,-2.914,-2.683,-2.236,-1.68,-1.125,-2.222,-2.215,-2.101,-1.624,-2.022,-2.022,-1.781,-1.944,-1.826,-1.813,-1.572,-1.535,-1.82,-2.043,-2.025,-1.003,-1.792,-1.451,-1.691,-1.615,-1.943,-2.011,-2.47
"hsa-miR-4779",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4780",-0.464,-0.923,-1.998,-1.757,-2.076,-1.676,-0.711,-1.742,-2.751,-1.525,-1.446,-0.973,-1.646,-0.612,-3.322,-3.322,-2.806,-3.322,-2.927,-3.322,-3.118,-2.855,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.792,-2.613,-1.516,-2.106,-2.486,-3.322,-2.946,-2.675,-3.185,-1.351
"hsa-miR-4436b-5p",2.98,2.486,2.907,3.082,3.965,3.618,3.19,2.593,3.384,2.899,3.052,2.473,3.298,2.825,3.767,5.97,6.339,6.11,6.016,5.936,5.688,5.311,5.436,5.573,5.4,5.522,5.687,5.579,5.227,5.568,5.103,4.979,5.475,6.663,6.355,6.253,6.142,5.577,6.146,5.571
"hsa-miR-4436b-3p",-2.968,-2.806,-2.227,-1.997,-2.277,-2.095,-3.17,-1.492,-0.608,-1.367,-2.483,-2.673,-2.055,-3.322,-0.426,-1.763,-0.728,-1.057,-0.666,-0.824,-1.125,-0.788,-1.736,-1.22,-0.868,-0.574,-2.172,-2.861,-1.184,-1.167,-1.907,-1.949,-2.502,-1.112,-2.079,-0.935,-1.189,-2.374,-1.24,-3.322
"hsa-miR-4781-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.272,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.974,-1.12,-0.959,-0.872,-1.126,-1.325,-1.718,-1.648,-1.365,-1.319,-1.031,-0.975,-1.017,-1.24,-1.584,-2.553,-3.066,-1.556,-0.646,-0.941,-0.465,-1.068,-2.051,-1.256,-2.128
"hsa-miR-4781-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.612,-2.478,-3.146,-2.858,-2.374,-2.773,-2.929,-3.051,-2.427,-2.541,-2.266,-2.213,-2.372,-2.42,-2.589,-3.115,-3.088,-2.824,-2.221,-2.513,-2.082,-2.559,-3.102,-2.812,-3.322
"hsa-miR-4782-5p",-3.322,-3.2,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4782-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4783-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
