"","GSM4979955","GSM4979956","GSM4979957"
"hsa-let-7a-3p",1e-06,1e-06,1e-06
"hsa-let-7a-5p",7.903836416,7.936641119,8.530413487
"hsa-let-7b-3p",1e-06,3.33333e-07,1e-06
"hsa-let-7b-5p",8.530413487,8.846058754,8.604623213
"hsa-let-7c-3p",1e-06,1e-06,1e-06
"hsa-let-7c-5p",5.902930877,5.945104013,6.190610961
"hsa-let-7d-3p",1e-06,3.33333e-07,1e-06
"hsa-let-7d-5p",3.592258549,3.328039319,4.193258765
"hsa-let-7e-3p",1e-06,1e-06,1e-06
"hsa-let-7e-5p",4.45777034,4.237743393,5.116808149
"hsa-let-7f-1-3p",1e-06,1e-06,1e-06
"hsa-let-7f-2-3p",1e-06,1e-06,1e-06
"hsa-let-7f-5p",6.792696471,6.584286326,7.191895224
"hsa-let-7g-3p",1e-06,1e-06,1e-06
"hsa-let-7g-5p",4.824433975,4.964039644,5.302206053
"hsa-let-7i-3p",1e-06,1e-06,1e-06
"hsa-let-7i-5p",5.711934887,6.141767446,6.946045426
"hsa-miR-1-3p",1e-06,1e-06,1e-06
"hsa-miR-1-5p",1e-06,1e-06,1e-06
"hsa-miR-100-3p",1e-06,1e-06,1e-06
"hsa-miR-100-5p",7.370609652,8.208018816,7.936641119
"hsa-miR-101-3p",1e-06,1e-06,1e-06
"hsa-miR-101-5p",1e-06,1e-06,1e-06
"hsa-miR-103a-2-5p",1e-06,1e-06,1e-06
"hsa-miR-103a-3p",3.774845308,3.879149455,4.602522378
"hsa-miR-103b",1e-06,1e-06,1e-06
"hsa-miR-105-3p",1e-06,1e-06,1e-06
"hsa-miR-105-5p",1e-06,1e-06,1e-06
"hsa-miR-106a-3p",1e-06,1e-06,1e-06
"hsa-miR-106b-3p",1e-06,1e-06,1e-06
"hsa-miR-106b-5p",3.38369951,3.691734601,4.019884765
"hsa-miR-107",3.622559099,3.841287315,4.297411532
"hsa-miR-10a-3p",1e-06,1e-06,1e-06
"hsa-miR-10a-5p",1e-06,1e-06,1e-06
"hsa-miR-10b-3p",3.195350082,3.537527904,2.61069593
"hsa-miR-10b-5p",1e-06,1e-06,1e-06
"hsa-miR-1178-3p",1e-06,1e-06,1e-06
"hsa-miR-1178-5p",1e-06,1e-06,1e-06
"hsa-miR-1179",1e-06,1e-06,1e-06
"hsa-miR-1180-3p",4.20058565,3.704274857,4.089896481
"hsa-miR-1180-5p",1e-06,1e-06,1e-06
"hsa-miR-1181",2.615568481,2.821532463,2.630110446
"hsa-miR-1182",1e-06,1e-06,1e-06
"hsa-miR-1183",0.381776826,1e-06,1e-06
"hsa-miR-1184",1e-06,1e-06,1e-06
"hsa-miR-1185-1-3p",1e-06,0.220608184,0.670968802
"hsa-miR-1185-2-3p",1e-06,1e-06,1e-06
"hsa-miR-1185-5p",1e-06,1e-06,1e-06
"hsa-miR-1193",1e-06,1e-06,1e-06
"hsa-miR-1197",1e-06,1e-06,1e-06
"hsa-miR-1199-3p",1e-06,1e-06,1e-06
"hsa-miR-1199-5p",1e-06,1e-06,1e-06
"hsa-miR-1200",1e-06,1e-06,1e-06
"hsa-miR-1202",5.790984555,5.326629396,5.945104013
"hsa-miR-1203",1e-06,1e-06,1e-06
"hsa-miR-1204",1e-06,1e-06,1e-06
"hsa-miR-1205",1e-06,1e-06,1e-06
"hsa-miR-1206",1e-06,1e-06,1e-06
"hsa-miR-1207-3p",1e-06,1e-06,1e-06
"hsa-miR-1207-5p",6.470459649,6.401802631,6.261899633
"hsa-miR-1208",1e-06,1e-06,1e-06
"hsa-miR-122-3p",1e-06,1e-06,1e-06
"hsa-miR-122-5p",1e-06,1e-06,1e-06
"hsa-miR-1224-3p",3.33333e-07,3.33333e-07,1e-06
"hsa-miR-1224-5p",2.869756054,3.169318608,3.056690398
"hsa-miR-1225-5p",5.451908033,5.152185533,5.56757166
"hsa-miR-1226-3p",1e-06,1e-06,1e-06
"hsa-miR-1226-5p",4.237743393,4.604454559,4.143965706
"hsa-miR-1227-3p",1e-06,1e-06,1e-06
"hsa-miR-1227-5p",4.158889633,4.784548069,3.942247724
"hsa-miR-1228-3p",3.112917403,3.452423937,3.052718471
"hsa-miR-1228-5p",4.310635495,3.916662642,4.340841631
"hsa-miR-1229-3p",1e-06,1e-06,1e-06
"hsa-miR-1229-5p",4.912795333,4.900572057,4.869906132
"hsa-miR-1231",1e-06,1e-06,1e-06
"hsa-miR-1233-3p",1e-06,1e-06,1e-06
"hsa-miR-1233-5p",1e-06,0.394031893,0.685642584
"hsa-miR-1234-3p",2.879815333,2.837391857,2.910594841
"hsa-miR-1236-3p",1e-06,0.005080879,1e-06
"hsa-miR-1236-5p",1e-06,1e-06,1e-06
"hsa-miR-1237-3p",1e-06,1.571855913,1e-06
"hsa-miR-1237-5p",1e-06,1e-06,1e-06
"hsa-miR-1238-3p",1.78935517,2.153249304,1.551934315
"hsa-miR-1238-5p",3.400091811,3.279622563,3.578449767
"hsa-miR-124-3p",1e-06,1e-06,1e-06
"hsa-miR-124-5p",1e-06,1e-06,1e-06
"hsa-miR-1243",1e-06,1e-06,1e-06
"hsa-miR-1244",1e-06,1e-06,1e-06
"hsa-miR-1245a",1e-06,1e-06,1e-06
"hsa-miR-1245b-3p",1e-06,1e-06,1e-06
"hsa-miR-1245b-5p",1e-06,1e-06,1e-06
"hsa-miR-1246",8.085002823,6.614148658,6.006398327
"hsa-miR-1247-3p",1e-06,1e-06,1e-06
"hsa-miR-1247-5p",1e-06,1e-06,1e-06
"hsa-miR-1248",1e-06,1e-06,1e-06
"hsa-miR-1249-3p",3.983995773,4.281404646,3.920377571
"hsa-miR-1249-5p",1e-06,1e-06,1e-06
"hsa-miR-1250-3p",1e-06,1e-06,1e-06
"hsa-miR-1250-5p",1e-06,1e-06,1e-06
"hsa-miR-1251-3p",1e-06,1e-06,1e-06
"hsa-miR-1251-5p",1e-06,1e-06,1e-06
"hsa-miR-1252-3p",1e-06,1e-06,1e-06
"hsa-miR-1252-5p",1e-06,1e-06,1e-06
"hsa-miR-1253",1e-06,1e-06,1e-06
"hsa-miR-1254",1e-06,1e-06,1e-06
"hsa-miR-1255a",1e-06,1e-06,1e-06
"hsa-miR-1255b-2-3p",1e-06,1e-06,1e-06
"hsa-miR-1255b-5p",1e-06,1e-06,1e-06
"hsa-miR-1256",1e-06,1e-06,1e-06
"hsa-miR-1257",1e-06,1e-06,1e-06
"hsa-miR-1258",1e-06,1e-06,1e-06
"hsa-miR-125a-3p",2.323463486,2.65611977,2.369133725
"hsa-miR-125a-5p",2.405394085,2.527053293,3.498374226
"hsa-miR-125b-1-3p",1e-06,1e-06,1e-06
"hsa-miR-125b-2-3p",1e-06,1e-06,1e-06
"hsa-miR-125b-5p",7.540827155,7.903836416,7.903836416
"hsa-miR-126-3p",1e-06,1e-06,1e-06
"hsa-miR-126-5p",1e-06,1e-06,1e-06
"hsa-miR-1260a",5.310491931,4.862380643,6.141767446
"hsa-miR-1260b",4.843892258,4.45777034,5.830996722
"hsa-miR-1261",1e-06,1e-06,1e-06
"hsa-miR-1262",1e-06,1e-06,1e-06
"hsa-miR-1263",1e-06,1e-06,1e-06
"hsa-miR-1264",1e-06,1e-06,1e-06
"hsa-miR-1265",1e-06,1e-06,1e-06
"hsa-miR-1266-3p",1e-06,1e-06,1e-06
"hsa-miR-1266-5p",1e-06,1e-06,1e-06
"hsa-miR-1267",1e-06,1e-06,1e-06
"hsa-miR-1268a",6.87986009,4.799714105,5.287320065
"hsa-miR-1268b",5.152185533,4.500921884,4.594085721
"hsa-miR-1269a",1e-06,1e-06,1e-06
"hsa-miR-1269b",1e-06,1e-06,1e-06
"hsa-miR-127-3p",2.213619002,2.579091009,3.267387005
"hsa-miR-127-5p",1e-06,1e-06,1e-06
"hsa-miR-1270",1e-06,1e-06,1e-06
"hsa-miR-1271-3p",1e-06,1e-06,1e-06
"hsa-miR-1271-5p",1e-06,1e-06,1e-06
"hsa-miR-1272",1e-06,1e-06,1e-06
"hsa-miR-1273a",1e-06,1e-06,1e-06
"hsa-miR-1273c",1e-06,1e-06,1e-06
"hsa-miR-1273d",1e-06,1e-06,1e-06
"hsa-miR-1273e",1e-06,1e-06,1e-06
"hsa-miR-1273f",1e-06,1e-06,1e-06
"hsa-miR-1273g-3p",7.976449114,7.914228175,8.846058754
"hsa-miR-1273g-5p",1e-06,1e-06,1e-06
"hsa-miR-1273h-3p",1e-06,1e-06,1e-06
"hsa-miR-1273h-5p",1e-06,1e-06,1e-06
"hsa-miR-1275",3.1587293,3.400091811,2.766592624
"hsa-miR-1276",1e-06,1e-06,1e-06
"hsa-miR-1277-3p",1e-06,1e-06,1e-06
"hsa-miR-1278",1e-06,1e-06,1e-06
"hsa-miR-1279",1e-06,1e-06,1e-06
"hsa-miR-128-1-5p",1e-06,1e-06,1e-06
"hsa-miR-128-2-5p",1e-06,1e-06,1e-06
"hsa-miR-128-3p",1e-06,1e-06,1e-06
"hsa-miR-1281",3.562474278,2.879815333,2.795025009
"hsa-miR-1282",1e-06,1e-06,1e-06
"hsa-miR-1283",1e-06,1e-06,1e-06
"hsa-miR-1284",1e-06,1e-06,1e-06
"hsa-miR-1285-3p",1e-06,1e-06,1e-06
"hsa-miR-1285-5p",1e-06,1e-06,1e-06
"hsa-miR-1286",1e-06,1e-06,1e-06
"hsa-miR-1287-3p",1e-06,1e-06,1e-06
"hsa-miR-1287-5p",1e-06,1e-06,1e-06
"hsa-miR-1288-3p",1e-06,1e-06,1e-06
