"","GSM979679","GSM979680","GSM979681","GSM979682","GSM979683","GSM979684","GSM979685","GSM979686","GSM979687","GSM979688","GSM979689","GSM979690","GSM979691","GSM979692","GSM979693","GSM979694","GSM979695","GSM979696","GSM979697"
"hsa-miR-720",7.93747740212467,5.28307612595804,4.93132139256153,5.92569779732531,16.0841926035669,16.0107096988531,7.04448920294366,9.2249692581024,7.70752686151447,15.9668028284038,16.3512022063865,9.03493043575323,9.15759553249313,7.92470385211022,15.462642534897,15.5234654750503,8.496857771002,7.25458554011663,6.44600340521225
"hsa-miR-650",0.810300616534733,1.63214069423762,2.02766081707675,-2.96194371717898,4.17118760843967,3.79134941729063,1.86708318721653,17.7264789535609,-0.822448013237477,3.89585516078869,3.78699984190368,-1.30795495244329,0.918366235043139,0.744781622428121,1.3337734876238,0.294902894072242,1.19700605900495,2.05991141103922,-2.78291225728825
"hsa-miR-609",0.511014867744779,0.160425354421057,-2.57230630279849,-2.94825872696432,-0.354319550900136,-3.6502307337697,2.49764685194022,3.24433742154692,1.60690031175487,2.04149883111375,0.359013157885635,2.41520998119369,4.42533643412346,3.47908566346693,0.542173838499972,1.69627742620041,1.4110340614048,17.6309311466622,1.38110669384779
"hsa-miR-21",1.72315616709091,1.30016707800209,0.046742027488154,0.553451043740046,15.4635547058199,14.8398503753334,2.0277358259053,4.00307417122778,-1.2109722587968,14.5970573955519,13.3062568275148,2.6429674467709,2.06506386673327,2.68248610379749,15.0913676137686,14.8555853655029,3.72098869181293,4.90323595207912,1.64852664697322
"hsa-miR-296-5p",1.31275519399109,2.61512386762094,1.55568954565572,2.05717123751171,2.78330053729995,2.68275193777583,1.94630416349292,16.6781145561796,1.78885940815583,2.17117767853382,0.931436775748639,1.46352829674244,2.13567144980871,2.19152885687909,1.3642933908924,2.36273778293563,2.55718361350996,1.87041838190861,-0.68142423441247
"hsa-miR-151-5p",-2.18753496216824,0.796374895685214,0.349106950905151,0.866947530583598,6.71057641052105,6.40286267453254,1.39626801600099,16.5874905482605,1.44107759811533,6.55138912255832,5.3784589084334,-0.165365632908048,-0.753184306375454,1.15057917232258,4.08219929524313,4.46741578652679,2.11149810900771,2.10116629551116,0.66811059015308
"hsa-miR-30a",1.77693145751677,0.647786871657794,1.63512192743704,-1.47186760722228,9.3684333427352,8.23772861618689,-2.83446026813329,16.3870954559849,1.76095073360311,1.34687975453042,1.19266698870694,-3.30073693534284,-0.902926471349946,0.944160462262078,-0.242638741473354,0.948482511746529,-2.03726294851439,1.7204697902498,0.63444597128796
"hsa-miR-1274b_v16.0",5.42528808870713,2.73079470450882,2.18606121673822,2.87965930918584,13.9530933251737,13.9426693594913,3.79142548074622,5.98492606142541,4.90230371665128,13.7003638532762,14.0269729179295,5.87301388531389,6.3937849618231,5.31456312457055,13.3534101374317,13.2659001000183,6.0793892054478,4.29168532611239,3.6385222196894
"hsa-miR-539",0.725976330431353,1.16735407369497,-1.97965782048281,0.725120326029047,5.0200029633455,4.29361253176327,2.24908242198939,16.2871921942182,1.39058514915752,2.84255792569491,0.776941224296308,2.0732279556685,5.19815701393765,3.66218270808274,0.594348947005316,1.02862714171432,-0.944677993977511,-0.888962542812131,-2.02982781195404
"hsa-miR-202*",1.26643875306428,-3.23558182238296,0.500440671317222,0.544763611113657,-0.0607419729912585,7.42106252319993,-0.606315605098718,16.2730523193204,1.3203627875219,-0.0256106467366899,-5.09344307101092,0.975138786624887,1.29173379545418,1.90255870647624,0.270118530709846,-4.56940213235449,1.12904754989966,0.991345478439979,-0.314251954648013
"hsa-miR-204",0.639181864882453,1.06459731867176,0.502218665015697,-2.27926204718287,0.130840062820549,-6.60418434305438,0.223575770222372,16.153736275469,-0.682374082130903,1.9690712670284,1.69189590996022,-0.0777961372146799,1.95404849638099,1.92781493252057,2.99923444719997,3.05527184846716,0.525167847870964,2.05356076155586,1.67354602207618
"hsa-miR-516a-5p",1.76284373355182,0.063994769151695,0.754331690354867,-3.88010894623309,2.26009101248186,1.44287557150393,0.251703461431704,16.0357454636253,-1.70199679324122,-0.163174220106242,1.82729061700068,1.95726607566146,2.38091697558998,2.24813767602333,2.9176771168047,-0.0878136039535077,-2.56480753377174,1.8099609595429,-3.95360225875597
"hsa-miR-32*",3.83170905205069,2.72165242112284,-1.4561276297208,-4.1197749569672,2.46791902914199,3.53752593558377,5.7958560227253,6.07185296360395,5.20299476254012,3.16143852326013,3.04346542439393,7.17442938992552,8.57387966607235,6.67998389916374,1.84404050588847,1.92807616328443,3.07443453294197,15.9790973540479,-0.215382616065273
"hsa-miR-923_v12.0",5.55521582732855,3.52331855914562,5.94162445160744,3.40510551021725,14.3343794440883,12.3812190113971,6.24920866507363,7.42124265848028,6.05987763213578,12.9028214592984,12.3704574725834,10.6160295639042,10.8775763244589,8.86925051653861,12.8637932973245,11.8753462004203,11.8204606115523,11.5368571961362,10.1258254257334
"hsa-miR-1260",5.24660722318659,3.16622198458533,2.54327092424245,3.76442896370197,13.3342635071318,13.1871199055866,4.73327406813027,6.41002982369204,5.41988873634797,13.499870795277,14.1114071283339,6.23121004239034,6.49308719470408,5.53716527420873,11.8737028669648,12.0295543424207,5.35516113274277,3.54723264351275,4.02430549333372
"hsa-miR-338-3p",2.04837570453898,0.813563434271667,0.508994666175264,-0.0102851822422455,0.974854231019925,2.2828703251826,-0.498081743088165,15.2288513761851,1.4500414447688,1.80989512529313,1.4816957314584,0.552895128412159,1.77433164945949,1.21183457565973,3.17022649320107,2.60399325467035,-0.849907000264879,1.85380167845569,1.72165613924697
