"","GSM2123259","GSM2123260","GSM2123261","GSM2123262","GSM2123263","GSM2123264","GSM2123265","GSM2123266","GSM2123267","GSM2123268","GSM2123269","GSM2123270","GSM2123271","GSM2123272","GSM2123273","GSM2123274","GSM2123275","GSM2123276","GSM2123277","GSM2123278","GSM2123279","GSM2123280","GSM2123281","GSM2123282","GSM2123283","GSM2123284","GSM2123285","GSM2123286","GSM2123287","GSM2123288","GSM2123289","GSM2123290","GSM2123291","GSM2123292","GSM2123293","GSM2123294","GSM2123295"
"hsa-let-7f-1-3p",0,0,1,3.70043971814109,5.7279204545632,5.04439411935845,9.27379559921426,5.7279204545632,4.95419631038687,6.95419631038687,4.70043971814109,4.70043971814109,0,5.97727992349992,4.64385618977472,0,1,0,1.58496250072116,1,0,1.58496250072116,2.58496250072116,3,2.32192809488736,2.58496250072116,2.32192809488736,0,0,1,7.14974711950468,6.64385618977472,7.62205181945638,5.95419631038687,0,0,0
"hsa-let-7f-2-3p",2,1,1,6.74146698640115,7.90689059560852,7.21916852046216,8.90086680798075,7.70043971814109,6.78135971352466,9.74483383749955,7.79441586635011,6.88264304936184,0,2,2,0,1.58496250072116,1.58496250072116,0,3.16992500144231,0,2.58496250072116,4.70043971814109,6.53915881110803,4.58496250072116,4.39231742277876,5.39231742277876,2.32192809488736,2.58496250072116,0,7.60733031374961,6.62935662007961,8.45532722030456,6.85798099512757,1,1,1
"hsa-let-7f-5p",1.58496250072116,0,2,2.58496250072116,4.08746284125034,3.32192809488736,9.92035285541508,5.4262647547021,4.85798099512757,7.70735913208088,5.35755200461808,5.24792751344359,1.58496250072116,2.8073549220576,2.58496250072116,0,1,1,2,1.58496250072116,2,2.8073549220576,4.08746284125034,5.28540221886225,6.39231742277876,7.10852445677817,6.10852445677817,3.4594316186373,5.32192809488736,2.8073549220576,7.6724253419715,6.76818432477693,7.76155123244448,6.33985000288462,3,0,4
"hsa-let-7g-3p",2,1,1,3.58496250072116,5.52356195605701,3.90689059560852,9.93369065495223,6.28540221886225,5.04439411935845,10.5097750043269,8.02236781302845,6.52356195605701,0,7.39231742277876,7.04439411935845,0,1.58496250072116,0,2,1.58496250072116,1,1,3.32192809488736,5.12928301694497,4.70043971814109,5.64385618977472,5.24792751344359,1,2.32192809488736,0,5,3.90689059560852,5.35755200461808,4.16992500144231,2,2,1.58496250072116
"hsa-let-7g-5p",1,1,2,2.32192809488736,4.08746284125034,2.32192809488736,9.92629599478111,5.61470984411521,4.58496250072116,9.50977500432694,6.8703647195834,4.70043971814109,0,3.16992500144231,4.39231742277876,0,1,1.58496250072116,1,1.58496250072116,1,2,3.4594316186373,4.64385618977472,4.85798099512757,5.4262647547021,4.4594316186373,2.8073549220576,3.90689059560852,2,8.46352437327118,7.49984588708321,9.44914864537544,7.90689059560852,2,1,3.58496250072116
"hsa-let-7i-3p",0,1,0,2.32192809488736,3.58496250072116,3.70043971814109,9.7176764230664,5.52356195605701,5.04439411935845,7.96578428466209,5.20945336562895,4.39231742277876,0,0,5.12928301694497,0,0,0,0,1.58496250072116,0,1.58496250072116,3.4594316186373,5,4.85798099512757,5.39231742277876,5.28540221886225,0,1.58496250072116,0,6.20945336562895,5.64385618977472,6.59991284218713,5.24792751344359,1,0,1.58496250072116
"hsa-let-7i-5p",1,0,1,2.8073549220576,3.8073549220576,2,10.0768155970508,5.58496250072116,4.4594316186373,7.4594316186373,4.52356195605701,3.16992500144231,0,0,3.70043971814109,0,0,0,1.58496250072116,2,1,1.58496250072116,4.08746284125034,5.04439411935845,5.4262647547021,5.93073733756289,4.95419631038687,2.32192809488736,3.90689059560852,1.58496250072116,8.30833903013941,7.24792751344359,9.39446269461032,7.66533591718518,2,0,3.90689059560852
"hsa-miR-1",1,0,1,5.55458885167764,7.10852445677817,6.22881869049588,9.01680828768655,6.93073733756289,5.24792751344359,7.06608919045777,5.61470984411521,5.88264304936184,1,6.98868468677217,5.7279204545632,0,1.58496250072116,1.58496250072116,0,1.58496250072116,0,3.16992500144231,3.4594316186373,3.8073549220576,3.8073549220576,2.32192809488736,3.4594316186373,0,0,0,6.97727992349992,6.35755200461808,7.81378119121704,6.10852445677817,1,0,1
"hsa-miR-100-3p",1,0,0,2,1.58496250072116,1.58496250072116,6.44294349584873,2.32192809488736,4.24792751344359,7.96000193206808,5.39231742277876,4.58496250072116,0,0,2.8073549220576,0,0,1,1.58496250072116,2.58496250072116,1,1,0,1,3.58496250072116,2.58496250072116,3.70043971814109,0,1.58496250072116,1,11.2894425756883,10.007027266894,11.894059846274,10.1510165388922,0,0,1.58496250072116
"hsa-miR-100-5p",2,2.32192809488736,2,5.90689059560852,6.16992500144231,5.7279204545632,9.67419226814568,7.05528243550119,5.7279204545632,11.3219280948874,8.95710204156229,7.76818432477693,1,2.8073549220576,4.39231742277876,0,1,1.58496250072116,1.58496250072116,2.58496250072116,2.32192809488736,2.58496250072116,3.70043971814109,4.4594316186373,5.04439411935845,4.90689059560852,4.58496250072116,3.70043971814109,3.70043971814109,3.32192809488736,14.1153688378202,13.1524433018642,15.2944771614279,13.5260101070617,1,2.32192809488736,4.58496250072116
"hsa-miR-101-3p",0,1,2.32192809488736,3,4.39231742277876,2.32192809488736,7.43462822763672,4.16992500144231,4.08746284125034,9.4858293087019,7.03342300153745,5.12928301694497,0,3.32192809488736,3.58496250072116,0,0,0,1,3.16992500144231,1,1,2.32192809488736,3.58496250072116,4.08746284125034,4.95419631038687,4,2.58496250072116,3.8073549220576,0,9.03617361255349,8.1548181090521,10.2082343583398,8.58871463558226,0,0,2.32192809488736
"hsa-miR-101-5p",0,0,1.58496250072116,2.32192809488736,4.32192809488736,1,9.22158712126481,4.90689059560852,3.90689059560852,8.80413102118332,6.24792751344359,5.7279204545632,0,3.58496250072116,2,0,0,0,1,1,0,1,0,2.58496250072116,4.58496250072116,4.52356195605701,4.32192809488736,1,3.16992500144231,0,8.09275714091985,7.23840473932508,9.5018371849023,7.74146698640115,0,0,2
"hsa-miR-103a-2-5p",0,0,0,3.16992500144231,4.16992500144231,2.8073549220576,10.3106127816595,7.91288933622996,7.25738784269265,9.52160043972373,6.83289001416474,5.28540221886225,0,1,3.32192809488736,0,1.58496250072116,1,1,1,1,1,0,1.58496250072116,2.58496250072116,3,3.4594316186373,2,0,0,5.6724253419715,5.4262647547021,7.06608919045777,6.06608919045777,1,0,1
"hsa-miR-103a-3p",2,1,0,2.8073549220576,4.24792751344359,2.58496250072116,9.05799172275918,5.49185309632967,5.52356195605701,10.2395985292491,7.53138146051631,6.35755200461808,0,3.8073549220576,3.32192809488736,0,0,1.58496250072116,2.32192809488736,3.70043971814109,0,2,3.16992500144231,5.20945336562895,7.14974711950468,7.56224242422107,5.97727992349992,2.8073549220576,3.58496250072116,1,7.61470984411521,7.06608919045777,8.67948009950545,7.31288295528436,2.8073549220576,2,3
"hsa-miR-103b",2,1,0,2.8073549220576,4.24792751344359,2.58496250072116,9.05528243550119,5.49185309632967,5.52356195605701,10.240791332162,7.53138146051631,6.33985000288462,0,3.8073549220576,3.32192809488736,0,0,1.58496250072116,2.32192809488736,3.70043971814109,0,2,3.16992500144231,5.20945336562895,7.14974711950468,7.56224242422107,5.97727992349992,2.8073549220576,3.58496250072116,1,7.61470984411521,7.06608919045777,8.67948009950545,7.31288295528436,2.8073549220576,2,3
"hsa-miR-105-3p",0,0,0,1.58496250072116,4.70043971814109,3,8.77478705960117,5.12928301694497,4.4594316186373,9.01959072835788,5.88264304936184,4.52356195605701,0,1.58496250072116,3,0,0,1,0,2.32192809488736,1,0,0,2.58496250072116,3,4.64385618977472,4.32192809488736,2,3.58496250072116,0,11.1854949242109,10.5166849493096,10.604553229079,8.93073733756289,1,0,2.32192809488736
"hsa-miR-105-5p",1,0,0,2.8073549220576,4.85798099512757,3,9.37068740680722,5.55458885167764,4.32192809488736,8.57364718749332,6.02236781302845,5.35755200461808,0,2.58496250072116,2.58496250072116,0,1,1.58496250072116,0,2.32192809488736,0,0,2.32192809488736,2.32192809488736,4.08746284125034,4.58496250072116,3.8073549220576,2.32192809488736,3.16992500144231,1,8.1548181090521,7.73470962022584,9.75655632252409,8.3264294871223,1.58496250072116,0,2.32192809488736
