"","GSM3741565","GSM3741566","GSM3741567","GSM3741568","GSM3741569","GSM3741570","GSM3741571","GSM3741572","GSM3741573","GSM3741574","GSM3741575","GSM3741576","GSM3741577","GSM3741578","GSM3741579","GSM3741580","GSM3741581","GSM3741582","GSM3741583","GSM3741584","GSM3741585","GSM3741586","GSM3741587","GSM3741588"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778877639574755
"hsa-let-7a-3p",5.45810106750237,5.68765285939994,5.38204967183627,5.81164043973935,3.73462102986156,5.73655883791955,6.14818861582101,6.04114429093274,5.74433007175317,5.49519806471725,5.43591359281308,5.9106464357292,5.2705337420958,5.45373877991177,5.54497284720479,5.62456269498299,5.82403193692019,5.38914926784109,5.80176193218943,5.33683750124244,4.68416667308452,5.91369210019884,6.28257907255099,5.91674005843084
"hsa-let-7a-5p",12.0046242007026,12.2003286820064,12.4478483747394,12.3722830669278,12.7379912086892,12.1636714071488,11.9546606248819,11.9660288931197,12.0089617595926,12.028325748034,12.4105386360454,11.8538638720971,12.2944798786643,11.8237847371151,11.7972299771824,11.7913910713308,12.0478506920106,12.3032308452294,12.193500860573,12.1639068032199,11.5809989245157,12.6305250738194,12.1319298028515,12.5459394373401
"hsa-let-7b-3p",0,0,0,0,0,0.583297160349293,0.327911141685394,0,0.931308473499645,0,0,0,0,1.2002402786232,1.1821232335163,0.54200838916634,1.49805989093539,0.561372965562134,1.63554584081043,0.802142792830195,0,0.617379263946136,0,1.28190062155577
"hsa-let-7b-5p",15.1960538013041,14.7432351104423,14.9916725702281,14.8248530629258,15.3757359969976,14.7751792732863,14.6545643771857,14.3909708105799,14.5734867788449,14.6397897255746,14.8275263087267,15.2225556296717,14.6802012903965,15.0035089456408,15.1124756447363,15.1411534599237,14.5223541035126,14.6671657670399,14.5493714417188,14.6713112380441,14.8180691936989,14.4499396412553,14.4882009153058,14.1116172246868
"hsa-let-7c-3p",3.06427503384768,3.23626685472225,3.80989659195804,3.96374434568776,3.54474809423227,2.80306872811922,3.83492589653622,2.81407810580912,3.95531994332462,3.22405359528543,3.53258348537743,3.29433083246948,3.65182899046654,4.05079355348328,3.47933900368358,3.73464962653408,3.78370624519012,3.63414593699052,3.97722091095552,4.11779137450102,2.05926553627273,3.40783485534886,3.22542775377782,3.86790783751535
"hsa-let-7c-5p",12.1519736685069,12.9354735778033,13.1129956811709,13.0515769516871,13.6587906938252,12.9122776793742,12.0246350662078,12.4445508063058,12.9496423220835,12.9753183677299,13.1467677051951,12.0447421175222,13.2324904274646,12.2741818806172,11.7530896566959,12.3029250395509,12.6430251294916,13.0241064016504,13.0695695681083,13.0007840731512,12.6359427929764,12.9276255524396,12.7038383516126,11.3613038376909
"hsa-let-7d-3p",8.83793525013166,9.65902377076383,9.61640788307864,9.80054121077067,9.07089740043492,9.25121508298559,9.00115520624696,9.43409406383621,9.77072767023758,10.0303896089841,9.70998050806309,8.43408295166207,9.61488461725245,8.73478664177325,8.75017760548101,8.86313927787738,9.7194999355312,9.37832745890766,9.3158952878979,9.46051701394396,8.93692989491503,9.82210460320514,9.51382901049181,9.32882881815935
"hsa-let-7d-5p",8.8836404126266,9.80201595995516,9.69218574029564,9.68015939702376,8.7763511736835,9.39481757747398,9.08082373613973,9.31160905024063,9.33916950709879,9.38097805629741,9.9233180213786,8.74463187107408,9.87138893778558,8.90653164277575,8.40336092657507,8.86455134115603,9.30451245349909,9.49133553694264,9.59082481534641,9.39827828583378,8.9350637255593,9.70881563455,9.47710011800558,9.80579000370278
"hsa-let-7e-3p",4.08375485428164,5.65356999022986,5.43730200068465,5.72578208082,4.893714555044,5.33497191386156,4.77003888524941,5.02996787041812,5.71971116792983,5.81835396454383,5.34502430628244,4.40179089521721,5.32359658770053,4.5674930595656,4.27813491359232,4.45785091752157,5.89210037136193,4.95267801168979,5.59719276396902,5.1975931554326,4.36737054841414,6.13814207161842,5.36086833745104,4.62183225192184
"hsa-let-7e-5p",10.0367749156207,9.74852760418134,9.87276158743383,9.95945322264739,10.007638260884,9.41917178280321,9.73785677621124,9.34433513937181,9.66670208910893,9.45757635750195,9.88954630480201,9.860902935637,9.65036629466302,9.78600995466866,9.78216218093878,9.88543387063096,9.44898242686466,9.84175566068314,9.67504349729288,9.67651120198438,9.30381260535931,9.86652780899676,9.3275743935342,9.02024650479208
"hsa-let-7f-1-3p",4.7428504124313,4.77999172651539,3.72362882333316,3.6273533384509,3.54474809423227,4.08275574598724,4.61340850445705,3.8146369594305,3.95531994332462,4.04405834594147,3.82935965784188,3.76409866085118,3.56635133397476,4.35520593300095,4.4131659610657,4.82577957025921,3.20332917543052,3.63414593699052,4.07063672727104,4.29220944278371,3.39276008717455,4.17718020884342,4.39555488383406,3.55298355599083
"hsa-let-7f-2-3p",3.06427503384768,4.90114000809548,3.37316002704658,3.96374434568776,3.20285467529191,3.69582328892445,2.66881993283385,3.65107117614219,3.19582681831812,2.79910008030207,2.31166342544509,3.62384604725597,3.27455281203112,3.42402788733366,2.6032213887872,3.40271649191606,3.05285132596252,2.84473667895753,3.38980476919665,2.94358409437115,3.30300244389629,4.08937754372926,3.46252207987286,2.89572136565313
