"","GSM2716217","GSM2716218","GSM2716219","GSM2716220","GSM2716221","GSM2716222","GSM2716223","GSM2716224","GSM2716225","GSM2716226","GSM2716227","GSM2716228","GSM2716229","GSM2716230","GSM2716231","GSM2716232","GSM2716233","GSM2716234","GSM2716235","GSM2716236","GSM2716237","GSM2716238","GSM2716239","GSM2716240","GSM2716241","GSM2716242","GSM2716243","GSM2716244","GSM2716245","GSM2716246"
"hsa-miR-451a",4.275847352,4.189783469,6.512235682,3.852341684,5.116889115,5.119870823,5.145109422,4.471847866,5.189542233,5.24212799,4.227190904,5.315493631,5.804226504,5.162882419,3.875859911,5.494909471,6.401594113,6.126670572,6.765688095,5.684195198,7.044396635,7.421846757,5.966885346,6.990189641,7.218334177,6.2957083,6.42485594,6.991857826,7.017602839,6.64303428
"hsa-miR-16-5p",0.594913686,2.67753187,3.269154386,0.195202266,-0.057170774,2.622586195,1.976919126,2.202699715,2.141016142,3.018369293,3.821705354,4.507660921,4.258588184,4.797213659,3.500526471,3.989673441,4.152360473,4.768848522,4.338707465,4.765183818,5.690570345,6.203192897,5.563840516,5.667532911,5.901536377,5.29756308,5.25694727,5.707370606,5.727543049,5.22283267
"hsa-miR-223-3p",3.52702237,3.704322759,3.589874416,3.733826649,3.906091842,3.728512036,3.472124023,4.107746636,3.690626006,2.54289058,3.294399324,2.383977711,1.999334734,2.497589239,3.623432911,3.739315541,2.445667823,2.820087952,2.094596255,2.097544448,4.325914985,3.832452577,4.476490866,3.775056531,3.075631767,3.87820121,4.06937618,3.379599306,4.735987839,4.6292635
"hsa-miR-21-5p",1.27307259,1.238929508,1.926579749,1.695187532,2.493059199,1.283138085,1.877823982,1.846047632,2.281802931,0.759405469,3.814231674,2.992198051,3.148307044,4.039746979,2.882514021,3.696256231,3.699898213,2.999184372,3.906919925,3.276347048,1.957141715,2.298532237,2.991431576,2.488582991,2.167201667,2.99247053,2.48710638,2.780737716,2.270712069,2.52015241
"hsa-miR-15a-5p",1.621394501,1.800833673,2.621201398,1.091057051,2.325858683,2.25886561,1.956678424,1.951802429,2.019561168,2.130787879,2.685135154,3.337104191,4.051053944,3.706452319,2.180309701,2.455196161,3.596804843,3.927551422,4.178780265,3.671780518,2.400731295,2.642281817,1.976107536,1.943618661,2.539999507,2.34330366,1.61546613,2.467146656,1.973390599,1.58968702
"hsa-miR-92a-3p",2.791471104,2.959305459,2.785258622,2.09722387,2.248414732,2.919148572,1.727176775,2.106261574,2.349162551,3.908371423,2.671777764,2.379742651,2.166535104,2.310364989,1.628370821,1.661854771,2.718542883,3.195503572,3.483532855,2.940318458,2.287703915,2.639919167,1.960950196,2.472393681,2.405483337,1.93701488,1.47210047,2.414771506,1.938333579,1.33411478
"hsa-miR-23a-3p",1.712772341,1.879611131,0.862943418,1.801547706,1.180791954,1.672846704,1.919777298,1.933584209,1.474560886,2.045328304,1.075090514,1.028992391,0.513062874,1.531350609,1.832768381,1.827037261,0.961524893,1.352853632,0.212412835,0.956692138,0.988407635,1.438586027,2.051558756,1.490536131,0.927249197,2.10250814,1.50523699,1.547424526,1.430451559,1.61022007
"hsa-miR-126-3p",2.997763835,2.257461986,1.867301369,2.624774027,1.882253099,2.267481639,0.935921319,2.339671074,2.206779227,2.064929605,2.183037664,2.247933751,0.683020754,0.864215809,2.158783451,1.700105411,1.692272553,0.679859212,-0.388028975,0.363951038,0.048888665,0.016723767,0.906698046,0.064900161,-0.218449573,0.97440078,0.90246126,0.651814506,0.719863779,0.81764653
"hsa-miR-142-3p",1.625064597,0.825742298,1.750157121,2.465906121,2.598725349,0.651700404,2.128354404,1.355003741,2.957816874,-0.991760627,1.931784754,1.149403191,1.706303224,1.017951269,1.994147371,3.000920411,1.811321513,0.947544802,1.429008635,1.377170818,0.364597495,-0.384903893,1.049233516,0.456713071,0.213229557,1.00810859,1.0368309,1.146230446,0.888057689,0.87995184
"hsa-miR-486-5p",0.681183551,0.533387847,0.493644734,-0.653607392,0.355823187,0.477387648,0.143631586,-0.297290284,-0.172161329,2.54696051,0.672444214,0.445422561,1.025399914,2.288052999,-0.409451249,-0.439806079,0.590382013,1.557456682,1.498128175,1.266682388,1.502393345,1.503848417,0.665735146,0.964377251,1.932523217,0.52962047,0.93424429,1.334094996,1.037778149,0.26540043
