"","GSM2286937","GSM2286938","GSM2286939","GSM2286940","GSM2286941","GSM2286942","GSM2286943","GSM2286944","GSM2286945","GSM2286946","GSM2286947","GSM2286948","GSM2286949"
"hsa-miR-155",8.0111,3.9984,9.0226,8.0097,7.9973,8.9945,10.0015,10.037,8.0024,7.978,7.9872,8.007,7.9746
"hsa-let-7a",4.0568,2.0304,4.0695,14.038,10.0742,15.0311,15.02,16.0442,4.0787,8.9939,12.0248,10.0229,5.0067
"hsa-let-7b",1.9797,-0.9961,3.0173,3.0547,4.0071,5.0114,5.0239,4.029,4.0864,3.0069,3.9759,4.0236,2.9754
"hsa-let-7c",11.0166,6.9738,12.0224,10.9924,9.002,11.0122,10.975,12.9168,8.9791,9.0287,12.0248,11.0919,8.954
"hsa-let-7d",8.0195,0.9616,9.0245,10.0431,4.9966,7.0252,11.0539,16.0442,5.0094,3.9828,6.0156,6.0309,3.9537
"hsa-let-7e",2.0256,-1.0184,2.042,2.0092,2.9997,4.0067,4.9916,4.0066,3.0349,2.0014,4.0241,4.0562,2.0068
"hsa-let-7f",14.0354,0.0104,16.0312,14.038,3.9474,15.0311,15.02,16.0442,3.9913,13.0117,12.0248,4.0835,12.9937
"hsa-let-7g",5.0553,1.9905,3.9917,5.0385,6.0828,7.0344,6.0054,7.0345,5.0291,6.0232,12.0248,6.0389,3.9834
"hsa-miR-1",14.0354,11.0069,12.9971,8.0792,14.0316,15.0311,15.02,11.0414,9.0025,8.9639,12.0248,10.0159,8.978
"hsa-miR-100",3.0175,11.0069,8.9817,4.0228,7.002,8.0102,15.02,4.0053,8.0335,6.9979,12.0248,8.0241,8.9892
"hsa-miR-101",14.0354,11.0069,9.0046,10.0438,10.0084,8.9908,8.994,10.023,11.0285,6.9686,12.0248,9.0403,12.9937
"hsa-miR-103",4.9954,3.0003,16.0312,6.068,5.0259,6.9982,15.02,16.0442,4.0187,5.0119,12.0248,5.054,3.959
"hsa-miR-105",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-106a",2.0159,-2.0452,3.0114,3.0123,2.0216,1.9956,5.03,3.0358,-0.0021,-0.0192,0.9919,2.0178,-0.0548
"hsa-miR-106b",4.9997,4.9659,6.0007,6.0743,5.008,4.9943,7.9749,7.0014,5.0161,3.988,5.9938,5.0202,2.952
"hsa-miR-107",8.0056,6.9945,16.0312,14.038,14.0316,15.0311,15.02,16.0442,12.0912,9.0164,12.0248,14.0467,9.0216
