"","GSM1186676","GSM1186677","GSM1186678","GSM1186679","GSM1186680","GSM1186681","GSM1186682","GSM1186683","GSM1186684","GSM1186685","GSM1186686","GSM1186687","GSM1186689","GSM1186690","GSM1186691","GSM1186692","GSM1186693","GSM1186694"
"hsa-miR-155",13.8164,14.4306,13.7965,6.1094,6.4979,6.0078,13.5172,12.8812,12.2113,5.2948,5.1363,5.7233,13.6102,12.1935,14.5957,7.8024,8.2584,9.4745
"hsa-let-7a",8.9376,9.3206,9.7579,0.4489,1.3602,2.0568,12.0175,12.217,12.2516,12.3187,12.2395,2.7469,11.6238,13.0902,12.1486,5.4254,5.7319,5.3585
"hsa-let-7b",9.1655,9.402,9.6786,-0.6747,-0.7034,0.0289,11.6854,12.1678,11.6662,-1.0344,-0.7657,0.4235,15.7954,15.3837,14.6792,7.4349,7.6022,4.9825
"hsa-let-7c",11.2416,10.8967,11.2451,1.216,1.0584,1.3617,13.0434,13.1286,13.5791,1.1961,1.201,1.9878,15.7954,15.0713,14.7029,11.1558,10.2968,7.9853
"hsa-let-7d",10.1797,9.9397,10.5794,2.2234,2.498,2.99,13.6425,14.1402,13.1511,5.0652,5.063,6.0056,12.9959,13.8707,14.435,7.4041,7.9565,7.1483
"hsa-let-7e",8.9313,8.9736,9.2143,-1.0268,-0.5491,0.0016,11.1016,10.9401,10.9274,-0.4077,0.1263,0.9725,11.5741,11.4272,10.6754,4.4371,4.5611,3.711
"hsa-let-7f",11.1935,10.3443,10.2177,1.2429,1.6274,1.3552,14.062,13.3595,13.6919,12.3187,12.2395,13.0117,13.6355,13.0775,12.5685,5.5038,11.2964,11.0287
"hsa-let-7g",8.1674,8.3214,8.2826,0.8069,0.8945,1.0032,10.0383,9.8524,9.2207,0.6545,1.0723,1.9896,10.9863,11.1858,10.8425,5.5289,6.2408,5.2528
"hsa-miR-1",15.299,13.8222,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,10.4095,9.3795,9.3141,14.0486,15.3837,14.1748,10.7825,10.5721,11.0287
"hsa-miR-100",9.8544,9.3566,9.082,1.2259,1.1303,0.998,11.6538,11.1663,10.8179,0.2675,0.0335,-0.0158,11.7037,14.3125,13.1742,8.4618,11.2964,8.2379
"hsa-miR-101",15.299,15.2521,14.3875,8.2198,8.4753,8.0328,13.1768,13.1216,13.0027,3.2227,3.2122,2.7513,12.7824,15.3837,13.8246,9.9412,11.2964,10.7706
"hsa-miR-103",10.7753,11.1283,11.2044,-0.4379,0.327,1.0106,11.0509,10.9972,10.2312,12.3187,12.2395,13.0117,10.3314,10.3577,11.3959,3.7137,3.538,3.9867
"hsa-miR-105",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,12.5039,13.535,12.2621,5.9398,7.313,6.3937
"hsa-miR-106a",3.2165,3.2105,3.2205,-5.1153,-5.4006,-5.3195,3.4818,3.7563,3.1989,-6.9774,-6.9386,-7.0438,5.5699,5.3608,5.0868,-1.614,-1.4231,-1.7741
"hsa-miR-106b",8.2363,8.2872,8.1622,-1.7948,-1.8559,-2.0097,9.0907,8.807,8.1544,-2.7101,-2.3986,-2.2108,8.7485,8.7067,8.4958,0.9804,1.2603,0.7803
"hsa-miR-107",15.299,15.4243,15.2635,11.2511,5.8172,7.9963,17.1376,15.0613,15.2269,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,8.4003,10.9753
"hsa-miR-10a",13.5658,14.2083,13.302,7.2048,7.254,6.8756,16.6753,17.1617,17.0708,6.1715,5.6644,6.9813,14.2366,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-10b",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-122",-7.3228,10.4368,11.0099,6.3271,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,9.1211,15.7954,15.3837,15.5884,9.4288,8.27,6.8052
"hsa-miR-124",8.227,8.2411,4.5173,6.3281,5.9925,2.1484,17.1376,17.169,14.2314,7.3254,6.75,7.9351,-0.8739,11.3421,11.0727,11.4424,11.2964,11.0287
"hsa-miR-125a-3p",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,10.3171,12.2395,11.0103,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-125a-5p",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,16.1876,15.8249,16.2387,9.302,8.969,8.826,14.8039,15.3837,15.5884,10.6142,11.2964,8.9631
"hsa-miR-125b",9.294,9.2921,9.1297,1.1364,1.2114,1.0335,10.7112,10.6051,10.2215,-1.1024,-0.7834,-0.5322,15.3469,14.4703,14.7518,8.4471,10.0952,6.9707
"hsa-miR-126",10.1577,10.1237,9.8768,3.1883,3.0291,3.0197,7.6411,7.6322,8.237,-1.1272,-0.8727,-0.0294,15.7954,15.3837,15.5884,8.34,8.177,8.9976
"hsa-miR-127-3p",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,16.2149,10.3174,10.0898,4.6544,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-127-5p",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-128",13.0604,13.2776,12.7061,4.222,3.6451,3.6862,14.719,15.1327,13.4525,0.43,0.7206,0.9867,12.8572,12.3346,13.4309,4.9077,5.2402,5.0699
"hsa-miR-129-3p",15.299,12.0466,5.0102,6.2311,5.5457,5.6764,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-129-5p",15.299,15.4243,15.2635,11.2511,8.8311,6.7225,17.1376,17.169,17.256,12.3187,8.2402,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-130a",14.5168,13.8595,14.0287,4.7977,7.7919,8.0293,17.1376,17.169,17.256,9.2599,7.0259,10.0124,15.7954,15.3837,15.1079,11.4424,11.1022,11.0287
"hsa-miR-130b",9.507,10.0115,10.1531,-0.0344,-0.0023,0.0059,14.9064,13.6472,13.2122,0.3095,0.2095,0.2678,10.1777,9.9891,10.53,2.963,3.125,2.997
"hsa-miR-132",13.034,12.5735,10.5437,5.9734,5.868,4.9995,13.0234,13.1497,12.6308,0.8253,0.7588,0.9977,10.709,10.2286,10.3529,3.3124,3.2742,2.6134
"hsa-miR-133a",15.299,15.4243,15.2635,9.2515,7.6374,11.0315,17.1376,15.1263,17.256,5.2574,5.3102,6.9407,14.7806,15.2046,14.3102,6.2904,6.7399,8.0232
"hsa-miR-133b",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,8.3984,12.2395,13.0117,13.5399,15.3837,15.5884,8.4139,11.2964,9.4075
"hsa-miR-134",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-135a",14.4995,14.6097,14.4253,11.2511,11.6633,11.0315,15.1314,15.1247,10.9531,5.0772,5.1755,0.9905,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-135b",14.6823,14.4055,13.6192,10.8974,11.158,8.3262,16.3015,16.1267,11.855,7.2937,7.2079,4.3018,15.7954,15.3837,14.9146,11.4424,11.2964,11.0287
"hsa-miR-136",11.9992,6.9214,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-137",15.299,15.4243,15.2635,11.2511,11.6633,11.0315,17.1376,17.169,17.256,12.3187,12.2395,13.0117,15.7954,15.3837,15.5884,11.4424,11.2964,11.0287
"hsa-miR-138",8.2582,8.1449,7.7342,-0.8004,-1.0292,-1.2548,9.0893,8.8905,8.7259,-1.7485,-1.792,-2.0933,11.1826,10.9551,9.5483,3.0643,3.3802,1.9704
