"","GSM4550863","GSM4550864"
"hsa-let-7a-3p",3.06,3.12
"hsa-let-7a-5p",10.53,12.28
"hsa-let-7b-3p",6.96,6.39
"hsa-let-7b-5p",9.91,11.96
"hsa-let-7c-3p",2.96,3.12
"hsa-let-7c-5p",10.08,12.21
"hsa-let-7d-3p",3.14,7.29
"hsa-let-7d-5p",9,10.86
"hsa-let-7e-3p",3.03,3.12
"hsa-let-7e-5p",7.37,9.96
"hsa-let-7f-1-3p",6.9,6.34
"hsa-let-7f-2-3p",3,3.12
"hsa-let-7f-5p",10.65,12.15
"hsa-let-7g-3p",3.14,3.12
"hsa-let-7g-5p",8.45,10.67
"hsa-let-7i-3p",7.04,3.12
"hsa-let-7i-5p",8.69,11.13
"hsa-miR-1-3p",3.05,3.12
"hsa-miR-1-5p",3.15,3.12
"hsa-miR-100-3p",3.02,3.12
"hsa-miR-100-5p",3.23,7.7
"hsa-miR-101-3p",3.23,8.69
"hsa-miR-101-5p",3.36,3.12
"hsa-miR-103a-2-5p",3.16,3.12
"hsa-miR-103a-3p",8.01,10.04
"hsa-miR-103b",6.7,3.12
"hsa-miR-105-3p",6.61,3.12
"hsa-miR-105-5p",3.15,3.12
"hsa-miR-106a-3p",2.94,3.12
"hsa-miR-106b-3p",3.24,6.57
"hsa-miR-106b-5p",9.39,11.5
"hsa-miR-107",8.29,10.14
"hsa-miR-10a-3p",3.35,6.71
"hsa-miR-10a-5p",9.16,11.04
"hsa-miR-10b-3p",3.14,7.02
"hsa-miR-10b-5p",6.63,9.55
"hsa-miR-1178-3p",5.54,3.12
"hsa-miR-1178-5p",2.94,3.12
"hsa-miR-1179",3.2,3.12
"hsa-miR-1180-3p",3.33,3.12
"hsa-miR-1180-5p",3.09,3.12
"hsa-miR-1181",10.63,7.95
"hsa-miR-1182",3.24,7.72
"hsa-miR-1183",10.42,8.64
"hsa-miR-1184",3.09,3.12
"hsa-miR-1185-1-3p",9.07,10.69
"hsa-miR-1185-2-3p",7.41,9.9
"hsa-miR-1185-5p",3.03,3.12
"hsa-miR-1193",3.31,3.12
"hsa-miR-1197",3.05,3.12
"hsa-miR-1199-3p",3.08,3.12
"hsa-miR-1199-5p",6.18,6.15
"hsa-miR-1200",3.2,3.12
"hsa-miR-1202",13.09,12.78
"hsa-miR-1203",3.31,3.12
"hsa-miR-1204",2.98,3.12
"hsa-miR-1205",3.23,3.12
"hsa-miR-1206",3.27,3.12
"hsa-miR-1207-3p",3.1,3.12
"hsa-miR-1207-5p",12.57,12.4
"hsa-miR-1208",8.24,7.4
"hsa-miR-122-3p",3.05,3.12
"hsa-miR-122-5p",3.2,7.81
"hsa-miR-1224-3p",3.14,3.12
"hsa-miR-1224-5p",9.24,8.74
"hsa-miR-1225-5p",10.67,9.89
"hsa-miR-1226-3p",5.89,3.12
"hsa-miR-1226-5p",8.8,7.78
"hsa-miR-1227-3p",3.28,3.12
"hsa-miR-1227-5p",6.57,7.08
"hsa-miR-1228-3p",8.68,7.73
"hsa-miR-1228-5p",5.78,6.33
"hsa-miR-1229-3p",3.26,3.12
"hsa-miR-1229-5p",11.13,10.44
"hsa-miR-1231",3.2,3.12
"hsa-miR-1233-3p",7.27,3.12
"hsa-miR-1233-5p",6.47,8.26
"hsa-miR-1234-3p",8.26,7.53
"hsa-miR-1236-3p",3.24,3.12
"hsa-miR-1236-5p",8.51,7.58
"hsa-miR-1237-3p",3.33,6.76
"hsa-miR-1237-5p",3.12,3.12
"hsa-miR-1238-3p",8.61,7.22
"hsa-miR-1238-5p",3.05,3.12
"hsa-miR-124-3p",8.48,7.66
"hsa-miR-124-5p",8.75,6.93
"hsa-miR-1243",3.29,3.12
"hsa-miR-1244",3.21,3.12
"hsa-miR-1245a",3.02,3.12
