"","GSM5356827","GSM5356828","GSM5356829","GSM5356830","GSM5356831","GSM5356832","GSM5356833","GSM5356834","GSM5356835","GSM5356836","GSM5356837","GSM5356838","GSM5356839","GSM5356840","GSM5356841","GSM5356842","GSM5356843","GSM5356844","GSM5356845","GSM5356846"
"hsa-miR-512-3p",3.06522762277562,3.48026512205446,4.92504996472736,4.1168637576909,3.80012335282653,3.29719141656586,3.57046293102604,3.22342254993494,2.61353165291793,2.20163386116965,6.6450098843911,6.87504280300259,7.20427768490503,5.84724530714181,6.19790469702582,5.98868468677217,6.36806987653208,6.37903173202854,7.33565832269288,6.43212427264156
"hsa-miR-151a-3p",15.1885695292884,15.2086908448249,14.7055384363468,14.9629140750518,15.2522537030395,15.474477554919,16.1399288034246,16.141312079318,15.4289865699447,13.2382823200239,13.9308980797202,13.9151445896528,11.8884350453619,14.0562719150699,14.0008662022652,13.9612760396094,13.6815458962214,13.6321716356867,13.5626240390999,13.5618129867894
"hsa-miR-3158-3p",8.57072855433289,8.65072866359071,7.78037572232529,8.70033567388169,9.06692334378122,9.35499863931907,9.77519872889799,9.13965366756787,8.60847661582495,6.36964096451698,6.43229133824778,7.7221927608959,8.31917533290503,7.13955135239879,7.11914863981125,7.41793688055014,7.37556079316946,7.0601554952546,6.31958180857156,6.31342726581369
"hsa-miR-144-3p",6.14404636961671,5.73308313184512,6.71822461155628,5.56132613645392,5.82654848729092,5.4154882710497,3.8972404255748,5.46564802598228,4.19377174339668,3.93262815702213,9.31108981453023,8.21149898197779,6.72273923629671,9.77304027566778,8.30537778562748,8.41726181705726,10.6281082946805,9.53346601284985,9.32343762625076,9.23018860018061
"hsa-let-7c-5p",10.6454873161077,10.2182726095128,10.5013893824684,10.8768775752485,10.36773143228,10.9350324157709,10.5497172956924,10.7740045641629,10.0163347386309,10.7726857170119,9.05509259471654,8.99554104970727,8.17702081069011,9.25160075646671,9.21759425283363,9.40275627948341,9.76836630464598,9.60303282649962,9.65103374709916,9.39062039965696
"hsa-miR-10b-3p",2.91073266190291,3.93734439215023,4.30742852519225,3.47118746038699,3.21412480535285,3.33771109212829,1.77399632511117,2.92409988564074,3.17632277264046,1.71369581484336,7.24126817732937,5.79623433517576,5.28132732965948,5.82323984413102,6.18626283566979,5.58766502110098,6.03254169727004,5.4535175792155,6.16671544496642,6.3328869169596
"hsa-miR-520d-5p",0,0.545968369105292,1.30451104180995,0,0,0.632268215499513,0,0,0,0.16349873228288,3.09761079662642,2.70929063572336,4.66220549965362,0.956056652412403,2.27500704749987,2.68257329734758,3.6915341649192,1.58496250072116,4.25927248703759,3.51096191927738
"hsa-miR-520a-3p",3.20476675065461,3.93734439215023,4.64904056563445,2.73335434061383,4.57470704641555,3.4867143730307,3.09592441999854,3.93168305705981,3.35895882583233,2.34482849699744,6.6246858105254,6.77741971551583,6.40429006444484,5.84724530714181,5.88801258540283,5.6959938131099,6.48058827023386,6.44675248456655,7.30414594120295,7.01936833047847
"hsa-miR-19b-3p",5.56924802986718,5.69488019279919,7.24783259617385,4.94860084749336,5.81608765860021,4.65992455840238,5.49569516262407,4.87725345387661,5.42290574261218,4.04264433740849,7.75448669787116,9.08547245918128,6.76101926524048,8.68334556167657,8.58728997364497,8.97713679189199,8.77000309132917,7.34748849721179,8.49361531357724,9.16407726418279
"hsa-miR-3120-5p",3.65764000520782,4.06177619758669,2.89917563048051,4.10013667128545,4.23112515787905,3.58976348698498,4.30231905094883,4.61706334388818,3.52105073690096,1.76553474636298,2.83995958748953,2.1407786557828,0,2.25398926623079,3.01613970265525,2.48026512205446,2.54596836910529,1.67807190511264,1.62760683812965,2.50080205305716
