"","GSM3447733","GSM3447734"
"hsa-miR-23a",14.89235,14.72328
"hsa-miR-125b-1",14.27273,14.51137
"hsa-miR-221",14.47942,14.13743
"hsa-let-7a-1",14.02167,14.44228
"hsa-let-7b",14.16139,14.15196
"hsa-miR-222",14.1933,13.98875
"hsa-miR-23b",14.14345,13.90317
"hsa-miR-24-1",14.02033,13.76129
"hsa-miR-100",13.72172,13.99697
"hsa-let-7c",13.67853,13.88131
"hsa-miR-26a-1",13.55168,13.4593
"hsa-let-7i",13.37192,13.52922
"hsa-miR-199b",13.59595,13.24119
"hsa-miR-199a-1",13.6015,13.17765
"hsa-miR-145",13.20943,13.22402
"hsa-miR-4497",13.37314,12.99172
"hsa-let-7d",13.05556,13.25471
"hsa-miR-29a",13.12403,13.03931
"hsa-miR-3960",13.08611,13.03507
"hsa-miR-125a",13.04997,13.05595
"hsa-let-7e",12.89417,13.01102
"hsa-miR-27a",12.9513,12.93702
"hsa-miR-22",12.82946,12.93115
"hsa-miR-16-1",12.92034,12.8161
"hsa-miR-27b",12.9067,12.76959
"hsa-miR-3665",13.00729,12.58092
"hsa-miR-143",12.56366,12.78385
"hsa-miR-103a-1",12.55496,12.23673
"hsa-miR-191",12.39245,12.36547
"hsa-miR-15b",12.35444,12.12557
"hsa-miR-107",12.32121,12.10995
"hsa-miR-4787",12.18382,12.17088
"hsa-miR-31",11.70352,12.6177
"hsa-let-7f-1",11.55675,12.48984
"hsa-miR-3178",11.91993,11.99551
"hsa-miR-320a",12.09723,11.80901
"hsa-miR-320b-1",12.09836,11.80231
"hsa-miR-320c-1",12.01145,11.8071
"hsa-miR-151",11.75682,11.95217
"hsa-miR-92a-1",11.96736,11.68844
"hsa-miR-99b",11.6878,11.90535
"hsa-miR-4454",11.82605,11.72171
"hsa-miR-181a-1",11.5518,11.73988
"hsa-miR-214",11.77922,11.28388
"hsa-miR-4516",11.72495,11.32884
"hsa-miR-4466",11.5676,11.29752
"hsa-miR-4488",11.347,11.47467
"hsa-miR-17",11.4722,11.29728
"hsa-miR-106b",11.37576,11.26266
"hsa-miR-106a",11.41171,11.18997
"hsa-let-7g",10.84141,11.68748
"hsa-miR-455",12.09043,10.43321
"hsa-miR-152",11.00497,11.37563
"hsa-miR-4298",11.16135,11.21574
"hsa-miR-21",10.46652,11.8938
"hsa-miR-155",10.90209,11.42817
"hsa-miR-30c-1",11.25512,10.95655
"hsa-miR-320d-1",10.98819,11.17902
"hsa-miR-1915",11.44807,10.69088
"hsa-miR-3196",10.77503,11.34915
"hsa-miR-20a",11.18021,10.90326
"hsa-miR-361",11.22795,10.81471
"hsa-miR-181b-1",10.96006,11.04648
"hsa-miR-93",11.42639,10.57379
"hsa-miR-127",10.81429,11.16648
"hsa-miR-574",11.1145,10.72315
"hsa-miR-25",11.04258,10.76616
"hsa-miR-2861",11.20747,10.56225
"hsa-miR-638",10.88063,10.87538
"hsa-miR-4687",10.92753,10.62043
"hsa-miR-4745",10.94549,10.46967
"hsa-miR-1469",10.78654,10.51874
"hsa-miR-19b-1",10.52276,10.65493
"hsa-miR-185",10.6573,10.38658
"hsa-miR-409",10.4028,10.61365
"hsa-miR-99a",9.74754,11.08471
"hsa-miR-3656",10.36329,10.40877
"hsa-miR-193b",10.24345,10.51564
"hsa-miR-132",10.57094,10.08209
"hsa-miR-762",10.29306,10.23483
"hsa-miR-494",10.15911,10.30966
"hsa-miR-3940",10.31495,10.12714
"hsa-miR-29b-1",10.5357,9.88172
"hsa-miR-130a",10.4193,9.99083
"hsa-miR-663",10.25723,10.01274
"hsa-miR-193a",10.26904,9.942949
"hsa-miR-487b",10.03206,10.17761
"hsa-miR-424",10.45571,9.734144
"hsa-miR-4508",9.929056,10.18805
"hsa-miR-4459",9.992351,10.1225
"hsa-miR-382",9.852993,10.18591
"hsa-miR-4734",10.21009,9.604467
"hsa-miR-4270",9.996985,9.781585
"hsa-miR-379",9.777391,9.990829
"hsa-miR-1908",9.635279,10.1012
"hsa-miR-140",9.545801,10.18506
"hsa-miR-34a",9.450195,10.27206
